cutoff_A,mean_coordination,minimum_coordination,maximum_coordination,fraction_coordination_0,fraction_coordination_1,fraction_coordination_2,fraction_coordination_3,fraction_coordination_gt3
4.000000000000002,1.9666666666666666,1,2,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0
4.0500000000000025,1.9666666666666666,1,2,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0
4.100000000000002,1.9666666666666666,1,2,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0
4.150000000000002,1.9666666666666666,1,2,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0
4.200000000000003,1.9666666666666666,1,2,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0
4.250000000000003,1.9666666666666666,1,2,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0
4.3000000000000025,1.9666666666666666,1,2,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0
4.350000000000002,1.9666666666666666,1,2,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0
4.400000000000002,1.9666666666666666,1,2,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0
4.450000000000003,1.9666666666666666,1,2,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0
4.500000000000003,1.9666666666666666,1,2,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0
4.5500000000000025,1.9666666666666666,1,2,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0
4.600000000000003,1.9666666666666666,1,2,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0
4.650000000000003,1.9666666666666666,1,2,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0
4.700000000000003,1.9666666666666666,1,2,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0
4.750000000000003,1.9666666666666666,1,2,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0
4.8000000000000025,1.9666666666666666,1,2,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0
4.850000000000003,1.9666666666666666,1,2,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0
4.900000000000003,1.9666666666666666,1,2,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0
4.950000000000003,1.9666666666666666,1,2,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0
5.0000000000000036,1.9666666666666666,1,2,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0
