
reset_timestep 0

velocity all create 150 12345 mom yes rot yes dist gaussian

fix 1 all nvt temp 150 150 100.0

thermo 100

dump 1 all custom 100 heating.xyz id type x y z

dump_modify 1 sort id

run 200000
Generated 6 of 6 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7, bins = 3 3 3
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 12.56 | 12.56 | 12.56 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         E_bond        E_angle        E_dihed        E_impro         E_vdwl         Press     
      9200   161.16648      29.853554      17.29464       47.148195      6.504903       4.9377315      0              2.6528756      15.758044     -1722.8871    
      9300   141.41275      31.668008      15.174883      46.842891      6.8013856      6.5690156      0              2.3861983      15.911409      1064.8424    
      9400   132.71271      32.315724      14.241289      46.557013      7.0504423      6.3891185      0              2.538101       16.338062      4106.9546    
      9500   133.26019      31.951023      14.30004       46.251062      6.4189834      6.785202       0              2.6305341      16.116303     -68.848999    
      9600   125.48784      32.435308      13.465995      45.901302      5.4238612      5.4908993      0              4.3475085      17.173039      4591.9727    
      9700   129.56075      31.658074      13.903056      45.56113       4.7038243      8.5291763      0              2.4774112      15.947662      1737.6278    
      9800   118.87379      32.36635       12.756247      45.122596      5.4881454      7.4160213      0              4.014796       15.447387     -642.91513    
      9900   155.97846      27.854377      16.737918      44.592295      4.5153338      4.6968152      0              2.6433632      15.998865      248.67442    
     10000   143.55607      28.659577      15.404881      44.064459      6.4929906      5.8571161      0              0.52527739     15.784193     -15.324006    
     10100   128.3473       29.715147      13.772842      43.487988      7.1945932      3.6372117      0              2.5057261      16.377616      1014.6927    
     10200   114.83023      30.654757      12.322336      42.977093      4.5853053      5.2759461      0              4.5685496      16.224956      325.73565    
     10300   117.66041      30.069323      12.62604       42.695364      5.5522701      4.7734063      0              3.1884994      16.555148      1249.259     
     10400   151.90735      26.31473       16.30105       42.61578       5.2042762      3.4602362      0              1.5111141      16.139104     -3613.6245    
     10500   129.35959      28.940362      13.881469      42.821831      4.9519991      4.7925837      0              2.7896077      16.406172     -348.3542     
     10600   134.21818      28.963326      14.402841      43.366167      6.1868954      4.9120768      0              2.2243168      15.640037     -1849.6296    
     10700   149.8192       28.136574      16.076973      44.213546      4.7247659      4.9977731      0              1.5690723      16.844962     -383.68643    
     10800   153.73664      28.839627      16.49735       45.336977      5.2181347      4.6386694      0              2.0702048      16.912618      676.64761    
     10900   129.70106      32.792194      13.918112      46.710306      7.4045643      6.2027847      0              3.577763       15.607082     -3523.2698    
     11000   143.3622       32.59767       15.384077      47.981747      6.4617981      7.7864188      0              2.1110635      16.23839      -7.5212709    
     11100   130.73577      35.0174        14.029146      49.046547      6.7954775      8.7230473      0              2.4756864      17.023189      1081.422     
     11200   180.41327      30.492175      19.359997      49.852171      6.1848832      4.965668       0              2.2197325      17.121891      99.012679    
     11300   169.2525       32.179067      18.162344      50.341411      6.3936889      6.4820627      0              3.2160709      16.087244     -2396.9316    
     11400   192.35802      29.886831      20.641778      50.528609      5.0121033      5.7220387      0              2.1652686      16.987421      1830.748     
     11500   134.76219      36.001799      14.461217      50.463016      8.7568         7.9123572      0              1.9525053      17.380137      1286.238     
     11600   160.7428       32.9078        17.249175      50.156975      6.7237882      6.6122455      0              1.9272809      17.644486      865.51464    
     11700   162.39406      32.41915       17.42637       49.84552       6.7328474      5.9321379      0              2.7511264      17.003038      1165.5837    
     11800   166.41427      31.608905      17.857776      49.466682      6.5348249      6.7481176      0              2.3164965      16.009466     -2558.4786    
     11900   159.83763      31.808965      17.152042      48.961007      6.5833161      5.8957083      0              2.4299389      16.900001      1083.1446    
     12000   170.74802      29.913448      18.322827      48.236275      7.1574849      4.6098904      0              2.4380588      15.708013     -641.07465    
     12100   145.36307      31.659596      15.598789      47.258386      6.3748262      6.2180759      0              3.3652546      15.701439     -1626.6868    
     12200   136.52667      31.393075      14.650563      46.043638      7.392246       5.6180488      0              2.2665834      16.116197     -61.94608     
     12300   124.76302      31.312241      13.388215      44.700456      6.5801429      5.2872532      0              2.9655211      16.479324      781.59705    
     12400   122.46922      30.30224       13.142069      43.444309      6.0543542      5.3811657      0              2.3359994      16.530721      2039.8226    
     12500   108.01814      30.98512       11.591336      42.576456      4.8071506      6.8512375      0              2.7963194      16.530413      293.35313    
     12600   124.82039      28.729757      13.394372      42.124128      3.9145394      5.6515225      0              2.0068375      17.156857      346.19251    
     12700   118.82254      29.289938      12.750748      42.040686      5.1730368      5.1149147      0              1.5024765      17.49951       3128.8042    
     12800   100.8627       31.409617      10.823492      42.233109      7.7453262      4.3555869      0              1.662723       17.645981      1433.841     
     12900   112.48133      30.547408      12.070278      42.617686      6.0907849      6.421523       0              1.1099382      16.925162      996.4185     
     13000   116.75364      30.614842      12.528735      43.143577      5.3282909      6.3388029      0              1.6789484      17.268799     -214.58191    
     13100   144.50099      28.16763       15.506281      43.673911      4.7394595      4.1753793      0              1.4145156      17.838276      2703.7906    
     13200   118.54836      31.449351      12.721326      44.170676      6.0067132      6.3491318      0              1.8946126      17.198893      1398.5166    
     13300   148.59734      28.660105      15.945856      44.605962      5.3087993      5.2082859      0              1.8833422      16.259678      150.58577    
     13400   140.65592      29.937339      15.093668      45.031007      6.0491663      5.6382473      0              2.349251       15.900675     -2799.8489    
     13500   140.12345      30.480892      15.03653       45.517422      5.9946631      7.1725283      0              1.4391276      15.874573     -917.03809    
     13600   126.70386      32.51294       13.596485      46.109425      6.6429792      6.9979301      0              2.5011378      16.370893      486.59626    
     13700   128.80182      32.920759      13.821615      46.742375      8.4423432      6.1322435      0              2.4985603      15.847612     -984.31982    
     13800   146.96554      31.60672       15.770749      47.377468      7.5242382      5.6381805      0              3.149699       15.294602     -1718.5358    
     13900   143.36865      32.61583       15.38477       48.0006        7.4944556      7.3084434      0              2.1987345      15.614197     -3746.6352    
     14000   171.89741      30.18691       18.446167      48.633077      5.6842891      5.4103548      0              2.1749806      16.917285     -176.0298     
     14100   160.83636      32.003113      17.259215      49.262328      7.5710311      5.9240792      0              1.4700754      17.037927      1473.3195    
     14200   174.78087      31.026643      18.755589      49.782232      5.1825935      6.7974682      0              1.7510613      17.29552       837.22061    
