
reset_timestep 0

fix 1 all nvt temp 150 150 100.0

thermo 100

dump 1 all custom 100 nvt.xyz id type x y z

dump_modify 1 sort id

run 1000000
Generated 6 of 6 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7, bins = 3 3 3
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 12.55 | 12.55 | 12.55 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         E_bond        E_angle        E_dihed        E_impro         E_vdwl         Press     
      6100   161.78053      31.572958      17.360533      48.933492      8.5885812      4.9171122      0              2.3944173      15.672847     -1092.5083    
      6200   152.14607      32.316364      16.326668      48.643032      6.6327644      8.9007079      0              2.0959303      14.686962     -1713.0991    
      6300   169.32767      30.122594      18.170411      48.293005      5.3640494      7.0733411      0              2.0761287      15.609075      1235.7039    
      6400   143.67018      32.451289      15.417127      47.868416      4.2459195      8.5076848      0              3.811731       15.885954      1023.9071    
      6500   138.84513      32.663603      14.899354      47.562957      4.8381775      7.929711       0              4.0252567      15.870457     -576.82793    
      6600   163.41486      29.733793      17.535912      47.269704      4.5702323      8.3261044      0              1.3180904      15.519365      2027.8438    
      6700   146.49943      31.155075      15.720731      46.875806      5.8734933      6.45902        0              2.8086525      16.013909     -92.333777    
      6800   140.86021      31.185092      15.115591      46.300683      6.2629699      4.9954238      0              3.2661966      16.660501     -3083.0923    
      6900   134.35026      31.132189      14.417014      45.549203      5.4058514      5.9564512      0              2.6788852      17.091001      2369.0121    
      7000   128.95979      30.738276      13.838567      44.576842      6.6976409      5.3459845      0              2.1248979      16.569752      15.006932    
      7100   116.4559       31.059309      12.496785      43.556094      7.1807941      5.0533958      0              2.2395486      16.585571     -1140.3027    
      7200   144.99704      27.117864      15.559511      42.677375      4.2480996      3.8050486      0              2.2483518      16.816364      2082.965     
      7300   114.79708      29.711482      12.318778      42.03026       3.1933197      6.7367945      0              3.4798895      16.301478      874.27342    
