metric,value
hbn_atoms,1680
candidate_bonds_lt_0p20nm,2460
degree0_atoms,0
degree1_atoms,60
degree2_atoms,0
degree3_atoms,1620
degree_gt3_atoms,0

atom_i,atom_j,name_i,name_j,elem_i,elem_j,distance_nm
1376,1433,N1376,B1433,N,B,0.14438
1536,1595,N1536,B1595,N,B,0.14438
1552,1611,N1552,B1611,N,B,0.14438
368,427,N0368,B0427,N,B,0.14439
418,477,N0418,B0477,N,B,0.14439
4,63,N0004,B0063,N,B,0.14439
14,73,N0014,B0073,N,B,0.14439
122,181,N0122,B0181,N,B,0.14439
132,191,N0132,B0191,N,B,0.14439
250,309,N0250,B0309,N,B,0.14439
300,359,N0300,B0359,N,B,0.14439
546,603,N0546,B0603,N,B,0.14439
596,653,N0596,B0653,N,B,0.14439
722,781,N0722,B0781,N,B,0.14439
772,831,N0772,B0831,N,B,0.14439
782,899,N0782,B0899,N,B,0.14439
832,889,N0832,B0889,N,B,0.14439
950,1007,N0950,B1007,N,B,0.14439
960,1017,N0960,B1017,N,B,0.14439
1008,1067,N1008,B1067,N,B,0.14439
1018,1077,N1018,B1077,N,B,0.14439
1244,1303,N1244,B1303,N,B,0.14439
1254,1313,N1254,B1313,N,B,0.14439
1304,1361,N1304,B1361,N,B,0.14439
1314,1371,N1314,B1371,N,B,0.14439
1362,1421,N1362,B1421,N,B,0.14439
1372,1431,N1372,B1431,N,B,0.14439
1540,1597,N1540,B1597,N,B,0.14439
1550,1607,N1550,B1607,N,B,0.14439
374,431,N0374,B0431,N,B,0.14439
378,437,N0378,B0437,N,B,0.14439
408,467,N0408,B0467,N,B,0.14439
414,471,N0414,B0471,N,B,0.14439
20,77,N0020,B0077,N,B,0.14439
60,117,N0060,B0117,N,B,0.14439
138,195,N0138,B0195,N,B,0.14439
178,235,N0178,B0235,N,B,0.14439
256,313,N0256,B0313,N,B,0.14439
296,353,N0296,B0353,N,B,0.14439
550,609,N0550,B0609,N,B,0.14439
590,649,N0590,B0649,N,B,0.14439
728,785,N0728,B0785,N,B,0.14439
768,825,N0768,B0825,N,B,0.14439
786,845,N0786,B0845,N,B,0.14439
826,885,N0826,B0885,N,B,0.14439
904,963,N0904,B0963,N,B,0.14439
944,1003,N0944,B1003,N,B,0.14439
964,1021,N0964,B1021,N,B,0.14439
1004,1061,N1004,B1061,N,B,0.14439
1240,1297,N1240,B1297,N,B,0.14439
1260,1317,N1260,B1317,N,B,0.14439
1298,1357,N1298,B1357,N,B,0.14439
1318,1377,N1318,B1377,N,B,0.14439
1358,1415,N1358,B1415,N,B,0.14439
1378,1435,N1378,B1435,N,B,0.14439
1534,1593,N1534,B1593,N,B,0.14439
1554,1613,N1554,B1613,N,B,0.14439
24,83,N0024,B0083,N,B,0.14439
54,113,N0054,B0113,N,B,0.14439
142,201,N0142,B0201,N,B,0.14439
172,231,N0172,B0231,N,B,0.14439
260,319,N0260,B0319,N,B,0.14439
290,349,N0290,B0349,N,B,0.14439
556,613,N0556,B0613,N,B,0.14439
586,643,N0586,B0643,N,B,0.14439
732,791,N0732,B0791,N,B,0.14439
762,821,N0762,B0821,N,B,0.14439
792,849,N0792,B0849,N,B,0.14439
822,879,N0822,B0879,N,B,0.14439
910,967,N0910,B0967,N,B,0.14439
940,997,N0940,B0997,N,B,0.14439
968,1027,N0968,B1027,N,B,0.14439
998,1057,N0998,B1057,N,B,0.14439
1204,1263,N1204,B1263,N,B,0.14439
1234,1293,N1234,B1293,N,B,0.14439
1264,1321,N1264,B1321,N,B,0.14439
1294,1351,N1294,B1351,N,B,0.14439
1322,1381,N1322,B1381,N,B,0.14439
1352,1411,N1352,B1411,N,B,0.14439
1530,1587,N1530,B1587,N,B,0.14439
1560,1617,N1560,B1617,N,B,0.14439
386,445,N0386,B0445,N,B,0.14442
400,459,N0400,B0459,N,B,0.14442
32,91,N0032,B0091,N,B,0.14442
46,105,N0046,B0105,N,B,0.14442
150,209,N0150,B0209,N,B,0.14442
164,223,N0164,B0223,N,B,0.14442
268,327,N0268,B0327,N,B,0.14442
282,341,N0282,B0341,N,B,0.14442
564,621,N0564,B0621,N,B,0.14442
578,635,N0578,B0635,N,B,0.14442
740,799,N0740,B0799,N,B,0.14442
754,813,N0754,B0813,N,B,0.14442
800,857,N0800,B0857,N,B,0.14442
814,871,N0814,B0871,N,B,0.14442
918,975,N0918,B0975,N,B,0.14442
932,989,N0932,B0989,N,B,0.14442
976,1035,N0976,B1035,N,B,0.14442
990,1049,N0990,B1049,N,B,0.14442
1212,1271,N1212,B1271,N,B,0.14442
1226,1285,N1226,B1285,N,B,0.14442
1272,1329,N1272,B1329,N,B,0.14442
1286,1343,N1286,B1343,N,B,0.14442
1330,1389,N1330,B1389,N,B,0.14442
1344,1403,N1344,B1403,N,B,0.14442
1508,1565,N1508,B1565,N,B,0.14442
1522,1579,N1522,B1579,N,B,0.14442
368,425,N0368,B0425,N,B,0.14456
374,433,N0374,B0433,N,B,0.14456
382,441,N0382,B0441,N,B,0.14456
390,447,N0390,B0447,N,B,0.14456
398,455,N0398,B0455,N,B,0.14456
404,463,N0404,B0463,N,B,0.14456
412,471,N0412,B0471,N,B,0.14456
420,477,N0420,B0477,N,B,0.14456
6,63,N0006,B0063,N,B,0.14456
14,71,N0014,B0071,N,B,0.14456
20,79,N0020,B0079,N,B,0.14456
28,87,N0028,B0087,N,B,0.14456
36,93,N0036,B0093,N,B,0.14456
44,101,N0044,B0101,N,B,0.14456
50,109,N0050,B0109,N,B,0.14456
58,117,N0058,B0117,N,B,0.14456
124,181,N0124,B0181,N,B,0.14456
132,189,N0132,B0189,N,B,0.14456
138,197,N0138,B0197,N,B,0.14456
146,205,N0146,B0205,N,B,0.14456
154,211,N0154,B0211,N,B,0.14456
162,219,N0162,B0219,N,B,0.14456
168,227,N0168,B0227,N,B,0.14456
176,235,N0176,B0235,N,B,0.14456
242,359,N0242,B0359,N,B,0.14456
250,307,N0250,B0307,N,B,0.14456
256,315,N0256,B0315,N,B,0.14456
264,323,N0264,B0323,N,B,0.14456
272,329,N0272,B0329,N,B,0.14456
280,337,N0280,B0337,N,B,0.14456
286,345,N0286,B0345,N,B,0.14456
294,353,N0294,B0353,N,B,0.14456
544,603,N0544,B0603,N,B,0.14456
552,609,N0552,B0609,N,B,0.14456
560,617,N0560,B0617,N,B,0.14456
566,625,N0566,B0625,N,B,0.14456
574,633,N0574,B0633,N,B,0.14456
582,639,N0582,B0639,N,B,0.14456
590,647,N0590,B0647,N,B,0.14456
596,655,N0596,B0655,N,B,0.14456
722,839,N0722,B0839,N,B,0.14456
728,787,N0728,B0787,N,B,0.14456
736,795,N0736,B0795,N,B,0.14456
744,801,N0744,B0801,N,B,0.14456
752,809,N0752,B0809,N,B,0.14456
758,817,N0758,B0817,N,B,0.14456
766,825,N0766,B0825,N,B,0.14456
774,831,N0774,B0831,N,B,0.14456
788,845,N0788,B0845,N,B,0.14456
796,853,N0796,B0853,N,B,0.14456
802,861,N0802,B0861,N,B,0.14456
810,869,N0810,B0869,N,B,0.14456
818,875,N0818,B0875,N,B,0.14456
826,883,N0826,B0883,N,B,0.14456
832,891,N0832,B0891,N,B,0.14456
840,899,N0840,B0899,N,B,0.14456
906,963,N0906,B0963,N,B,0.14456
914,971,N0914,B0971,N,B,0.14456
920,979,N0920,B0979,N,B,0.14456
928,987,N0928,B0987,N,B,0.14456
936,993,N0936,B0993,N,B,0.14456
944,1001,N0944,B1001,N,B,0.14456
950,1009,N0950,B1009,N,B,0.14456
958,1017,N0958,B1017,N,B,0.14456
964,1023,N0964,B1023,N,B,0.14456
972,1031,N0972,B1031,N,B,0.14456
980,1037,N0980,B1037,N,B,0.14456
988,1045,N0988,B1045,N,B,0.14456
994,1053,N0994,B1053,N,B,0.14456
1002,1061,N1002,B1061,N,B,0.14456
1010,1067,N1010,B1067,N,B,0.14456
1018,1075,N1018,B1075,N,B,0.14456
1208,1267,N1208,B1267,N,B,0.14456
1216,1273,N1216,B1273,N,B,0.14456
1224,1281,N1224,B1281,N,B,0.14456
1230,1289,N1230,B1289,N,B,0.14456
1238,1297,N1238,B1297,N,B,0.14456
1246,1303,N1246,B1303,N,B,0.14456
1254,1311,N1254,B1311,N,B,0.14456
1260,1319,N1260,B1319,N,B,0.14456
1268,1325,N1268,B1325,N,B,0.14456
1274,1333,N1274,B1333,N,B,0.14456
1282,1341,N1282,B1341,N,B,0.14456
1290,1347,N1290,B1347,N,B,0.14456
1298,1355,N1298,B1355,N,B,0.14456
1304,1363,N1304,B1363,N,B,0.14456
1312,1371,N1312,B1371,N,B,0.14456
1320,1377,N1320,B1377,N,B,0.14456
1326,1385,N1326,B1385,N,B,0.14456
1334,1391,N1334,B1391,N,B,0.14456
1342,1399,N1342,B1399,N,B,0.14456
1348,1407,N1348,B1407,N,B,0.14456
1356,1415,N1356,B1415,N,B,0.14456
1364,1421,N1364,B1421,N,B,0.14456
1372,1429,N1372,B1429,N,B,0.14456
1378,1437,N1378,B1437,N,B,0.14456
1504,1561,N1504,B1561,N,B,0.14456
1510,1569,N1510,B1569,N,B,0.14456
1518,1577,N1518,B1577,N,B,0.14456
1526,1583,N1526,B1583,N,B,0.14456
1534,1591,N1534,B1591,N,B,0.14456
1540,1599,N1540,B1599,N,B,0.14456
1548,1607,N1548,B1607,N,B,0.14456
1556,1613,N1556,B1613,N,B,0.14456
384,441,N0384,B0441,N,B,0.14462
404,461,N0404,B0461,N,B,0.14462
30,87,N0030,B0087,N,B,0.14462
50,107,N0050,B0107,N,B,0.14462
148,205,N0148,B0205,N,B,0.14462
168,225,N0168,B0225,N,B,0.14462
266,323,N0266,B0323,N,B,0.14462
286,343,N0286,B0343,N,B,0.14462
560,619,N0560,B0619,N,B,0.14462
580,639,N0580,B0639,N,B,0.14462
738,795,N0738,B0795,N,B,0.14462
758,815,N0758,B0815,N,B,0.14462
796,855,N0796,B0855,N,B,0.14462
816,875,N0816,B0875,N,B,0.14462
914,973,N0914,B0973,N,B,0.14462
934,993,N0934,B0993,N,B,0.14462
974,1031,N0974,B1031,N,B,0.14462
994,1051,N0994,B1051,N,B,0.14462
1210,1267,N1210,B1267,N,B,0.14462
1230,1287,N1230,B1287,N,B,0.14462
1268,1327,N1268,B1327,N,B,0.14462
1288,1347,N1288,B1347,N,B,0.14462
1328,1385,N1328,B1385,N,B,0.14462
1348,1405,N1348,B1405,N,B,0.14462
1504,1563,N1504,B1563,N,B,0.14462
1524,1583,N1524,B1583,N,B,0.14462
388,447,N0388,B0447,N,B,0.14462
398,457,N0398,B0457,N,B,0.14462
34,93,N0034,B0093,N,B,0.14462
44,103,N0044,B0103,N,B,0.14462
152,211,N0152,B0211,N,B,0.14462
162,221,N0162,B0221,N,B,0.14462
270,329,N0270,B0329,N,B,0.14462
280,339,N0280,B0339,N,B,0.14462
566,623,N0566,B0623,N,B,0.14462
576,633,N0576,B0633,N,B,0.14462
742,801,N0742,B0801,N,B,0.14462
752,811,N0752,B0811,N,B,0.14462
802,859,N0802,B0859,N,B,0.14462
812,869,N0812,B0869,N,B,0.14462
920,977,N0920,B0977,N,B,0.14462
930,987,N0930,B0987,N,B,0.14462
978,1037,N0978,B1037,N,B,0.14462
988,1047,N0988,B1047,N,B,0.14462
1214,1273,N1214,B1273,N,B,0.14462
1224,1283,N1224,B1283,N,B,0.14462
1274,1331,N1274,B1331,N,B,0.14462
1284,1341,N1284,B1341,N,B,0.14462
1332,1391,N1332,B1391,N,B,0.14462
1342,1401,N1342,B1401,N,B,0.14462
1510,1567,N1510,B1567,N,B,0.14462
1520,1577,N1520,B1577,N,B,0.14462
384,443,N0384,B0443,N,B,0.14464
388,445,N0388,B0445,N,B,0.14464
400,457,N0400,B0457,N,B,0.14464
402,461,N0402,B0461,N,B,0.14464
30,89,N0030,B0089,N,B,0.14464
34,91,N0034,B0091,N,B,0.14464
46,103,N0046,B0103,N,B,0.14464
48,107,N0048,B0107,N,B,0.14464
148,207,N0148,B0207,N,B,0.14464
152,209,N0152,B0209,N,B,0.14464
164,221,N0164,B0221,N,B,0.14464
166,225,N0166,B0225,N,B,0.14464
266,325,N0266,B0325,N,B,0.14464
270,327,N0270,B0327,N,B,0.14464
282,339,N0282,B0339,N,B,0.14464
284,343,N0284,B0343,N,B,0.14464
562,619,N0562,B0619,N,B,0.14464
564,623,N0564,B0623,N,B,0.14464
576,635,N0576,B0635,N,B,0.14464
580,637,N0580,B0637,N,B,0.14464
738,797,N0738,B0797,N,B,0.14464
742,799,N0742,B0799,N,B,0.14464
754,811,N0754,B0811,N,B,0.14464
756,815,N0756,B0815,N,B,0.14464
798,855,N0798,B0855,N,B,0.14464
800,859,N0800,B0859,N,B,0.14464
812,871,N0812,B0871,N,B,0.14464
816,873,N0816,B0873,N,B,0.14464
916,973,N0916,B0973,N,B,0.14464
918,977,N0918,B0977,N,B,0.14464
930,989,N0930,B0989,N,B,0.14464
934,991,N0934,B0991,N,B,0.14464
974,1033,N0974,B1033,N,B,0.14464
978,1035,N0978,B1035,N,B,0.14464
990,1047,N0990,B1047,N,B,0.14464
992,1051,N0992,B1051,N,B,0.14464
1210,1269,N1210,B1269,N,B,0.14464
1214,1271,N1214,B1271,N,B,0.14464
1226,1283,N1226,B1283,N,B,0.14464
1228,1287,N1228,B1287,N,B,0.14464
1270,1327,N1270,B1327,N,B,0.14464
1272,1331,N1272,B1331,N,B,0.14464
1284,1343,N1284,B1343,N,B,0.14464
1288,1345,N1288,B1345,N,B,0.14464
1328,1387,N1328,B1387,N,B,0.14464
1332,1389,N1332,B1389,N,B,0.14464
1344,1401,N1344,B1401,N,B,0.14464
1346,1405,N1346,B1405,N,B,0.14464
1506,1563,N1506,B1563,N,B,0.14464
1508,1567,N1508,B1567,N,B,0.14464
1520,1579,N1520,B1579,N,B,0.14464
1524,1581,N1524,B1581,N,B,0.14464
370,427,N0370,B0427,N,B,0.14478
372,431,N0372,B0431,N,B,0.14478
414,473,N0414,B0473,N,B,0.14478
418,475,N0418,B0475,N,B,0.14478
4,61,N0004,B0061,N,B,0.14478
16,73,N0016,B0073,N,B,0.14478
18,77,N0018,B0077,N,B,0.14478
60,119,N0060,B0119,N,B,0.14478
122,239,N0122,B0239,N,B,0.14478
134,191,N0134,B0191,N,B,0.14478
136,195,N0136,B0195,N,B,0.14478
178,237,N0178,B0237,N,B,0.14478
252,309,N0252,B0309,N,B,0.14478
254,313,N0254,B0313,N,B,0.14478
296,355,N0296,B0355,N,B,0.14478
300,357,N0300,B0357,N,B,0.14478
546,605,N0546,B0605,N,B,0.14478
550,607,N0550,B0607,N,B,0.14478
592,649,N0592,B0649,N,B,0.14478
594,653,N0594,B0653,N,B,0.14478
724,781,N0724,B0781,N,B,0.14478
726,785,N0726,B0785,N,B,0.14478
768,827,N0768,B0827,N,B,0.14478
772,829,N0772,B0829,N,B,0.14478
782,841,N0782,B0841,N,B,0.14478
786,843,N0786,B0843,N,B,0.14478
828,885,N0828,B0885,N,B,0.14478
830,889,N0830,B0889,N,B,0.14478
904,961,N0904,B0961,N,B,0.14478
946,1003,N0946,B1003,N,B,0.14478
948,1007,N0948,B1007,N,B,0.14478
960,1019,N0960,B1019,N,B,0.14478
962,1021,N0962,B1021,N,B,0.14478
1004,1063,N1004,B1063,N,B,0.14478
1008,1065,N1008,B1065,N,B,0.14478
1020,1077,N1020,B1077,N,B,0.14478
1240,1299,N1240,B1299,N,B,0.14478
1244,1301,N1244,B1301,N,B,0.14478
1256,1313,N1256,B1313,N,B,0.14478
1258,1317,N1258,B1317,N,B,0.14478
1300,1357,N1300,B1357,N,B,0.14478
1302,1361,N1302,B1361,N,B,0.14478
1314,1373,N1314,B1373,N,B,0.14478
1318,1375,N1318,B1375,N,B,0.14478
1358,1417,N1358,B1417,N,B,0.14478
1362,1419,N1362,B1419,N,B,0.14478
1374,1431,N1374,B1431,N,B,0.14478
1376,1435,N1376,B1435,N,B,0.14478
1536,1593,N1536,B1593,N,B,0.14478
1538,1597,N1538,B1597,N,B,0.14478
1550,1609,N1550,B1609,N,B,0.14478
1554,1611,N1554,B1611,N,B,0.14478
362,479,N0362,B0479,N,B,0.14481
366,423,N0366,B0423,N,B,0.14481
8,65,N0008,B0065,N,B,0.14481
12,69,N0012,B0069,N,B,0.14481
126,183,N0126,B0183,N,B,0.14481
130,187,N0130,B0187,N,B,0.14481
244,301,N0244,B0301,N,B,0.14481
248,305,N0248,B0305,N,B,0.14481
542,601,N0542,B0601,N,B,0.14481
598,657,N0598,B0657,N,B,0.14481
776,833,N0776,B0833,N,B,0.14481
780,837,N0780,B0837,N,B,0.14481
834,893,N0834,B0893,N,B,0.14481
838,897,N0838,B0897,N,B,0.14481
952,1011,N0952,B1011,N,B,0.14481
956,1015,N0956,B1015,N,B,0.14481
1012,1069,N1012,B1069,N,B,0.14481
1016,1073,N1016,B1073,N,B,0.14481
1248,1305,N1248,B1305,N,B,0.14481
1252,1309,N1252,B1309,N,B,0.14481
1306,1365,N1306,B1365,N,B,0.14481
1310,1369,N1310,B1369,N,B,0.14481
1366,1423,N1366,B1423,N,B,0.14481
1370,1427,N1370,B1427,N,B,0.14481
1542,1601,N1542,B1601,N,B,0.14481
1546,1605,N1546,B1605,N,B,0.14481
382,439,N0382,B0439,N,B,0.14483
390,449,N0390,B0449,N,B,0.14483
396,455,N0396,B0455,N,B,0.14483
406,463,N0406,B0463,N,B,0.14483
366,425,N0366,B0425,N,B,0.14483
376,433,N0376,B0433,N,B,0.14483
412,469,N0412,B0469,N,B,0.14483
420,479,N0420,B0479,N,B,0.14483
28,85,N0028,B0085,N,B,0.14483
36,95,N0036,B0095,N,B,0.14483
42,101,N0042,B0101,N,B,0.14483
52,109,N0052,B0109,N,B,0.14483
146,203,N0146,B0203,N,B,0.14483
154,213,N0154,B0213,N,B,0.14483
160,219,N0160,B0219,N,B,0.14483
170,227,N0170,B0227,N,B,0.14483
264,321,N0264,B0321,N,B,0.14483
272,331,N0272,B0331,N,B,0.14483
278,337,N0278,B0337,N,B,0.14483
288,345,N0288,B0345,N,B,0.14483
558,617,N0558,B0617,N,B,0.14483
568,625,N0568,B0625,N,B,0.14483
574,631,N0574,B0631,N,B,0.14483
582,641,N0582,B0641,N,B,0.14483
736,793,N0736,B0793,N,B,0.14483
744,803,N0744,B0803,N,B,0.14483
750,809,N0750,B0809,N,B,0.14483
760,817,N0760,B0817,N,B,0.14483
794,853,N0794,B0853,N,B,0.14483
804,861,N0804,B0861,N,B,0.14483
810,867,N0810,B0867,N,B,0.14483
818,877,N0818,B0877,N,B,0.14483
912,971,N0912,B0971,N,B,0.14483
922,979,N0922,B0979,N,B,0.14483
928,985,N0928,B0985,N,B,0.14483
936,995,N0936,B0995,N,B,0.14483
972,1029,N0972,B1029,N,B,0.14483
980,1039,N0980,B1039,N,B,0.14483
986,1045,N0986,B1045,N,B,0.14483
996,1053,N0996,B1053,N,B,0.14483
1208,1265,N1208,B1265,N,B,0.14483
1216,1275,N1216,B1275,N,B,0.14483
1222,1281,N1222,B1281,N,B,0.14483
1232,1289,N1232,B1289,N,B,0.14483
1266,1325,N1266,B1325,N,B,0.14483
1276,1333,N1276,B1333,N,B,0.14483
1282,1339,N1282,B1339,N,B,0.14483
1290,1349,N1290,B1349,N,B,0.14483
1326,1383,N1326,B1383,N,B,0.14483
1334,1393,N1334,B1393,N,B,0.14483
1340,1399,N1340,B1399,N,B,0.14483
