gamma_phi_ps_inv,dephasing_time_ps,initial_state,ensemble_minimum_survival_probability,time_of_ensemble_minimum_survival_ps,time_average_ensemble_survival,final_ensemble_survival,maximum_ensemble_transfer_out,maximum_ensemble_other_high_population,time_of_maximum_other_high_population_ps,maximum_ensemble_PYR5_population,time_of_maximum_PYR5_population_ps,time_average_l1_coherence,time_integrated_l1_coherence,mean_frame_minimum_survival,maximum_single_frame_transfer_out,mean_l1_coherence_at_0p5ps,mean_l1_coherence_at_1ps,mean_l1_coherence_at_2ps,mean_l1_coherence_at_5ps,mean_l1_coherence_at_10ps,mean_l1_coherence_at_20ps,maximum_ensemble_PYR2_bright,time_of_maximum_PYR2_bright_ps,time_average_PYR2_bright,final_PYR2_bright,maximum_ensemble_PYR3_bright,time_of_maximum_PYR3_bright_ps,time_average_PYR3_bright,final_PYR3_bright,maximum_ensemble_PYR4_bright,time_of_maximum_PYR4_bright_ps,time_average_PYR4_bright,final_PYR4_bright,maximum_ensemble_PYR5_bright,time_of_maximum_PYR5_bright_ps,time_average_PYR5_bright,final_PYR5_bright
0.1,10.0,PYR4_bright,0.8818460299409188,19.94,0.9097944802412046,0.8821674504760909,0.11815397005908124,0.11803580496679517,19.94,0.00012111200035050881,19.93,0.3065708548311614,6.133248938399336,0.8667579393442223,0.9008482092421463,0.4161345359354874,0.3941241139719538,0.3888105045580668,0.3685599889236007,0.30428544479705943,0.24677335444089832,0.044226830675818146,1.06,0.029483093712925453,0.03820615009445772,0.0816673033279107,19.22,0.060641383392515555,0.0795064279550772,1.0,0.0,0.9097944802412046,0.8821674504760909,0.00012111200035050881,19.93,8.104265336754888e-05,0.00011997147440029518
0.1,10.0,PYR5_bright,0.999862268383182,19.93,0.9999091635995591,0.9998634048451651,0.00013773161681795987,0.00013773161685159003,19.93,1.0,0.0,0.012789606169901097,0.2558603459494534,0.999858413204736,0.0001730298450680623,0.014449354079547939,0.01527827857392611,0.015458761437222988,0.014218948247624649,0.0126547837901999,0.011934702053512266,3.991707826605089e-06,19.96,2.1863900541245342e-06,3.9872709303895065e-06,1.2753262375724176e-05,19.97,7.6073570340919e-06,1.26364095377393e-05,0.0001211120003504813,19.93,8.104265336755251e-05,0.00011997147440027582,1.0,0.0,0.9999091635995591,0.9998634048451651
0.2,5.0,PYR2_bright,0.8174548914182196,20.0,0.865133795709579,0.8174548914182196,0.1825451085817804,0.1825368198808975,20.0,8.288700909043325e-06,20.0,0.2709725905931864,5.421145361069815,0.7938485347495137,0.9007739456582644,0.4520859817923671,0.406071624262749,0.3561494196155341,0.2811348647139673,0.2527051286486411,0.20323533996874418,1.0,0.0,0.865133795709579,0.8174548914182196,0.13318507392497206,20.0,0.0988286893068535,0.13318507392497206,0.04935174595592545,20.0,0.0360334382948358,0.04935174595592545,8.288700909043325e-06,20.0,4.0766887447586215e-06,8.288700909043325e-06
0.2,5.0,PYR3_bright,0.7584895411411303,20.0,0.8234355611177699,0.7584895411411303,0.24151045885886968,0.2414856688915333,20.0,2.478996736239539e-05,20.0,0.3543342418362342,7.088982989128497,0.7396672871279284,0.9203186618229198,0.5880845459953127,0.5297428451870839,0.4681928193094155,0.3946619709569446,0.3306924865755332,0.2490380029098888,0.1331850739249721,20.0,0.09882868930685336,0.1331850739249721,1.0,0.0,0.8234355611177699,0.7584895411411303,0.10830059496656119,20.0,0.07772264805012725,0.10830059496656119,2.478996736239539e-05,20.0,1.3101525261776466e-05,2.478996736239539e-05
0.2,5.0,PYR4_bright,0.8421536032584379,20.0,0.886124839736343,0.8421536032584379,0.1578463967415621,0.157652340922486,20.0,0.00019405581909963783,20.0,0.2625759371184279,5.253139844846848,0.8315449112920206,0.8893148189126455,0.4058480398266997,0.37477718961612333,0.3549827823533113,0.3107734130435789,0.24896737981187606,0.20093137857911886,0.0493517459559253,20.0,0.0360334382948357,0.0493517459559253,0.1083005949665607,20.0,0.07772264805012709,0.1083005949665607,1.0,0.0,0.886124839736343,0.8421536032584379,0.00019405581909963783,20.0,0.00011907391870573848,0.00019405581909963783
0.2,5.0,PYR5_bright,0.9997728655126589,20.0,0.9998637478673029,0.9997728655126589,0.00022713448734112962,0.00022713448737117487,20.0,1.0,0.0,0.01229432560427524,0.24595046488895664,0.9997723703422721,0.00027728343682309475,0.014139450253866823,0.014663999786528754,0.014391317411441038,0.012941682147033768,0.011975755277566356,0.011798090518175408,8.288700909044264e-06,20.0,4.076688744759149e-06,8.288700909044264e-06,2.47899673624022e-05,20.0,1.3101525261780716e-05,2.47899673624022e-05,0.00019405581909972842,20.0,0.00011907391870581995,0.00019405581909972842,1.0,0.0,0.9998637478673029,0.9997728655126589
0.5,2.0,PYR2_bright,0.7368754981547466,20.0,0.8117994570777202,0.7368754981547466,0.2631245018452534,0.2630978011421496,20.0,2.6700703071158528e-05,20.0,0.21071991202484863,4.215763612361119,0.7174710194446339,0.8619795325045471,0.42290133487584936,0.36146595579474944,0.3002316322562456,0.22759692999076778,0.1890510985819478,0.14836545122050182,1.0,0.0,0.8117994570777202,0.7368754981547466,0.1855520224884832,20.0,0.13616497521832768,0.1855520224884832,0.0775457786536664,20.0,0.052023959264277685,0.0775457786536664,2.6700703071158528e-05,20.0,1.1608439657557637e-05,2.6700703071158528e-05
0.5,2.0,PYR3_bright,0.6553727797994489,20.0,0.7508030371339707,0.6553727797994489,0.34462722020055114,0.344557479890947,20.0,6.974030957004722e-05,20.0,0.25713774290111563,5.1445624236346035,0.6395015696074315,0.8876214408945295,0.5479425507077957,0.4663357254145306,0.3885318015834369,0.29819628393635134,0.22503091579846096,0.15276236334433863,0.18555202248848332,20.0,0.1361649752183277,0.18555202248848332,1.0,0.0,0.7508030371339707,0.6553727797994489,0.15900545740246366,20.0,0.11299893131247327,0.15900545740246366,6.974030957004722e-05,20.0,3.305633521093394e-05,6.974030957004722e-05
0.5,2.0,PYR4_bright,0.7630457317620938,20.0,0.8347493049660708,0.7630457317620938,0.23695426823790622,0.23655123605613027,20.0,0.00040303218174228854,20.0,0.20808064956217026,4.162940267137074,0.753981726249966,0.857212623904117,0.3796629755586676,0.33004821168358606,0.2916985206051133,0.2342820567307274,0.18892502270302278,0.15070612039055067,0.07754577865366638,20.0,0.05202395926427769,0.07754577865366638,0.15900545740246388,20.0,0.11299893131247345,0.15900545740246388,1.0,0.0,0.8347493049660708,0.7630457317620938,0.00040303218174228854,20.0,0.0002278044571617418,0.00040303218174228854
0.5,2.0,PYR5_bright,0.9995005268055821,20.0,0.999727530767951,0.9995005268055821,0.0004994731944178987,0.0004994731943835082,20.0,1.0,0.0,0.011999674105951555,0.24005435312815057,0.9995005268055824,0.0006079161973812086,0.013411936661808404,0.013403466045413799,0.01276620896690055,0.01194939838128682,0.01180201988890303,0.011825146388006825,2.670070307115985e-05,20.0,1.1608439657558516e-05,2.670070307115985e-05,6.974030957004658e-05,20.0,3.305633521093328e-05,6.974030957004658e-05,0.0004030321817423017,20.0,0.00022780445716175484,0.0004030321817423017,1.0,0.0,0.999727530767951,0.9995005268055821
