hydrogen_node,attached_heavy,attached_heavy_element,hydrogen_role,end,angle_1_deg,angle_2_deg,minimum_angle_deg,maximum_angle_deg,violation_count,coordinate_modified_in_Gate3P2
H4:LOWER:0026:0,A:LOWER:7:1,B,ANNULUS_INNER_PASSIVANT_H,LOWER,98.25530654409962,84.00491868584558,84.00491868584558,98.25530654409962,0,True
H4:LOWER:0054:0,BR4:LOWER:00:1,B,BRIDGE_PASSIVANT_H,LOWER,135.41727372734493,89.08368671107618,89.08368671107618,135.41727372734493,0,False
H4:LOWER:0055:0,BR4:LOWER:00:2,N,BRIDGE_PASSIVANT_H,LOWER,113.74439759444597,115.43343083481098,113.74439759444597,115.43343083481098,0,False
H4:LOWER:0056:0,BR4:LOWER:00:3,B,BRIDGE_PASSIVANT_H,LOWER,122.6333267425181,107.59862946654002,107.59862946654002,122.6333267425181,0,False
H4:LOWER:0057:0,BR4:LOWER:00:4,N,BRIDGE_PASSIVANT_H,LOWER,100.27057682966912,124.64995502877159,100.27057682966912,124.64995502877159,0,False
H4:LOWER:0058:0,BR4:LOWER:01:1,B,BRIDGE_PASSIVANT_H,LOWER,77.17501813754102,132.57191966014335,77.17501813754102,132.57191966014335,0,False
H4:LOWER:0059:0,BR4:LOWER:01:2,N,BRIDGE_PASSIVANT_H,LOWER,117.74119021370237,109.61349235302428,109.61349235302428,117.74119021370237,0,False
H4:LOWER:0060:0,BR4:LOWER:01:3,B,BRIDGE_PASSIVANT_H,LOWER,101.54965098482803,129.27648117440197,101.54965098482803,129.27648117440197,0,False
H4:LOWER:0061:0,BR4:LOWER:01:4,N,BRIDGE_PASSIVANT_H,LOWER,86.49027912801907,137.05083555704755,86.49027912801907,137.05083555704755,0,False
H4:LOWER:0062:0,BR4:LOWER:02:1,B,BRIDGE_PASSIVANT_H,LOWER,114.95272500486982,127.69389621829804,114.95272500486982,127.69389621829804,0,False
H4:LOWER:0063:0,BR4:LOWER:02:2,N,BRIDGE_PASSIVANT_H,LOWER,114.79264116940215,109.93777718273641,109.93777718273641,114.79264116940215,0,False
H4:LOWER:0064:0,BR4:LOWER:02:3,B,BRIDGE_PASSIVANT_H,LOWER,103.69179364728365,123.31600981579811,103.69179364728365,123.31600981579811,0,False
H4:LOWER:0065:0,BR4:LOWER:02:4,N,BRIDGE_PASSIVANT_H,LOWER,74.48848016613627,142.7509812627271,74.48848016613627,142.7509812627271,0,False
H4:LOWER:0066:0,BR4:LOWER:03:1,B,BRIDGE_PASSIVANT_H,LOWER,116.61369373428224,81.28223297579423,81.28223297579423,116.61369373428224,0,False
H4:LOWER:0067:0,BR4:LOWER:03:2,N,BRIDGE_PASSIVANT_H,LOWER,96.39455998775074,126.78554153650637,96.39455998775074,126.78554153650637,0,False
H4:LOWER:0068:0,BR4:LOWER:03:3,B,BRIDGE_PASSIVANT_H,LOWER,99.49565354286968,137.13205078445569,99.49565354286968,137.13205078445569,0,False
H4:LOWER:0069:0,BR4:LOWER:03:4,N,BRIDGE_PASSIVANT_H,LOWER,78.05132120754816,90.97868698008823,78.05132120754816,90.97868698008823,0,False
H4:LOWER:0070:0,BR4:LOWER:04:1,B,BRIDGE_PASSIVANT_H,LOWER,72.78334217377916,150.4548868330519,72.78334217377916,150.4548868330519,0,False
H4:LOWER:0071:0,BR4:LOWER:04:2,N,BRIDGE_PASSIVANT_H,LOWER,123.66418990157506,83.25126300133756,83.25126300133756,123.66418990157506,0,False
H4:LOWER:0072:0,BR4:LOWER:04:3,B,BRIDGE_PASSIVANT_H,LOWER,133.09996234607985,114.37211822558247,114.37211822558247,133.09996234607985,0,False
H4:LOWER:0073:0,BR4:LOWER:04:4,N,BRIDGE_PASSIVANT_H,LOWER,71.05350621749756,138.77593018917923,71.05350621749756,138.77593018917923,0,False
H4:LOWER:0074:0,BR4:LOWER:05:1,B,BRIDGE_PASSIVANT_H,LOWER,87.94153317343081,143.76267657379015,87.94153317343081,143.76267657379015,0,False
H4:LOWER:0075:0,BR4:LOWER:05:2,N,BRIDGE_PASSIVANT_H,LOWER,131.79504190633983,97.97471997926563,97.97471997926563,131.79504190633983,0,False
H4:LOWER:0076:0,BR4:LOWER:05:3,B,BRIDGE_PASSIVANT_H,LOWER,128.01494040936802,104.0020762723114,104.0020762723114,128.01494040936802,0,False
H4:LOWER:0077:0,BR4:LOWER:05:4,N,BRIDGE_PASSIVANT_H,LOWER,124.15771057877748,102.36226577825875,102.36226577825875,124.15771057877748,0,False
H4:LOWER:0078:0,BR4:LOWER:06:1,B,BRIDGE_PASSIVANT_H,LOWER,143.4744056170108,90.9737918800415,90.9737918800415,143.4744056170108,0,False
H4:LOWER:0079:0,BR4:LOWER:06:2,N,BRIDGE_PASSIVANT_H,LOWER,111.50922726518968,107.46960283684679,107.46960283684679,111.50922726518968,0,False
H4:LOWER:0080:0,BR4:LOWER:06:3,B,BRIDGE_PASSIVANT_H,LOWER,142.58339328285157,106.30134283262878,106.30134283262878,142.58339328285157,0,False
H4:LOWER:0081:0,BR4:LOWER:06:4,N,BRIDGE_PASSIVANT_H,LOWER,106.04500204843413,105.81965152094928,105.81965152094928,106.04500204843413,0,False
H4:LOWER:0082:0,BR4:LOWER:07:1,B,BRIDGE_PASSIVANT_H,LOWER,107.22040609989365,129.98656760476348,107.22040609989365,129.98656760476348,0,False
H4:LOWER:0083:0,BR4:LOWER:07:2,N,BRIDGE_PASSIVANT_H,LOWER,114.80577567377081,110.46715000241,110.46715000241,114.80577567377081,0,False
H4:LOWER:0084:0,BR4:LOWER:07:3,B,BRIDGE_PASSIVANT_H,LOWER,126.8557693200559,108.35927744808001,108.35927744808001,126.8557693200559,0,False
H4:LOWER:0085:0,BR4:LOWER:07:4,N,BRIDGE_PASSIVANT_H,LOWER,138.47329866121268,105.09879485397498,105.09879485397498,138.47329866121268,0,False
H4:LOWER:0086:0,BR4:LOWER:08:1,B,BRIDGE_PASSIVANT_H,LOWER,143.90482041437417,77.62920374181036,77.62920374181036,143.90482041437417,0,False
H4:LOWER:0087:0,BR4:LOWER:08:2,N,BRIDGE_PASSIVANT_H,LOWER,102.42646345724616,114.70028591401096,102.42646345724616,114.70028591401096,0,False
H4:LOWER:0088:0,BR4:LOWER:08:3,B,BRIDGE_PASSIVANT_H,LOWER,132.57595083865465,120.4418644559751,120.4418644559751,132.57595083865465,0,False
H4:LOWER:0089:0,BR4:LOWER:08:4,N,BRIDGE_PASSIVANT_H,LOWER,122.34573776072861,71.5240187678153,71.5240187678153,122.34573776072861,0,False
H4:LOWER:0090:0,BR4:LOWER:09:1,B,BRIDGE_PASSIVANT_H,LOWER,138.4536016246007,105.22415669441695,105.22415669441695,138.4536016246007,0,False
H4:LOWER:0091:0,BR4:LOWER:09:2,N,BRIDGE_PASSIVANT_H,LOWER,101.55738389278487,128.4204690366063,101.55738389278487,128.4204690366063,0,False
H4:LOWER:0092:0,BR4:LOWER:09:3,B,BRIDGE_PASSIVANT_H,LOWER,95.74654195000196,141.76369207070934,95.74654195000196,141.76369207070934,0,False
H4:LOWER:0093:0,BR4:LOWER:09:4,N,BRIDGE_PASSIVANT_H,LOWER,100.4373075701154,131.90373101600105,100.4373075701154,131.90373101600105,0,False
