file,line_number,section
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000_improperGeo150.itp,4,moleculetype
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000_improperGeo150.itp,8,atoms
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000_improperGeo150.itp,1691,bonds
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000_improperGeo150.itp,4154,angles
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000_improperGeo150.itp,9017,dihedrals
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000_improperGeo150.itp,10641,position_restraints
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000_improperGeo200.itp,4,moleculetype
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000_improperGeo200.itp,8,atoms
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000_improperGeo200.itp,1691,bonds
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000_improperGeo200.itp,4154,angles
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000_improperGeo200.itp,9017,dihedrals
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000_improperGeo200.itp,10641,position_restraints
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_fixed_dummy.itp,4,moleculetype
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_fixed_dummy.itp,8,atoms
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_fixed_dummy.itp,1692,position_restraints
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032.top,4,defaults
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032.top,8,atomtypes
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032.top,26,system
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032.top,29,molecules
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded.top,4,defaults
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded.top,8,atomtypes
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded.top,26,system
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded.top,29,molecules
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded_kang2000.top,4,defaults
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded_kang2000.top,8,atomtypes
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded_kang2000.top,26,system
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded_kang2000.top,29,molecules
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded_kang2000_improper100.top,4,defaults
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded_kang2000_improper100.top,8,atomtypes
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded_kang2000_improper100.top,26,system
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded_kang2000_improper100.top,29,molecules
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded_kang2000_improperGeo100.top,4,defaults
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded_kang2000_improperGeo100.top,8,atomtypes
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded_kang2000_improperGeo100.top,26,system
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded_kang2000_improperGeo100.top,29,molecules
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded_kang2000_improperGeo150.top,4,defaults
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded_kang2000_improperGeo150.top,8,atomtypes
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded_kang2000_improperGeo150.top,26,system
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded_kang2000_improperGeo150.top,29,molecules
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded_kang2000_improperGeo200.top,4,defaults
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded_kang2000_improperGeo200.top,8,atomtypes
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded_kang2000_improperGeo200.top,26,system
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded_kang2000_improperGeo200.top,29,molecules
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/pyrene.itp,1,moleculetype
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/pyrene.itp,5,atoms
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/pyrene.itp,35,bonds
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/pyrene.itp,67,pairs
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/pyrene.itp,134,angles
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/pyrene.itp,185,dihedrals
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/pyrene.itp,282,position_restraints
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/tip4p2005.itp,5,moleculetype
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/tip4p2005.itp,9,atoms
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/tip4p2005.itp,16,settles
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/tip4p2005.itp,20,virtual_sites3
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/tip4p2005.itp,24,exclusions
parameters/phase1A/accepted/pyrene_gromacs/pyrene.itp,1,moleculetype
parameters/phase1A/accepted/pyrene_gromacs/pyrene.itp,5,atoms
parameters/phase1A/accepted/pyrene_gromacs/pyrene.itp,35,bonds
parameters/phase1A/accepted/pyrene_gromacs/pyrene.itp,67,pairs
parameters/phase1A/accepted/pyrene_gromacs/pyrene.itp,134,angles
parameters/phase1A/accepted/pyrene_gromacs/pyrene.itp,185,dihedrals
parameters/phase1A/accepted/pyrene_gromacs/pyrene.top,17,defaults
parameters/phase1A/accepted/pyrene_gromacs/pyrene.top,21,atomtypes
parameters/phase1A/accepted/pyrene_gromacs/pyrene.top,27,moleculetype
parameters/phase1A/accepted/pyrene_gromacs/pyrene.top,31,atoms
parameters/phase1A/accepted/pyrene_gromacs/pyrene.top,61,bonds
parameters/phase1A/accepted/pyrene_gromacs/pyrene.top,93,pairs
parameters/phase1A/accepted/pyrene_gromacs/pyrene.top,160,angles
parameters/phase1A/accepted/pyrene_gromacs/pyrene.top,211,dihedrals
