time_ps,temperature_K,potential_kJ_mol,total_energy_kJ_mol,CAP_SOL_LJ_kJ_mol
2.3,298.539855957031,-763308.9375,-639959.8125,38.498767852783
2.35,298.312042236328,-763460.75,-640205.75,30.418319702148
2.4,300.185699462891,-763483.75,-639454.625,34.23588180542
2.45,299.780609130859,-763463.375,-639601.625,35.314453125
2.5,299.36865234375,-764192.1875,-640500.625,43.441867828369
2.55,298.130126953125,-764471.8125,-641292.0,38.821571350098
2.6,298.583679199219,-764287.5,-640920.25,29.787075042725
2.65,300.749877929688,-764740.875,-640478.625,41.35181427002
2.7,299.735687255859,-764336.5625,-640493.375,41.280044555664
2.75,302.781951904297,-765707.125,-640605.25,31.050651550293
2.8,300.81591796875,-765095.1875,-640805.625,33.577522277832
2.85,300.744262695312,-764858.8125,-640598.875,38.946250915527
2.9,300.679229736328,-764712.25,-640479.1875,39.533855438232
2.95,302.776580810547,-765857.375,-640757.75,36.596714019775
3.0,301.830383300781,-765506.625,-640797.9375,35.181640625
3.05,299.979370117188,-765632.0,-641688.125,34.986915588379
3.1,299.773284912109,-764943.9375,-641085.1875,35.133632659912
3.15,299.028503417969,-764933.1875,-641382.1875,28.424015045166
3.2,299.481292724609,-764868.125,-641130.0,40.235473632812
3.25,301.506591796875,-765458.9375,-640884.0,33.403549194336
3.3,302.069702148438,-765665.5,-640857.9375,33.551063537598
3.35,300.423675537109,-765908.8125,-641781.3125,30.990386962891
3.4,299.776611328125,-765925.5625,-642065.4375,25.932765960693
3.45,298.873229980469,-765978.6875,-642491.8125,25.748546600342
3.5,299.482208251953,-766949.875,-643211.375,23.643712997437
3.55,301.892944335938,-767156.0625,-642421.5,16.819206237793
3.6,298.991180419922,-766501.9375,-642966.3125,17.185684204102
3.65,300.141143798828,-767261.8125,-643251.0625,22.06685256958
3.7,297.888946533203,-766543.75,-643463.5625,20.901317596436
3.75,299.724029541016,-767617.25,-643778.875,24.67805480957
3.8,300.730377197266,-767278.3125,-643024.125,25.502750396729
3.85,297.028045654297,-766649.5,-643925.0,23.325788497925
3.9,299.833984375,-767359.375,-643475.5625,19.836763381958
3.95,297.785705566406,-767023.625,-643986.125,16.740041732788
4.0,299.982208251953,-768068.0,-644122.9375,17.629558563232
4.05,298.727691650391,-767980.6875,-644553.9375,19.766929626465
4.1,299.242889404297,-767685.0,-644045.375,26.313766479492
4.15,300.010528564453,-767885.9375,-643929.1875,29.551212310791
4.2,298.407989501953,-767831.125,-644536.5,47.902645111084
4.25,299.503784179688,-768305.5,-644558.125,35.063537597656
4.3,299.604248046875,-769011.8125,-645222.875,30.938678741455
4.35,298.968170166016,-768465.0625,-644939.0,31.541439056396
4.4,299.182159423828,-767933.5,-644319.0,29.225421905518
4.45,299.680969238281,-768204.0625,-644383.4375,26.371932983398
4.5,298.755584716797,-768041.1875,-644602.9375,31.771154403687
4.55,300.062896728516,-767910.6875,-643932.25,36.751251220703
4.6,299.823333740234,-767833.625,-643954.1875,23.259149551392
