end,cycle_id,cycle_length,node_ids,layer_sequence,element_sequence
LOWER,LOWER_C00064,6,LOWER:L1:2 | LOWER:L2:2 | LOWER:L3:2 | LOWER:L2:3 | LOWER:L1:3 | LOWER:P:50,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00065,6,LOWER:L1:2 | LOWER:L2:2 | LOWER:L3:2 | LOWER:L2:3 | LOWER:L1:3 | LOWER:P:52,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00066,6,LOWER:L1:2 | LOWER:L2:2 | LOWER:L3:3 | LOWER:L2:3 | LOWER:L1:3 | LOWER:P:50,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00067,6,LOWER:L1:2 | LOWER:L2:2 | LOWER:L3:3 | LOWER:L2:3 | LOWER:L1:3 | LOWER:P:52,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00068,6,LOWER:L1:20 | LOWER:L2:20 | LOWER:L3:20 | LOWER:L2:21 | LOWER:L1:21 | LOWER:P:26,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00069,6,LOWER:L1:20 | LOWER:L2:20 | LOWER:L3:20 | LOWER:L2:21 | LOWER:L1:21 | LOWER:P:28,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00070,6,LOWER:L1:20 | LOWER:L2:20 | LOWER:L3:21 | LOWER:L2:21 | LOWER:L1:21 | LOWER:P:26,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00071,6,LOWER:L1:20 | LOWER:L2:20 | LOWER:L3:21 | LOWER:L2:21 | LOWER:L1:21 | LOWER:P:28,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00072,6,LOWER:L1:22 | LOWER:L2:22 | LOWER:L3:22 | LOWER:L2:23 | LOWER:L1:23 | LOWER:P:30,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00073,6,LOWER:L1:22 | LOWER:L2:22 | LOWER:L3:22 | LOWER:L2:23 | LOWER:L1:23 | LOWER:P:32,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00074,6,LOWER:L1:22 | LOWER:L2:22 | LOWER:L3:23 | LOWER:L2:23 | LOWER:L1:23 | LOWER:P:30,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00075,6,LOWER:L1:22 | LOWER:L2:22 | LOWER:L3:23 | LOWER:L2:23 | LOWER:L1:23 | LOWER:P:32,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
