lower_H,upper_H,hydrogen_role,lower_attached_heavy,upper_attached_heavy,pair_status,symmetry_deviation_nm,lower_x_nm,lower_y_nm,lower_z_nm,upper_x_nm,upper_y_nm,upper_z_nm,transformed_lower_x_nm,transformed_lower_y_nm,transformed_lower_z_nm,candidate_count
H4:LOWER:0068:0,H4:UPPER:0128:0,BRIDGE_PASSIVANT_H,BR4:LOWER:03:3,BR4:UPPER:03:3,UNIQUE,0.561165459367343,4.8256486396878975,3.474746982937585,1.4647175360393363,4.88912076918527,3.6866928901280067,8.530400461136162,4.838902504729648,3.8303790056772264,7.990271681213816,
H4:LOWER:0069:0,H4:UPPER:0129:0,BRIDGE_PASSIVANT_H,BR4:LOWER:03:4,BR4:UPPER:03:4,UNIQUE,0.33425763013007004,4.8280236560132925,3.331081644026451,1.6919380157247155,4.649236747813382,3.717566892767893,8.454209564737488,4.883725959714173,3.6934259709703996,8.217228154713233,
H4:LOWER:0070:0,H4:UPPER:0130:0,BRIDGE_PASSIVANT_H,BR4:LOWER:04:1,BR4:UPPER:04:1,UNIQUE,0.4675645503179745,4.904105824623279,4.125679495820566,1.7996802571125192,5.007056014935541,4.173805559776967,8.120333503000076,4.713039034824645,4.472914398501069,8.326984239068539,
H4:LOWER:0071:0,H4:UPPER:0131:0,BRIDGE_PASSIVANT_H,BR4:LOWER:04:2,BR4:UPPER:04:2,UNIQUE,0.15015249805567168,5.074882178832054,3.956528409619738,1.8383618640520756,4.9265405450347615,4.214242210804816,8.379706299919592,4.927072409090455,4.363808580362276,8.366462777337365,
H4:LOWER:0072:0,H4:UPPER:0132:0,BRIDGE_PASSIVANT_H,BR4:LOWER:04:3,BR4:UPPER:04:3,UNIQUE,0.32078798148237264,5.067472960905289,3.798686256373667,1.6361577253379709,5.004816924783912,3.9530532417515154,8.349890984123332,4.9693392556137095,4.212009988002874,8.163913384330524,
H4:LOWER:0073:0,H4:UPPER:0133:0,BRIDGE_PASSIVANT_H,BR4:LOWER:04:4,BR4:UPPER:04:4,UNIQUE,0.23807447536650303,5.001213446839509,3.718599595024708,1.8692809827478465,4.733234601069394,3.9986683498117706,8.465469552865672,4.929365535606619,4.114631743653113,8.396443444563175,
H4:LOWER:0074:0,H4:UPPER:0134:0,BRIDGE_PASSIVANT_H,BR4:LOWER:05:1,BR4:UPPER:05:1,UNIQUE,0.21803136761513803,4.669661116838858,4.540500173532908,1.7701812684943403,4.512442578031507,4.653709975017061,8.226613817149973,4.363341319969189,4.796499715468648,8.296739291338245,
H4:LOWER:0075:0,H4:UPPER:0135:0,BRIDGE_PASSIVANT_H,BR4:LOWER:05:2,BR4:UPPER:05:2,UNIQUE,0.7082163080759719,4.579789958705449,4.772874904764659,1.911241279127355,4.7713176904240635,4.6220450082549585,8.221387094254387,4.206035466425972,4.98981772103914,8.437649846451558,
H4:LOWER:0076:0,H4:UPPER:0136:0,BRIDGE_PASSIVANT_H,BR4:LOWER:05:3,BR4:UPPER:05:3,UNIQUE,0.8958417551198887,4.533743243140639,4.827224768956426,1.6526441029156516,4.7866274184117055,4.4492078026063995,8.419486820603687,4.147063608028512,5.028508630924452,8.178860278064358,
H4:LOWER:0077:0,H4:UPPER:0137:0,BRIDGE_PASSIVANT_H,BR4:LOWER:05:4,BR4:UPPER:05:4,UNIQUE,1.1322284959617284,4.260072545879132,4.863796140133575,1.6460468055181348,4.828199469226275,4.368533870990696,8.153367386541504,3.8753316272607683,4.979835311055404,8.170536899946626,
