lower_H,upper_H,hydrogen_role,lower_attached_heavy,upper_attached_heavy,pair_status,symmetry_deviation_nm,lower_x_nm,lower_y_nm,lower_z_nm,upper_x_nm,upper_y_nm,upper_z_nm,transformed_lower_x_nm,transformed_lower_y_nm,transformed_lower_z_nm,candidate_count
H4:LOWER:0108:0,H4:UPPER:0168:0,BRIDGE_PASSIVANT_H,BR4:LOWER:13:3,BR4:UPPER:13:3,UNIQUE,0.4591909724380812,2.8144595467321376,2.7331092143829845,1.5378234835437066,3.0260589939753477,2.6286991881175155,8.474785059938434,3.149665200423202,2.5100347435048094,8.04876087696174,
H4:LOWER:0109:0,H4:UPPER:0169:0,BRIDGE_PASSIVANT_H,BR4:LOWER:13:4,BR4:UPPER:13:4,UNIQUE,0.3101251173030891,2.8930864897664295,2.976946070333603,1.6032548890931095,3.2134454272730526,2.7892330722078826,8.417792830190441,3.1497443405508734,2.7659827725180453,8.115172302966988,
H4:LOWER:0110:0,H4:UPPER:0170:0,BRIDGE_PASSIVANT_H,BR4:LOWER:14:1,BR4:UPPER:14:1,UNIQUE,0.3792763447971299,3.469596446360208,2.3992212781912614,1.7582422802340505,3.5547439480127863,2.338774395176883,8.075205089526742,3.874189248305115,2.3911864357189314,8.272836625092385,
H4:LOWER:0111:0,H4:UPPER:0171:0,BRIDGE_PASSIVANT_H,BR4:LOWER:14:2,BR4:UPPER:14:2,UNIQUE,0.2617308532987104,3.2489290650910716,2.4251432584838284,1.8975144563599526,3.415694489841118,2.283859546220614,8.327319954751404,3.6553542426376597,2.347991214511023,8.410706833696839,
H4:LOWER:0112:0,H4:UPPER:0172:0,BRIDGE_PASSIVANT_H,BR4:LOWER:14:3,BR4:UPPER:14:3,UNIQUE,0.3780760821050088,3.1854822524402575,2.4491860902109006,1.6488585709147607,3.478837460297081,2.497905132340391,8.492826228332659,3.5890068378934017,2.3524728162199757,8.161686267700052,
H4:LOWER:0113:0,H4:UPPER:0173:0,BRIDGE_PASSIVANT_H,BR4:LOWER:14:4,BR4:UPPER:14:4,UNIQUE,0.16731697447462543,2.9939064970028006,2.60510214170168,1.6646259359198992,3.288496581445315,2.52416036572899,8.304388083167355,3.358897948145481,2.442419105922038,8.176493658115817,
H4:LOWER:0174:0,,SEED_PASSIVANT_H,S:1681,,UNRESOLVED,,,,,,,,,,,0
H4:LOWER:0175:0,,SEED_PASSIVANT_H,S:1683,,UNRESOLVED,,,,,,,,,,,0
H4:LOWER:0176:0,,SEED_PASSIVANT_H,S:1685,,UNRESOLVED,,,,,,,,,,,0
H4:LOWER:0177:0,,SEED_PASSIVANT_H,S:1687,,UNRESOLVED,,,,,,,,,,,0
H4:LOWER:0178:0,,SEED_PASSIVANT_H,S:1689,,UNRESOLVED,,,,,,,,,,,0
H4:LOWER:0179:0,,SEED_PASSIVANT_H,S:1691,,UNRESOLVED,,,,,,,,,,,0
H4:LOWER:0180:0,,SEED_PASSIVANT_H,S:1693,,UNRESOLVED,,,,,,,,,,,0
H4:LOWER:0181:0,,SEED_PASSIVANT_H,S:1695,,UNRESOLVED,,,,,,,,,,,0
H4:LOWER:0182:0,,SEED_PASSIVANT_H,S:1697,,UNRESOLVED,,,,,,,,,,,0
H4:LOWER:0183:0,,SEED_PASSIVANT_H,S:1699,,UNRESOLVED,,,,,,,,,,,0
H4:LOWER:0184:0,,SEED_PASSIVANT_H,S:1701,,UNRESOLVED,,,,,,,,,,,0
H4:LOWER:0185:0,,SEED_PASSIVANT_H,S:1703,,UNRESOLVED,,,,,,,,,,,0
H4:LOWER:0186:0,,SEED_PASSIVANT_H,S:1705,,UNRESOLVED,,,,,,,,,,,0
H4:LOWER:0187:0,,SEED_PASSIVANT_H,S:1707,,UNRESOLVED,,,,,,,,,,,0
H4:LOWER:0188:0,,SEED_PASSIVANT_H,S:1709,,UNRESOLVED,,,,,,,,,,,0
