atom,name,displacement_nm
890,N0890,0.20034
891,B0891,0.05849
892,N0892,0.08692
893,B0893,0.09825
894,N0894,0.10305
895,B0895,0.15446
896,N0896,0.17938
897,B0897,0.11045
898,N0898,0.23097
899,B0899,0.08698
900,N0900,0.13572
901,B0901,0.23297
902,N0902,0.18963
903,B0903,0.10172
904,N0904,0.18822
905,B0905,0.14327
906,N0906,0.15906
907,B0907,0.05471
908,N0908,0.23166
909,B0909,0.20092
910,N0910,0.17487
911,B0911,0.17085
912,N0912,0.13623
913,B0913,0.19234
914,N0914,0.14384
915,B0915,0.19603
916,N0916,0.13058
917,B0917,0.15500
918,N0918,0.12293
919,B0919,0.30062
920,N0920,0.16583
921,B0921,0.11502
922,N0922,0.06537
923,B0923,0.10469
924,N0924,0.17632
925,B0925,0.20083
926,N0926,0.11003
927,B0927,0.15239
928,N0928,0.17154
929,B0929,0.09075
930,N0930,0.10124
931,B0931,0.09096
932,N0932,0.20151
933,B0933,0.11064
934,N0934,0.22851
935,B0935,0.07832
936,N0936,0.11564
937,B0937,0.11642
938,N0938,0.12121
939,B0939,0.24390
940,N0940,0.08977
941,B0941,0.18180
942,N0942,0.18851
943,B0943,0.11560
944,N0944,0.19205
945,B0945,0.11688
946,N0946,0.11680
947,B0947,0.15203
948,N0948,0.16611
949,B0949,0.23207
950,N0950,0.13604
951,B0951,0.15647
952,N0952,0.06633
953,B0953,0.16046
954,N0954,0.07286
955,B0955,0.04601
956,N0956,0.08646
957,B0957,0.02404
958,N0958,0.15834
959,B0959,0.11806
960,N0960,0.25242
961,B0961,0.14137
962,N0962,0.15526
963,B0963,0.09394
964,N0964,0.13821
965,B0965,0.18237
966,N0966,0.11162
967,B0967,0.11765
968,N0968,0.24036
969,B0969,0.20698
970,N0970,0.12042
971,B0971,0.09805
972,N0972,0.08773
973,B0973,0.03913
974,N0974,0.17608
975,B0975,0.04738
976,N0976,0.15752
977,B0977,0.16227
978,N0978,0.18971
979,B0979,0.17570
980,N0980,0.25487
981,B0981,0.15247
982,N0982,0.05752
983,B0983,0.08986
984,N0984,0.16166
985,B0985,0.09039
986,N0986,0.10102
987,B0987,0.19159
988,N0988,0.09012
989,B0989,0.10612
990,N0990,0.09505
991,B0991,0.19668
992,N0992,0.11981
993,B0993,0.15294
994,N0994,0.15923
995,B0995,0.14975
996,N0996,0.02594
997,B0997,0.07632
998,N0998,0.17299
999,B0999,0.17614
1000,N1000,0.15514
1001,B1001,0.07567
1002,N1002,0.09632
1003,B1003,0.20976
1004,N1004,0.15275
1005,B1005,0.04575
1006,N1006,0.11290
1007,B1007,0.17926
1008,N1008,0.01425
1009,B1009,0.17004
1010,N1010,0.05744
1011,B1011,0.18724
1012,N1012,0.15138
1013,B1013,0.16592
1014,N1014,0.04052
1015,B1015,0.15894
1016,N1016,0.09803
1017,B1017,0.09626
1018,N1018,0.16644
1019,B1019,0.08852
1020,N1020,0.13609
