frame,time_ps,cluster,embedded_tracked_root,embedded_tracked_energy_eV,embedded_tracked_fosc,embedded_HOMO_LUMO_weight,vacuum_tracked_root,vacuum_tracked_energy_eV,vacuum_tracked_fosc,vacuum_HOMO_LUMO_weight,solvent_shift_eV,solvent_shift_meV
17,85.0,PYR5,1,3.756,0.658947702,0.866801,1,3.78,0.664486314,0.877731,-0.02400000000000002,-24.00000000000002
18,90.0,PYR2,2,4.087,0.501314575,0.842501,2,4.09,0.505315135,0.846347,-0.0030000000000001137,-3.0000000000001137
18,90.0,PYR3,2,4.089,0.514666779,0.847292,2,4.081,0.514410671,0.848738,0.008000000000000007,8.000000000000007
18,90.0,PYR4,2,4.088,0.513302479,0.84913,2,4.089,0.518148235,0.849718,-0.001000000000000334,-1.000000000000334
18,90.0,PYR5,1,3.753,0.647780357,0.871044,1,3.78,0.664486314,0.877731,-0.02699999999999969,-26.99999999999969
19,95.0,PYR2,2,4.085,0.505899823,0.842362,2,4.09,0.505315135,0.846347,-0.004999999999999893,-4.999999999999893
19,95.0,PYR3,2,4.079,0.506260518,0.846609,2,4.081,0.514410671,0.848738,-0.002000000000000668,-2.000000000000668
19,95.0,PYR4,2,4.088,0.509308271,0.847765,2,4.089,0.518148235,0.849718,-0.001000000000000334,-1.000000000000334
19,95.0,PYR5,1,3.781,0.649181293,0.861175,1,3.78,0.664486314,0.877731,0.001000000000000334,1.000000000000334
20,100.0,PYR2,2,4.078,0.476937983,0.825551,2,4.09,0.505315135,0.846347,-0.011999999999999567,-11.999999999999567
20,100.0,PYR3,2,4.066,0.499580956,0.845965,2,4.081,0.514410671,0.848738,-0.015000000000000568,-15.000000000000568
20,100.0,PYR4,2,4.083,0.521661364,0.849818,2,4.089,0.518148235,0.849718,-0.006000000000000227,-6.000000000000227
20,100.0,PYR5,1,3.768,0.670424221,0.878432,1,3.78,0.664486314,0.877731,-0.01200000000000001,-12.00000000000001
