time_fs,PYR2,PYR3,PYR4,PYR5,X1,X2,X3,X4,purity,trace_real,trace_imag
170.0,0.3039727895168056,0.17860043083966026,0.26955467405129585,0.24787210559223818,0.5307048917731669,0.3048364533392857,0.13154069908512028,0.03291795580242741,0.3939293587111381,0.9999999999999999,-2.763817316497052e-15
180.0,0.30450312122583506,0.1711310078410678,0.28046815892291305,0.24389771201018387,0.5317361660340015,0.3053871811509773,0.13057687032479515,0.032299782490226255,0.3947790574847274,0.9999999999999998,-2.658682477525003e-15
190.0,0.3049141955580703,0.16366455186330733,0.2887953504341798,0.24262590214444224,0.5325921500194888,0.3057800007346178,0.12979539213840405,0.0318324571074895,0.3954948556675264,0.9999999999999997,-2.5704455741742924e-15
200.0,0.3051976254068494,0.15934523339741385,0.2875523296564494,0.24790481153928717,0.5333026385977742,0.30605603515735413,0.12916297512591254,0.031478351118959476,0.3960935469776965,0.9999999999999998,-2.7503310323711203e-15
210.0,0.3053686534103877,0.15806706346961968,0.28133269969597274,0.2552315834240197,0.5338923622706832,0.3062462449852052,0.12865199417234488,0.031209398571767032,0.39659162650090013,0.9999999999999998,-2.4339619717449393e-15
220.0,0.3054583632148203,0.15822084023753402,0.2780001187364316,0.258320677811214,0.5343818479866034,0.30637386038802117,0.12823966373902165,0.03100462788635405,0.39700434931964645,0.9999999999999998,-2.5667239607424484e-15
230.0,0.3054967160800432,0.1587643288186505,0.2799841608327329,0.25575479426857334,0.5347881336371422,0.306456243304243,0.12790728409021468,0.030848338968400443,0.3973453184232981,1.0,-2.60394048958617e-15
240.0,0.30550450324231293,0.15966163512596818,0.28373856491208593,0.25109529671963304,0.5351253611076678,0.3065063113142951,0.12763957245322263,0.03072875512481495,0.39762637672289847,1.0,-3.0068127487623143e-15
250.0,0.3054957979118554,0.1610334124092493,0.28516470639140895,0.24830608328748652,0.5354052685243378,0.30653362476977386,0.12742408198937852,0.030637024716510388,0.3978576656857769,1.0000000000000002,-3.1047249201635825e-15
260.0,0.30548225730384665,0.16247513176340536,0.28376190217060476,0.2482807087621434,0.5356375988317911,0.3065452154573415,0.12725070498174548,0.030566480729122436,0.3980477676489697,1.0000000000000002,-3.722437859889533e-15
270.0,0.3054732249572553,0.1632807019986316,0.28191279389307916,0.24933327915103415,0.5358304389229968,0.3065462170964034,0.1271112531942608,0.03051209078633967,0.3982038828596528,1.0000000000000002,-3.1317166412128793e-15
280.0,0.30547311288069795,0.16309882124253514,0.281618263964255,0.24980980191251204,0.5359905011257573,0.3065403440853201,0.12699910682191348,0.030470047967009705,0.39833201320790074,1.0,-3.3050839372897916e-15
290.0,0.3054805548398108,0.16221384723727475,0.2826920132747451,0.24961358464816943,0.536123356843622,0.3065302541930756,0.12690892309419724,0.030437465869105635,0.39843713747768433,1.0,-3.4117545702202885e-15
