time_fs,PYR2,PYR3,PYR4,PYR5,X1,X2,X3,X4,purity,trace_real,trace_imag
2760.0,0.16616222769275837,0.21650816153275548,0.331384664998014,0.2859449457764744,0.4506473423369406,0.16482868565830155,0.1964005867389275,0.1881233852658329,0.30508985208295814,1.0000000000000022,-6.535029098762332e-16
2770.0,0.16656103540611653,0.2161263310925779,0.3175651185773659,0.29974751492394197,0.4508076424007997,0.1652206825571428,0.19632310670370418,0.18764856833835586,0.30513426283818806,1.0000000000000022,-1.398166830752764e-15
2780.0,0.1668864452451713,0.217543358694994,0.3052132164740634,0.31035697958577374,0.45096764410557655,0.1656116273516777,0.19624552565006118,0.18717520289268733,0.30517986785652834,1.0000000000000024,-2.6066306106012633e-16
2790.0,0.16718290614453024,0.2180577561855171,0.30816101250740935,0.3065983251625458,0.4511273480065927,0.1660015228092299,0.19616784474793875,0.1867032844362414,0.30522664902242064,1.0000000000000024,9.010343398467839e-16
2800.0,0.16748607230786897,0.21797070912842412,0.3226241772778835,0.291919041285826,0.4512867546581368,0.1663903716899423,0.19609006516145006,0.1862328084904737,0.3052745885323662,1.0000000000000027,1.6363169973228892e-15
2810.0,0.16780499504318136,0.21979919103377213,0.3318646390140138,0.2805311749090352,0.4514458646134655,0.16677817674679585,0.19601218804890513,0.1857637705908363,0.30532366889506535,1.0000000000000024,2.28864254806155e-15
2820.0,0.16813347536352927,0.22454645373328952,0.32540606278941137,0.28191400811377226,0.4516046784248057,0.16716494072562782,0.19593421456283452,0.18529616628673456,0.30537387292190876,1.0000000000000024,1.967995653436758e-15
2830.0,0.16846880498724257,0.22959052969222335,0.3107381963811124,0.2912024689394242,0.4517631966433568,0.1675506663651501,0.1958561458500132,0.18482999114148269,0.3054251837211723,1.0000000000000024,1.5684644550415839e-15
2840.0,0.16881540088265318,0.2308550661788119,0.30444454870341714,0.2958849842351202,0.4519214198192916,0.16793535639696752,0.19577798305148375,0.18436524073225977,0.30547758469193936,1.0000000000000024,1.1712465750902576e-15
2850.0,0.1691744660891779,0.22696615611966137,0.31325559824861615,0.29060377954254707,0.4520793485017594,0.16831901354559647,0.19569972730258017,0.18390191065006664,0.30553105951853055,1.0000000000000024,7.127402166837033e-16
2860.0,0.16953792425755612,0.2207790374127335,0.3266774970675254,0.2830055412621874,0.4522369832388871,0.16870164052848238,0.19562137973295124,0.1834399964996819,0.30558559216213754,1.0000000000000024,4.819535624692976e-16
