lag_ps,autocorrelation,autocorrelation_normalized
0.67,-8.304305707620801e-09,-0.03843439541549061
0.68,-8.913918501938422e-09,-0.04125583528199792
0.6900000000000001,-1.0183681798887803e-08,-0.04713261611802179
0.7000000000000001,-1.1782647084080405e-08,-0.054533025759774034
0.71,-1.3098556479156588e-08,-0.06062338223291106
0.72,-1.4435427150325412e-08,-0.06681075271325383
0.73,-1.5547216612391318e-08,-0.07195639129019142
0.74,-1.6982007275286924e-08,-0.07859695988409292
0.75,-1.8355816400893646e-08,-0.08495529073293469
0.76,-1.8795724814816644e-08,-0.08699129645365399
0.77,-1.7350225382333846e-08,-0.08030116500655095
0.78,-1.485336253076545e-08,-0.06874506176153644
0.79,-1.2456069569711562e-08,-0.05764979277265968
0.8,-1.061564726998504e-08,-0.049131859920758254
0.81,-8.507532095992966e-09,-0.03937497776452309
0.8200000000000001,-6.824920747829412e-09,-0.03158743330712644
0.8300000000000001,-4.86982301805056e-09,-0.02253875399931986
0.84,-2.928021764773837e-09,-0.013551614096914343
0.85,-2.5263735820639956e-10,-0.0011692686256864241
0.86,2.631067408576706e-09,0.012177235365172914
0.87,5.417475114727405e-09,0.025073424322750285
0.88,7.282653175139242e-09,0.03370593300175758
0.89,8.912440604056857e-09,0.04124899520245802
0.9,1.0006414618182328e-08,0.04631217944850335
0.91,1.1907773124410072e-08,0.0551121402432873
0.92,1.3977033223890868e-08,0.06468919143589423
0.93,1.6431512552364344e-08,0.07604913317829969
0.94,1.76186356620409e-08,0.08154343464197347
0.95,1.9106985125190876e-08,0.08843188670493689
0.96,2.0451752040165452e-08,0.09465580296856517
0.97,2.1357649713366187e-08,0.098848523059038
0.98,2.2236931150972996e-08,0.10291805658108405
0.99,2.303304633328181e-08,0.1066026759569161
1.0,2.4420734652605602e-08,0.11302524317158441
1.01,2.566548749587672e-08,0.11878626939788707
1.02,2.5989032936296564e-08,0.12028371829124411
1.03,2.592712110691774e-08,0.11999717492265662
1.04,2.6210109191143986e-08,0.12130691426872169
1.05,2.6601153374600857e-08,0.12311676415877529
1.06,2.6657627095593273e-08,0.12337813860711896
1.07,2.531629111084378e-08,0.11717010154321629
1.08,2.5433354748706865e-08,0.11771190121977163
1.09,2.5300115505015765e-08,0.11709523681010459
1.1,2.4787288734946574e-08,0.11472174677319513
1.11,2.5249865785363646e-08,0.11686266859036108
1.12,2.6367300855378694e-08,0.12203443644720693
1.13,2.667358421263142e-08,0.12345199211968565
1.14,2.6709394903515967e-08,0.12361773291753411
1.15,2.6366926886735926e-08,0.12203270562717271
1.16,2.6467632704709205e-08,0.12249879723854888
1.17,2.6342164591549114e-08,0.12191809955676616
1.18,2.6307709618152634e-08,0.12175863335716139
1.19,2.5606455972652973e-08,0.11851305680366886
1.2,2.5698533697443932e-08,0.11893921545054126
1.21,2.6050298623516775e-08,0.1205672711529677
1.22,2.5587332875744627e-08,0.11842455034761804
1.23,2.5480560942412216e-08,0.11793038324329186
1.24,2.4879571095264294e-08,0.11514885252426005
1.25,2.4298668792480774e-08,0.11246029196434933
1.26,2.4441847923287732e-08,0.11312296064761213
1.27,2.4255077372347014e-08,0.11225854001335765
1.28,2.4336397294437084e-08,0.11263490886956419
1.29,2.4367159937295177e-08,0.11277728604367863
1.3,2.4360074619933182e-08,0.1127444934299764
1.31,2.378657052881808e-08,0.11009017363655992
1.32,2.2872194499787377e-08,0.10585821360334953
1.33,2.1691732180644907e-08,0.10039473993746886
1.34,2.061417809205483e-08,0.09540755119700099
1.35,1.9450231256640646e-08,0.090020515303818
1.36,1.8058350332629945e-08,0.08357854367028182
1.37,1.6115937744435036e-08,0.07458857435759154
1.38,1.4845759325338617e-08,0.06870987223286436
1.39,1.3735312126152497e-08,0.06357044598289179
1.4,1.2608136170031268e-08,0.058353594878694064
1.41,1.1617248062451892e-08,0.05376751788681943
1.42,9.984613025857243e-09,0.04621127624845127
1.43,9.567696445174983e-09,0.04428168245923043
1.44,8.916603732911664e-09,0.041268263199832504
1.45,8.276393094693931e-09,0.03830520888983966
1.46,8.129576401438414e-09,0.03762570466144896
1.47,8.24705540761818e-09,0.038169426766042056
1.48,8.112552008084048e-09,0.03754691152823253
1.49,8.286479430407968e-09,0.03835189096402811
1.5,8.709677986195485e-09,0.040310559298874615
1.51,8.759637867230816e-09,0.040541786073300876
1.52,8.120719484943474e-09,0.037584712645654536
1.53,7.434772799036171e-09,0.03440998051411553
1.54,7.538216545885948e-09,0.03488874394234959
1.55,6.792777090856761e-09,0.03143866445567953
1.56,5.2465687344641e-09,0.024282427022152112
1.57,4.197789657375307e-09,0.01942841620276085
1.58,3.259455831637466e-09,0.015085573518508236
1.59,2.4764317423064023e-09,0.011461542981965424
1.6,1.8385475205407945e-09,0.008509255906822817
1.61,5.701960626421885e-10,0.002639009413614718
1.62,-5.181860745129856e-10,-0.002398294232876813
1.63,-1.82257769267252e-09,-0.008435343565368033
1.64,-2.6532751916154656e-09,-0.012280018517029886
1.65,-4.008901592249055e-09,-0.01855419518538344
1.66,-5.4785531455610374e-09,-0.025356108663971623
1.67,-7.4151048471700704e-09,-0.03431895233359697
1.68,-9.57454951249591e-09,-0.04431340016188915
1.69,-1.1516495905061194e-08,-0.0533012118050763
1.7,-1.2576964852180007e-08,-0.0582093262549104
1.71,-1.2615216435661118e-08,-0.05838636411172154
1.72,-1.2203327632403813e-08,-0.05648004012884157
1.73,-1.155440799277816e-08,-0.053476678390922655
1.74,-1.066975141108426e-08,-0.049382267363094416
1.75,-9.062420068413266e-09,-0.041943137523349196
1.76,-7.45990142243119e-09,-0.034526282042721915
1.77,-5.966109849253636e-09,-0.027612642538922535
1.78,-5.73361017766221e-09,-0.02653657614318326
1.79,-5.2733492629828156e-09,-0.024406373979160158
1.8,-5.50300678428585e-09,-0.025469286195385778
1.81,-6.301410544409358e-09,-0.02916449767942844
1.82,-6.339026527900724e-09,-0.029338593821159227
1.83,-5.812980236360286e-09,-0.02690392054590113
1.84,-4.877708214853839e-09,-0.022575248654326127
1.85,-4.532945964772939e-09,-0.02097960308075536
1.86,-3.789612726194879e-09,-0.017539271688479147
1.87,-3.584917694732163e-09,-0.01659189209338494
1.88,-3.810845144014702e-09,-0.017637540607139634
1.89,-3.630469929000714e-09,-0.016802719180630765
1.9,-3.6880532910400806e-09,-0.01706922932415105
1.91,-4.343727666456555e-09,-0.020103853661913005
1.92,-4.439088704558223e-09,-0.020545208300659954
1.93,-3.5776865217674725e-09,-0.01655842442362085
1.94,-3.0153489392794684e-09,-0.013955786013705276
1.95,-2.2398907786369056e-09,-0.010366772479803924
1.96,-6.092700146561745e-10,-0.0028198533968478096
1.97,1.3745464744703381e-09,0.00636174348305602
1.98,3.0256525736837825e-09,0.014003473800361377
1.99,4.903192900045533e-09,0.022693198125622448
2.0,6.706652796535574e-09,0.031040059768019383
2.01,8.232861271070626e-09,0.03810373276634386
2.02,9.307045968325033e-09,0.04307532712439566
2.03,1.0163166905569351e-08,0.047037668081488834
2.04,1.1073890784535678e-08,0.05125272505445157
2.05,1.228113397152669e-08,0.05684014724784324
2.06,1.3388837835736414e-08,0.06196687666018094
2.07,1.5480291065774693e-08,0.07164664318931158
2.08,1.8003775691698035e-08,0.08332595863751856
2.09,2.0773722205116117e-08,0.09614596109465011
2.1,2.2692515639103823e-08,0.10502661507814362
2.11,2.4370191086732485e-08,0.11279131495833311
2.12,2.667901148832453e-08,0.12347711090352648
2.13,2.8631287857226137e-08,0.13251273225039284
2.14,2.9715857084191935e-08,0.1375323887987329
2.15,3.0218452000612807e-08,0.13985852326820553
2.16,3.009011305385873e-08,0.13926453865342586
2.17,3.078422303387289e-08,0.14247705254356607
2.18,3.18415231465463e-08,0.14737050083823094
2.19,3.257465545487701e-08,0.15076361978427308
2.2,3.269013176863506e-08,0.15129807292946823
2.21,3.287700483415589e-08,0.15216296802673582
2.22,3.288551359514017e-08,0.15220234869210145
2.23,3.3591177485281355e-08,0.15546833695638587
2.24,3.416602971706837e-08,0.1581288962806535
2.25,3.354713448003861e-08,0.15526449495702008
2.26,3.3259030088502194e-08,0.1539310760662526
2.27,3.2917319946312305e-08,0.15234955640828077
2.28,3.226884622225488e-08,0.14934825847868907
2.29,3.118360029383709e-08,0.144325469987463
2.3000000000000003,2.918993885586145e-08,0.13509830823191096
2.31,2.8663177139431328e-08,0.13266032379205123
2.32,2.8494528425626962e-08,0.1318797755342092
2.33,2.8380062984792953e-08,0.13135000096071472
2.34,2.8614793025505223e-08,0.1324363900603297
2.35,2.8072701702157282e-08,0.12992745638105277
2.36,2.7246483851166696e-08,0.1261035143559937
2.37,2.6336892226074534e-08,0.1218936977360048
2.38,2.584767283244996e-08,0.11962946851787302
2.39,2.6398758425464417e-08,0.12218002991763706
2.4,2.6945408451132717e-08,0.12471006240682428
2.41,2.7572299213850633e-08,0.12761146901502607
2.42,2.8336736103010896e-08,0.13114947335911117
2.43,2.933328517866317e-08,0.13576175072137303
2.44,3.0425181049336054e-08,0.14081531680185472
2.45,3.1274779284875325e-08,0.14474746907065345
2.46,3.212669984007814e-08,0.14869036961334436
2.47,3.1685721685871e-08,0.14664941286811803
2.48,3.0897932841855585e-08,0.14300332985999673
2.49,2.9877999257490076e-08,0.13828282316633436
2.5,2.885866188012546e-08,0.13356507586718716
2.51,2.7769953226357268e-08,0.12852626102047535
2.52,2.6897367811567893e-08,0.12448771836000613
2.53,2.531065049573933e-08,0.11714399537143697
2.54,2.390471514851317e-08,0.11063697636630611
2.5500000000000003,2.3192091261981728e-08,0.1073387755049941
2.56,2.173744615902387e-08,0.1006063156167481
2.57,2.0872329230352422e-08,0.09660233897043079
2.58,1.908446730389031e-08,0.08832766861877381
2.59,1.7280605264274363e-08,0.07997894575781643
2.6,1.573092744019812e-08,0.0728066507636058
2.61,1.371028194238106e-08,0.06345460005738462
2.62,1.198362447627592e-08,0.05546319919427656
2.63,1.0204823042411733e-08,0.04723046305932939
2.64,8.42615207526341e-09,0.03899833075684246
2.65,6.533818441213407e-09,0.030240139318590653
2.66,5.761788798112725e-09,0.026666993817916047
2.67,3.9320680033597126e-09,0.018198590196774427
2.68,1.7058630909258486e-09,0.007895159314904272
2.69,-3.086424664157161e-10,-0.0014284742173385784
2.7,-2.4431000671302963e-09,-0.011307275686337867
2.71,-5.0307689667465044e-09,-0.023283651941483102
2.72,-7.270672111091913e-09,-0.03365048165286627
2.73,-8.733386875098658e-09,-0.040420289942597214
2.74,-1.0889390464229563e-08,-0.050398811613087964
2.75,-1.2126043551062904e-08,-0.05612235014894915
2.76,-1.2922142954059323e-08,-0.05980689649419282
2.77,-1.3682477251375883e-08,-0.0633259130212706
2.78,-1.4647452645894127e-08,-0.0677920595222475
2.79,-1.492820582375099e-08,-0.06909145516492042
2.8000000000000003,-1.5092351907420795e-08,-0.06985116412889555
2.81,-1.627301190714536e-08,-0.07531555270975235
2.82,-1.733009007273429e-08,-0.08020797377802327
2.83,-1.7832707689214428e-08,-0.08253421330902477
2.84,-1.7880881372548286e-08,-0.08275717311554719
2.85,-1.7499277719702818e-08,-0.08099101635279714
2.86,-1.7804800219245587e-08,-0.0824050505862647
2.87,-1.861125866980801e-08,-0.08613754118408017
2.88,-1.8441825448737966e-08,-0.08535336203119202
2.89,-1.813077353483272e-08,-0.08391373629067908
2.9,-1.7971457667607003e-08,-0.08317638277161297
2.91,-1.8657222768911936e-08,-0.08635027448437955
2.92,-1.999221051265909e-08,-0.09252893030757804
2.93,-2.0741535575233225e-08,-0.09599699335387006
2.94,-2.0448405620625215e-08,-0.09464031490534063
2.95,-2.0143608545396176e-08,-0.09322963811630004
2.96,-1.9962582294196424e-08,-0.09239180353215048
2.97,-1.8969617870251e-08,-0.08779611683092388
2.98,-1.7279628077361614e-08,-0.07997442309336719
2.99,-1.534391243120108e-08,-0.07101544889661872
3.0,-1.3549654702018309e-08,-0.06271117717677757
3.01,-1.2049009428067329e-08,-0.0557658170385435
3.02,-9.441440224668393e-09,-0.04369733722033075
3.03,-7.227186394187975e-09,-0.03344921892275288
3.04,-5.296769794231394e-09,-0.02451477003182747
3.0500000000000003,-3.0790095411254563e-09,-0.01425042313688963
3.06,-2.2275745539557603e-09,-0.010309769924010878
3.0700000000000003,-1.409290725125747e-09,-0.006522548529874015
3.08,-7.43703963453541e-10,-0.00344204719934742
3.09,4.3885550275658077e-10,0.002031132585561186
3.1,1.7769201711813033e-09,0.00822402918262869
3.11,3.323648536934431e-09,0.015382673349010558
3.12,4.573416239270591e-09,0.021166909592266466
3.13,5.009221324793893e-09,0.023183924087013814
3.14,4.935580127218376e-09,0.022843094280629122
3.15,4.221523470970675e-09,0.019538262204167663
3.16,3.2066478508129502e-09,0.014841165028796628
3.17,2.395106230499687e-09,0.011085148255157858
3.18,1.486965194983678e-09,0.0068820453250689065
3.19,6.446963119723975e-10,0.002983815125509717
3.2,1.202424075443493e-10,0.000556511814471019
3.21,-2.9297974743177933e-10,-0.0013559832523012607
3.22,-7.620741290136725e-10,-0.003527068901563679
3.23,-7.595731289099995e-10,-0.003515493650085336
3.24,1.910333792243097e-12,8.841500654204669e-06
3.25,2.9472356512352976e-10,0.0013640540749632634
3.26,9.610376215913538e-10,0.004447921506972943
3.27,1.717754338246655e-09,0.007950194969611907
3.28,2.335215075346776e-09,0.010807957070237358
3.29,2.9240622757180228e-09,0.01353328859525623
3.3000000000000003,3.802887011916919e-09,0.017600708389422237
3.31,4.939326770848255e-09,0.022860434680636258
3.3200000000000003,6.364292487912722e-09,0.029455530977839522
3.33,7.304544343711729e-09,0.033807250782996054
3.34,8.58234389751885e-09,0.039721225417587255
3.35,8.51977617044811e-09,0.0394316463910976
3.36,7.503790850728299e-09,0.03472941324972732
3.37,6.661921422900313e-09,0.030833031828260617
3.38,6.237282224038575e-09,0.028867695838402756
3.39,6.951864332056502e-09,0.03217495983654674
3.4,8.02692988391855e-09,0.037150631009143384
3.41,8.481914302225187e-09,0.03925641223357934
3.42,9.134959358582113e-09,0.04227886742777094
3.43,9.985957236945477e-09,0.046217497592210284
3.44,1.1148169274980373e-08,0.05159650441098432
3.45,1.1839208622515576e-08,0.05479480664911809
3.46,1.1525188973793325e-08,0.053341445492609996
3.47,1.0504308208971455e-08,0.04861655501185316
3.48,9.260448315524918e-09,0.04285966157977225
3.49,8.34412268004438e-09,0.038618678282265506
3.5,7.565708502711314e-09,0.03501598356677744
3.51,6.835022254628489e-09,0.031634185596875565
3.52,6.7647182398908e-09,0.031308801103955806
3.53,5.7221225591502174e-09,0.02648340858314666
