distance_mode,element,hbn_local_index_0based,neighbor_rank,distance_nm
RAW_NO_PBC,B,310,1,0.1443779761598008
RAW_NO_PBC,B,312,1,0.14439182802361084
RAW_NO_PBC,B,314,1,0.14456140563788109
RAW_NO_PBC,B,316,1,0.14433987668000817
RAW_NO_PBC,B,318,1,0.14439182802361086
RAW_NO_PBC,B,320,1,0.1443364125922496
RAW_NO_PBC,B,322,1,0.14456140563788109
RAW_NO_PBC,B,324,1,0.1446409347314931
RAW_NO_PBC,B,326,1,0.14442298985964805
RAW_NO_PBC,B,328,1,0.14456140563788109
RAW_NO_PBC,B,330,1,0.14483438818181277
RAW_NO_PBC,B,332,1,0.1443398766800084
RAW_NO_PBC,B,334,1,0.1443398766800084
RAW_NO_PBC,B,336,1,0.14456140563788109
RAW_NO_PBC,B,338,1,0.14461673485458038
RAW_NO_PBC,B,340,1,0.14442298985964805
RAW_NO_PBC,B,342,1,0.14461673485458001
RAW_NO_PBC,B,344,1,0.14456140563788109
RAW_NO_PBC,B,346,1,0.1443364125922496
RAW_NO_PBC,B,348,1,0.14433987668000817
RAW_NO_PBC,B,350,1,0.14483438818181293
RAW_NO_PBC,B,352,1,0.14439182802361084
RAW_NO_PBC,B,354,1,0.1443779761598008
RAW_NO_PBC,B,356,1,0.14477568856683093
RAW_NO_PBC,B,358,1,0.14439182802361047
RAW_NO_PBC,B,360,1,0.14500000000000002
RAW_NO_PBC,B,362,1,0.14428097587693264
RAW_NO_PBC,B,364,1,0.14500000000000002
RAW_NO_PBC,B,366,1,0.14489306401619054
RAW_NO_PBC,B,368,1,0.14500000000000002
RAW_NO_PBC,B,370,1,0.14487926007541588
RAW_NO_PBC,B,372,1,0.1448930640161909
RAW_NO_PBC,B,374,1,0.14500000000000002
RAW_NO_PBC,B,376,1,0.14484129245487956
RAW_NO_PBC,B,378,1,0.1448378403594865
RAW_NO_PBC,B,380,1,0.14500000000000002
RAW_NO_PBC,B,382,1,0.14500000000000002
RAW_NO_PBC,B,384,1,0.1449241180756329
RAW_NO_PBC,B,386,1,0.14500000000000002
RAW_NO_PBC,B,388,1,0.14500000000000002
RAW_NO_PBC,B,390,1,0.14484129245487978
RAW_NO_PBC,B,392,1,0.14484129245487978
RAW_NO_PBC,B,394,1,0.14500000000000002
RAW_NO_PBC,B,396,1,0.14500000000000002
RAW_NO_PBC,B,398,1,0.1449241180756329
RAW_NO_PBC,B,400,1,0.14500000000000002
RAW_NO_PBC,B,402,1,0.14500000000000002
RAW_NO_PBC,B,404,1,0.1448378403594865
RAW_NO_PBC,B,406,1,0.14489306401619093
RAW_NO_PBC,B,408,1,0.14484129245487956
RAW_NO_PBC,B,410,1,0.14500000000000002
RAW_NO_PBC,B,412,1,0.1448930640161909
RAW_NO_PBC,B,414,1,0.14487926007541588
RAW_NO_PBC,B,416,1,0.14489306401619054
RAW_NO_PBC,B,418,1,0.14500000000000002
RAW_NO_PBC,B,420,1,0.14377760604489134
RAW_NO_PBC,B,422,1,0.14481022063376614
RAW_NO_PBC,B,424,1,0.1445614056378809
RAW_NO_PBC,B,426,1,0.14439182802361025
RAW_NO_PBC,B,428,1,0.14437797615980058
RAW_NO_PBC,B,430,1,0.14439182802361064
RAW_NO_PBC,B,432,1,0.1445614056378809
RAW_NO_PBC,B,434,1,0.14433987668000794
RAW_NO_PBC,B,436,1,0.14439182802361064
RAW_NO_PBC,B,438,1,0.14433641259224939
RAW_NO_PBC,B,440,1,0.1445614056378809
RAW_NO_PBC,B,442,1,0.14464093473149287
RAW_NO_PBC,B,444,1,0.14442298985964783
RAW_NO_PBC,B,446,1,0.1445614056378809
RAW_NO_PBC,B,448,1,0.14483438818181255
RAW_NO_PBC,B,450,1,0.1443398766800082
RAW_NO_PBC,B,452,1,0.1443398766800082
RAW_NO_PBC,B,454,1,0.1445614056378809
RAW_NO_PBC,B,456,1,0.14461673485458015
RAW_NO_PBC,B,458,1,0.14442298985964783
RAW_NO_PBC,B,460,1,0.1446167348545798
RAW_NO_PBC,B,462,1,0.1445614056378809
RAW_NO_PBC,B,464,1,0.14433641259224939
RAW_NO_PBC,B,466,1,0.14433987668000794
RAW_NO_PBC,B,468,1,0.1448343881818127
RAW_NO_PBC,B,470,1,0.14439182802361064
RAW_NO_PBC,B,472,1,0.14437797615980058
RAW_NO_PBC,B,474,1,0.1447756885668307
RAW_NO_PBC,B,476,1,0.14439182802361025
RAW_NO_PBC,B,478,1,0.14481022063376614
RAW_NO_PBC,B,480,1,0.14428097587693287
RAW_NO_PBC,B,482,1,0.14499999999999957
RAW_NO_PBC,B,484,1,0.14489306401619076
RAW_NO_PBC,B,486,1,0.14499999999999957
RAW_NO_PBC,B,488,1,0.1448792600754161
RAW_NO_PBC,B,490,1,0.14489306401619112
RAW_NO_PBC,B,492,1,0.14499999999999957
RAW_NO_PBC,B,494,1,0.14484129245487978
RAW_NO_PBC,B,496,1,0.1448378403594867
RAW_NO_PBC,B,498,1,0.14499999999999957
RAW_NO_PBC,B,500,1,0.14499999999999957
RAW_NO_PBC,B,502,1,0.14492411807563313
RAW_NO_PBC,B,504,1,0.14499999999999957
RAW_NO_PBC,B,506,1,0.14499999999999957
RAW_NO_PBC,B,508,1,0.14484129245488003
RAW_NO_PBC,B,510,1,0.14484129245488003
RAW_NO_PBC,B,512,1,0.14499999999999957
RAW_NO_PBC,B,514,1,0.14499999999999957
RAW_NO_PBC,B,516,1,0.14492411807563313
RAW_NO_PBC,B,518,1,0.14499999999999957
RAW_NO_PBC,B,520,1,0.14499999999999957
RAW_NO_PBC,B,522,1,0.1448378403594867
RAW_NO_PBC,B,524,1,0.14489306401619115
RAW_NO_PBC,B,526,1,0.14484129245487978
RAW_NO_PBC,B,528,1,0.14499999999999957
RAW_NO_PBC,B,530,1,0.14489306401619112
RAW_NO_PBC,B,532,1,0.1448792600754161
RAW_NO_PBC,B,534,1,0.14489306401619076
RAW_NO_PBC,B,536,1,0.14499999999999957
RAW_NO_PBC,B,538,1,0.14499999999999957
RAW_NO_PBC,B,540,1,0.14499999999999957
RAW_NO_PBC,B,542,1,0.14499999999999957
RAW_NO_PBC,B,544,1,0.14489306401619076
RAW_NO_PBC,B,546,1,0.1448792600754161
RAW_NO_PBC,B,548,1,0.14489306401619112
RAW_NO_PBC,B,550,1,0.14499999999999957
RAW_NO_PBC,B,552,1,0.14484129245487978
RAW_NO_PBC,B,554,1,0.14489306401619115
RAW_NO_PBC,B,556,1,0.1448378403594867
RAW_NO_PBC,B,558,1,0.14499999999999957
RAW_NO_PBC,B,560,1,0.14499999999999957
RAW_NO_PBC,B,562,1,0.14492411807563313
RAW_NO_PBC,B,564,1,0.14499999999999957
RAW_NO_PBC,B,566,1,0.14499999999999957
RAW_NO_PBC,B,568,1,0.14484129245488003
RAW_NO_PBC,B,570,1,0.14484129245488003
RAW_NO_PBC,B,572,1,0.14499999999999957
RAW_NO_PBC,B,574,1,0.14499999999999957
RAW_NO_PBC,B,576,1,0.14492411807563313
RAW_NO_PBC,B,578,1,0.14499999999999957
RAW_NO_PBC,B,580,1,0.14499999999999957
RAW_NO_PBC,B,582,1,0.1448378403594867
RAW_NO_PBC,B,584,1,0.14484129245487978
RAW_NO_PBC,B,586,1,0.14499999999999957
RAW_NO_PBC,B,588,1,0.14489306401619112
RAW_NO_PBC,B,590,1,0.1448792600754161
RAW_NO_PBC,B,592,1,0.14499999999999957
RAW_NO_PBC,B,594,1,0.14489306401619076
RAW_NO_PBC,B,596,1,0.14499999999999957
RAW_NO_PBC,B,598,1,0.14428097587693287
RAW_NO_PBC,B,600,1,0.14481022063376636
RAW_NO_PBC,B,602,1,0.14439182802361047
RAW_NO_PBC,B,604,1,0.14477568856683093
RAW_NO_PBC,B,606,1,0.1443779761598008
RAW_NO_PBC,B,608,1,0.14439182802361084
RAW_NO_PBC,B,610,1,0.14483438818181293
RAW_NO_PBC,B,612,1,0.14433987668000817
RAW_NO_PBC,B,614,1,0.1443364125922496
RAW_NO_PBC,B,616,1,0.14456140563788109
RAW_NO_PBC,B,618,1,0.14461673485458001
RAW_NO_PBC,B,620,1,0.14442298985964805
RAW_NO_PBC,B,622,1,0.14461673485458038
RAW_NO_PBC,B,624,1,0.14456140563788109
RAW_NO_PBC,B,626,1,0.1443398766800084
RAW_NO_PBC,B,628,1,0.1443398766800084
RAW_NO_PBC,B,630,1,0.14483438818181277
RAW_NO_PBC,B,632,1,0.14456140563788109
RAW_NO_PBC,B,634,1,0.14442298985964805
RAW_NO_PBC,B,636,1,0.1446409347314931
RAW_NO_PBC,B,638,1,0.14456140563788109
RAW_NO_PBC,B,640,1,0.1443364125922496
RAW_NO_PBC,B,642,1,0.14439182802361086
RAW_NO_PBC,B,644,1,0.14433987668000817
RAW_NO_PBC,B,646,1,0.14456140563788109
RAW_NO_PBC,B,648,1,0.14439182802361084
RAW_NO_PBC,B,650,1,0.1443779761598008
RAW_NO_PBC,B,652,1,0.14439182802361047
RAW_NO_PBC,B,654,1,0.14456140563788109
RAW_NO_PBC,B,656,1,0.14481022063376636
RAW_NO_PBC,B,658,1,0.14377760604489156
RAW_NO_PBC,B,660,1,0.14400000000000013
RAW_NO_PBC,B,662,1,0.14400000000000013
RAW_NO_PBC,B,664,1,0.14400000000000013
RAW_NO_PBC,B,666,1,0.14400000000000013
RAW_NO_PBC,B,668,1,0.14400000000000013
RAW_NO_PBC,B,670,1,0.14400000000000013
RAW_NO_PBC,B,672,1,0.14400000000000013
RAW_NO_PBC,B,674,1,0.14400000000000013
RAW_NO_PBC,B,676,1,0.14400000000000013
RAW_NO_PBC,B,678,1,0.14400000000000013
RAW_NO_PBC,B,680,1,0.14400000000000013
RAW_NO_PBC,B,682,1,0.14400000000000013
RAW_NO_PBC,B,684,1,0.14400000000000013
RAW_NO_PBC,B,686,1,0.14400000000000013
RAW_NO_PBC,B,688,1,0.14400000000000013
RAW_NO_PBC,B,690,1,0.14400000000000013
RAW_NO_PBC,B,692,1,0.14400000000000013
RAW_NO_PBC,B,694,1,0.14400000000000013
RAW_NO_PBC,B,696,1,0.14400000000000013
RAW_NO_PBC,B,698,1,0.14400000000000013
RAW_NO_PBC,B,700,1,0.14400000000000013
RAW_NO_PBC,B,702,1,0.14400000000000013
RAW_NO_PBC,B,704,1,0.14400000000000013
RAW_NO_PBC,B,706,1,0.14400000000000013
RAW_NO_PBC,B,708,1,0.14400000000000013
RAW_NO_PBC,B,710,1,0.14400000000000013
RAW_NO_PBC,B,712,1,0.14400000000000013
RAW_NO_PBC,B,714,1,0.14400000000000013
RAW_NO_PBC,B,716,1,0.14400000000000013
RAW_NO_PBC,B,718,1,0.14400000000000013
RAW_NO_PBC,B,720,1,0.14489306401619076
RAW_NO_PBC,B,722,1,0.14499999999999957
RAW_NO_PBC,B,724,1,0.1448792600754161
RAW_NO_PBC,B,726,1,0.14489306401619112
RAW_NO_PBC,B,728,1,0.14499999999999957
RAW_NO_PBC,B,730,1,0.14484129245487978
RAW_NO_PBC,B,732,1,0.1448378403594867
RAW_NO_PBC,B,734,1,0.14499999999999957
RAW_NO_PBC,B,736,1,0.14499999999999957
RAW_NO_PBC,B,738,1,0.14492411807563313
RAW_NO_PBC,B,740,1,0.14499999999999957
RAW_NO_PBC,B,742,1,0.14499999999999957
RAW_NO_PBC,B,744,1,0.14484129245488003
RAW_NO_PBC,B,746,1,0.14484129245488003
RAW_NO_PBC,B,748,1,0.14499999999999957
RAW_NO_PBC,B,750,1,0.14499999999999957
RAW_NO_PBC,B,752,1,0.14492411807563313
RAW_NO_PBC,B,754,1,0.14499999999999957
RAW_NO_PBC,B,756,1,0.14499999999999957
RAW_NO_PBC,B,758,1,0.1448378403594867
RAW_NO_PBC,B,760,1,0.14489306401619115
RAW_NO_PBC,B,762,1,0.14484129245487978
RAW_NO_PBC,B,764,1,0.14499999999999957
RAW_NO_PBC,B,766,1,0.14489306401619112
RAW_NO_PBC,B,768,1,0.1448792600754161
RAW_NO_PBC,B,770,1,0.14489306401619076
RAW_NO_PBC,B,772,1,0.14499999999999957
RAW_NO_PBC,B,774,1,0.14499999999999957
RAW_NO_PBC,B,776,1,0.14428097587693287
RAW_NO_PBC,B,778,1,0.14499999999999957
RAW_NO_PBC,B,780,1,0.14439182802361047
RAW_NO_PBC,B,782,1,0.1443779761598008
RAW_NO_PBC,B,784,1,0.14439182802361084
RAW_NO_PBC,B,786,1,0.14456140563788109
RAW_NO_PBC,B,788,1,0.14433987668000817
RAW_NO_PBC,B,790,1,0.14439182802361086
RAW_NO_PBC,B,792,1,0.1443364125922496
RAW_NO_PBC,B,794,1,0.14456140563788109
RAW_NO_PBC,B,796,1,0.1446409347314931
RAW_NO_PBC,B,798,1,0.14442298985964805
RAW_NO_PBC,B,800,1,0.14456140563788109
RAW_NO_PBC,B,802,1,0.14483438818181277
RAW_NO_PBC,B,804,1,0.1443398766800084
RAW_NO_PBC,B,806,1,0.1443398766800084
RAW_NO_PBC,B,808,1,0.14456140563788109
RAW_NO_PBC,B,810,1,0.14461673485458038
RAW_NO_PBC,B,812,1,0.14442298985964805
RAW_NO_PBC,B,814,1,0.14461673485458001
RAW_NO_PBC,B,816,1,0.14456140563788109
RAW_NO_PBC,B,818,1,0.1443364125922496
RAW_NO_PBC,B,820,1,0.14433987668000817
RAW_NO_PBC,B,822,1,0.14483438818181293
RAW_NO_PBC,B,824,1,0.14439182802361084
RAW_NO_PBC,B,826,1,0.1443779761598008
RAW_NO_PBC,B,828,1,0.14477568856683093
RAW_NO_PBC,B,830,1,0.14439182802361047
RAW_NO_PBC,B,832,1,0.14481022063376636
RAW_NO_PBC,B,834,1,0.14377760604489156
RAW_NO_PBC,B,836,1,0.14481022063376636
RAW_NO_PBC,B,838,1,0.14456140563788109
RAW_NO_PBC,B,840,1,0.14477568856683093
RAW_NO_PBC,B,842,1,0.1443779761598008
RAW_NO_PBC,B,844,1,0.14439182802361084
RAW_NO_PBC,B,846,1,0.14483438818181293
RAW_NO_PBC,B,848,1,0.14433987668000817
RAW_NO_PBC,B,850,1,0.1443364125922496
RAW_NO_PBC,B,852,1,0.14456140563788109
RAW_NO_PBC,B,854,1,0.14461673485458001
RAW_NO_PBC,B,856,1,0.14442298985964805
RAW_NO_PBC,B,858,1,0.14461673485458038
RAW_NO_PBC,B,860,1,0.14456140563788109
RAW_NO_PBC,B,862,1,0.1443398766800084
RAW_NO_PBC,B,864,1,0.1443398766800084
RAW_NO_PBC,B,866,1,0.14483438818181277
RAW_NO_PBC,B,868,1,0.14456140563788109
RAW_NO_PBC,B,870,1,0.14442298985964805
RAW_NO_PBC,B,872,1,0.1446409347314931
RAW_NO_PBC,B,874,1,0.14456140563788109
RAW_NO_PBC,B,876,1,0.1443364125922496
RAW_NO_PBC,B,878,1,0.14439182802361086
RAW_NO_PBC,B,880,1,0.14433987668000817
RAW_NO_PBC,B,882,1,0.14456140563788109
RAW_NO_PBC,B,884,1,0.14439182802361084
RAW_NO_PBC,B,886,1,0.1443779761598008
RAW_NO_PBC,B,888,1,0.14439182802361047
RAW_NO_PBC,B,890,1,0.14456140563788109
RAW_NO_PBC,B,892,1,0.14481022063376636
RAW_NO_PBC,B,894,1,0.14377760604489156
RAW_NO_PBC,B,896,1,0.14481022063376636
RAW_NO_PBC,B,898,1,0.14439182802361047
RAW_NO_PBC,B,900,1,0.14487926007541566
RAW_NO_PBC,B,902,1,0.14489306401619068
RAW_NO_PBC,B,904,1,0.14500000000000046
RAW_NO_PBC,B,906,1,0.14484129245487934
RAW_NO_PBC,B,908,1,0.1448930640161907
RAW_NO_PBC,B,910,1,0.14483784035948627
RAW_NO_PBC,B,912,1,0.14500000000000046
RAW_NO_PBC,B,914,1,0.14500000000000046
RAW_NO_PBC,B,916,1,0.14492411807563269
RAW_NO_PBC,B,918,1,0.14500000000000046
RAW_NO_PBC,B,920,1,0.14500000000000046
RAW_NO_PBC,B,922,1,0.14484129245487956
RAW_NO_PBC,B,924,1,0.14484129245487956
RAW_NO_PBC,B,926,1,0.14500000000000046
RAW_NO_PBC,B,928,1,0.14500000000000046
RAW_NO_PBC,B,930,1,0.14492411807563269
RAW_NO_PBC,B,932,1,0.14500000000000046
RAW_NO_PBC,B,934,1,0.14500000000000046
RAW_NO_PBC,B,936,1,0.14483784035948627
RAW_NO_PBC,B,938,1,0.14484129245487934
RAW_NO_PBC,B,940,1,0.14500000000000046
RAW_NO_PBC,B,942,1,0.14489306401619068
RAW_NO_PBC,B,944,1,0.14487926007541566
RAW_NO_PBC,B,946,1,0.14500000000000046
RAW_NO_PBC,B,948,1,0.14489306401619031
RAW_NO_PBC,B,950,1,0.14500000000000046
RAW_NO_PBC,B,952,1,0.14428097587693242
RAW_NO_PBC,B,954,1,0.14500000000000046
RAW_NO_PBC,B,956,1,0.14500000000000046
RAW_NO_PBC,B,958,1,0.14489306401619031
RAW_NO_PBC,B,960,1,0.1443779761598008
RAW_NO_PBC,B,962,1,0.14439182802361084
RAW_NO_PBC,B,964,1,0.14483438818181293
RAW_NO_PBC,B,966,1,0.14433987668000817
RAW_NO_PBC,B,968,1,0.1443364125922496
RAW_NO_PBC,B,970,1,0.14456140563788109
RAW_NO_PBC,B,972,1,0.14461673485458001
RAW_NO_PBC,B,974,1,0.14442298985964805
RAW_NO_PBC,B,976,1,0.14461673485458038
RAW_NO_PBC,B,978,1,0.14456140563788109
RAW_NO_PBC,B,980,1,0.1443398766800084
RAW_NO_PBC,B,982,1,0.1443398766800084
RAW_NO_PBC,B,984,1,0.14483438818181277
RAW_NO_PBC,B,986,1,0.14456140563788109
RAW_NO_PBC,B,988,1,0.14442298985964805
RAW_NO_PBC,B,990,1,0.1446409347314931
RAW_NO_PBC,B,992,1,0.14456140563788109
RAW_NO_PBC,B,994,1,0.1443364125922496
RAW_NO_PBC,B,996,1,0.14439182802361086
RAW_NO_PBC,B,998,1,0.14433987668000817
RAW_NO_PBC,B,1000,1,0.14456140563788109
RAW_NO_PBC,B,1002,1,0.14439182802361084
RAW_NO_PBC,B,1004,1,0.1443779761598008
RAW_NO_PBC,B,1006,1,0.14439182802361047
RAW_NO_PBC,B,1008,1,0.14456140563788109
RAW_NO_PBC,B,1010,1,0.14481022063376636
RAW_NO_PBC,B,1012,1,0.14377760604489156
RAW_NO_PBC,B,1014,1,0.14481022063376636
RAW_NO_PBC,B,1016,1,0.14439182802361047
RAW_NO_PBC,B,1018,1,0.14477568856683093
RAW_NO_PBC,B,1020,1,0.14439182802361084
RAW_NO_PBC,B,1022,1,0.14456140563788109
RAW_NO_PBC,B,1024,1,0.14433987668000817
RAW_NO_PBC,B,1026,1,0.14439182802361086
RAW_NO_PBC,B,1028,1,0.1443364125922496
RAW_NO_PBC,B,1030,1,0.14456140563788109
RAW_NO_PBC,B,1032,1,0.1446409347314931
RAW_NO_PBC,B,1034,1,0.14442298985964805
RAW_NO_PBC,B,1036,1,0.14456140563788109
RAW_NO_PBC,B,1038,1,0.14483438818181277
RAW_NO_PBC,B,1040,1,0.1443398766800084
