frame,cluster,role,n_qm_atoms,n_point_charges,point_charge_total,orca_input,qm_xyz,point_charge_file
2,PYR4,site_energy_embedding_pilot,26,156,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame002_PYR4_embedding/frame002_PYR4_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame002_PYR4_embedding/frame002_PYR4_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame002_PYR4_embedding/frame002_PYR4_embedding.pc
2,PYR5,site_energy_embedding_pilot,26,172,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame002_PYR5_embedding/frame002_PYR5_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame002_PYR5_embedding/frame002_PYR5_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame002_PYR5_embedding/frame002_PYR5_embedding.pc
3,PYR2,site_energy_embedding_pilot,26,168,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame003_PYR2_embedding/frame003_PYR2_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame003_PYR2_embedding/frame003_PYR2_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame003_PYR2_embedding/frame003_PYR2_embedding.pc
3,PYR3,site_energy_embedding_pilot,26,168,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame003_PYR3_embedding/frame003_PYR3_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame003_PYR3_embedding/frame003_PYR3_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame003_PYR3_embedding/frame003_PYR3_embedding.pc
3,PYR4,site_energy_embedding_pilot,26,152,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame003_PYR4_embedding/frame003_PYR4_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame003_PYR4_embedding/frame003_PYR4_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame003_PYR4_embedding/frame003_PYR4_embedding.pc
3,PYR5,site_energy_embedding_pilot,26,176,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame003_PYR5_embedding/frame003_PYR5_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame003_PYR5_embedding/frame003_PYR5_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame003_PYR5_embedding/frame003_PYR5_embedding.pc
4,PYR2,site_energy_embedding_pilot,26,164,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame004_PYR2_embedding/frame004_PYR2_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame004_PYR2_embedding/frame004_PYR2_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame004_PYR2_embedding/frame004_PYR2_embedding.pc
4,PYR3,site_energy_embedding_pilot,26,164,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame004_PYR3_embedding/frame004_PYR3_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame004_PYR3_embedding/frame004_PYR3_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame004_PYR3_embedding/frame004_PYR3_embedding.pc
4,PYR4,site_energy_embedding_pilot,26,156,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame004_PYR4_embedding/frame004_PYR4_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame004_PYR4_embedding/frame004_PYR4_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame004_PYR4_embedding/frame004_PYR4_embedding.pc
4,PYR5,site_energy_embedding_pilot,26,164,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame004_PYR5_embedding/frame004_PYR5_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame004_PYR5_embedding/frame004_PYR5_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame004_PYR5_embedding/frame004_PYR5_embedding.pc
5,PYR2,site_energy_embedding_pilot,26,144,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame005_PYR2_embedding/frame005_PYR2_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame005_PYR2_embedding/frame005_PYR2_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame005_PYR2_embedding/frame005_PYR2_embedding.pc
5,PYR3,site_energy_embedding_pilot,26,192,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame005_PYR3_embedding/frame005_PYR3_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame005_PYR3_embedding/frame005_PYR3_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame005_PYR3_embedding/frame005_PYR3_embedding.pc
5,PYR4,site_energy_embedding_pilot,26,180,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame005_PYR4_embedding/frame005_PYR4_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame005_PYR4_embedding/frame005_PYR4_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame005_PYR4_embedding/frame005_PYR4_embedding.pc
5,PYR5,site_energy_embedding_pilot,26,188,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame005_PYR5_embedding/frame005_PYR5_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame005_PYR5_embedding/frame005_PYR5_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame005_PYR5_embedding/frame005_PYR5_embedding.pc
6,PYR2,site_energy_embedding_pilot,26,140,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame006_PYR2_embedding/frame006_PYR2_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame006_PYR2_embedding/frame006_PYR2_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame006_PYR2_embedding/frame006_PYR2_embedding.pc
6,PYR3,site_energy_embedding_pilot,26,156,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame006_PYR3_embedding/frame006_PYR3_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame006_PYR3_embedding/frame006_PYR3_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame006_PYR3_embedding/frame006_PYR3_embedding.pc
6,PYR4,site_energy_embedding_pilot,26,172,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame006_PYR4_embedding/frame006_PYR4_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame006_PYR4_embedding/frame006_PYR4_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame006_PYR4_embedding/frame006_PYR4_embedding.pc
6,PYR5,site_energy_embedding_pilot,26,164,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame006_PYR5_embedding/frame006_PYR5_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame006_PYR5_embedding/frame006_PYR5_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame006_PYR5_embedding/frame006_PYR5_embedding.pc
7,PYR2,site_energy_embedding_pilot,26,192,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame007_PYR2_embedding/frame007_PYR2_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame007_PYR2_embedding/frame007_PYR2_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame007_PYR2_embedding/frame007_PYR2_embedding.pc
7,PYR3,site_energy_embedding_pilot,26,192,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame007_PYR3_embedding/frame007_PYR3_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame007_PYR3_embedding/frame007_PYR3_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame007_PYR3_embedding/frame007_PYR3_embedding.pc
7,PYR4,site_energy_embedding_pilot,26,164,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame007_PYR4_embedding/frame007_PYR4_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame007_PYR4_embedding/frame007_PYR4_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame007_PYR4_embedding/frame007_PYR4_embedding.pc
7,PYR5,site_energy_embedding_pilot,26,196,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame007_PYR5_embedding/frame007_PYR5_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame007_PYR5_embedding/frame007_PYR5_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame007_PYR5_embedding/frame007_PYR5_embedding.pc
8,PYR2,site_energy_embedding_pilot,26,160,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame008_PYR2_embedding/frame008_PYR2_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame008_PYR2_embedding/frame008_PYR2_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame008_PYR2_embedding/frame008_PYR2_embedding.pc
8,PYR3,site_energy_embedding_pilot,26,148,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame008_PYR3_embedding/frame008_PYR3_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame008_PYR3_embedding/frame008_PYR3_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame008_PYR3_embedding/frame008_PYR3_embedding.pc
8,PYR4,site_energy_embedding_pilot,26,160,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame008_PYR4_embedding/frame008_PYR4_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame008_PYR4_embedding/frame008_PYR4_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame008_PYR4_embedding/frame008_PYR4_embedding.pc
8,PYR5,site_energy_embedding_pilot,26,156,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame008_PYR5_embedding/frame008_PYR5_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame008_PYR5_embedding/frame008_PYR5_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame008_PYR5_embedding/frame008_PYR5_embedding.pc
9,PYR2,site_energy_embedding_pilot,26,176,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame009_PYR2_embedding/frame009_PYR2_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame009_PYR2_embedding/frame009_PYR2_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame009_PYR2_embedding/frame009_PYR2_embedding.pc
9,PYR3,site_energy_embedding_pilot,26,164,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame009_PYR3_embedding/frame009_PYR3_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame009_PYR3_embedding/frame009_PYR3_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame009_PYR3_embedding/frame009_PYR3_embedding.pc
9,PYR4,site_energy_embedding_pilot,26,168,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame009_PYR4_embedding/frame009_PYR4_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame009_PYR4_embedding/frame009_PYR4_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame009_PYR4_embedding/frame009_PYR4_embedding.pc
9,PYR5,site_energy_embedding_pilot,26,168,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame009_PYR5_embedding/frame009_PYR5_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame009_PYR5_embedding/frame009_PYR5_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame009_PYR5_embedding/frame009_PYR5_embedding.pc
10,PYR2,site_energy_embedding_pilot,26,164,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR2_embedding/frame010_PYR2_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR2_embedding/frame010_PYR2_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR2_embedding/frame010_PYR2_embedding.pc
10,PYR3,site_energy_embedding_pilot,26,160,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR3_embedding/frame010_PYR3_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR3_embedding/frame010_PYR3_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR3_embedding/frame010_PYR3_embedding.pc
10,PYR4,site_energy_embedding_pilot,26,172,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR4_embedding/frame010_PYR4_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR4_embedding/frame010_PYR4_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR4_embedding/frame010_PYR4_embedding.pc
10,PYR5,site_energy_embedding_pilot,26,152,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR5_embedding/frame010_PYR5_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR5_embedding/frame010_PYR5_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR5_embedding/frame010_PYR5_embedding.pc
11,PYR2,site_energy_embedding_pilot,26,152,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame011_PYR2_embedding/frame011_PYR2_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame011_PYR2_embedding/frame011_PYR2_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame011_PYR2_embedding/frame011_PYR2_embedding.pc
11,PYR3,site_energy_embedding_pilot,26,164,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame011_PYR3_embedding/frame011_PYR3_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame011_PYR3_embedding/frame011_PYR3_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame011_PYR3_embedding/frame011_PYR3_embedding.pc
11,PYR4,site_energy_embedding_pilot,26,184,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame011_PYR4_embedding/frame011_PYR4_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame011_PYR4_embedding/frame011_PYR4_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame011_PYR4_embedding/frame011_PYR4_embedding.pc
11,PYR5,site_energy_embedding_pilot,26,188,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame011_PYR5_embedding/frame011_PYR5_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame011_PYR5_embedding/frame011_PYR5_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame011_PYR5_embedding/frame011_PYR5_embedding.pc
12,PYR2,site_energy_embedding_pilot,26,164,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame012_PYR2_embedding/frame012_PYR2_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame012_PYR2_embedding/frame012_PYR2_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame012_PYR2_embedding/frame012_PYR2_embedding.pc
12,PYR3,site_energy_embedding_pilot,26,184,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame012_PYR3_embedding/frame012_PYR3_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame012_PYR3_embedding/frame012_PYR3_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame012_PYR3_embedding/frame012_PYR3_embedding.pc
12,PYR4,site_energy_embedding_pilot,26,132,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame012_PYR4_embedding/frame012_PYR4_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame012_PYR4_embedding/frame012_PYR4_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame012_PYR4_embedding/frame012_PYR4_embedding.pc
12,PYR5,site_energy_embedding_pilot,26,160,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame012_PYR5_embedding/frame012_PYR5_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame012_PYR5_embedding/frame012_PYR5_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame012_PYR5_embedding/frame012_PYR5_embedding.pc
13,PYR2,site_energy_embedding_pilot,26,156,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame013_PYR2_embedding/frame013_PYR2_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame013_PYR2_embedding/frame013_PYR2_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame013_PYR2_embedding/frame013_PYR2_embedding.pc
13,PYR3,site_energy_embedding_pilot,26,152,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame013_PYR3_embedding/frame013_PYR3_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame013_PYR3_embedding/frame013_PYR3_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame013_PYR3_embedding/frame013_PYR3_embedding.pc
13,PYR4,site_energy_embedding_pilot,26,140,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame013_PYR4_embedding/frame013_PYR4_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame013_PYR4_embedding/frame013_PYR4_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame013_PYR4_embedding/frame013_PYR4_embedding.pc
13,PYR5,site_energy_embedding_pilot,26,172,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame013_PYR5_embedding/frame013_PYR5_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame013_PYR5_embedding/frame013_PYR5_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame013_PYR5_embedding/frame013_PYR5_embedding.pc
14,PYR2,site_energy_embedding_pilot,26,176,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame014_PYR2_embedding/frame014_PYR2_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame014_PYR2_embedding/frame014_PYR2_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame014_PYR2_embedding/frame014_PYR2_embedding.pc
14,PYR3,site_energy_embedding_pilot,26,180,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame014_PYR3_embedding/frame014_PYR3_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame014_PYR3_embedding/frame014_PYR3_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame014_PYR3_embedding/frame014_PYR3_embedding.pc
14,PYR4,site_energy_embedding_pilot,26,144,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame014_PYR4_embedding/frame014_PYR4_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame014_PYR4_embedding/frame014_PYR4_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame014_PYR4_embedding/frame014_PYR4_embedding.pc
14,PYR5,site_energy_embedding_pilot,26,180,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame014_PYR5_embedding/frame014_PYR5_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame014_PYR5_embedding/frame014_PYR5_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame014_PYR5_embedding/frame014_PYR5_embedding.pc
15,PYR2,site_energy_embedding_pilot,26,180,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame015_PYR2_embedding/frame015_PYR2_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame015_PYR2_embedding/frame015_PYR2_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame015_PYR2_embedding/frame015_PYR2_embedding.pc
15,PYR3,site_energy_embedding_pilot,26,172,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame015_PYR3_embedding/frame015_PYR3_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame015_PYR3_embedding/frame015_PYR3_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame015_PYR3_embedding/frame015_PYR3_embedding.pc
