time_ps,temperature_K,potential_kJ_mol,total_energy_kJ_mol,CAP_SOL_LJ_kJ_mol
28.05,298.450469970703,-768594.5625,-645282.375,24.120487213135
28.1,298.940643310547,-769087.75,-645573.0,20.646078109741
28.15,300.891479492188,-769695.25,-645374.5,20.981393814087
28.2,300.632080078125,-769515.75,-645302.1875,21.764268875122
28.25,300.619934082031,-768846.125,-644637.5625,24.886087417603
28.3,301.160125732422,-768810.25,-644378.5,20.423645019531
28.35,301.950897216797,-768192.6875,-643434.1875,16.171981811523
28.4,301.582489013672,-768161.4375,-643555.1875,16.039863586426
28.45,300.364532470703,-767664.8125,-643561.75,17.425283432007
28.5,301.126434326172,-767212.9375,-642795.125,25.070472717285
28.55,301.825439453125,-767668.25,-642961.625,39.440902709961
28.6,299.388061523438,-767436.9375,-643737.375,36.521209716797
28.65,301.992523193359,-768843.5625,-644067.875,28.419929504395
28.7,301.9091796875,-769192.6875,-644451.4375,24.132781982422
28.75,300.386413574219,-769397.9375,-645285.875,35.236686706543
28.8,298.868286132812,-768784.0,-645299.1875,32.138980865479
28.85,299.245910644531,-769271.75,-645630.875,31.715869903564
28.9,299.226531982422,-769413.625,-645780.75,25.901405334473
28.95,299.136108398438,-769571.25,-645975.75,21.490755081177
29.0,298.499694824219,-769174.4375,-645841.875,21.642805099487
29.05,299.006072998047,-769315.1875,-645773.4375,20.753259658813
29.1,298.208404541016,-769352.8125,-646140.625,31.327592849731
29.15,299.15380859375,-769371.875,-645769.0625,21.54740524292
29.2,300.890380859375,-768801.8125,-644481.5,30.59513092041
29.25,298.149719238281,-767529.75,-644341.8125,22.840631484985
29.3,300.184173583984,-767700.125,-643671.625,23.776023864746
29.35,301.034393310547,-767540.375,-643160.5625,25.386707305908
29.4,299.402801513672,-767323.1875,-643617.5,26.966264724731
29.45,299.899200439453,-767384.1875,-643473.4375,27.687973022461
29.5,300.678619384766,-767554.5,-643321.6875,27.682182312012
29.55,300.23388671875,-767815.8125,-643766.75,26.983203887939
29.6,300.324096679688,-768707.5,-644621.1875,29.444625854492
29.65,298.012054443359,-768010.625,-644879.5625,25.963520050049
29.7,300.924346923828,-769283.5625,-644949.25,26.675680160522
29.75,298.780456542969,-768930.8125,-645482.25,21.234289169312
29.8,299.092498779297,-769708.4375,-646131.0,17.994594573975
29.85,298.783355712891,-769627.125,-646177.375,25.679307937622
29.9,299.875915527344,-769769.9375,-645868.75,31.86958694458
29.95,299.314575195312,-770014.1875,-646344.9375,38.360191345215
30.0,299.858489990234,-770280.875,-646386.9375,37.967723846436
30.05,297.428009033203,-769372.375,-646482.625,47.330360412598
30.1,296.136352539062,-769464.6875,-647108.625,30.010770797729
30.15,299.511596679688,-770044.5,-646293.875,26.215383529663
30.2,300.211883544922,-770291.0625,-646251.125,29.732307434082
30.25,299.301940917969,-769513.8125,-645849.8125,23.61060333252
30.3,298.27001953125,-769514.1875,-646276.5625,26.727220535278
30.35,299.270446777344,-769048.3125,-645397.3125,25.84228515625
30.4,298.4267578125,-769130.3125,-645827.9375,20.242610931396
30.45,299.569915771484,-769944.9375,-646170.25,18.699142456055
30.5,299.169525146484,-769337.3125,-645728.0,16.803163528442
30.55,296.617340087891,-768107.9375,-645553.125,30.2763671875
30.6,298.188385009766,-768458.375,-645254.5,25.695178985596
30.65,298.061218261719,-768516.1875,-645364.8125,26.30763053894
30.7,301.017333984375,-769444.875,-645072.125,39.814762115479
30.75,300.68115234375,-768914.9375,-644681.0625,30.087450027466
30.8,300.2890625,-768593.6875,-644521.8125,18.985891342163
30.85,300.852813720703,-769104.9375,-644800.125,30.668870925903
30.9,300.88916015625,-768880.4375,-644560.625,17.872173309326
30.95,299.341491699219,-768725.6875,-645045.3125,15.21718120575
31.0,300.495910644531,-769214.0,-645056.6875,12.314564704895
31.05,300.178009033203,-769182.125,-645156.125,17.841972351074
31.1,301.141754150391,-768939.9375,-644515.75,16.335994720459
31.15,297.394927978516,-767846.0,-644969.9375,18.258541107178
31.2,299.090789794922,-767916.5625,-644339.8125,17.974494934082
31.25,301.038818359375,-767988.5,-643606.875,19.8199634552
31.3,300.278472900391,-767925.75,-643858.25,20.902671813965
31.35,299.180999755859,-767624.625,-644010.625,27.587160110474
31.4,300.34423828125,-767943.75,-643849.125,19.396711349487
31.45,299.89501953125,-767635.125,-643726.0625,13.164758682251
31.5,299.595611572266,-767306.125,-643520.75,10.166045188904
31.55,297.72216796875,-767656.125,-644644.875,18.157245635986
31.6,299.138458251953,-768340.8125,-644744.375,34.916236877441
31.65,299.873596191406,-768865.0625,-644964.875,17.092418670654
31.7,299.804656982422,-769395.0,-645523.25,10.832339286804
31.75,298.574005126953,-768801.1875,-645437.9375,12.25076675415
31.8,299.039947509766,-769245.625,-645689.875,15.001916885376
31.85,300.331298828125,-769989.0,-645899.6875,17.634836196899
31.9,300.823394775391,-770076.4375,-645783.8125,25.586414337158
31.95,299.542663574219,-768994.625,-645231.1875,17.15873336792
32.0,298.498107910156,-768810.9375,-645479.0625,15.872806549072
32.05,299.516998291016,-768688.9375,-644936.0625,30.058116912842
32.1,299.313079833984,-768418.9375,-644750.3125,25.181837081909
32.15,299.071990966797,-768473.3125,-644904.3125,24.890525817871
32.2,300.92822265625,-769225.5,-644889.5625,23.956430435181
32.25,301.186248779297,-768963.1875,-644520.625,36.724548339844
32.3,302.314697265625,-769263.5625,-644354.75,29.309492111206
32.35,301.513580322266,-768350.125,-643772.3125,25.386856079102
32.4,300.128570556641,-769104.9375,-645099.375,17.272048950195
32.45,298.936096191406,-768784.0625,-645271.25,19.02264213562
32.5,297.834106445312,-768970.75,-645913.25,18.404384613037
32.55,297.972686767578,-768803.375,-645688.5625,20.759719848633
32.6,298.484375,-768992.9375,-645666.75,23.104698181152
32.65,297.944610595703,-769571.3125,-646468.125,19.623498916626
32.7,298.278045654297,-769283.8125,-646042.875,20.661764144897
32.75,300.127777099609,-768666.375,-644661.125,20.902271270752
32.8,297.811462402344,-768707.25,-645659.0625,13.999858856201
32.85,301.663970947266,-769821.9375,-645182.0,16.569341659546
32.9,299.100402832031,-769422.625,-645841.875,12.415042877197
32.95,299.999084472656,-769663.9375,-645711.875,18.729166030884
33.0,299.017059326172,-769298.3125,-645752.0,22.112869262695
33.05,299.639343261719,-769329.5,-645526.0625,26.901643753052
33.1,297.905059814453,-768407.1875,-645320.3125,29.322118759155
33.15,300.462493896484,-769020.5625,-644877.0625,24.663970947266
33.2,299.167633056641,-768563.625,-644955.125,24.211553573608
33.25,299.547821044922,-768970.1875,-645204.625,28.843729019165
33.3,299.423126220703,-769348.6875,-645634.625,36.540187835693
33.35,298.770690917969,-769282.375,-645837.875,34.043739318848
33.4,300.356262207031,-769668.9375,-645569.3125,27.347301483154
33.45,300.084442138672,-768944.1875,-644956.875,19.51202583313
33.5,301.17138671875,-769119.5,-644683.0625,26.44051361084
33.55,300.554168701172,-769272.625,-645091.25,28.376167297363
33.6,301.709442138672,-769550.1875,-644891.4375,16.424043655396
33.65,297.610992431641,-768005.3125,-645040.0,14.784483909607
33.7,301.252258300781,-768761.8125,-644292.0,14.747156143188
33.75,300.0380859375,-767790.75,-643822.625,19.032539367676
33.8,302.60400390625,-769202.5625,-644174.25,17.931613922119
33.85,300.326782226562,-768134.4375,-644047.0,17.805450439453
33.9,300.625457763672,-768779.375,-644568.5,21.329128265381
33.95,297.459197998047,-767204.625,-644302.0,21.323568344116
34.0,301.462738037109,-767558.875,-643002.0625,36.721019744873
34.05,301.728454589844,-768324.9375,-643658.375,28.096254348755
34.1,300.111389160156,-768288.875,-644290.4375,25.537910461426
34.15,301.995513916016,-768243.875,-643466.9375,28.741472244263
34.2,302.208282470703,-768852.0625,-643987.25,19.358741760254
34.25,300.360504150391,-768724.375,-644623.0,29.269725799561
