lag_ps,autocorrelation,autocorrelation_normalized
3.68,-2.2268276414473967e-06,-0.058085286748823683
3.69,-2.2871347462915662e-06,-0.059658356623054326
3.7,-2.0812343980906475e-06,-0.054287585870828804
3.71,-1.9058886095930382e-06,-0.04971381005831816
3.72,-2.0215097766437005e-06,-0.052729709680439864
3.73,-2.196070427957087e-06,-0.05728300572270071
3.74,-2.427225561401069e-06,-0.06331253039701686
3.75,-2.6203630779753696e-06,-0.06835039135372842
3.76,-2.4759135689596718e-06,-0.06458252400928949
3.77,-2.5845634972309764e-06,-0.06741658360214413
3.78,-2.6319483740136073e-06,-0.06865258593310486
3.79,-2.390354675110696e-06,-0.062350778367808356
3.8,-2.146542104146037e-06,-0.055991093031656725
3.81,-1.7709158070345322e-06,-0.046193136166014864
3.82,-1.6028864011736837e-06,-0.041810203225898304
3.83,-1.5688921584396027e-06,-0.040923486490275794
3.84,-1.5808172089911051e-06,-0.04123454333539741
3.85,-1.5314791861972091e-06,-0.039947594517149076
3.86,-1.6122231845890394e-06,-0.04205374688051187
3.87,-1.5017761592842606e-06,-0.03917281123197968
3.88,-1.293022034855138e-06,-0.03372760166489175
3.89,-8.887838252094386e-07,-0.023183322491655063
3.9,-2.8970522843215665e-07,-0.007556764139669854
3.91,1.7442751580401997e-07,0.004549823292913715
3.92,4.092556662435162e-07,0.010675156121146554
3.93,7.102736804366568e-07,0.018527006594677282
3.94,9.886019998996262e-07,0.02578701179014749
3.95,1.3845666314228543e-06,0.036115480296793845
3.96,1.7331764532883686e-06,0.0452087307530138
3.97,1.8614403697025542e-06,0.04855440790636663
3.98,1.9385792972254795e-06,0.0505665244443819
3.99,2.262674051206455e-06,0.059020316003453095
4.0,2.5842137409441966e-06,0.0674074604469292
4.01,2.5830549930678228e-06,0.06737723529550033
4.0200000000000005,2.4738443073815496e-06,0.06452854872629658
4.03,1.9796560606720534e-06,0.05163798392292377
4.04,1.5851757973550481e-06,0.041348234152875835
4.05,1.444983646331516e-06,0.03769141710041488
4.0600000000000005,1.5043778180844987e-06,0.039240673734951034
4.07,1.5258896464781804e-06,0.039801795169534235
4.08,1.3974263804630028e-06,0.0364509181172214
4.09,1.23313278660552e-06,0.03216543129615613
4.1,7.478577900776728e-07,0.019507362570624603
4.11,6.906484611890479e-07,0.0180150960784395
4.12,4.7424825959462897e-07,0.012370443781082069
4.13,1.73362963253739e-07,0.0045220551625962425
4.14,-1.2629645557511525e-07,-0.0032943572735033948
4.15,-1.9336870458350422e-07,-0.0050438913389277435
4.16,-4.066969870314317e-07,-0.010608414711543977
4.17,-3.7100708903886035e-07,-0.009677467960053447
4.18,-1.7056524068722567e-07,-0.00444907846943199
4.19,-1.0411770061068945e-07,-0.0027158395122440526
4.2,-8.583431120578263e-08,-0.002238929716192599
4.21,-6.950785737348424e-08,-0.0018130652555628176
4.22,-2.9073905510327294e-07,-0.007583730806295808
4.23,-8.789032299829546e-07,-0.02292559387526051
4.24,-1.2692131622783163e-06,-0.03310656339275498
4.25,-1.7250584644818636e-06,-0.04499697852806697
4.26,-1.9804668581666086e-06,-0.05165913302494222
4.2700000000000005,-2.1841190490967243e-06,-0.056971262121522495
4.28,-2.3892312817508123e-06,-0.06232147541493225
4.29,-2.677695839365164e-06,-0.06984587749888131
4.3,-3.0087646265740195e-06,-0.07848158197851153
4.3100000000000005,-3.331149736163341e-06,-0.08689077862467641
4.32,-3.851514785879103e-06,-0.10046414755733431
4.33,-4.292218731488375e-06,-0.1119596106886497
4.34,-4.833847718810311e-06,-0.1260876349930457
4.3500000000000005,-5.23766218317332e-06,-0.13662086105835639
4.36,-5.546118852385402e-06,-0.144666743796333
4.37,-5.826556159592553e-06,-0.15198176050485904
4.38,-5.8267078167846846e-06,-0.1519857163797227
4.39,-5.789810302398306e-06,-0.1510232697747135
4.4,-5.794576588219229e-06,-0.15114759510348263
4.41,-5.76704963302422e-06,-0.15042957317126662
4.42,-5.573526503892874e-06,-0.14538165377288087
4.43,-5.456213718380685e-06,-0.1423216294319985
4.44,-5.395514694081891e-06,-0.14073833660495347
4.45,-5.229988812910874e-06,-0.13642070640618295
4.46,-4.947793109684992e-06,-0.12905982313166636
4.47,-4.601726175421449e-06,-0.12003290217162356
4.48,-4.136348277497873e-06,-0.10789383575071022
4.49,-3.593792173489309e-06,-0.093741628237165
4.5,-3.120806591818522e-06,-0.08140412055221928
4.51,-2.6367696896713163e-06,-0.06877834667779484
4.5200000000000005,-2.159081300570702e-06,-0.056318169454802385
4.53,-2.0153026765646135e-06,-0.05256780169022915
4.54,-2.3458699706786627e-06,-0.061190425063054235
4.55,-2.515082040035111e-06,-0.06560420697728567
4.5600000000000005,-2.6250586637890245e-06,-0.06847287252082161
4.57,-2.730411844790257e-06,-0.07122093870001622
4.58,-2.968874723338039e-06,-0.07744108094254508
4.59,-2.967065941317674e-06,-0.07739390009191996
4.6000000000000005,-2.9776447992277914e-06,-0.07766984241621445
4.61,-2.6742602576193205e-06,-0.06975626268220578
4.62,-2.257290167737686e-06,-0.058879881059461465
4.63,-2.2366005354787776e-06,-0.05834020605268578
4.64,-2.214499623645976e-06,-0.05776371877665019
4.65,-2.203086686655803e-06,-0.05746602006599041
4.66,-2.494419561925973e-06,-0.06506524026806587
4.67,-2.6448235315446667e-06,-0.06898842567355365
4.68,-2.5638050906393544e-06,-0.06687511466360548
4.69,-2.3411128442460486e-06,-0.061066338650708825
4.7,-2.1087682194857065e-06,-0.05500578690321018
4.71,-1.9068918154530773e-06,-0.049739978001882304
4.72,-1.8695879198115314e-06,-0.048766931217812844
4.73,-1.7053035436825953e-06,-0.044481684834936794
4.74,-1.5223497674966353e-06,-0.03970945983029553
4.75,-1.4671393578675534e-06,-0.03826933378949391
4.76,-1.332604249589494e-06,-0.03476007685525008
4.7700000000000005,-1.4037610064114956e-06,-0.03661615253313047
4.78,-1.5828664400859115e-06,-0.041287996136836085
4.79,-1.9532863619046845e-06,-0.050950148238709275
4.8,-2.271202765873626e-06,-0.05924278173354415
4.8100000000000005,-2.6017241279907642e-06,-0.06786420700142305
4.82,-2.9322496844519402e-06,-0.07648574167591772
4.83,-3.2342171188640794e-06,-0.08436235713109284
4.84,-3.682514408810066e-06,-0.09605588749265598
4.8500000000000005,-3.6452276774500737e-06,-0.09508328842721428
4.86,-3.3176874298163314e-06,-0.08653962350610679
4.87,-2.6812336185650303e-06,-0.06993815806674093
4.88,-1.878217423996689e-06,-0.04899202597403261
4.89,-1.1497772677109611e-06,-0.029991159194009777
4.9,-4.177326974723668e-07,-0.01089627372384816
4.91,-5.363571620502779e-08,-0.0013990512322375282
4.92,5.781582637048782e-07,0.015080865671162532
4.93,1.1252130846891573e-06,0.029350419161860427
4.94,1.457752663070056e-06,0.03802448823037289
4.95,1.379167915328562e-06,0.035974658453838536
4.96,1.3845595481571628e-06,0.036115295534618654
4.97,1.7205330023750462e-06,0.0448789349223326
4.98,2.002719036522492e-06,0.0522395659855046
4.99,2.284651061876268e-06,0.059593571401795616
5.0,2.6142822820601122e-06,0.0681917779218558
5.01,2.50693846756306e-06,0.0653917874197974
5.0200000000000005,2.432348327680109e-06,0.06344615427644375
5.03,2.0569563443010804e-06,0.053654309325386895
5.04,1.6363578593843715e-06,0.04268328348226039
5.05,9.53714849797962e-07,0.02487700417223088
5.0600000000000005,5.247241336952452e-07,0.0136870726779311
5.07,6.554097428908025e-08,0.0017095918042871292
5.08,-2.8204083373596087e-09,-7.3568436090466e-05
5.09,1.1779172282335773e-07,0.0030725170953893595
5.1000000000000005,3.583202544169444e-07,0.00934654049479623
5.11,6.956062236838757e-07,0.01814441594621223
5.12,1.2248494641146857e-06,0.031949366454334625
5.13,1.8424570023726376e-06,0.04805923966150878
5.14,2.067988535536869e-06,0.053942076541614786
5.15,1.937688982101397e-06,0.05054330117899908
5.16,1.5588604087159776e-06,0.04066181511147503
5.17,1.1266796790532094e-06,0.02938867427985636
5.18,8.23501221109464e-07,0.021480470098286956
5.19,6.292502398337865e-07,0.016413565171013698
5.2,1.8824791697782462e-07,0.004910319071851703
5.21,-5.0868977409905885e-08,-0.00132688272970839
5.22,-2.935734397260154e-07,-0.007657663804298943
5.23,-6.792318195208947e-07,-0.017717300733770515
5.24,-9.705726345028635e-07,-0.025316728037836248
5.25,-1.2276055931536725e-06,-0.032021258208580254
5.26,-1.8466271169697165e-06,-0.04816801426877445
5.2700000000000005,-2.4504828104847428e-06,-0.0639191799449522
5.28,-2.899677295444443e-06,-0.07563611302914695
5.29,-3.3628628541231677e-06,-0.08771799376971498
5.3,-3.5900033406077027e-06,-0.09364279910451223
5.3100000000000005,-3.492758699139503e-06,-0.09110623867238309
5.32,-3.6019303975476803e-06,-0.09395390828491465
5.33,-3.5806283397778677e-06,-0.0933982585745961
5.34,-3.6068650544112834e-06,-0.09408262545798833
5.3500000000000005,-3.638540472493024e-06,-0.09490885722730967
