frame,cluster,type,n_pyr_atoms,n_water_atoms,n_water_molecules,n_total_atoms,xyz_file
2,PYR3_PYR4,pair,52,336,84,388,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame002_PYR3_PYR4_water5A.xyz
2,PYR4_PYR5,pair,52,328,82,380,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame002_PYR4_PYR5_water5A.xyz
3,PYR2,monomer,26,168,42,194,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame003_PYR2_water5A.xyz
3,PYR3,monomer,26,168,42,194,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame003_PYR3_water5A.xyz
3,PYR4,monomer,26,152,38,178,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame003_PYR4_water5A.xyz
3,PYR5,monomer,26,176,44,202,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame003_PYR5_water5A.xyz
3,PYR2_PYR3,pair,52,336,84,388,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame003_PYR2_PYR3_water5A.xyz
3,PYR3_PYR4,pair,52,320,80,372,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame003_PYR3_PYR4_water5A.xyz
3,PYR4_PYR5,pair,52,328,82,380,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame003_PYR4_PYR5_water5A.xyz
4,PYR2,monomer,26,164,41,190,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame004_PYR2_water5A.xyz
4,PYR3,monomer,26,164,41,190,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame004_PYR3_water5A.xyz
4,PYR4,monomer,26,156,39,182,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame004_PYR4_water5A.xyz
4,PYR5,monomer,26,164,41,190,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame004_PYR5_water5A.xyz
4,PYR2_PYR3,pair,52,328,82,380,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame004_PYR2_PYR3_water5A.xyz
4,PYR3_PYR4,pair,52,320,80,372,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame004_PYR3_PYR4_water5A.xyz
4,PYR4_PYR5,pair,52,320,80,372,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame004_PYR4_PYR5_water5A.xyz
5,PYR2,monomer,26,144,36,170,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame005_PYR2_water5A.xyz
5,PYR3,monomer,26,192,48,218,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame005_PYR3_water5A.xyz
5,PYR4,monomer,26,180,45,206,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame005_PYR4_water5A.xyz
5,PYR5,monomer,26,188,47,214,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame005_PYR5_water5A.xyz
5,PYR2_PYR3,pair,52,336,84,388,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame005_PYR2_PYR3_water5A.xyz
5,PYR3_PYR4,pair,52,372,93,424,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame005_PYR3_PYR4_water5A.xyz
5,PYR4_PYR5,pair,52,368,92,420,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame005_PYR4_PYR5_water5A.xyz
6,PYR2,monomer,26,140,35,166,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame006_PYR2_water5A.xyz
6,PYR3,monomer,26,156,39,182,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame006_PYR3_water5A.xyz
6,PYR4,monomer,26,172,43,198,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame006_PYR4_water5A.xyz
6,PYR5,monomer,26,164,41,190,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame006_PYR5_water5A.xyz
6,PYR2_PYR3,pair,52,296,74,348,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame006_PYR2_PYR3_water5A.xyz
6,PYR3_PYR4,pair,52,328,82,380,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame006_PYR3_PYR4_water5A.xyz
6,PYR4_PYR5,pair,52,336,84,388,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame006_PYR4_PYR5_water5A.xyz
7,PYR2,monomer,26,192,48,218,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame007_PYR2_water5A.xyz
7,PYR3,monomer,26,192,48,218,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame007_PYR3_water5A.xyz
7,PYR4,monomer,26,164,41,190,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame007_PYR4_water5A.xyz
7,PYR5,monomer,26,196,49,222,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame007_PYR5_water5A.xyz
7,PYR2_PYR3,pair,52,384,96,436,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame007_PYR2_PYR3_water5A.xyz
7,PYR3_PYR4,pair,52,356,89,408,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame007_PYR3_PYR4_water5A.xyz
7,PYR4_PYR5,pair,52,360,90,412,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame007_PYR4_PYR5_water5A.xyz
8,PYR2,monomer,26,160,40,186,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame008_PYR2_water5A.xyz
8,PYR3,monomer,26,148,37,174,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame008_PYR3_water5A.xyz
8,PYR4,monomer,26,160,40,186,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame008_PYR4_water5A.xyz
8,PYR5,monomer,26,156,39,182,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame008_PYR5_water5A.xyz
8,PYR2_PYR3,pair,52,308,77,360,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame008_PYR2_PYR3_water5A.xyz
8,PYR3_PYR4,pair,52,308,77,360,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame008_PYR3_PYR4_water5A.xyz
8,PYR4_PYR5,pair,52,316,79,368,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame008_PYR4_PYR5_water5A.xyz
9,PYR2,monomer,26,176,44,202,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame009_PYR2_water5A.xyz
9,PYR3,monomer,26,164,41,190,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame009_PYR3_water5A.xyz
9,PYR4,monomer,26,168,42,194,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame009_PYR4_water5A.xyz
9,PYR5,monomer,26,168,42,194,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame009_PYR5_water5A.xyz
9,PYR2_PYR3,pair,52,340,85,392,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame009_PYR2_PYR3_water5A.xyz
9,PYR3_PYR4,pair,52,332,83,384,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame009_PYR3_PYR4_water5A.xyz
9,PYR4_PYR5,pair,52,336,84,388,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame009_PYR4_PYR5_water5A.xyz
10,PYR2,monomer,26,164,41,190,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame010_PYR2_water5A.xyz
10,PYR3,monomer,26,160,40,186,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame010_PYR3_water5A.xyz
10,PYR4,monomer,26,172,43,198,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame010_PYR4_water5A.xyz
10,PYR5,monomer,26,152,38,178,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame010_PYR5_water5A.xyz
10,PYR2_PYR3,pair,52,324,81,376,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame010_PYR2_PYR3_water5A.xyz
10,PYR3_PYR4,pair,52,332,83,384,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame010_PYR3_PYR4_water5A.xyz
10,PYR4_PYR5,pair,52,324,81,376,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame010_PYR4_PYR5_water5A.xyz
11,PYR2,monomer,26,152,38,178,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame011_PYR2_water5A.xyz
11,PYR3,monomer,26,164,41,190,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame011_PYR3_water5A.xyz
11,PYR4,monomer,26,184,46,210,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame011_PYR4_water5A.xyz
11,PYR5,monomer,26,188,47,214,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame011_PYR5_water5A.xyz
11,PYR2_PYR3,pair,52,316,79,368,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame011_PYR2_PYR3_water5A.xyz
11,PYR3_PYR4,pair,52,348,87,400,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame011_PYR3_PYR4_water5A.xyz
11,PYR4_PYR5,pair,52,372,93,424,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame011_PYR4_PYR5_water5A.xyz
12,PYR2,monomer,26,164,41,190,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame012_PYR2_water5A.xyz
12,PYR3,monomer,26,184,46,210,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame012_PYR3_water5A.xyz
12,PYR4,monomer,26,132,33,158,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame012_PYR4_water5A.xyz
12,PYR5,monomer,26,160,40,186,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame012_PYR5_water5A.xyz
12,PYR2_PYR3,pair,52,348,87,400,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame012_PYR2_PYR3_water5A.xyz
12,PYR3_PYR4,pair,52,316,79,368,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame012_PYR3_PYR4_water5A.xyz
12,PYR4_PYR5,pair,52,292,73,344,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame012_PYR4_PYR5_water5A.xyz
13,PYR2,monomer,26,156,39,182,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame013_PYR2_water5A.xyz
13,PYR3,monomer,26,152,38,178,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame013_PYR3_water5A.xyz
13,PYR4,monomer,26,140,35,166,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame013_PYR4_water5A.xyz
13,PYR5,monomer,26,172,43,198,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame013_PYR5_water5A.xyz
13,PYR2_PYR3,pair,52,308,77,360,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame013_PYR2_PYR3_water5A.xyz
13,PYR3_PYR4,pair,52,292,73,344,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame013_PYR3_PYR4_water5A.xyz
13,PYR4_PYR5,pair,52,312,78,364,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame013_PYR4_PYR5_water5A.xyz
14,PYR2,monomer,26,176,44,202,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame014_PYR2_water5A.xyz
14,PYR3,monomer,26,180,45,206,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame014_PYR3_water5A.xyz
14,PYR4,monomer,26,144,36,170,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame014_PYR4_water5A.xyz
14,PYR5,monomer,26,180,45,206,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame014_PYR5_water5A.xyz
14,PYR2_PYR3,pair,52,356,89,408,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame014_PYR2_PYR3_water5A.xyz
14,PYR3_PYR4,pair,52,324,81,376,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame014_PYR3_PYR4_water5A.xyz
14,PYR4_PYR5,pair,52,324,81,376,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame014_PYR4_PYR5_water5A.xyz
15,PYR2,monomer,26,180,45,206,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame015_PYR2_water5A.xyz
15,PYR3,monomer,26,172,43,198,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame015_PYR3_water5A.xyz
15,PYR4,monomer,26,172,43,198,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame015_PYR4_water5A.xyz
15,PYR5,monomer,26,188,47,214,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame015_PYR5_water5A.xyz
15,PYR2_PYR3,pair,52,352,88,404,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame015_PYR2_PYR3_water5A.xyz
15,PYR3_PYR4,pair,52,344,86,396,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame015_PYR3_PYR4_water5A.xyz
15,PYR4_PYR5,pair,52,360,90,412,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame015_PYR4_PYR5_water5A.xyz
16,PYR2,monomer,26,176,44,202,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame016_PYR2_water5A.xyz
16,PYR3,monomer,26,192,48,218,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame016_PYR3_water5A.xyz
16,PYR4,monomer,26,164,41,190,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame016_PYR4_water5A.xyz
16,PYR5,monomer,26,196,49,222,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame016_PYR5_water5A.xyz
16,PYR2_PYR3,pair,52,368,92,420,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame016_PYR2_PYR3_water5A.xyz
16,PYR3_PYR4,pair,52,356,89,408,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame016_PYR3_PYR4_water5A.xyz
16,PYR4_PYR5,pair,52,360,90,412,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame016_PYR4_PYR5_water5A.xyz
17,PYR2,monomer,26,184,46,210,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame017_PYR2_water5A.xyz
17,PYR3,monomer,26,164,41,190,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame017_PYR3_water5A.xyz
17,PYR4,monomer,26,192,48,218,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame017_PYR4_water5A.xyz
17,PYR5,monomer,26,192,48,218,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame017_PYR5_water5A.xyz
17,PYR2_PYR3,pair,52,348,87,400,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame017_PYR2_PYR3_water5A.xyz
17,PYR3_PYR4,pair,52,356,89,408,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame017_PYR3_PYR4_water5A.xyz
17,PYR4_PYR5,pair,52,384,96,436,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame017_PYR4_PYR5_water5A.xyz
18,PYR2,monomer,26,164,41,190,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame018_PYR2_water5A.xyz
18,PYR3,monomer,26,172,43,198,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame018_PYR3_water5A.xyz
18,PYR4,monomer,26,172,43,198,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame018_PYR4_water5A.xyz
18,PYR5,monomer,26,200,50,226,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame018_PYR5_water5A.xyz
18,PYR2_PYR3,pair,52,336,84,388,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame018_PYR2_PYR3_water5A.xyz
18,PYR3_PYR4,pair,52,344,86,396,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame018_PYR3_PYR4_water5A.xyz
18,PYR4_PYR5,pair,52,372,93,424,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame018_PYR4_PYR5_water5A.xyz
19,PYR2,monomer,26,176,44,202,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame019_PYR2_water5A.xyz
19,PYR3,monomer,26,192,48,218,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame019_PYR3_water5A.xyz
19,PYR4,monomer,26,176,44,202,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame019_PYR4_water5A.xyz
19,PYR5,monomer,26,192,48,218,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame019_PYR5_water5A.xyz
19,PYR2_PYR3,pair,52,368,92,420,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame019_PYR2_PYR3_water5A.xyz
19,PYR3_PYR4,pair,52,368,92,420,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame019_PYR3_PYR4_water5A.xyz
19,PYR4_PYR5,pair,52,368,92,420,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame019_PYR4_PYR5_water5A.xyz
20,PYR2,monomer,26,188,47,214,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame020_PYR2_water5A.xyz
20,PYR3,monomer,26,168,42,194,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame020_PYR3_water5A.xyz
20,PYR4,monomer,26,192,48,218,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame020_PYR4_water5A.xyz
20,PYR5,monomer,26,188,47,214,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame020_PYR5_water5A.xyz
20,PYR2_PYR3,pair,52,356,89,408,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame020_PYR2_PYR3_water5A.xyz
20,PYR3_PYR4,pair,52,360,90,412,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame020_PYR3_PYR4_water5A.xyz
20,PYR4_PYR5,pair,52,380,95,432,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame020_PYR4_PYR5_water5A.xyz
