end,bridge_atoms_per_attachment,seed_element,bridge_element_sequence,required_annulus_element,seed_parity,orientation,rotation_index,chirality,annulus_center_offset_nm,lateral_distance_minimum_nm,lateral_distance_mean_nm,lateral_distance_maximum_nm,bridge_envelope_minimum_nm,bridge_envelope_maximum_nm,gap_feasible,feasible_gap_minimum_nm,feasible_gap_maximum_nm,selected_gap_nm,selected_distance_minimum_nm,selected_distance_maximum_nm,maximum_envelope_violation_nm,mean_envelope_violation_nm,annulus_center_pass,mapping_geometrically_feasible
LOWER,3,N,B-N-B,N,0,-1,0,-1,9.032006001371982e-16,0.17748247220463345,0.3101872944053991,0.4413636718861929,0.11907209712355424,0.5357503498670351,True,0.05,0.30329999999999996,0.17669999999999997,0.2500417909685325,0.4754364717586062,0.0,0.0,True,True
LOWER,3,N,B-N-B,N,0,-1,1,1,8.682813663295048e-16,0.13182396042540262,1.4329691299941698,2.2037861251575848,0.11907209712355424,0.5357503498670351,False,,,0.05,0.14098647107378598,2.2043532513884183,1.6686029015213832,0.9451757614233721,True,False
LOWER,3,N,B-N-B,N,0,-1,1,-1,9.275727612592775e-16,0.17789103707825174,0.3101536558531139,0.4411209479242166,0.11907209712355424,0.5357503498670351,True,0.05,0.304,0.177,0.2509023328708319,0.47530556013415987,0.0,0.0,True,True
LOWER,3,N,B-N-B,N,0,-1,2,1,9.604637678923139e-16,0.07302763298864583,1.4306011898115554,2.2268697618258386,0.11907209712355424,0.5357503498670351,False,,,0.0706,0.10128125189287221,2.227983677433031,1.692233327565996,0.9481576772652461,True,False
LOWER,3,N,B-N-B,N,0,-1,2,-1,1.0434529898860562e-15,0.177671263222296,0.3102073857218623,0.4412630269850427,0.11907209712355424,0.5357503498670351,True,0.05,0.30379999999999996,0.1769,0.25107037360555723,0.4754014809014289,0.0,0.0,True,True
LOWER,3,N,B-N-B,N,0,-1,3,1,1.0595998508181136e-15,0.17826145704681326,1.4705375698095446,2.3086275865990835,0.11907209712355424,0.5357503498670351,False,,,0.05,0.18515239456297433,2.309163675712118,1.773413325845083,0.9594970015151593,True,False
LOWER,3,N,B-N-B,N,0,-1,3,-1,9.874005235629652e-16,0.17740920660191503,0.31019282865237846,0.44124578585997254,0.11907209712355424,0.5357503498670351,True,0.05,0.304,0.177,0.25043225141802256,0.4753646786361105,0.0,0.0,True,True
LOWER,3,N,B-N-B,N,0,-1,4,1,9.014527440244072e-16,0.33494934666487797,1.4692811509110166,2.3248806180135126,0.11907209712355424,0.5357503498670351,False,,,0.05,0.3386606506531831,2.325430460135706,1.7896801102686708,0.9520248858276056,True,False
LOWER,3,N,B-N-B,N,0,-1,4,-1,8.453039333589471e-16,0.17756260772194762,0.3102165305953929,0.44124459462403065,0.11907209712355424,0.5357503498670351,True,0.05,0.303,0.1765,0.2502106394977795,0.4755012085963085,0.0,0.0,True,True
LOWER,3,N,B-N-B,N,0,-1,5,1,1.0170765455300607e-15,0.2514287839143909,1.4561705968895169,2.3096669656463806,0.11907209712355424,0.5357503498670351,False,,,0.05,0.2563521110704537,2.3102080254128112,1.7744576755457762,0.9509470711512674,True,False
