frequency_ps^-1,spectral_density_proxy
18.140929535232384,2.9751182396066926e-07
18.190904547726134,7.201877799388824e-07
18.240879560219888,5.4334754414373624e-08
18.29085457271364,6.72535736374743e-07
18.340829585207395,1.2113755943417314e-06
18.39080459770115,1.1440369389816933e-06
18.4407796101949,7.016271562961632e-07
18.490754622688655,9.710872927830455e-07
18.54072963518241,5.698915975652462e-07
18.590704647676162,1.4312031121940917e-06
18.640679660169916,7.589790879988474e-07
18.690654672663666,7.765975548586819e-07
18.74062968515742,1.1227217498453498e-06
18.790604697651172,5.146856017736558e-07
18.840579710144926,6.824720128439831e-07
18.89055472263868,9.603638421369617e-07
18.940529735132433,1.1375831412843666e-06
18.990504747626186,1.4100068982203021e-06
19.04047976011994,2.001789904389829e-06
19.090454772613693,1.6320830367369963e-06
19.140429785107447,1.8716773221977563e-06
19.190404797601197,1.5278577796040548e-06
19.24037981009495,1.680159792317326e-06
19.290354822588704,1.781242967201968e-06
19.340329835082457,1.8195931130202058e-06
19.39030484757621,1.681060589578816e-06
19.440279860069964,1.1272769676473735e-06
19.490254872563717,9.32071749843222e-07
19.54022988505747,9.336744341023146e-07
19.590204897551224,9.673667439231033e-07
19.640179910044978,8.170487242361538e-07
19.69015492253873,1.5073694289901682e-06
19.74012993503248,1.4344734151141796e-06
19.790104947526235,7.52991796841181e-07
19.840079960019988,6.542423699224289e-07
19.89005497251374,7.865865039535421e-07
19.940029985007495,7.272739776766751e-07
19.99000499750125,9.029865079442009e-07
20.039980009995002,6.192739101578285e-07
20.089955022488756,5.999809233309863e-07
20.13993003498251,6.20172106247471e-07
20.189905047476262,8.568102673505557e-07
20.239880059970012,1.4097321671523392e-06
20.289855072463766,4.0111255283031364e-07
20.33983008495752,3.7682492105218275e-07
20.389805097451273,6.720911300718313e-07
20.439780109945026,2.4518165158408526e-08
20.48975512243878,4.5820784884448804e-07
20.539730134932533,4.962333972754341e-07
20.589705147426287,7.891305766435995e-07
20.63968015992004,1.088298941540214e-06
20.689655172413794,1.249419583005826e-06
20.739630184907544,1.398407318331954e-06
20.789605197401297,1.4840207338829182e-06
20.83958020989505,1.2937005346170106e-06
20.889555222388804,1.8179948231141542e-06
20.939530234882557,1.3294000225275628e-06
20.98950524737631,1.0770968458988185e-06
21.039480259870064,8.014821413768931e-07
21.089455272363818,6.920177019867471e-07
21.13943028485757,4.7380353324692797e-07
21.189405297351325,1.003540681197607e-06
