frame,time_ps,state_index,state_label,site,family,root,energy_eV,oscillator_strength,S1_S2_gap_meV
18,90.0,3,PYR3_bright,PYR3,bright_like,2,4.089,0.514666779,72.00000000000006
18,90.0,4,PYR4_alternate,PYR4,alternate_like,1,4.022,0.005227546,65.99999999999983
18,90.0,5,PYR4_bright,PYR4,bright_like,2,4.088,0.513302479,65.99999999999983
18,90.0,6,PYR5_alternate,PYR5,alternate_like,2,3.835,0.007279731,81.99999999999986
18,90.0,7,PYR5_bright,PYR5,bright_like,1,3.753,0.647780357,81.99999999999986
19,95.0,0,PYR2_alternate,PYR2,alternate_like,1,3.998,0.005387942,86.99999999999974
19,95.0,1,PYR2_bright,PYR2,bright_like,2,4.085,0.505899823,86.99999999999974
19,95.0,2,PYR3_alternate,PYR3,alternate_like,1,4.009,0.002384253,69.9999999999994
19,95.0,3,PYR3_bright,PYR3,bright_like,2,4.079,0.506260518,69.9999999999994
19,95.0,4,PYR4_alternate,PYR4,alternate_like,1,4.0,0.005415159,88.00000000000009
19,95.0,5,PYR4_bright,PYR4,bright_like,2,4.088,0.509308271,88.00000000000009
19,95.0,6,PYR5_alternate,PYR5,alternate_like,2,3.851,0.018740564,69.99999999999984
19,95.0,7,PYR5_bright,PYR5,bright_like,1,3.781,0.649181293,69.99999999999984
20,100.0,0,PYR2_alternate,PYR2,alternate_like,1,4.01,0.010873752,68.00000000000051
20,100.0,1,PYR2_bright,PYR2,bright_like,2,4.078,0.476937983,68.00000000000051
20,100.0,2,PYR3_alternate,PYR3,alternate_like,1,4.0,0.005212785,65.99999999999983
20,100.0,3,PYR3_bright,PYR3,bright_like,2,4.066,0.499580956,65.99999999999983
20,100.0,4,PYR4_alternate,PYR4,alternate_like,1,4.016,0.006844006,67.00000000000017
20,100.0,5,PYR4_bright,PYR4,bright_like,2,4.083,0.521661364,67.00000000000017
20,100.0,6,PYR5_alternate,PYR5,alternate_like,2,3.848,0.009116058,80.00000000000007
20,100.0,7,PYR5_bright,PYR5,bright_like,1,3.768,0.670424221,80.00000000000007
