frame,time_ps,site,n_atoms,n_carbon_atoms,carbon_centroid_x_A,carbon_centroid_y_A,carbon_centroid_z_A,all_atom_centroid_x_A,all_atom_centroid_y_A,all_atom_centroid_z_A,source_output
11,55.0,PYR2,26,16,53.465624999999996,36.9725,29.99875,53.464999999999996,36.9726923076923,29.99923076923077,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame011_PYR2_embedding/frame011_PYR2_embedding.out
11,55.0,PYR3,26,16,36.971875,53.464375,43.391875,36.97153846153846,53.46423076923077,43.39115384615385,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame011_PYR3_embedding/frame011_PYR3_embedding.out
11,55.0,PYR4,26,16,20.480625,36.971875,56.783750000000005,20.48038461538461,36.97153846153846,56.783076923076926,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame011_PYR4_embedding/frame011_PYR4_embedding.out
11,55.0,PYR5,26,16,36.970000000000006,19.2875,70.175,36.96923076923077,19.290769230769232,70.17499999999998,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame011_PYR5_embedding/frame011_PYR5_embedding.out
12,60.0,PYR2,26,16,53.465624999999996,36.9725,29.99875,53.464999999999996,36.9726923076923,29.99923076923077,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame012_PYR2_embedding/frame012_PYR2_embedding.out
12,60.0,PYR3,26,16,36.971875,53.464375,43.391875,36.97153846153846,53.46423076923077,43.39115384615385,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame012_PYR3_embedding/frame012_PYR3_embedding.out
12,60.0,PYR4,26,16,20.480625,36.971875,56.783750000000005,20.48038461538461,36.97153846153846,56.783076923076926,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame012_PYR4_embedding/frame012_PYR4_embedding.out
12,60.0,PYR5,26,16,36.970000000000006,19.2875,70.175,36.96923076923077,19.290769230769232,70.17499999999998,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame012_PYR5_embedding/frame012_PYR5_embedding.out
13,65.0,PYR2,26,16,53.465624999999996,36.9725,29.99875,53.464999999999996,36.9726923076923,29.99923076923077,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame013_PYR2_embedding/frame013_PYR2_embedding.out
13,65.0,PYR3,26,16,36.971875,53.464375,43.391875,36.97153846153846,53.46423076923077,43.39115384615385,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame013_PYR3_embedding/frame013_PYR3_embedding.out
13,65.0,PYR4,26,16,20.480625,36.971875,56.783750000000005,20.48038461538461,36.97153846153846,56.783076923076926,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame013_PYR4_embedding/frame013_PYR4_embedding.out
13,65.0,PYR5,26,16,36.970000000000006,19.2875,70.175,36.96923076923077,19.290769230769232,70.17499999999998,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame013_PYR5_embedding/frame013_PYR5_embedding.out
14,70.0,PYR2,26,16,53.465624999999996,36.9725,29.99875,53.464999999999996,36.9726923076923,29.99923076923077,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame014_PYR2_embedding/frame014_PYR2_embedding.out
14,70.0,PYR3,26,16,36.971875,53.464375,43.391875,36.97153846153846,53.46423076923077,43.39115384615385,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame014_PYR3_embedding/frame014_PYR3_embedding.out
14,70.0,PYR4,26,16,20.480625,36.971875,56.783750000000005,20.48038461538461,36.97153846153846,56.783076923076926,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame014_PYR4_embedding/frame014_PYR4_embedding.out
14,70.0,PYR5,26,16,36.970000000000006,19.2875,70.175,36.96923076923077,19.290769230769232,70.17499999999998,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame014_PYR5_embedding/frame014_PYR5_embedding.out
15,75.0,PYR2,26,16,53.465624999999996,36.9725,29.99875,53.464999999999996,36.9726923076923,29.99923076923077,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame015_PYR2_embedding/frame015_PYR2_embedding.out
15,75.0,PYR3,26,16,36.971875,53.464375,43.391875,36.97153846153846,53.46423076923077,43.39115384615385,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame015_PYR3_embedding/frame015_PYR3_embedding.out
15,75.0,PYR4,26,16,20.480625,36.971875,56.783750000000005,20.48038461538461,36.97153846153846,56.783076923076926,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame015_PYR4_embedding/frame015_PYR4_embedding.out
15,75.0,PYR5,26,16,36.970000000000006,19.2875,70.175,36.96923076923077,19.290769230769232,70.17499999999998,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame015_PYR5_embedding/frame015_PYR5_embedding.out
16,80.0,PYR2,26,16,53.465624999999996,36.9725,29.99875,53.464999999999996,36.9726923076923,29.99923076923077,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame016_PYR2_embedding/frame016_PYR2_embedding.out
16,80.0,PYR3,26,16,36.971875,53.464375,43.391875,36.97153846153846,53.46423076923077,43.39115384615385,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame016_PYR3_embedding/frame016_PYR3_embedding.out
16,80.0,PYR4,26,16,20.480625,36.971875,56.783750000000005,20.48038461538461,36.97153846153846,56.783076923076926,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame016_PYR4_embedding/frame016_PYR4_embedding.out
16,80.0,PYR5,26,16,36.970000000000006,19.2875,70.175,36.96923076923077,19.290769230769232,70.17499999999998,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame016_PYR5_embedding/frame016_PYR5_embedding.out
17,85.0,PYR2,26,16,53.465624999999996,36.9725,29.99875,53.464999999999996,36.9726923076923,29.99923076923077,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame017_PYR2_embedding/frame017_PYR2_embedding.out
17,85.0,PYR3,26,16,36.971875,53.464375,43.391875,36.97153846153846,53.46423076923077,43.39115384615385,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame017_PYR3_embedding/frame017_PYR3_embedding.out
17,85.0,PYR4,26,16,20.480625,36.971875,56.783750000000005,20.48038461538461,36.97153846153846,56.783076923076926,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame017_PYR4_embedding/frame017_PYR4_embedding.out
17,85.0,PYR5,26,16,36.970000000000006,19.2875,70.175,36.96923076923077,19.290769230769232,70.17499999999998,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame017_PYR5_embedding/frame017_PYR5_embedding.out
18,90.0,PYR2,26,16,53.465624999999996,36.9725,29.99875,53.464999999999996,36.9726923076923,29.99923076923077,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame018_PYR2_embedding/frame018_PYR2_embedding.out
18,90.0,PYR3,26,16,36.971875,53.464375,43.391875,36.97153846153846,53.46423076923077,43.39115384615385,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame018_PYR3_embedding/frame018_PYR3_embedding.out
18,90.0,PYR4,26,16,20.480625,36.971875,56.783750000000005,20.48038461538461,36.97153846153846,56.783076923076926,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame018_PYR4_embedding/frame018_PYR4_embedding.out
18,90.0,PYR5,26,16,36.970000000000006,19.2875,70.175,36.96923076923077,19.290769230769232,70.17499999999998,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame018_PYR5_embedding/frame018_PYR5_embedding.out
19,95.0,PYR2,26,16,53.465624999999996,36.9725,29.99875,53.464999999999996,36.9726923076923,29.99923076923077,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame019_PYR2_embedding/frame019_PYR2_embedding.out
19,95.0,PYR3,26,16,36.971875,53.464375,43.391875,36.97153846153846,53.46423076923077,43.39115384615385,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame019_PYR3_embedding/frame019_PYR3_embedding.out
19,95.0,PYR4,26,16,20.480625,36.971875,56.783750000000005,20.48038461538461,36.97153846153846,56.783076923076926,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame019_PYR4_embedding/frame019_PYR4_embedding.out
19,95.0,PYR5,26,16,36.970000000000006,19.2875,70.175,36.96923076923077,19.290769230769232,70.17499999999998,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame019_PYR5_embedding/frame019_PYR5_embedding.out
20,100.0,PYR2,26,16,53.465624999999996,36.9725,29.99875,53.464999999999996,36.9726923076923,29.99923076923077,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame020_PYR2_embedding/frame020_PYR2_embedding.out
20,100.0,PYR3,26,16,36.971875,53.464375,43.391875,36.97153846153846,53.46423076923077,43.39115384615385,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame020_PYR3_embedding/frame020_PYR3_embedding.out
20,100.0,PYR4,26,16,20.480625,36.971875,56.783750000000005,20.48038461538461,36.97153846153846,56.783076923076926,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame020_PYR4_embedding/frame020_PYR4_embedding.out
20,100.0,PYR5,26,16,36.970000000000006,19.2875,70.175,36.96923076923077,19.290769230769232,70.17499999999998,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame020_PYR5_embedding/frame020_PYR5_embedding.out
