edge_index,source_node,target_node,source_element,target_element,source_type,target_type,bond_class,distance_nm,target_nm,absolute_deviation_nm
19,P:12,P:13,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
20,P:13,P:70,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14456140563788109,0.144973,0.00041159436211890554
21,P:13,P:72,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14439182802361047,0.144973,0.0005811719763895162
22,P:14,P:15,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
23,P:15,P:72,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14477568856683093,0.144973,0.00019731143316906175
24,P:15,P:74,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1452446212429224,0.144973,0.0002716212429224041
25,P:16,P:17,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
26,P:17,P:74,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1443779761598008,0.144973,0.0005950238401991881
27,P:17,P:76,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14477568856683093,0.144973,0.00019731143316906175
28,P:18,P:19,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
29,P:19,P:76,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14439182802361084,0.144973,0.0005811719763891554
30,P:19,P:78,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14456140563788109,0.144973,0.00041159436211890554
31,P:20,P:21,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
32,P:21,P:78,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14483438818181293,0.144973,0.0001386118181870566
33,P:21,P:80,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1455369368923229,0.144973,0.0005639368923228971
34,P:22,P:23,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
35,P:23,P:80,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14433987668000817,0.144973,0.000633123319991824
36,P:23,P:82,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14439182802361086,0.144973,0.0005811719763891277
37,P:24,P:25,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
38,P:25,P:82,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14501379244747725,0.144973,4.0792447477261407e-05
39,P:25,P:84,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1443364125922496,0.144973,0.000636587407750383
40,P:26,P:27,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
41,P:27,P:84,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14483438818181277,0.144973,0.00013861181818722312
42,P:27,P:86,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14456140563788109,0.144973,0.00041159436211890554
43,P:28,P:29,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
44,P:29,P:86,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14461673485458001,0.144973,0.0003562651454199761
45,P:29,P:88,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1446409347314931,0.144973,0.00033206526850690365
46,P:30,P:31,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
47,P:31,P:88,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14528936643815327,0.144973,0.00031636643815327603
48,P:31,P:90,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14442298985964805,0.144973,0.000550010140351942
49,P:32,P:33,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
50,P:33,P:90,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1446409347314931,0.144973,0.00033206526850690365
51,P:33,P:92,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14461673485458038,0.144973,0.0003562651454196153
52,P:34,P:35,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
53,P:35,P:92,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14456140563788109,0.144973,0.00041159436211890554
54,P:35,P:94,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14483438818181277,0.144973,0.00013861181818722312
55,P:36,P:37,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
56,P:37,P:94,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14506550244630867,0.144973,9.250244630867877e-05
57,P:37,P:96,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1443398766800084,0.144973,0.000633123319991602
58,P:38,P:39,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
59,P:39,P:96,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14500344823486094,0.144973,3.0448234860952494e-05
60,P:39,P:98,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1443398766800084,0.144973,0.000633123319991602
61,P:40,P:41,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
62,P:41,P:98,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14506550244630867,0.144973,9.250244630867877e-05
63,P:41,P:100,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14483438818181277,0.144973,0.00013861181818722312
64,P:42,P:43,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
65,P:43,P:100,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14456140563788109,0.144973,0.00041159436211890554
66,P:43,P:102,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14461673485458038,0.144973,0.0003562651454196153
67,P:44,P:45,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
68,P:45,P:102,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1446409347314931,0.144973,0.00033206526850690365
69,P:45,P:104,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14442298985964805,0.144973,0.000550010140351942
70,P:46,P:47,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
71,P:47,P:104,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14528936643815327,0.144973,0.00031636643815327603
72,P:47,P:106,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1446409347314931,0.144973,0.00033206526850690365
73,P:48,P:49,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
74,P:49,P:106,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14461673485458001,0.144973,0.0003562651454199761
75,P:49,P:108,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14456140563788109,0.144973,0.00041159436211890554
76,P:50,P:51,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
77,P:51,P:108,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14483438818181277,0.144973,0.00013861181818722312
78,P:51,P:110,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1443364125922496,0.144973,0.000636587407750383
79,P:52,P:53,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
80,P:53,P:110,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14501379244747725,0.144973,4.0792447477261407e-05
81,P:53,P:112,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14439182802361086,0.144973,0.0005811719763891277
82,P:54,P:55,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
83,P:55,P:112,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14433987668000817,0.144973,0.000633123319991824
84,P:55,P:114,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1455369368923229,0.144973,0.0005639368923228971
85,P:56,P:57,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
86,P:57,P:114,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14483438818181293,0.144973,0.0001386118181870566
87,P:57,P:116,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14456140563788109,0.144973,0.00041159436211890554
88,P:58,P:59,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
89,P:59,P:116,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14439182802361084,0.144973,0.0005811719763891554
90,P:59,P:118,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14477568856683093,0.144973,0.00019731143316906175
91,P:60,P:61,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
92,P:61,P:120,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14527560015363902,0.144973,0.00030260015363903214
93,P:61,P:178,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14574292435655314,0.144973,0.0007699243565531533
94,P:62,P:63,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
95,P:63,P:120,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14489306401619054,0.144973,7.993598380945377e-05
96,P:63,P:122,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1450620556865233,0.144973,8.905568652331497e-05
97,P:64,P:65,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
98,P:65,P:122,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14533409785731655,0.144973,0.00036109785731655575
99,P:65,P:124,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14531001341958535,0.144973,0.00033701341958536357
100,P:66,P:67,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
101,P:67,P:124,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14551288602732038,0.144973,0.0005398860273203854
102,P:67,P:126,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14428097587693264,0.144973,0.0006920241230673474
103,P:68,P:69,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
104,P:69,P:126,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14551288602732038,0.144973,0.0005398860273203854
105,P:69,P:128,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14531001341958535,0.144973,0.00033701341958536357
106,P:70,P:71,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
107,P:71,P:128,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14533409785731655,0.144973,0.00036109785731655575
108,P:71,P:130,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1450620556865233,0.144973,8.905568652331497e-05
109,P:72,P:73,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
110,P:73,P:130,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14489306401619054,0.144973,7.993598380945377e-05
111,P:73,P:132,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14527560015363902,0.144973,0.00030260015363903214
112,P:74,P:75,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
113,P:75,P:132,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14574292435655314,0.144973,0.0007699243565531533
114,P:75,P:134,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14487926007541588,0.144973,9.373992458411307e-05
115,P:76,P:77,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
116,P:77,P:134,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14527560015363902,0.144973,0.00030260015363903214
117,P:77,P:136,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1448930640161909,0.144973,7.993598380909295e-05
118,P:78,P:79,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
119,P:79,P:136,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1450620556865233,0.144973,8.905568652331497e-05
120,P:79,P:138,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14533409785731655,0.144973,0.00036109785731655575
121,P:80,P:81,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
122,P:81,P:138,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1460342425597502,0.144973,0.0010612425597502084
123,P:81,P:140,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14484129245487956,0.144973,0.0001317075451204297
124,P:82,P:83,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
125,P:83,P:140,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14489306401619093,0.144973,7.993598380906519e-05
126,P:83,P:142,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1455128860273206,0.144973,0.0005398860273206074
127,P:84,P:85,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
128,P:85,P:142,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1448378403594865,0.144973,0.00013515964051349916
129,P:85,P:144,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14533409785731635,0.144973,0.00036109785731636146
130,P:86,P:87,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
131,P:87,P:144,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1450620556865233,0.144973,8.905568652331497e-05
132,P:87,P:146,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14511719401917844,0.144973,0.00014419401917845076
133,P:88,P:89,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
134,P:89,P:146,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14514131045295142,0.144973,0.0001683104529514312
135,P:89,P:148,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1457875166123628,0.144973,0.0008145166123628145
136,P:90,P:91,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
137,P:91,P:148,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1449241180756329,0.144973,4.8881924367083496e-05
138,P:91,P:150,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14514131045295142,0.144973,0.0001683104529514312
139,P:92,P:93,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
140,P:93,P:150,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1451171940191788,0.144973,0.00014419401917881158
141,P:93,P:152,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1450620556865233,0.144973,8.905568652331497e-05
142,P:94,P:95,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
143,P:95,P:152,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14533409785731635,0.144973,0.00036109785731636146
144,P:95,P:154,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1455644187293034,0.144973,0.0005914187293034057
145,P:96,P:97,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
146,P:97,P:154,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14484129245487978,0.144973,0.00013170754512020766
147,P:97,P:156,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14550257729676125,0.144973,0.0005295772967612578
148,P:98,P:99,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
149,P:99,P:156,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14484129245487978,0.144973,0.00013170754512020766
150,P:99,P:158,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1455644187293034,0.144973,0.0005914187293034057
151,P:100,P:101,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
152,P:101,P:158,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14533409785731635,0.144973,0.00036109785731636146
153,P:101,P:160,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1450620556865233,0.144973,8.905568652331497e-05
154,P:102,P:103,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
155,P:103,P:160,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1451171940191788,0.144973,0.00014419401917881158
156,P:103,P:162,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14514131045295142,0.144973,0.0001683104529514312
157,P:104,P:105,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
158,P:105,P:162,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1449241180756329,0.144973,4.8881924367083496e-05
159,P:105,P:164,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1457875166123628,0.144973,0.0008145166123628145
160,P:106,P:107,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
161,P:107,P:164,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14514131045295142,0.144973,0.0001683104529514312
162,P:107,P:166,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14511719401917844,0.144973,0.00014419401917845076
163,P:108,P:109,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
164,P:109,P:166,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1450620556865233,0.144973,8.905568652331497e-05
165,P:109,P:168,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14533409785731635,0.144973,0.00036109785731636146
166,P:110,P:111,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
167,P:111,P:168,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1448378403594865,0.144973,0.00013515964051349916
168,P:111,P:170,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1455128860273206,0.144973,0.0005398860273206074
169,P:112,P:113,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
170,P:113,P:170,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14489306401619093,0.144973,7.993598380906519e-05
171,P:113,P:172,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14484129245487956,0.144973,0.0001317075451204297
172,P:114,P:115,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
173,P:115,P:172,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1460342425597502,0.144973,0.0010612425597502084
174,P:115,P:174,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14533409785731655,0.144973,0.00036109785731655575
175,P:116,P:117,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
176,P:117,P:174,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1450620556865233,0.144973,8.905568652331497e-05
177,P:117,P:176,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1448930640161909,0.144973,7.993598380909295e-05
178,P:118,P:119,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
179,P:119,P:176,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14527560015363902,0.144973,0.00030260015363903214
180,P:119,P:178,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14487926007541588,0.144973,9.373992458411307e-05
181,P:120,P:121,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
182,P:121,P:180,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14439182802361047,0.144973,0.0005811719763895162
183,P:121,P:238,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14477568856683093,0.144973,0.00019731143316906175
184,P:122,P:123,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
185,P:123,P:180,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14456140563788109,0.144973,0.00041159436211890554
186,P:123,P:182,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14483438818181293,0.144973,0.0001386118181870566
187,P:124,P:125,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
188,P:125,P:182,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14481022063376636,0.144973,0.00016277936623362854
189,P:125,P:184,N,B,PARENT_HBN,PARENT_HBN,B-N,0.145013792447477,0.144973,4.0792447477011606e-05
190,P:126,P:127,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
191,P:127,P:184,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14377760604489156,0.144973,0.0011953939551084258
192,P:127,P:186,N,B,PARENT_HBN,PARENT_HBN,B-N,0.145013792447477,0.144973,4.0792447477011606e-05
193,P:128,P:129,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
194,P:129,P:186,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14481022063376636,0.144973,0.00016277936623362854
195,P:129,P:188,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14483438818181293,0.144973,0.0001386118181870566
196,P:130,P:131,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
197,P:131,P:188,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14456140563788109,0.144973,0.00041159436211890554
198,P:131,P:190,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14439182802361047,0.144973,0.0005811719763895162
199,P:132,P:133,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
200,P:133,P:190,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14477568856683093,0.144973,0.00019731143316906175
201,P:133,P:192,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1452446212429224,0.144973,0.0002716212429224041
202,P:134,P:135,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
203,P:135,P:192,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1443779761598008,0.144973,0.0005950238401991881
204,P:135,P:194,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14477568856683093,0.144973,0.00019731143316906175
205,P:136,P:137,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
206,P:137,P:194,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14439182802361084,0.144973,0.0005811719763891554
207,P:137,P:196,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14456140563788109,0.144973,0.00041159436211890554
208,P:138,P:139,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
209,P:139,P:196,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14483438818181293,0.144973,0.0001386118181870566
210,P:139,P:198,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1455369368923229,0.144973,0.0005639368923228971
211,P:140,P:141,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
212,P:141,P:198,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14433987668000817,0.144973,0.000633123319991824
213,P:141,P:200,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14439182802361086,0.144973,0.0005811719763891277
214,P:142,P:143,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
215,P:143,P:200,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14501379244747725,0.144973,4.0792447477261407e-05
216,P:143,P:202,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1443364125922496,0.144973,0.000636587407750383
217,P:144,P:145,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
218,P:145,P:202,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14483438818181277,0.144973,0.00013861181818722312
219,P:145,P:204,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14456140563788109,0.144973,0.00041159436211890554
220,P:146,P:147,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
221,P:147,P:204,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14461673485458001,0.144973,0.0003562651454199761
222,P:147,P:206,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1446409347314931,0.144973,0.00033206526850690365
223,P:148,P:149,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
224,P:149,P:206,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14528936643815327,0.144973,0.00031636643815327603
225,P:149,P:208,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14442298985964805,0.144973,0.000550010140351942
226,P:150,P:151,B,N,PARENT_HBN,PARENT_HBN,B-N,0.14500000000000002,0.144973,2.7000000000027002e-05
227,P:151,P:208,N,B,PARENT_HBN,PARENT_HBN,B-N,0.1446409347314931,0.144973,0.00033206526850690365
228,P:151,P:210,N,B,PARENT_HBN,PARENT_HBN,B-N,0.14461673485458038,0.144973,0.0003562651454196153
