calculation_type,frame,cluster,job,tracked_root,is_tracked_root,root,hole_orbital,hole_spin,particle_orbital,particle_spin,occupation
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,False,2,43,a,62,a,0.00015236
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,False,2,42,a,63,a,0.0001388
embedded,5,PYR5,frame005_PYR5_embedding_nto_s1_s2,1,False,2,41,a,64,a,0.00012147
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,True,1,52,a,53,a,0.87956822
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,True,1,51,a,54,a,0.08952215
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,True,1,50,a,55,a,0.00848955
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,True,1,49,a,56,a,0.00336595
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,True,1,48,a,57,a,0.00237282
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,True,1,47,a,58,a,0.00217239
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,True,1,46,a,59,a,0.00210615
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,True,1,45,a,60,a,0.00168054
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,True,1,44,a,61,a,0.00153115
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,True,1,43,a,62,a,0.00136328
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,True,1,42,a,63,a,0.00129601
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,True,1,41,a,64,a,0.00094825
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,True,1,40,a,65,a,0.00079728
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,True,1,39,a,66,a,0.00069704
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,True,1,38,a,67,a,0.00050516
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,True,1,37,a,68,a,0.000402
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,True,1,36,a,69,a,0.00038966
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,True,1,35,a,70,a,0.00036161
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,True,1,34,a,71,a,0.00035223
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,True,1,33,a,72,a,0.00031916
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,True,1,32,a,73,a,0.00030437
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,True,1,31,a,74,a,0.00028622
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,True,1,30,a,75,a,0.0001921
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,True,1,29,a,76,a,0.00016158
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,True,1,28,a,77,a,0.00015081
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,True,1,27,a,78,a,0.00011541
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,False,2,52,a,53,a,0.61148015
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,False,2,51,a,54,a,0.35735875
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,False,2,50,a,55,a,0.01533754
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,False,2,49,a,56,a,0.01371662
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,False,2,48,a,57,a,0.0005029
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,False,2,47,a,58,a,0.00041534
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,False,2,46,a,59,a,0.00015057
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,False,2,45,a,60,a,0.0001321
embedded,13,PYR5,frame013_PYR5_embedding_nto_s1_s2,1,False,2,44,a,61,a,0.00010914
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,False,1,52,a,53,a,0.52346818
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,False,1,51,a,54,a,0.447566
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,False,1,50,a,55,a,0.01389662
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,False,1,49,a,56,a,0.01329712
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,False,1,48,a,57,a,0.00040041
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,False,1,47,a,58,a,0.00039475
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,False,1,46,a,59,a,0.0001178
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,False,1,45,a,60,a,0.0001145
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,True,2,52,a,53,a,0.84685883
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,True,2,51,a,54,a,0.12769211
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,True,2,50,a,55,a,0.00605701
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,True,2,49,a,56,a,0.00259528
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,True,2,48,a,57,a,0.00244939
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,True,2,47,a,58,a,0.00163085
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,True,2,46,a,59,a,0.00158481
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,True,2,45,a,60,a,0.00143406
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,True,2,44,a,61,a,0.00138644
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,True,2,43,a,62,a,0.00114439
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,True,2,42,a,63,a,0.00114298
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,True,2,41,a,64,a,0.00085101
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,True,2,40,a,65,a,0.00071921
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,True,2,39,a,66,a,0.00060983
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,True,2,38,a,67,a,0.00045541
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,True,2,37,a,68,a,0.00041418
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,True,2,36,a,69,a,0.00039505
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,True,2,35,a,70,a,0.0003486
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,True,2,34,a,71,a,0.00030047
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,True,2,33,a,72,a,0.00028668
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,True,2,32,a,73,a,0.00027711
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,True,2,31,a,74,a,0.00024767
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,True,2,30,a,75,a,0.00016282
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,True,2,29,a,76,a,0.00015907
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,True,2,28,a,77,a,0.00012611
vacuum_reference,0,PYR2,frame000_PYR2_vacuum_reference_nto_s1_s2,2,True,2,27,a,78,a,0.00012044
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,False,1,52,a,53,a,0.52107006
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,False,1,51,a,54,a,0.4499098
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,False,1,50,a,55,a,0.01393733
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,False,1,49,a,56,a,0.01330905
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,False,1,48,a,57,a,0.00040068
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,False,1,47,a,58,a,0.00039817
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,False,1,46,a,59,a,0.00011722
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,False,1,45,a,60,a,0.00011445
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,True,2,52,a,53,a,0.84918055
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,True,2,51,a,54,a,0.12522478
