radius_nm,lower_energy_kJ_mol,lower_energy_kBT,upper_energy_kJ_mol,upper_energy_kBT
0.22,0.011153294461317761,0.004471443304492265,0.011153294461317761,0.004471443304492265
0.221,0.011481331271280605,0.004602955836742046,0.011481331271280605,0.004602955836742046
0.222,0.011819900566052177,0.004738690924833153,0.011819900566052177,0.004738690924833153
0.223,0.012169363221282455,0.004878793246646585,0.012169363221282455,0.004878793246646585
0.224,0.012530093102120006,0.0050234126876552996,0.012530093102120006,0.0050234126876552996
0.225,0.012902477547092313,0.005172704534915625,0.012902477547092313,0.005172704534915625
0.226,0.013286917870397503,0.005326829678439966,0.013286917870397503,0.005326829678439966
0.227,0.013683829883310544,0.005485954820232634,0.013683829883310544,0.005485954820232634
0.228,0.014093644435440174,0.005650252691284002,0.014093644435440174,0.005650252691284002
0.229,0.014516807976595936,0.005819902276827413,0.014516807976595936,0.005819902276827413
0.23,0.014953783140058784,0.005995089050176935,0.014953783140058784,0.005995089050176935
0.231,0.015405049348072297,0.006176005215473555,0.015405049348072297,0.006176005215473555
0.232,0.015871103440409533,0.006362849959682553,0.015871103440409533,0.006362849959682553
0.233,0.016352460326897418,0.00655582971419566,0.016352460326897418,0.00655582971419566
0.234,0.016849653664820184,0.00675515842640741,0.016849653664820184,0.00675515842640741
0.23500000000000001,0.017363236562150726,0.006961057841646113,0.017363236562150726,0.006961057841646113
0.23600000000000002,0.017893782307602135,0.007173757795857245,0.017893782307602135,0.007173757795857245
0.23700000000000002,0.018441885128523832,0.007393496519449958,0.018441885128523832,0.007393496519449958
0.23800000000000002,0.019008160977711346,0.007620520952735297,0.019008160977711346,0.007620520952735297
0.23900000000000002,0.019593248350231286,0.007855087073397745,0.019593248350231286,0.007855087073397745
0.24,0.020197809131413117,0.008097460236461775,0.020197809131413117,0.008097460236461775
0.241,0.020822529477195924,0.008347915527229788,0.020822529477195924,0.008347915527229788
0.242,0.021468120728071072,0.0086067381276889,0.021468120728071072,0.0086067381276889
0.243,0.02213532035789788,0.008874223696898585,0.02213532035789788,0.008874223696898585
0.244,0.02282489295892846,0.00915067876589487,0.02282489295892846,0.00915067876589487
0.245,0.023537631264421092,0.009436421147664074,0.023537631264421092,0.009436421147664074
