source_segment,time_ps,lumen_occupancy,initial_lumen_waters_retained,initial_lumen_identity_retention_fraction,noninitial_lumen_waters,minimum_CAP_OW_distance_nm
continuation_20_to_50ps,23.0,418,416,0.9719626168224299,2,0.19483560152430995
continuation_20_to_50ps,23.5,417,415,0.969626168224299,2,0.19137942111106176
continuation_20_to_50ps,24.0,417,415,0.969626168224299,2,0.18619075321357006
continuation_20_to_50ps,24.5,418,416,0.9719626168224299,2,0.19239030743659788
continuation_20_to_50ps,25.0,416,414,0.9672897196261683,2,0.18467814450936235
continuation_20_to_50ps,25.5,417,415,0.969626168224299,2,0.19090037790617698
continuation_20_to_50ps,26.0,417,415,0.969626168224299,2,0.18574436504711703
continuation_20_to_50ps,26.5,415,413,0.9649532710280374,2,0.18774689396861388
continuation_20_to_50ps,27.0,415,413,0.9649532710280374,2,0.20284241273246795
continuation_20_to_50ps,27.5,418,416,0.9719626168224299,2,0.19765866112974453
continuation_20_to_50ps,28.0,415,413,0.9649532710280374,2,0.19213526761009647
continuation_20_to_50ps,28.5,414,412,0.9626168224299065,2,0.1875605556518839
continuation_20_to_50ps,29.0,415,413,0.9649532710280374,2,0.1970098485669657
continuation_20_to_50ps,29.5,416,414,0.9672897196261683,2,0.184068019360881
continuation_20_to_50ps,30.0,416,414,0.9672897196261683,2,0.1861209795886715
continuation_20_to_50ps,30.5,417,415,0.969626168224299,2,0.19862758650684226
continuation_20_to_50ps,31.0,416,414,0.9672897196261683,2,0.19768653732875802
continuation_20_to_50ps,31.5,416,414,0.9672897196261683,2,0.21167186512410507
continuation_20_to_50ps,32.0,413,411,0.9602803738317757,2,0.19592047522379658
continuation_20_to_50ps,32.5,414,412,0.9626168224299065,2,0.19690087836811426
continuation_20_to_50ps,33.0,415,413,0.9649532710280374,2,0.18232119745926423
continuation_20_to_50ps,33.5,415,413,0.9649532710280374,2,0.18573657539514016
continuation_20_to_50ps,34.0,413,411,0.9602803738317757,2,0.17321420257421483
continuation_20_to_50ps,34.5,414,412,0.9626168224299065,2,0.18104683867498353
continuation_20_to_50ps,35.0,413,411,0.9602803738317757,2,0.19874877599219712
continuation_20_to_50ps,35.5,412,410,0.9579439252336449,2,0.19498489090531387
continuation_20_to_50ps,36.0,411,409,0.955607476635514,2,0.19370339972448725
continuation_20_to_50ps,36.5,411,409,0.955607476635514,2,0.1796744809739
continuation_20_to_50ps,37.0,412,410,0.9579439252336449,2,0.18029720768631116
continuation_20_to_50ps,37.5,412,410,0.9579439252336449,2,0.19304373005723507
continuation_20_to_50ps,38.0,410,408,0.9532710280373832,2,0.1874807357461118
continuation_20_to_50ps,38.5,414,412,0.9626168224299065,2,0.19185396903642665
continuation_20_to_50ps,39.0,411,409,0.955607476635514,2,0.19391989345963162
continuation_20_to_50ps,39.5,409,407,0.9509345794392523,2,0.18662537733018084
continuation_20_to_50ps,40.0,411,409,0.955607476635514,2,0.19364387301055191
continuation_20_to_50ps,40.5,413,411,0.9602803738317757,2,0.18350461229572237
continuation_20_to_50ps,41.0,412,410,0.9579439252336449,2,0.18194503457222558
continuation_20_to_50ps,41.5,411,409,0.955607476635514,2,0.19124061499615025
continuation_20_to_50ps,42.0,413,411,0.9602803738317757,2,0.19421886564773677
continuation_20_to_50ps,42.5,411,409,0.955607476635514,2,0.18769360959540424
continuation_20_to_50ps,43.0,412,410,0.9579439252336449,2,0.19241074444330938
continuation_20_to_50ps,43.5,410,408,0.9532710280373832,2,0.1936336060810306
continuation_20_to_50ps,44.0,410,408,0.9532710280373832,2,0.1742267055184603
continuation_20_to_50ps,44.5,411,409,0.955607476635514,2,0.18748025657009282
continuation_20_to_50ps,45.0,410,408,0.9532710280373832,2,0.18962331667758012
continuation_20_to_50ps,45.5,409,407,0.9509345794392523,2,0.166949158747368
continuation_20_to_50ps,46.0,413,411,0.9602803738317757,2,0.1876411974883443
continuation_20_to_50ps,46.5,414,412,0.9626168224299065,2,0.1919112059392613
continuation_20_to_50ps,47.0,412,410,0.9579439252336449,2,0.1827177741039619
continuation_20_to_50ps,47.5,414,412,0.9626168224299065,2,0.19021531395189903
continuation_20_to_50ps,48.0,415,413,0.9649532710280374,2,0.172641420637472
continuation_20_to_50ps,48.5,411,409,0.955607476635514,2,0.19070656218143353
continuation_20_to_50ps,49.0,412,410,0.9579439252336449,2,0.18813030154855176
continuation_20_to_50ps,49.5,411,409,0.955607476635514,2,0.1789526940607524
continuation_20_to_50ps,50.0,411,409,0.955607476635514,2,0.1935769572839583
