atom,name,r_ref_nm,r_cur_nm,delta_r_nm
1310,N1310,1.20737,1.22131,0.01394
1311,B1311,1.20700,1.20980,0.00280
1312,N1312,1.20791,1.21330,0.00539
1313,B1313,1.20727,1.22037,0.01309
1314,N1314,1.20727,1.22117,0.01390
1315,B1315,1.20774,1.24416,0.03643
1316,N1316,1.20774,1.24679,0.03906
1317,B1317,1.20717,1.26781,0.06063
1318,N1318,1.20815,1.26797,0.05981
1319,B1319,1.20589,1.28298,0.07709
1320,N1320,1.20681,1.29011,0.08330
1321,B1321,1.20724,1.29717,0.08993
1322,N1322,1.20798,1.30003,0.09204
1323,B1323,1.20640,1.27954,0.07314
1324,N1324,1.20780,1.28496,0.07717
1325,B1325,1.20657,1.26020,0.05363
1326,N1326,1.20789,1.26038,0.05249
1327,B1327,1.20660,1.24781,0.04121
1328,N1328,1.20660,1.24148,0.03487
1329,B1329,1.20627,1.23928,0.03302
1330,N1330,1.20727,1.22933,0.02207
1331,B1331,1.20651,1.23487,0.02836
1332,N1332,1.20671,1.21917,0.01246
1333,B1333,1.20638,1.20733,0.00095
1334,N1334,1.20770,1.20155,-0.00615
1335,B1335,1.20671,1.17424,-0.03247
1336,N1336,1.20811,1.17820,-0.02991
1337,B1337,1.20622,1.13761,-0.06861
1338,N1338,1.20838,1.14193,-0.06645
1339,B1339,1.20686,1.10695,-0.09991
1340,N1340,1.20772,1.11132,-0.09641
1341,B1341,1.20710,1.08301,-0.12409
1342,N1342,1.20836,1.08948,-0.11888
1343,B1343,1.20689,1.08734,-0.11955
1344,N1344,1.20788,1.08625,-0.12163
1345,B1345,1.20694,1.09243,-0.11451
1346,N1346,1.20793,1.08514,-0.12279
1347,B1347,1.20630,1.10169,-0.10461
1348,N1348,1.20851,1.09166,-0.11684
1349,B1349,1.20709,1.12707,-0.08003
1350,N1350,1.20846,1.11893,-0.08953
1351,B1351,1.20587,1.16760,-0.03826
1352,N1352,1.20795,1.16678,-0.04117
1353,B1353,1.20687,1.21372,0.00685
