frame,time_ps,raw_eigen_index,matched_corrected_eigen_index,point_eigenvalue_eV,corrected_eigenvalue_eV,shift_meV,absolute_shift_meV
13,65.0,4,4,0.3530902635696067,0.35309230424163207,0.0020406720253607347,0.0020406720253607347
14,70.0,1,1,0.03499280721981815,0.03499213595740051,-0.0006712624176438697,0.0006712624176438697
14,70.0,2,2,0.3189470304733014,0.31894962817344846,0.002597700147044524,0.002597700147044524
14,70.0,3,3,0.34169676401101945,0.3416773488904391,-0.019415120580346112,0.019415120580346112
14,70.0,4,4,0.3463633982958611,0.34638088697871244,0.017488682851340975,0.017488682851340975
15,75.0,1,1,0.046993317325672315,0.0469926976457716,-0.0006196799007124332,0.0006196799007124332
15,75.0,2,2,0.3367056404867298,0.33670452541903184,-0.0011150676979543306,0.0011150676979543306
15,75.0,3,3,0.34518596555694725,0.34518069893766506,-0.005266619282184859,0.005266619282184859
15,75.0,4,4,0.34911507663065067,0.3491220779975315,0.007001366880809989,0.007001366880809989
16,80.0,1,1,0.03699315094426932,0.03699251665313862,-0.000634291130695297,0.000634291130695297
16,80.0,2,2,0.32283749837382486,0.32283699218680656,-0.0005061870183009631,0.0005061870183009631
16,80.0,3,3,0.3381043517621495,0.33810169682956165,-0.002654932587831116,0.002654932587831116
16,80.0,4,4,0.3450649989197565,0.3450687943304932,0.003795410736695537,0.003795410736695537
17,85.0,1,1,0.0059938640746777854,0.00599329518099163,-0.0005688936861557303,0.0005688936861557303
17,85.0,2,2,0.3390833337999801,0.3390520916058401,-0.03124219414002427,0.03124219414002427
17,85.0,3,3,0.34156807007093587,0.34161014380001237,0.0420737290764972,0.0420737290764972
17,85.0,4,4,0.34535473205440614,0.3453444694131561,-0.010262641250036175,0.010262641250036175
18,90.0,1,1,0.0029939095871310208,0.0029933455383607172,-0.0005640487703035407,0.0005640487703035407
18,90.0,2,2,0.33609127477054207,0.3360724783690325,-0.018796401509590943,0.018796401509590943
18,90.0,3,3,0.33782150977116393,0.3378382910815608,0.01678131039689612,0.01678131039689612
18,90.0,4,4,0.34009330587116315,0.340095885011046,0.002579139882830095,0.002579139882830095
19,95.0,1,1,0.03099331318911169,0.03099269403516462,-0.000619153947070683,0.000619153947070683
19,95.0,2,2,0.32860442834168324,0.3285956158194299,-0.008812522253320854,0.008812522253320854
19,95.0,3,3,0.3352281618952406,0.3352427522676845,0.014590372443945565,0.014590372443945565
19,95.0,4,4,0.3381740965739647,0.3381689378777208,-0.005158696243900973,0.005158696243900973
20,100.0,1,1,0.017993254510743156,0.017992630726387546,-0.0006237843556099187,0.0006237843556099187
20,100.0,2,2,0.31580209120416697,0.31579803787531724,-0.004053328849729088,0.004053328849729088
20,100.0,3,3,0.32810405049261004,0.328111295360159,0.007244867548938938,0.007244867548938938
20,100.0,4,4,0.33310060379247985,0.33309803603813615,-0.0025677543437074846,0.0025677543437074846
