lower_H,upper_H,hydrogen_role,lower_attached_heavy,upper_attached_heavy,pair_method
H4:LOWER:0018:0,H4:UPPER:0045:0,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:14:0,A:UPPER:14:0,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0019:0,H4:UPPER:0046:0,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:14:2,A:UPPER:14:2,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0020:0,H4:UPPER:0047:0,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:14:4,A:UPPER:14:4,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0021:0,H4:UPPER:0048:0,ANNULUS_INNER_PASSIVANT_H,A:LOWER:2:-4,A:UPPER:2:-4,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0022:0,H4:UPPER:0049:0,ANNULUS_INNER_PASSIVANT_H,A:LOWER:2:4,A:UPPER:2:4,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0023:0,H4:UPPER:0050:0,ANNULUS_INNER_PASSIVANT_H,A:LOWER:5:-3,A:UPPER:5:-3,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0024:0,H4:UPPER:0051:0,ANNULUS_INNER_PASSIVANT_H,A:LOWER:5:3,A:UPPER:5:3,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0025:0,H4:UPPER:0052:0,ANNULUS_INNER_PASSIVANT_H,A:LOWER:7:-1,A:UPPER:7:-1,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0026:0,H4:UPPER:0053:0,ANNULUS_INNER_PASSIVANT_H,A:LOWER:7:1,A:UPPER:7:1,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0054:0,H4:UPPER:0114:0,BRIDGE_PASSIVANT_H,BR4:LOWER:00:1,BR4:UPPER:00:1,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0055:0,H4:UPPER:0115:0,BRIDGE_PASSIVANT_H,BR4:LOWER:00:2,BR4:UPPER:00:2,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0056:0,H4:UPPER:0116:0,BRIDGE_PASSIVANT_H,BR4:LOWER:00:3,BR4:UPPER:00:3,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0057:0,H4:UPPER:0117:0,BRIDGE_PASSIVANT_H,BR4:LOWER:00:4,BR4:UPPER:00:4,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0058:0,H4:UPPER:0118:0,BRIDGE_PASSIVANT_H,BR4:LOWER:01:1,BR4:UPPER:01:1,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0059:0,H4:UPPER:0119:0,BRIDGE_PASSIVANT_H,BR4:LOWER:01:2,BR4:UPPER:01:2,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0060:0,H4:UPPER:0120:0,BRIDGE_PASSIVANT_H,BR4:LOWER:01:3,BR4:UPPER:01:3,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0061:0,H4:UPPER:0121:0,BRIDGE_PASSIVANT_H,BR4:LOWER:01:4,BR4:UPPER:01:4,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0062:0,H4:UPPER:0122:0,BRIDGE_PASSIVANT_H,BR4:LOWER:02:1,BR4:UPPER:02:1,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0063:0,H4:UPPER:0123:0,BRIDGE_PASSIVANT_H,BR4:LOWER:02:2,BR4:UPPER:02:2,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0064:0,H4:UPPER:0124:0,BRIDGE_PASSIVANT_H,BR4:LOWER:02:3,BR4:UPPER:02:3,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0065:0,H4:UPPER:0125:0,BRIDGE_PASSIVANT_H,BR4:LOWER:02:4,BR4:UPPER:02:4,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0066:0,H4:UPPER:0126:0,BRIDGE_PASSIVANT_H,BR4:LOWER:03:1,BR4:UPPER:03:1,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0067:0,H4:UPPER:0127:0,BRIDGE_PASSIVANT_H,BR4:LOWER:03:2,BR4:UPPER:03:2,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0068:0,H4:UPPER:0128:0,BRIDGE_PASSIVANT_H,BR4:LOWER:03:3,BR4:UPPER:03:3,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0069:0,H4:UPPER:0129:0,BRIDGE_PASSIVANT_H,BR4:LOWER:03:4,BR4:UPPER:03:4,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0070:0,H4:UPPER:0130:0,BRIDGE_PASSIVANT_H,BR4:LOWER:04:1,BR4:UPPER:04:1,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0071:0,H4:UPPER:0131:0,BRIDGE_PASSIVANT_H,BR4:LOWER:04:2,BR4:UPPER:04:2,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0072:0,H4:UPPER:0132:0,BRIDGE_PASSIVANT_H,BR4:LOWER:04:3,BR4:UPPER:04:3,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0073:0,H4:UPPER:0133:0,BRIDGE_PASSIVANT_H,BR4:LOWER:04:4,BR4:UPPER:04:4,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0074:0,H4:UPPER:0134:0,BRIDGE_PASSIVANT_H,BR4:LOWER:05:1,BR4:UPPER:05:1,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0075:0,H4:UPPER:0135:0,BRIDGE_PASSIVANT_H,BR4:LOWER:05:2,BR4:UPPER:05:2,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0076:0,H4:UPPER:0136:0,BRIDGE_PASSIVANT_H,BR4:LOWER:05:3,BR4:UPPER:05:3,ATTACHED_HEAVY_PAIR_AND_ROLE
