end,mapping_id,fit_mode,seed_parity,orientation,rotation_index,chirality,linear_determinant,singular_value_minimum,singular_value_maximum,maximum_principal_strain,affine_anisotropy,annulus_center_offset_nm,optimal_axial_gap_nm,lateral_residual_mean_nm,lateral_residual_minimum_nm,lateral_residual_maximum_nm,attachment_bond_mean_nm,attachment_bond_minimum_nm,attachment_bond_maximum_nm,attachment_RMS_deviation_nm,attachment_maximum_deviation_nm,annulus_bond_count,annulus_bond_mean_nm,annulus_bond_minimum_nm,annulus_bond_maximum_nm,annulus_bond_maximum_deviation_nm,attachment_thresholds_pass,annulus_strain_thresholds_pass,annulus_center_threshold_pass,positive_axial_gap_pass,local_preoptimization_pass,similarity_scale
LOWER,LOWER:P0:O1:R8,RIGID,0,1,8,-1,-0.9999999999999998,0.9999999999999996,1.0,4.440892098500626e-16,1.0000000000000004,9.32268617754083e-16,0.0,1.469281150911221,0.334949346658226,2.3248806180135477,1.4692811991459591,0.3349493466583475,2.3248806869507086,1.474134971805857,2.179907686950709,168,0.14497299999999996,0.14497299999999982,0.14497300000000016,1.6653345369377348e-16,False,True,True,False,False,
LOWER,LOWER:P0:O1:R8,SIMILARITY,0,1,8,-1,-1.0022859317267998e-09,3.165889972388175e-05,3.1658899723881756e-05,0.9999683411002761,1.0000000000000002,9.418523805036789e-16,0.0,1.1925592551429736,1.1922240989509865,1.1928825924314481,1.192559314509238,1.1922241241501454,1.1928826176166967,1.0475863302207662,1.0479096176166967,168,4.5896856696703096e-06,4.589685669670305e-06,4.589685669670313e-06,0.14496841031433033,False,False,True,False,False,3.165889972388176e-05
LOWER,LOWER:P0:O1:R8,AFFINE,0,1,8,0,1.1413317321674408,1.0682996254731183,1.068362943272566,0.06836294327256609,1.0000592697010633,1.0647875349275395e-15,0.0,0.28921208677140975,0.10822767591845747,0.45212579191969127,0.2892123260230498,0.10822778861792205,0.45212589874508113,0.20010734867585378,0.3071528987450811,168,0.15487919132338707,0.15487595613284325,0.15488362829810073,0.009910628298100743,False,False,True,False,False,
LOWER,LOWER:P0:O1:R9,RIGID,0,1,9,1,0.9999999999999997,0.9999999999999996,1.0,4.440892098500626e-16,1.0000000000000004,9.847188564321907e-16,3.0000000000000004e-05,0.31019282865237846,0.17740920660191473,0.44124578585997176,0.31019309866886297,0.17740933703086775,0.4412458039034163,0.19829915529708622,0.29627280390341626,168,0.14497299999999996,0.14497299999999977,0.14497300000000016,2.220446049250313e-16,False,True,True,True,False,
LOWER,LOWER:P0:O1:R9,SIMILARITY,0,1,9,1,1.1413635273672438,1.068346164577401,1.0683461645774015,0.0683461645774015,1.0000000000000004,8.934930024196538e-16,5e-05,0.28918618590740863,0.10805083512874368,0.4521433707843338,0.2891864980408118,0.1080510113124559,0.4521433832535018,0.20003422469303977,0.30717038325350177,168,0.15488134851727958,0.15488134851727933,0.15488134851727975,0.009908348517279758,False,False,True,True,False,1.0683461645774015
LOWER,LOWER:P0:O1:R9,RIGID,0,1,9,-1,-0.9999999999999998,0.9999999999999996,1.0,4.440892098500626e-16,1.0000000000000004,1.1082891494711895e-15,1e-05,1.4705375698095462,0.17826145704694396,2.3086275865993255,1.4705376138542392,0.17826146480831315,2.3086275985725857,1.4740151640587553,2.163654598572586,168,0.14497299999999996,0.1449729999999998,0.14497300000000013,1.942890293094024e-16,False,True,True,True,False,
LOWER,LOWER:P0:O1:R9,SIMILARITY,0,1,9,-1,-7.217716829003528e-10,2.686580880785749e-05,2.6865808807857502e-05,0.9999731341911922,1.0000000000000004,9.418553006373033e-16,0.0,1.1925592552110638,1.192234009241237,1.1929126773066014,1.1925593145770428,1.1922340344401863,1.1929127024912147,1.0475863303661475,1.0479397024912147,168,3.8948169003015245e-06,3.89481690030152e-06,3.894816900301529e-06,0.1449691051830997,False,False,True,False,False,2.68658088078575e-05
LOWER,LOWER:P0:O1:R9,AFFINE,0,1,9,0,1.1413635266454734,1.0683192987685943,1.0683730303862096,0.06837303038620957,1.0000502954666055,1.0173730081494491e-15,5e-05,0.28918618272604696,0.10806469211840004,0.4521188516930019,0.2891864948715853,0.1080648682795205,0.45211886416284613,0.20003422490444508,0.30714586416284617,168,0.1548813485417658,0.15487936332580163,0.15488524308775994,0.009912243087759953,False,False,True,True,False,
LOWER,LOWER:P0:O1:R10,RIGID,0,1,10,1,1.0,0.9999999999999998,1.0000000000000002,2.220446049250313e-16,1.0000000000000004,9.338458471929254e-16,0.00011,0.3102073857218622,0.17767126322229587,0.44126302698504316,0.31020777562844143,0.17767473879551987,0.44126304062465654,0.19832843724110846,0.2962900406246566,168,0.144973,0.1449729999999998,0.14497300000000013,1.942890293094024e-16,False,True,True,True,False,
LOWER,LOWER:P0:O1:R10,SIMILARITY,0,1,10,1,1.1413488708180006,1.0683393050983383,1.0683393050983387,0.06833930509833874,1.0000000000000004,8.495810048338998e-16,0.00035000000000000005,0.2891911931928613,0.10831980335431236,0.452164229762126,0.2891922561610079,0.10832823206870326,0.45216436500098584,0.20007269593951085,0.30719136500098587,168,0.15488035407802142,0.15488035407802128,0.15488035407802156,0.009907354078021569,False,False,True,True,False,1.0683393050983385
LOWER,LOWER:P0:O1:R10,RIGID,0,1,10,-1,-0.9999999999999998,0.9999999999999997,1.0000000000000002,3.3306690738754696e-16,1.0000000000000007,9.333360667062712e-16,0.0,1.4306011898115376,0.07302763298823589,2.2268697618260473,1.430601330202193,0.07302885617930664,2.2268697673033357,1.4779434469570256,2.081896767303336,168,0.144973,0.14497299999999985,0.1449730000000001,1.3877787807814457e-16,False,True,True,False,False,
LOWER,LOWER:P0:O1:R10,SIMILARITY,0,1,10,-1,-3.847505200558477e-10,1.9615058502483434e-05,1.961505850248344e-05,0.9999803849414975,1.0000000000000004,9.418458367787984e-16,0.0,1.1925592552926798,1.1922032002673424,1.1928629139330018,1.192559314659422,1.192203225466943,1.1928629391186658,1.047586330540688,1.0478899391186658,168,2.8436538762805313e-06,2.8436538762805275e-06,2.8436538762805347e-06,0.1449701563461237,False,False,True,False,False,1.961505850248344e-05
