frame,time_ps,site,root,family,is_bright_root,energy_eV,fosc,D2_au2,DX_raw_au,DY_raw_au,DZ_raw_au,dipole_magnitude_au,reference_frame,gauge_sign_factor,raw_cosine_to_reference,aligned_cosine_to_reference,DX_aligned_au,DY_aligned_au,DZ_aligned_au
5,25.0,PYR2,1,alternate_like,False,4.006,0.058605874,0.59714,0.08689,0.75881,-0.11748,0.7727483419587517,0,1,0.49709877041177686,0.49709877041177686,0.08689,0.75881,-0.11748
5,25.0,PYR2,2,bright_like,True,4.068,0.424630393,4.26053,0.22555,2.05153,0.02996,2.0641051329813607,0,1,0.9998620941443715,0.9998620941443715,0.22555,2.05153,0.02996
5,25.0,PYR3,1,alternate_like,False,3.995,0.0088556,0.09048,0.2479,-0.02508,-0.16852,0.3007989361683316,0,1,0.967207560633581,0.967207560633581,0.2479,-0.02508,-0.16852
5,25.0,PYR3,2,bright_like,True,4.052,0.501037835,5.047,2.2341,-0.22867,-0.05935,2.24655291502337,0,-1,-0.9999666710742215,0.9999666710742215,-2.2341,0.22867,0.05935
5,25.0,PYR4,1,alternate_like,False,4.034,0.00846338,0.08563,0.02646,0.25783,-0.13585,0.2926260412198477,0,-1,-0.9939825962460733,0.9939825962460733,-0.02646,-0.25783,0.13585
5,25.0,PYR4,2,bright_like,True,4.089,0.501976497,5.0113,0.22885,2.22498,-0.09163,2.238593308307697,0,1,0.9999952423179589,0.9999952423179589,0.22885,2.22498,-0.09163
5,25.0,PYR5,2,alternate_like,False,3.871,0.020591079,0.21712,-0.36306,0.03334,-0.29016,0.4659613717895508,0,-1,-0.2917245382289694,0.2917245382289694,0.36306,-0.03334,0.29016
5,25.0,PYR5,1,bright_like,True,3.797,0.647307662,6.95856,2.62293,-0.27241,0.06788,2.6379082622411265,0,-1,-0.9993524779287676,0.9993524779287676,-2.62293,0.27241,-0.06788
6,30.0,PYR2,1,alternate_like,False,4.015,0.018233407,0.18537,-0.04247,-0.37828,0.20118,0.43054616477214147,0,-1,-0.18570333634444136,0.18570333634444136,0.04247,0.37828,-0.20118
6,30.0,PYR2,2,bright_like,True,4.081,0.486883676,4.8701,-0.2333,-2.19407,-0.04186,2.206830306117804,0,-1,-0.9998002791064197,0.9998002791064197,0.2333,2.19407,0.04186
6,30.0,PYR3,1,alternate_like,False,4.019,0.011422138,0.11601,-0.33151,0.03284,-0.07097,0.3406024075076393,0,-1,-0.8536719834776348,0.8536719834776348,0.33151,-0.03284,0.07097
6,30.0,PYR3,2,bright_like,True,4.096,0.492967153,4.91248,2.20364,-0.22627,-0.07252,2.21641151413721,0,-1,-0.9999959263406677,0.9999959263406677,-2.20364,0.22627,0.07252
6,30.0,PYR4,1,alternate_like,False,4.029,0.010112754,0.10245,0.01872,0.2204,-0.23136,0.32007811546558446,0,-1,-0.9068376577737775,0.9068376577737775,-0.01872,-0.2204,0.23136
6,30.0,PYR4,2,bright_like,True,4.092,0.510757213,5.09449,0.23474,2.24373,-0.07116,2.257097693942378,0,1,0.9999367428126537,0.9999367428126537,0.23474,2.24373,-0.07116
6,30.0,PYR5,2,alternate_like,False,3.845,0.003925759,0.04168,0.06545,-0.00474,0.19332,0.20415680248279752,0,-1,-0.2719286186565827,0.2719286186565827,-0.06545,0.00474,-0.19332
6,30.0,PYR5,1,bright_like,True,3.776,0.659519925,7.12904,-2.65494,0.26731,-0.09414,2.6700262170997497,0,1,0.9996526480041181,0.9996526480041181,-2.65494,0.26731,-0.09414
7,35.0,PYR2,1,alternate_like,False,4.011,0.009094124,0.09255,-0.0159,-0.22108,-0.20838,0.30422031490352514,0,-1,-0.9897588690814616,0.9897588690814616,0.0159,0.22108,0.20838
7,35.0,PYR2,2,bright_like,True,4.103,0.490046455,4.8751,-0.22785,-2.19616,0.00853,2.207962862006515,0,-1,-0.9999953305228313,0.9999953305228313,0.22785,2.19616,-0.00853
7,35.0,PYR3,1,alternate_like,False,3.969,0.012775698,0.13139,-0.26369,0.02567,0.24739,0.3624775855139184,0,-1,-0.9157922878991792,0.9157922878991792,0.26369,-0.02567,-0.24739
7,35.0,PYR3,2,bright_like,True,4.07,0.490450249,4.9187,2.20489,-0.22922,-0.06808,2.217814239290568,0,-1,-0.9999935234493595,0.9999935234493595,-2.20489,0.22922,0.06808
7,35.0,PYR4,1,alternate_like,False,4.02,0.007441762,0.07557,0.01859,0.19025,-0.19755,0.2748999818115672,0,-1,-0.9094459143177936,0.9094459143177936,-0.01859,-0.19025,0.19755
7,35.0,PYR4,2,bright_like,True,4.093,0.512697666,5.1123,0.23493,2.24707,-0.08829,2.2610395839082518,0,1,0.9999928289966391,0.9999928289966391,0.23493,2.24707,-0.08829
7,35.0,PYR5,2,alternate_like,False,3.859,0.011305277,0.11957,0.16847,-0.01865,0.3014,0.3457889529756554,0,-1,-0.09002275638870709,0.09002275638870709,-0.16847,0.01865,-0.3014
7,35.0,PYR5,1,bright_like,True,3.79,0.659436962,7.10173,-2.64822,0.26897,-0.12768,2.664907127837666,0,1,0.9999061813989338,0.9999061813989338,-2.64822,0.26897,-0.12768
8,40.0,PYR2,1,alternate_like,False,3.994,0.005736425,0.05863,-0.01645,-0.13172,0.2025,0.2421363252384904,0,1,0.3123271916038254,0.3123271916038254,-0.01645,-0.13172,0.2025
8,40.0,PYR2,2,bright_like,True,4.079,0.501966286,5.02295,-0.23353,-2.22899,0.00046,2.2411938782711327,0,-1,-0.9999990104427107,0.9999990104427107,0.23353,2.22899,-0.00046
8,40.0,PYR3,1,alternate_like,False,4.007,0.017981471,0.18315,-0.42123,0.04177,-0.063,0.4279602785306132,0,-1,-0.8843719051212326,0.8843719051212326,0.42123,-0.04177,0.063
8,40.0,PYR3,2,bright_like,True,4.073,0.491495921,4.92567,2.2032,-0.23571,-0.12664,2.219385049963165,0,-1,-0.9997336615480003,0.9997336615480003,-2.2032,0.23571,0.12664
8,40.0,PYR4,1,alternate_like,False,4.02,0.016727833,0.16983,-0.03677,-0.35516,0.20576,0.41210435571587933,0,1,0.9888057073928413,0.9888057073928413,-0.03677,-0.35516,0.20576
8,40.0,PYR4,2,bright_like,True,4.092,0.503082331,5.01853,0.23056,2.22712,-0.07298,2.2402075796675627,0,1,0.9999465793687022,0.9999465793687022,0.23056,2.22712,-0.07298
8,40.0,PYR5,2,alternate_like,False,3.871,0.024370445,0.25694,0.38259,-0.04272,-0.32977,0.506892493532899,0,1,0.9943991348612212,0.9943991348612212,0.38259,-0.04272,-0.32977
8,40.0,PYR5,1,bright_like,True,3.793,0.655883767,7.05852,2.64001,-0.26283,0.1407,2.6567875338460922,0,-1,-0.9999615454057431,0.9999615454057431,-2.64001,0.26283,-0.1407
9,45.0,PYR2,1,alternate_like,False,4.017,0.008133955,0.08266,-0.0216,-0.20932,-0.1959,0.28750652166516155,0,-1,-0.98898862911445,0.98898862911445,0.0216,0.20932,0.1959
9,45.0,PYR2,2,bright_like,True,4.094,0.503201742,5.01638,-0.22517,-2.22823,0.02622,2.2397276620160764,0,-1,-0.9999378108452657,0.9999378108452657,0.22517,2.22823,-0.02622
9,45.0,PYR3,1,alternate_like,False,4.002,0.004027262,0.04108,-0.09092,0.01084,-0.18081,0.2026820169625317,0,-1,-0.13046094693779542,0.13046094693779542,0.09092,-0.01084,0.18081
9,45.0,PYR3,2,bright_like,True,4.075,0.514855013,5.15737,-2.2576,0.23421,0.07593,2.2709843680659714,0,1,0.9999987276081288,0.9999987276081288,-2.2576,0.23421,0.07593
9,45.0,PYR4,1,alternate_like,False,4.019,0.025502917,0.259,0.03493,0.40713,-0.30337,0.5089204259999789,0,-1,-0.9648277001675873,0.9648277001675873,-0.03493,-0.40713,0.30337
