atom_i_1based,atom_j_1based,element_i,element_j,distance_nm,in_explicit_topology,in_geometry_graph,classification
184,241,N,B,0.14533409785731655,True,True,MATCHED
184,243,N,B,0.14531001341958535,True,True,MATCHED
185,186,B,N,0.14500000000000002,True,True,MATCHED
186,243,N,B,0.14551288602732038,True,True,MATCHED
186,245,N,B,0.14428097587693264,True,True,MATCHED
187,188,B,N,0.14500000000000002,True,True,MATCHED
188,245,N,B,0.14551288602732038,True,True,MATCHED
188,247,N,B,0.14531001341958535,True,True,MATCHED
189,190,B,N,0.14500000000000002,True,True,MATCHED
190,247,N,B,0.14533409785731655,True,True,MATCHED
190,249,N,B,0.1450620556865233,True,True,MATCHED
191,192,B,N,0.14500000000000002,True,True,MATCHED
192,249,N,B,0.14489306401619054,True,True,MATCHED
192,251,N,B,0.14527560015363902,True,True,MATCHED
193,194,B,N,0.14500000000000002,True,True,MATCHED
194,251,N,B,0.14574292435655314,True,True,MATCHED
194,253,N,B,0.14487926007541588,True,True,MATCHED
195,196,B,N,0.14500000000000002,True,True,MATCHED
196,253,N,B,0.14527560015363902,True,True,MATCHED
196,255,N,B,0.1448930640161909,True,True,MATCHED
197,198,B,N,0.14500000000000002,True,True,MATCHED
198,255,N,B,0.1450620556865233,True,True,MATCHED
198,257,N,B,0.14533409785731655,True,True,MATCHED
199,200,B,N,0.14500000000000002,True,True,MATCHED
200,257,N,B,0.1460342425597502,True,True,MATCHED
200,259,N,B,0.14484129245487956,True,True,MATCHED
201,202,B,N,0.14500000000000002,True,True,MATCHED
202,259,N,B,0.14489306401619093,True,True,MATCHED
202,261,N,B,0.1455128860273206,True,True,MATCHED
203,204,B,N,0.14500000000000002,True,True,MATCHED
204,261,N,B,0.1448378403594865,True,True,MATCHED
204,263,N,B,0.14533409785731635,True,True,MATCHED
205,206,B,N,0.14500000000000002,True,True,MATCHED
206,263,N,B,0.1450620556865233,True,True,MATCHED
206,265,N,B,0.14511719401917844,True,True,MATCHED
207,208,B,N,0.14500000000000002,True,True,MATCHED
208,265,N,B,0.14514131045295142,True,True,MATCHED
208,267,N,B,0.1457875166123628,True,True,MATCHED
209,210,B,N,0.14500000000000002,True,True,MATCHED
210,267,N,B,0.1449241180756329,True,True,MATCHED
210,269,N,B,0.14514131045295142,True,True,MATCHED
211,212,B,N,0.14500000000000002,True,True,MATCHED
212,269,N,B,0.1451171940191788,True,True,MATCHED
