node_id,element,node_type,end,source_index_0based,graph_source,coordinates_assigned,formal_charge_assigned,force_field_type_assigned,circumferential_index,lattice_x,lattice_y,radius_proxy_nm,angle_turns,bridge_path_id,bridge_index,bridge_position,attached_seed_node,attached_annulus_node,selected_gap_nm,feasible_gap_minimum_nm,feasible_gap_maximum_nm,mapping_seed_parity,mapping_orientation,mapping_rotation,mapping_chirality,attached_to
P:68,B,PARENT_HBN,PARENT,68,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:69,N,PARENT_HBN,PARENT,69,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:70,B,PARENT_HBN,PARENT,70,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:71,N,PARENT_HBN,PARENT,71,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:72,B,PARENT_HBN,PARENT,72,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:73,N,PARENT_HBN,PARENT,73,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:74,B,PARENT_HBN,PARENT,74,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:75,N,PARENT_HBN,PARENT,75,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:76,B,PARENT_HBN,PARENT,76,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:77,N,PARENT_HBN,PARENT,77,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:78,B,PARENT_HBN,PARENT,78,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:79,N,PARENT_HBN,PARENT,79,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:80,B,PARENT_HBN,PARENT,80,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:81,N,PARENT_HBN,PARENT,81,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:82,B,PARENT_HBN,PARENT,82,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:83,N,PARENT_HBN,PARENT,83,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:84,B,PARENT_HBN,PARENT,84,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:85,N,PARENT_HBN,PARENT,85,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:86,B,PARENT_HBN,PARENT,86,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:87,N,PARENT_HBN,PARENT,87,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:88,B,PARENT_HBN,PARENT,88,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:89,N,PARENT_HBN,PARENT,89,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:90,B,PARENT_HBN,PARENT,90,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:91,N,PARENT_HBN,PARENT,91,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:92,B,PARENT_HBN,PARENT,92,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:93,N,PARENT_HBN,PARENT,93,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:94,B,PARENT_HBN,PARENT,94,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:95,N,PARENT_HBN,PARENT,95,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:96,B,PARENT_HBN,PARENT,96,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:97,N,PARENT_HBN,PARENT,97,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:98,B,PARENT_HBN,PARENT,98,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:99,N,PARENT_HBN,PARENT,99,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:100,B,PARENT_HBN,PARENT,100,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:101,N,PARENT_HBN,PARENT,101,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:102,B,PARENT_HBN,PARENT,102,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:103,N,PARENT_HBN,PARENT,103,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:104,B,PARENT_HBN,PARENT,104,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:105,N,PARENT_HBN,PARENT,105,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:106,B,PARENT_HBN,PARENT,106,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:107,N,PARENT_HBN,PARENT,107,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:108,B,PARENT_HBN,PARENT,108,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:109,N,PARENT_HBN,PARENT,109,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:110,B,PARENT_HBN,PARENT,110,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:111,N,PARENT_HBN,PARENT,111,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:112,B,PARENT_HBN,PARENT,112,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:113,N,PARENT_HBN,PARENT,113,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:114,B,PARENT_HBN,PARENT,114,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:115,N,PARENT_HBN,PARENT,115,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:116,B,PARENT_HBN,PARENT,116,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:117,N,PARENT_HBN,PARENT,117,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:118,B,PARENT_HBN,PARENT,118,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:119,N,PARENT_HBN,PARENT,119,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:120,B,PARENT_HBN,PARENT,120,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:121,N,PARENT_HBN,PARENT,121,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:122,B,PARENT_HBN,PARENT,122,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:123,N,PARENT_HBN,PARENT,123,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:124,B,PARENT_HBN,PARENT,124,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:125,N,PARENT_HBN,PARENT,125,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:126,B,PARENT_HBN,PARENT,126,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:127,N,PARENT_HBN,PARENT,127,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:128,B,PARENT_HBN,PARENT,128,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:129,N,PARENT_HBN,PARENT,129,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:130,B,PARENT_HBN,PARENT,130,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:131,N,PARENT_HBN,PARENT,131,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:132,B,PARENT_HBN,PARENT,132,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:133,N,PARENT_HBN,PARENT,133,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:134,B,PARENT_HBN,PARENT,134,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:135,N,PARENT_HBN,PARENT,135,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:136,B,PARENT_HBN,PARENT,136,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:137,N,PARENT_HBN,PARENT,137,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:138,B,PARENT_HBN,PARENT,138,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:139,N,PARENT_HBN,PARENT,139,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:140,B,PARENT_HBN,PARENT,140,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:141,N,PARENT_HBN,PARENT,141,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:142,B,PARENT_HBN,PARENT,142,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:143,N,PARENT_HBN,PARENT,143,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:144,B,PARENT_HBN,PARENT,144,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:145,N,PARENT_HBN,PARENT,145,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:146,B,PARENT_HBN,PARENT,146,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:147,N,PARENT_HBN,PARENT,147,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:148,B,PARENT_HBN,PARENT,148,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:149,N,PARENT_HBN,PARENT,149,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:150,B,PARENT_HBN,PARENT,150,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:151,N,PARENT_HBN,PARENT,151,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:152,B,PARENT_HBN,PARENT,152,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:153,N,PARENT_HBN,PARENT,153,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:154,B,PARENT_HBN,PARENT,154,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:155,N,PARENT_HBN,PARENT,155,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:156,B,PARENT_HBN,PARENT,156,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:157,N,PARENT_HBN,PARENT,157,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:158,B,PARENT_HBN,PARENT,158,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:159,N,PARENT_HBN,PARENT,159,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:160,B,PARENT_HBN,PARENT,160,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:161,N,PARENT_HBN,PARENT,161,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:162,B,PARENT_HBN,PARENT,162,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:163,N,PARENT_HBN,PARENT,163,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:164,B,PARENT_HBN,PARENT,164,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:165,N,PARENT_HBN,PARENT,165,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:166,B,PARENT_HBN,PARENT,166,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:167,N,PARENT_HBN,PARENT,167,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:168,B,PARENT_HBN,PARENT,168,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:169,N,PARENT_HBN,PARENT,169,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:170,B,PARENT_HBN,PARENT,170,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:171,N,PARENT_HBN,PARENT,171,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:172,B,PARENT_HBN,PARENT,172,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:173,N,PARENT_HBN,PARENT,173,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:174,B,PARENT_HBN,PARENT,174,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:175,N,PARENT_HBN,PARENT,175,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:176,B,PARENT_HBN,PARENT,176,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:177,N,PARENT_HBN,PARENT,177,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:178,B,PARENT_HBN,PARENT,178,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:179,N,PARENT_HBN,PARENT,179,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:180,B,PARENT_HBN,PARENT,180,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:181,N,PARENT_HBN,PARENT,181,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:182,B,PARENT_HBN,PARENT,182,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:183,N,PARENT_HBN,PARENT,183,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
P:184,B,PARENT_HBN,PARENT,184,GATE3F_RETAINED_HEAVY_NODE,False,False,False,,,,,,,,,,,,,,,,,,
