center_node,center_element,center_node_type,end,angle_index,neighbor_1,neighbor_2,angle_deg,deviation_from_120_deg
A:LOWER:1:9,B,ANNULUS_OUTER_BOUNDARY,LOWER,2,A:LOWER:-1:9,S:1682,0.5634724793175628,-119.43652752068243
A:LOWER:1:9,B,ANNULUS_OUTER_BOUNDARY,LOWER,3,A:LOWER:2:8,S:1682,120.56347227154153,0.5634722715415279
A:LOWER:4:-8,B,ANNULUS_OUTER_BOUNDARY,LOWER,1,A:LOWER:2:-8,A:LOWER:5:-7,120.00000000000024,2.4158453015843406e-13
A:LOWER:4:-8,B,ANNULUS_OUTER_BOUNDARY,LOWER,2,A:LOWER:2:-8,S:1696,47.66423787663376,-72.33576212336624
A:LOWER:4:-8,B,ANNULUS_OUTER_BOUNDARY,LOWER,3,A:LOWER:5:-7,S:1696,167.6642331601929,47.66423316019291
A:LOWER:4:8,B,ANNULUS_OUTER_BOUNDARY,LOWER,1,A:LOWER:2:8,A:LOWER:5:7,120.00000000000007,7.105427357601002e-14
A:LOWER:4:8,B,ANNULUS_OUTER_BOUNDARY,LOWER,2,A:LOWER:2:8,S:1680,47.64083374238975,-72.35916625761024
A:LOWER:4:8,B,ANNULUS_OUTER_BOUNDARY,LOWER,3,A:LOWER:5:7,S:1680,167.64077033768456,47.64077033768456
A:LOWER:7:-7,B,ANNULUS_OUTER_BOUNDARY,LOWER,1,A:LOWER:5:-7,A:LOWER:8:-6,120.00000000000024,2.4158453015843406e-13
A:LOWER:7:-7,B,ANNULUS_OUTER_BOUNDARY,LOWER,2,A:LOWER:5:-7,S:1698,120.08552096943096,0.08552096943095933
A:LOWER:7:-7,B,ANNULUS_OUTER_BOUNDARY,LOWER,3,A:LOWER:8:-6,S:1698,119.91447903048345,-0.0855209695165513
A:LOWER:7:7,B,ANNULUS_OUTER_BOUNDARY,LOWER,1,A:LOWER:5:7,A:LOWER:8:6,119.99999999999989,-1.1368683772161603e-13
A:LOWER:7:7,B,ANNULUS_OUTER_BOUNDARY,LOWER,2,A:LOWER:5:7,S:1708,119.98354663444127,-0.016453365558732003
A:LOWER:7:7,B,ANNULUS_OUTER_BOUNDARY,LOWER,3,A:LOWER:8:6,S:1708,120.01642777091145,0.016427770911448647
A:UPPER:-10:-6,B,ANNULUS_OUTER_BOUNDARY,UPPER,1,A:UPPER:-11:-5,A:UPPER:-8:-6,120.00000000000027,2.7000623958883807e-13
A:UPPER:-10:-6,B,ANNULUS_OUTER_BOUNDARY,UPPER,2,A:UPPER:-11:-5,H:UPPER:OUTER:24,106.1021137519857,-13.897886248014302
A:UPPER:-10:-6,B,ANNULUS_OUTER_BOUNDARY,UPPER,3,A:UPPER:-8:-6,H:UPPER:OUTER:24,133.89788624801403,13.897886248014032
A:UPPER:-10:6,B,ANNULUS_OUTER_BOUNDARY,UPPER,1,A:UPPER:-11:5,A:UPPER:-8:6,120.00000000000014,1.4210854715202004e-13
A:UPPER:-10:6,B,ANNULUS_OUTER_BOUNDARY,UPPER,2,A:UPPER:-11:5,H:UPPER:OUTER:21,106.1021137519858,-13.897886248014203
A:UPPER:-10:6,B,ANNULUS_OUTER_BOUNDARY,UPPER,3,A:UPPER:-8:6,H:UPPER:OUTER:21,133.89788624801406,13.89788624801406
A:UPPER:-13:-5,B,ANNULUS_OUTER_BOUNDARY,UPPER,1,A:UPPER:-11:-5,A:UPPER:-14:-4,119.99999999999991,-8.526512829121202e-14
A:UPPER:-13:-5,B,ANNULUS_OUTER_BOUNDARY,UPPER,2,A:UPPER:-11:-5,H:UPPER:OUTER:23,146.32950349168493,26.32950349168493
A:UPPER:-13:-5,B,ANNULUS_OUTER_BOUNDARY,UPPER,3,A:UPPER:-14:-4,H:UPPER:OUTER:23,93.67049650831515,-26.329503491684846
A:UPPER:-13:5,B,ANNULUS_OUTER_BOUNDARY,UPPER,1,A:UPPER:-11:5,A:UPPER:-14:4,120.00000000000014,1.4210854715202004e-13
A:UPPER:-13:5,B,ANNULUS_OUTER_BOUNDARY,UPPER,2,A:UPPER:-11:5,H:UPPER:OUTER:22,146.329503491685,26.32950349168499
A:UPPER:-13:5,B,ANNULUS_OUTER_BOUNDARY,UPPER,3,A:UPPER:-14:4,H:UPPER:OUTER:22,93.67049650831486,-26.329503491685145
A:UPPER:-14:-2,N,ANNULUS_OUTER_BOUNDARY,UPPER,1,A:UPPER:-13:-1,A:UPPER:-13:-3,119.99999999999959,-4.121147867408581e-13
A:UPPER:-14:-2,N,ANNULUS_OUTER_BOUNDARY,UPPER,2,A:UPPER:-13:-1,S:1720,167.61893834917296,47.618938349172964
A:UPPER:-14:-2,N,ANNULUS_OUTER_BOUNDARY,UPPER,3,A:UPPER:-13:-3,S:1720,47.619731677590046,-72.38026832240996
A:UPPER:-14:-4,N,ANNULUS_OUTER_BOUNDARY,UPPER,1,A:UPPER:-13:-3,A:UPPER:-13:-5,120.00000000000043,4.263256414560601e-13
A:UPPER:-14:-4,N,ANNULUS_OUTER_BOUNDARY,UPPER,2,A:UPPER:-13:-3,S:1722,120.55881342126443,0.558813421264432
A:UPPER:-14:-4,N,ANNULUS_OUTER_BOUNDARY,UPPER,3,A:UPPER:-13:-5,S:1722,0.5612720248625443,-119.43872797513745
A:UPPER:-14:0,N,ANNULUS_OUTER_BOUNDARY,UPPER,1,A:UPPER:-13:-1,A:UPPER:-13:1,119.99999999999966,-3.410605131648481e-13
A:UPPER:-14:0,N,ANNULUS_OUTER_BOUNDARY,UPPER,2,A:UPPER:-13:-1,S:1718,119.99123178482881,-0.008768215171187421
A:UPPER:-14:0,N,ANNULUS_OUTER_BOUNDARY,UPPER,3,A:UPPER:-13:1,S:1718,120.00876412262264,0.008764122622636705
A:UPPER:-14:2,N,ANNULUS_OUTER_BOUNDARY,UPPER,1,A:UPPER:-13:1,A:UPPER:-13:3,120.0000000000002,1.9895196601282805e-13
A:UPPER:-14:2,N,ANNULUS_OUTER_BOUNDARY,UPPER,2,A:UPPER:-13:1,S:1716,167.74209010235955,47.742090102359555
A:UPPER:-14:2,N,ANNULUS_OUTER_BOUNDARY,UPPER,3,A:UPPER:-13:3,S:1716,47.74237673418358,-72.25762326581642
A:UPPER:-14:4,N,ANNULUS_OUTER_BOUNDARY,UPPER,1,A:UPPER:-13:3,A:UPPER:-13:5,119.99999999999986,-1.4210854715202004e-13
A:UPPER:-14:4,N,ANNULUS_OUTER_BOUNDARY,UPPER,2,A:UPPER:-13:3,S:1714,120.57553508277721,0.5755350827772077
A:UPPER:-14:4,N,ANNULUS_OUTER_BOUNDARY,UPPER,3,A:UPPER:-13:5,S:1714,0.5755929512142396,-119.42440704878577
A:UPPER:-1:-9,B,ANNULUS_OUTER_BOUNDARY,UPPER,1,A:UPPER:-2:-8,A:UPPER:1:-9,120.00000000000034,3.410605131648481e-13
A:UPPER:-1:-9,B,ANNULUS_OUTER_BOUNDARY,UPPER,2,A:UPPER:-2:-8,H:UPPER:OUTER:27,146.3295034916848,26.32950349168479
A:UPPER:-1:-9,B,ANNULUS_OUTER_BOUNDARY,UPPER,3,A:UPPER:1:-9,H:UPPER:OUTER:27,93.67049650831488,-26.329503491685117
A:UPPER:-1:9,B,ANNULUS_OUTER_BOUNDARY,UPPER,1,A:UPPER:-2:8,A:UPPER:1:9,120.00000000000017,1.7053025658242404e-13
A:UPPER:-1:9,B,ANNULUS_OUTER_BOUNDARY,UPPER,2,A:UPPER:-2:8,H:UPPER:OUTER:18,146.32950349168487,26.329503491684875
A:UPPER:-1:9,B,ANNULUS_OUTER_BOUNDARY,UPPER,3,A:UPPER:1:9,H:UPPER:OUTER:18,93.67049650831497,-26.32950349168503
A:UPPER:-4:-8,B,ANNULUS_OUTER_BOUNDARY,UPPER,1,A:UPPER:-2:-8,A:UPPER:-5:-7,119.99999999999999,-1.4210854715202004e-14
A:UPPER:-4:-8,B,ANNULUS_OUTER_BOUNDARY,UPPER,2,A:UPPER:-2:-8,H:UPPER:OUTER:26,106.10211375198585,-13.897886248014146
A:UPPER:-4:-8,B,ANNULUS_OUTER_BOUNDARY,UPPER,3,A:UPPER:-5:-7,H:UPPER:OUTER:26,133.89788624801417,13.897886248014174
A:UPPER:-4:8,B,ANNULUS_OUTER_BOUNDARY,UPPER,1,A:UPPER:-2:8,A:UPPER:-5:7,120.00000000000014,1.4210854715202004e-13
