end,bridge_atoms,seed_node,annulus_node,target_distance_nm,local_fixed_heavy_atoms,candidates_tested,pair_feasible,retained_feasible_candidates,best_library_distance_error_nm,best_minimum_angle_deg,best_maximum_angle_deg,best_maximum_bond_deviation_nm,best_minimum_clearance_nm,best_angle_violations,best_clash_count
LOWER,5,S:1680,A:LOWER:-4:8,1.9289764794356927,101,4800,False,0,1.1578754718514155,48.26022319527626,160.42408347109205,0.18946968037220888,0.14176164268261485,1,0
LOWER,5,S:1680,A:LOWER:-7:7,2.0255483311978044,98,4800,False,0,1.2683860226845922,45.63080986767475,159.4815981571874,0.2051308877539922,0.140326287477291,1,0
LOWER,5,S:1680,A:LOWER:-10:6,2.147287789327342,92,4800,False,0,1.3838711368144434,41.512335313074175,162.0961754011181,0.22925432650516656,0.14110280079221751,1,0
LOWER,5,S:1680,A:LOWER:-13:5,2.2901848577668136,80,4800,False,0,1.5267682052539149,35.69726480383344,163.1983686912295,0.2530184440363411,0.1378294209361312,1,0
LOWER,5,S:1680,A:LOWER:-13:-5,2.149839563618424,99,4800,False,0,1.3864229111055253,24.263143461204635,162.11710302116532,0.22967863457377755,0.14235350043090178,1,0
LOWER,5,S:1680,A:LOWER:-10:-6,1.9654722104522095,101,4800,False,0,1.2020555579393108,25.97841874714802,160.47029320621246,0.1990283790804814,0.14063493698860288,1,0
LOWER,5,S:1680,A:LOWER:-7:-7,1.7973466263341453,102,4800,False,0,1.0339299738212466,26.68402959228838,158.68685212255588,0.17109138890216805,0.14320870405090425,1,0
LOWER,5,S:1680,A:LOWER:-4:-8,1.6504338231821272,100,4800,False,0,0.8870171706692285,31.40298643536402,156.84688661340562,0.14669245635863645,0.1279045205732378,2,0
LOWER,5,S:1680,A:LOWER:-1:-9,1.530853271409906,102,4800,False,0,0.7674366188970072,49.74980317983239,155.10531596247523,0.12684428899700437,0.13158599090595022,2,0
LOWER,5,S:1680,A:LOWER:14:-4,0.34463786594184437,84,260,True,12,1.1498097334361468e-05,107.1224350005499,134.79239733625914,1.78967473443703e-06,0.14026404121193475,0,0
LOWER,5,S:1682,A:LOWER:14:-2,0.4861970750093247,89,1504,True,12,0.00010241032715108123,95.77506861675725,134.1387227600743,1.543128715991715e-05,0.147750400526159,0,0
LOWER,5,S:1684,A:LOWER:14:0,1.1283645953332226,94,4800,False,0,0.36494794282032395,42.336593920318315,146.81652476138981,0.06015534640944409,0.1306626526502601,2,0
LOWER,5,S:1680,A:LOWER:14:-2,0.23291206230896874,89,401,True,12,0.00016523863086498336,99.37416340144837,134.86672424848524,2.2101904783911053e-05,0.19725127747561141,0,0
LOWER,5,S:1682,A:LOWER:14:0,0.7248868403964221,92,4800,True,2,0.0006487554484363445,70.40234537998242,140.9086233517647,0.00010201164825646147,0.13450197210569903,0,0
LOWER,5,S:1684,A:LOWER:14:2,1.361933714646763,98,4800,False,0,0.6019442249975687,31.883242338661834,153.02775640304503,0.09809369507709684,0.13398571587719874,2,0
LOWER,5,S:1684,A:LOWER:14:-4,0.6987146534483591,88,4800,True,1,0.00044522718219108803,72.72271060618719,132.72294350237263,7.247968132817473e-05,0.12241045063746421,0,0
LOWER,5,S:1686,A:LOWER:-1:-9,0.27072046319985815,86,290,True,12,0.00013645675825646464,110.24162765886351,133.6535884800235,1.9663271276504357e-05,0.1428382344164108,0,0
LOWER,5,S:1688,A:LOWER:-4:-8,0.232854615617748,89,459,True,12,1.3626039615161067e-05,92.70974506287203,140.70444783925657,1.8371333045108518e-06,0.14360206370994527,0,0
LOWER,5,S:1690,A:LOWER:-7:-7,0.3397588103639833,89,289,True,12,0.00012178798901196775,106.45640101885519,125.75666615673029,1.9957596216563234e-05,0.1705774109609838,0,0
LOWER,5,S:1692,A:LOWER:-10:-6,0.4861311298547085,89,1864,True,12,3.6465172534916324e-05,94.50757951014432,134.13759615655334,5.494565399416507e-06,0.14997975002885444,0,0
LOWER,5,S:1694,A:LOWER:-13:-5,0.6985510401298543,88,4800,False,0,0.0006289374233093836,69.1916757542706,132.8903025653165,9.387945357808292e-05,0.14328398544579674,1,0
LOWER,5,S:1684,A:LOWER:14:-2,0.904241616652034,92,4800,False,0,0.14082496413913526,48.38396064136663,144.26186349056576,0.02315549993921623,0.1270108049452668,2,0
LOWER,5,S:1682,A:LOWER:-1:-9,1.1363242819538153,94,4800,False,0,0.38394596634705414,43.76420815792556,147.45807267881798,0.062295142159324635,0.13809720701522368,2,0
LOWER,5,S:1682,A:LOWER:14:-4,0.270956240912325,86,506,True,12,0.0002887970481643132,107.28694037713244,132.17957891867192,4.26766300728465e-05,0.14928514895428394,0,0
LOWER,5,S:1684,A:LOWER:-1:-9,0.6989143451040359,88,4800,False,0,0.000260000275379646,58.37933560858807,131.62043910496965,4.3027873699863495e-05,0.13537720736471676,1,0
LOWER,5,S:1681,A:LOWER:14:0,0.5218111325678024,93,621,True,12,1.1212673295624143e-05,104.64870614502233,132.74151725714975,1.6823978194469014e-06,0.16749996836756498,0,0
LOWER,5,S:1683,A:LOWER:14:2,1.1710524250264114,97,4800,False,0,0.4076357725135127,46.994680070220866,147.93441729101218,0.06721662594318936,0.14117431251555582,2,0
LOWER,5,S:1681,A:LOWER:14:2,0.760912290265996,93,4800,False,0,0.00747358495528383,65.97669983451345,158.04383292957257,0.0012092785191958055,0.12981869638726937,1,0
LOWER,5,S:1681,A:LOWER:14:4,1.0058783193100418,95,4800,False,0,0.25469394528530187,46.65490961240714,143.4403056858089,0.04021271923331379,0.12201758973578163,1,0
LOWER,5,S:1681,A:LOWER:-1:9,1.9974426148563043,99,4800,False,0,1.2340259623434056,52.79253162040891,160.77683707489777,0.2043423394825802,0.12935125459984262,1,0
LOWER,5,S:1681,A:LOWER:-4:8,2.0377856808656394,97,4800,False,0,1.2743690283527407,49.98094772067061,161.15044815873935,0.2110485777664424,0.14658197526663974,1,0
LOWER,5,S:1681,A:LOWER:-7:7,2.107478822435017,90,4800,False,0,1.3440621699221182,50.50950942462038,161.76334693724047,0.22263520204650486,0.14011966762993391,1,0
LOWER,5,S:1681,A:LOWER:-10:6,2.2037392126241104,78,4800,False,0,1.4403225601112117,46.91656907462073,162.5481691922918,0.2386415589793646,0.14660944606920773,1,0
LOWER,5,S:1681,A:LOWER:-13:5,2.3232668963931338,80,4800,False,0,1.559850243880235,43.74497497652307,163.43473933003645,0.2585209397640478,0.1450472031811907,1,0
LOWER,5,S:1681,A:LOWER:-13:-5,2.044339344575755,98,4800,False,0,1.2843498549265608,20.685856033704678,161.72918959194863,0.2108070574840806,0.14887877714641312,1,0
LOWER,5,S:1681,A:LOWER:-10:-6,1.8424363375547683,99,4800,False,0,1.0824468479055742,24.392769320203357,159.7848165036633,0.17738391731100098,0.14731515254623065,1,0
LOWER,5,S:1681,A:LOWER:-7:-7,1.654062569698628,99,4800,False,0,0.8975825936255973,6.761013947156186,156.42321595707355,0.14503210016398208,0.13566657310770358,1,0
LOWER,5,S:1681,A:LOWER:-4:-8,1.484377760338597,98,4800,False,0,0.7331933863138571,22.253404295159008,154.36874671461013,0.1176714761355627,0.12210173333353147,1,0
LOWER,5,S:1681,A:LOWER:-1:-9,1.3404979338557854,97,4800,False,0,0.5770812813428867,40.733142904036846,151.7451431485854,0.09527679568706329,0.14007451968451584,2,0
LOWER,5,S:1681,A:LOWER:14:-4,0.19285906870404104,88,461,True,12,0.0001793580041161147,91.98118156513051,130.96968930372657,2.4571590049121683e-05,0.19285906870404104,0,0
LOWER,5,S:1683,A:LOWER:14:-2,0.6937571526596316,90,4800,False,0,0.0003257534397326234,61.67970290686322,133.4490236592091,5.192312904597762e-05,0.1486568117332312,1,0
LOWER,5,S:1681,A:LOWER:14:-2,0.30280229034725153,88,511,True,12,2.225166546548918e-05,100.63172631905996,124.60434137468847,3.2049050409932445e-06,0.14665946025416873,0,0
LOWER,5,S:1683,A:LOWER:14:0,0.9291285553282275,92,4800,False,0,0.16571190281532877,50.14173039776639,140.47023845238434,0.027256473916481117,0.13328861397765895,2,0
LOWER,5,S:1683,A:LOWER:-1:-9,0.9213573395678514,90,4800,False,0,0.1689790239610902,50.1788249255542,146.6093231605782,0.02726367698886442,0.13446705534377146,2,0
LOWER,5,S:1683,A:LOWER:14:-4,0.47478534705746717,87,647,True,12,5.2908335861856504e-05,88.70767216264116,145.72716969759813,8.788754765703954e-06,0.1881464738335039,0,0
LOWER,5,S:1685,A:LOWER:-1:-9,0.4748996455320899,87,608,True,12,6.139013876088617e-05,91.40472026433967,146.00440421749582,1.0197695727298672e-05,0.19272485085354318,0,0
LOWER,5,S:1687,A:LOWER:-4:-8,0.3028669669357987,88,507,True,12,8.692825401263038e-05,100.94570756253441,124.60729348738697,1.2520403664145752e-05,0.14260660590114269,0,0
LOWER,5,S:1689,A:LOWER:-7:-7,0.2509202487881208,91,337,True,12,0.00021441798636784304,95.95313303041503,131.43293487341342,3.2951759770333267e-05,0.2153830205969897,0,0
LOWER,5,S:1691,A:LOWER:-10:-6,0.3028782462868559,88,475,True,12,9.820760506984438e-05,97.2650145027811,124.62566552131489,1.4145011971888888e-05,0.16913625378445066,0,0
LOWER,5,S:1693,A:LOWER:-13:-5,0.47506866612031806,87,919,True,12,7.354169151985168e-07,97.16849604276153,139.65535903795546,1.1693046353400405e-07,0.15405597431468304,0,0
LOWER,5,S:1695,A:LOWER:-13:5,0.47534325545471523,87,407,True,12,8.625815945839665e-05,91.75382389920331,136.89983931095355,1.4301841531949577e-05,0.17560231223684789,0,0
LOWER,5,S:1697,A:LOWER:-10:6,0.30294144772110376,88,426,True,12,8.622851224793227e-05,100.25440004709716,139.73294667313397,1.4138198108165634e-05,0.16495348683159963,0,0
