gamma_phi_ps,sigma_E_meV,tau_c_ps,n_traj,mean_max_PYR2,std_max_PYR2,mean_final_PYR2,mean_t10_fs,mean_t20_fs,mean_t30_fs,min_eig_min,max_trace_err
5.0,5,0.05,6,0.3152676113841819,0.0010226722512633236,0.3135503711158653,131.66666666666666,370.8333333333333,1185.8333333333333,0.0,1.3658488230756809e-14
5.0,10,0.05,6,0.32744840527749575,0.0025474151551720917,0.3237870784194364,132.5,328.3333333333333,1016.6666666666666,0.0,2.541486660544735e-14
5.0,20,0.05,6,0.33673989940368454,0.0016028858845502966,0.3297676764067537,130.0,321.6666666666667,845.8333333333334,0.0,1.2305113989138634e-14
10.0,0,0.05,6,0.30560558591102455,6.080941944488117e-17,0.3055754061176818,135.0,380.0,1360.0,0.0,1.2045179909990414e-14
10.0,2,0.05,6,0.3079982310317189,0.00030579701027625095,0.30716864684917033,135.0,375.8333333333333,1300.0,0.0,1.504653906813536e-14
10.0,5,0.05,6,0.3160211748558642,0.0014701746024651382,0.31360784667705777,135.0,370.0,1176.6666666666667,0.0,1.0822070902429375e-14
10.0,10,0.05,6,0.32814641209140044,0.0014705256943730242,0.32487240403600603,132.5,345.8333333333333,970.8333333333334,0.0,1.4340793171792235e-14
10.0,20,0.05,6,0.3362261518507161,0.002775898615052362,0.3326106905108028,122.5,315.8333333333333,830.8333333333334,0.0,1.055891030052749e-14
25.0,0,0.05,6,0.3056055859110243,0.0,0.3055754061176819,140.0,380.0,1360.0,0.0,3.802545007766014e-15
25.0,2,0.05,6,0.30804897892604693,0.00031358516453442316,0.307603197012231,138.33333333333334,378.3333333333333,1294.1666666666667,0.0,8.174772521300398e-15
25.0,5,0.05,6,0.3163798322653,0.0015737921853082918,0.3154742741525151,138.33333333333334,374.1666666666667,1135.0,0.0,8.642558556627637e-15
25.0,10,0.05,6,0.3309007999324685,0.00303488461632034,0.32919145667714894,136.66666666666666,355.8333333333333,945.0,0.0,1.1282483667304082e-14
25.0,20,0.05,6,0.33519851917202675,0.0026800851319579073,0.3307960118218935,136.66666666666666,340.8333333333333,824.1666666666666,0.0,7.633983941813096e-15
50.0,0,0.05,6,0.3056055859110251,0.0,0.3055754061176828,140.0,380.0,1360.0,0.0,3.589749644970919e-15
50.0,2,0.05,6,0.3081921999839943,0.0004932305895118466,0.3081305776969055,140.0,377.5,1299.1666666666667,0.0,8.682490661356985e-15
50.0,5,0.05,6,0.3163435408119903,0.000706887666452531,0.3159071525868662,138.33333333333334,372.5,1136.6666666666667,0.0,7.301503958585525e-15
50.0,10,0.05,6,0.33126582330627324,0.0020244184597610357,0.33005673388817725,134.16666666666666,363.3333333333333,961.6666666666666,0.0,4.5957830735104036e-15
50.0,20,0.05,6,0.3383220057172669,0.0011650398660048914,0.33444442665391233,127.5,325.8333333333333,805.8333333333334,0.0,9.060999549913476e-15
