frame,site,S1_energy_eV,S1_fosc,S2_energy_eV,S2_fosc,S1_S2_gap_meV,bright_root,alternate_root,expected_bright_root,mapping_preserved,bright_energy_eV,bright_fosc,alternate_energy_eV,alternate_fosc,bright_fraction_of_S1_S2_fosc,source_output
11,PYR2,4.008,0.014138215,4.098,0.495368741,89.99999999999986,2,1,2,True,4.098,0.495368741,4.008,0.014138215,0.9722511835540083,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame011_PYR2_embedding/frame011_PYR2_embedding.out
11,PYR3,3.979,0.007325384,4.071,0.504426624,91.99999999999963,2,1,2,True,4.071,0.504426624,3.979,0.007325384,0.9856856760980212,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame011_PYR3_embedding/frame011_PYR3_embedding.out
11,PYR4,4.016,0.004866256,4.09,0.518575837,73.99999999999984,2,1,2,True,4.09,0.518575837,4.016,0.004866256,0.9907033536945604,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame011_PYR4_embedding/frame011_PYR4_embedding.out
11,PYR5,3.787,0.659752246,3.854,0.009241939,67.00000000000017,1,2,1,True,3.787,0.659752246,3.854,0.009241939,0.9861853223731682,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame011_PYR5_embedding/frame011_PYR5_embedding.out
12,PYR2,3.992,0.003766033,4.079,0.505777416,86.99999999999974,2,1,2,True,4.079,0.505777416,3.992,0.003766033,0.9926090051645429,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame012_PYR2_embedding/frame012_PYR2_embedding.out
12,PYR3,4.012,0.001832472,4.086,0.511610394,74.00000000000074,2,1,2,True,4.086,0.511610394,4.012,0.001832472,0.9964310108848605,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame012_PYR3_embedding/frame012_PYR3_embedding.out
12,PYR4,4.035,0.008868421,4.104,0.513306446,68.99999999999994,2,1,2,True,4.104,0.513306446,4.035,0.008868421,0.9830163771555096,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame012_PYR4_embedding/frame012_PYR4_embedding.out
12,PYR5,3.797,0.644718639,3.87,0.014434251,72.99999999999996,1,2,1,True,3.797,0.644718639,3.87,0.014434251,0.9781018164086333,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame012_PYR5_embedding/frame012_PYR5_embedding.out
13,PYR2,4.019,0.002870416,4.103,0.505300314,83.99999999999963,2,1,2,True,4.103,0.505300314,4.019,0.002870416,0.9943514731751668,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame013_PYR2_embedding/frame013_PYR2_embedding.out
13,PYR3,4.007,0.020813077,4.074,0.499481109,67.00000000000017,2,1,2,True,4.074,0.499481109,4.007,0.020813077,0.9599974830393357,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame013_PYR3_embedding/frame013_PYR3_embedding.out
13,PYR4,4.031,0.001159019,4.102,0.510445336,71.00000000000063,2,1,2,True,4.102,0.510445336,4.031,0.001159019,0.9977345403949893,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame013_PYR4_embedding/frame013_PYR4_embedding.out
13,PYR5,3.783,0.661990456,3.836,0.010824666,52.999999999999936,1,2,1,True,3.783,0.661990456,3.836,0.010824666,0.983911381230816,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame013_PYR5_embedding/frame013_PYR5_embedding.out
14,PYR2,4.007,0.001843934,4.092,0.504494792,84.99999999999997,2,1,2,True,4.092,0.504494792,4.007,0.001843934,0.9963582994834963,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame014_PYR2_embedding/frame014_PYR2_embedding.out
14,PYR3,4.014,0.010112929,4.096,0.500472478,81.99999999999986,2,1,2,True,4.096,0.500472478,4.014,0.010112929,0.9801934625209529,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame014_PYR3_embedding/frame014_PYR3_embedding.out
14,PYR4,3.978,0.005349326,4.069,0.50755834,90.99999999999974,2,1,2,True,4.069,0.50755834,3.978,0.005349326,0.9895705867652209,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame014_PYR4_embedding/frame014_PYR4_embedding.out
14,PYR5,3.785,0.634868449,3.843,0.037666572,57.99999999999983,1,2,1,True,3.785,0.634868449,3.843,0.037666572,0.9439931441131598,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame014_PYR5_embedding/frame014_PYR5_embedding.out
15,PYR2,4.009,0.00869891,4.099,0.488877754,89.99999999999986,2,1,2,True,4.099,0.488877754,4.009,0.00869891,0.982517447803782,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame015_PYR2_embedding/frame015_PYR2_embedding.out
15,PYR3,4.007,0.013687733,4.087,0.510482168,80.00000000000007,2,1,2,True,4.087,0.510482168,4.007,0.013687733,0.973886839030843,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame015_PYR3_embedding/frame015_PYR3_embedding.out
15,PYR4,4.026,0.01826039,4.095,0.498507322,68.99999999999994,2,1,2,True,4.095,0.498507322,4.026,0.01826039,0.9646642203528382,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame015_PYR4_embedding/frame015_PYR4_embedding.out
