requirement_class,requirement_id,term_definition,occurrence_count,source_id,coverage_status,exact_or_analogous,transferability_status,QM_reference_required,notes
ANGLE,ANGLE_0032,H|SEED_PASSIVANT_H -- B|HEXAGONAL_EDGE_COMPLETION_SEED -- N|PARENT_HBN,30,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0033,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,30,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0034,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- N|ANNULUS_OUTER_BOUNDARY,15,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0035,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- N|HEXAGONAL_EDGE_COMPLETION_SEED,15,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0036,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- B|ANNULUS_OUTER_BOUNDARY -- N|ANNULUS_INTERIOR,24,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0037,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- B|ANNULUS_OUTER_BOUNDARY -- N|ANNULUS_OUTER_BOUNDARY,6,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0038,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- B|HEXAGONAL_EDGE_COMPLETION_SEED -- N|PARENT_HBN,30,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0039,N|ANNULUS_INNER_BOUNDARY -- B|ANNULUS_INTERIOR -- N|ANNULUS_INNER_BOUNDARY,6,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0040,N|ANNULUS_INNER_BOUNDARY -- B|ANNULUS_INTERIOR -- N|ANNULUS_INTERIOR,36,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0041,N|ANNULUS_INTERIOR -- B|ANNULUS_INNER_BOUNDARY -- N|ANNULUS_INTERIOR,12,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0042,N|ANNULUS_INTERIOR -- B|ANNULUS_INTERIOR -- N|ANNULUS_INTERIOR,138,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0043,N|ANNULUS_INTERIOR -- B|ANNULUS_INTERIOR -- N|ANNULUS_OUTER_BOUNDARY,48,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0044,N|ANNULUS_INTERIOR -- B|ANNULUS_OUTER_BOUNDARY -- N|ANNULUS_INTERIOR,18,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0045,N|ANNULUS_INTERIOR -- B|ANNULUS_OUTER_BOUNDARY -- N|ANNULUS_OUTER_BOUNDARY,12,,UNASSESSED,,UNASSESSED,UNASSESSED,
