dataset,frame,time_ps,pyrene,cutoff_nm,waterO_count
frozen,30,15.0,2,0.35,5
frozen,30,15.0,2,0.5,29
frozen,30,15.0,3,0.35,5
frozen,30,15.0,3,0.5,24
frozen,30,15.0,4,0.35,5
frozen,30,15.0,4,0.5,30
frozen,31,15.5,1,0.35,4
frozen,31,15.5,1,0.5,28
frozen,31,15.5,2,0.35,6
frozen,31,15.5,2,0.5,29
frozen,31,15.5,3,0.35,3
frozen,31,15.5,3,0.5,24
frozen,31,15.5,4,0.35,4
frozen,31,15.5,4,0.5,31
frozen,32,16.0,1,0.35,3
frozen,32,16.0,1,0.5,27
frozen,32,16.0,2,0.35,4
frozen,32,16.0,2,0.5,28
frozen,32,16.0,3,0.35,7
frozen,32,16.0,3,0.5,23
frozen,32,16.0,4,0.35,4
frozen,32,16.0,4,0.5,30
frozen,33,16.5,1,0.35,3
frozen,33,16.5,1,0.5,23
frozen,33,16.5,2,0.35,8
frozen,33,16.5,2,0.5,28
frozen,33,16.5,3,0.35,5
frozen,33,16.5,3,0.5,20
frozen,33,16.5,4,0.35,3
frozen,33,16.5,4,0.5,29
frozen,34,17.0,1,0.35,6
frozen,34,17.0,1,0.5,23
frozen,34,17.0,2,0.35,4
frozen,34,17.0,2,0.5,22
frozen,34,17.0,3,0.35,3
frozen,34,17.0,3,0.5,21
frozen,34,17.0,4,0.35,4
frozen,34,17.0,4,0.5,30
frozen,35,17.5,1,0.35,6
frozen,35,17.5,1,0.5,23
frozen,35,17.5,2,0.35,5
frozen,35,17.5,2,0.5,22
frozen,35,17.5,3,0.35,8
frozen,35,17.5,3,0.5,23
frozen,35,17.5,4,0.35,4
frozen,35,17.5,4,0.5,26
frozen,36,18.0,1,0.35,5
frozen,36,18.0,1,0.5,21
frozen,36,18.0,2,0.35,5
frozen,36,18.0,2,0.5,26
frozen,36,18.0,3,0.35,4
frozen,36,18.0,3,0.5,24
frozen,36,18.0,4,0.35,3
frozen,36,18.0,4,0.5,25
frozen,37,18.5,1,0.35,6
frozen,37,18.5,1,0.5,23
frozen,37,18.5,2,0.35,2
frozen,37,18.5,2,0.5,24
frozen,37,18.5,3,0.35,6
frozen,37,18.5,3,0.5,23
frozen,37,18.5,4,0.35,3
frozen,37,18.5,4,0.5,24
frozen,38,19.0,1,0.35,3
frozen,38,19.0,1,0.5,24
frozen,38,19.0,2,0.35,2
frozen,38,19.0,2,0.5,25
frozen,38,19.0,3,0.35,3
frozen,38,19.0,3,0.5,24
frozen,38,19.0,4,0.35,5
frozen,38,19.0,4,0.5,25
frozen,39,19.5,1,0.35,9
frozen,39,19.5,1,0.5,26
frozen,39,19.5,2,0.35,2
frozen,39,19.5,2,0.5,28
frozen,39,19.5,3,0.35,3
frozen,39,19.5,3,0.5,23
frozen,39,19.5,4,0.35,3
frozen,39,19.5,4,0.5,24
frozen,40,20.0,1,0.35,3
frozen,40,20.0,1,0.5,23
frozen,40,20.0,2,0.35,4
frozen,40,20.0,2,0.5,25
frozen,40,20.0,3,0.35,2
frozen,40,20.0,3,0.5,21
frozen,40,20.0,4,0.35,7
frozen,40,20.0,4,0.5,28
frozen,41,20.5,1,0.35,4
frozen,41,20.5,1,0.5,29
frozen,41,20.5,2,0.35,6
frozen,41,20.5,2,0.5,25
frozen,41,20.5,3,0.35,6
frozen,41,20.5,3,0.5,25
frozen,41,20.5,4,0.35,3
frozen,41,20.5,4,0.5,28
frozen,42,21.0,1,0.35,4
frozen,42,21.0,1,0.5,29
frozen,42,21.0,2,0.35,5
frozen,42,21.0,2,0.5,22
frozen,42,21.0,3,0.35,7
frozen,42,21.0,3,0.5,23
frozen,42,21.0,4,0.35,5
frozen,42,21.0,4,0.5,25
frozen,43,21.5,1,0.35,6
frozen,43,21.5,1,0.5,26
frozen,43,21.5,2,0.35,4
frozen,43,21.5,2,0.5,24
frozen,43,21.5,3,0.35,4
frozen,43,21.5,3,0.5,24
frozen,43,21.5,4,0.35,5
frozen,43,21.5,4,0.5,23
frozen,44,22.0,1,0.35,5
frozen,44,22.0,1,0.5,24
frozen,44,22.0,2,0.35,2
frozen,44,22.0,2,0.5,23
frozen,44,22.0,3,0.35,5
frozen,44,22.0,3,0.5,24
frozen,44,22.0,4,0.35,4
frozen,44,22.0,4,0.5,24
frozen,45,22.5,1,0.35,8
frozen,45,22.5,1,0.5,24
frozen,45,22.5,2,0.35,0
frozen,45,22.5,2,0.5,23
frozen,45,22.5,3,0.35,8
frozen,45,22.5,3,0.5,24
frozen,45,22.5,4,0.35,4
frozen,45,22.5,4,0.5,24
frozen,46,23.0,1,0.35,6
frozen,46,23.0,1,0.5,26
frozen,46,23.0,2,0.35,4
frozen,46,23.0,2,0.5,30
frozen,46,23.0,3,0.35,3
frozen,46,23.0,3,0.5,24
frozen,46,23.0,4,0.35,2
frozen,46,23.0,4,0.5,23
frozen,47,23.5,1,0.35,5
frozen,47,23.5,1,0.5,27
frozen,47,23.5,2,0.35,3
frozen,47,23.5,2,0.5,30
frozen,47,23.5,3,0.35,3
frozen,47,23.5,3,0.5,26
frozen,47,23.5,4,0.35,3
frozen,47,23.5,4,0.5,23
frozen,48,24.0,1,0.35,3
frozen,48,24.0,1,0.5,26
frozen,48,24.0,2,0.35,4
frozen,48,24.0,2,0.5,25
frozen,48,24.0,3,0.35,5
frozen,48,24.0,3,0.5,26
frozen,48,24.0,4,0.35,4
frozen,48,24.0,4,0.5,25
frozen,49,24.5,1,0.35,2
frozen,49,24.5,1,0.5,23
frozen,49,24.5,2,0.35,7
frozen,49,24.5,2,0.5,23
frozen,49,24.5,3,0.35,6
frozen,49,24.5,3,0.5,27
frozen,49,24.5,4,0.35,5
frozen,49,24.5,4,0.5,26
frozen,50,25.0,1,0.35,5
frozen,50,25.0,1,0.5,22
frozen,50,25.0,2,0.35,7
frozen,50,25.0,2,0.5,25
frozen,50,25.0,3,0.35,7
frozen,50,25.0,3,0.5,25
frozen,50,25.0,4,0.35,3
frozen,50,25.0,4,0.5,27
frozen,51,25.5,1,0.35,8
frozen,51,25.5,1,0.5,27
frozen,51,25.5,2,0.35,2
frozen,51,25.5,2,0.5,25
frozen,51,25.5,3,0.35,3
frozen,51,25.5,3,0.5,26
frozen,51,25.5,4,0.35,7
frozen,51,25.5,4,0.5,29
frozen,52,26.0,1,0.35,6
frozen,52,26.0,1,0.5,27
frozen,52,26.0,2,0.35,6
frozen,52,26.0,2,0.5,25
frozen,52,26.0,3,0.35,4
frozen,52,26.0,3,0.5,30
frozen,52,26.0,4,0.35,7
frozen,52,26.0,4,0.5,29
frozen,53,26.5,1,0.35,7
frozen,53,26.5,1,0.5,26
frozen,53,26.5,2,0.35,6
frozen,53,26.5,2,0.5,23
frozen,53,26.5,3,0.35,4
frozen,53,26.5,3,0.5,25
frozen,53,26.5,4,0.35,2
frozen,53,26.5,4,0.5,29
frozen,54,27.0,1,0.35,6
frozen,54,27.0,1,0.5,27
frozen,54,27.0,2,0.35,6
frozen,54,27.0,2,0.5,20
frozen,54,27.0,3,0.35,3
frozen,54,27.0,3,0.5,23
frozen,54,27.0,4,0.35,5
frozen,54,27.0,4,0.5,31
frozen,55,27.5,1,0.35,6
frozen,55,27.5,1,0.5,24
frozen,55,27.5,2,0.35,4
frozen,55,27.5,2,0.5,21
frozen,55,27.5,3,0.35,2
