node_id,element,node_type,end,x_nm,y_nm,z_nm,coordinates_generated_by,energy_minimized,MD_relaxed
A:LOWER:-7:-3,N,ANNULUS_INTERIOR,LOWER,4.0635019648991895,4.212354475722836,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:-7:-5,N,ANNULUS_INTERIOR,LOWER,3.9859024434506956,4.451163659922198,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:-7:-7,N,ANNULUS_OUTER_BOUNDARY,LOWER,3.9083029220022016,4.689972844121559,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:-7:1,N,ANNULUS_INNER_BOUNDARY,LOWER,4.218701007796178,3.734736107324112,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:-7:3,N,ANNULUS_INTERIOR,LOWER,4.296300529244672,3.4959269231247503,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:-7:5,N,ANNULUS_INTERIOR,LOWER,4.373900050693166,3.2571177389253885,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:-7:7,N,ANNULUS_OUTER_BOUNDARY,LOWER,4.45149957214166,3.0183085547260267,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:-8:-2,B,ANNULUS_INTERIOR,LOWER,4.171239999014666,4.115350935921792,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:-8:-4,B,ANNULUS_INTERIOR,LOWER,4.093640477566171,4.354160120121154,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:-8:-6,B,ANNULUS_INTERIOR,LOWER,4.016040956117677,4.5929693043205155,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:-8:0,B,ANNULUS_INTERIOR,LOWER,4.248839520463159,3.87654175172243,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:-8:2,B,ANNULUS_INTERIOR,LOWER,4.326439041911653,3.6377325675230683,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:-8:4,B,ANNULUS_INTERIOR,LOWER,4.404038563360148,3.3989233833237065,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:-8:6,B,ANNULUS_INTERIOR,LOWER,4.481638084808641,3.1601141991243447,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:10:-2,B,ANNULUS_INTERIOR,LOWER,2.930351077972557,3.712131994546324,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:10:-4,B,ANNULUS_INTERIOR,LOWER,2.852751556524063,3.9509411787456856,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:10:-6,B,ANNULUS_OUTER_BOUNDARY,LOWER,2.7751520350755685,4.189750362945048,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:10:0,B,ANNULUS_INTERIOR,LOWER,3.0079505994210507,3.473322810346962,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:10:2,B,ANNULUS_INTERIOR,LOWER,3.085550120869545,3.2345136261476,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:10:4,B,ANNULUS_INTERIOR,LOWER,3.163149642318039,2.9957044419482384,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:10:6,B,ANNULUS_OUTER_BOUNDARY,LOWER,3.240749163766533,2.7568952577488766,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
