fragment,atom_1,element_1,role_1,atom_2,element_2,role_2,distance_angstrom,vdw_sum_angstrom,distance_over_vdw_sum,classification,involves_artificial_cap,involves_existing_hydrogen,requires_geometry_repair
QM_F06_LOWER_CAPPED,BR4:LOWER:00:2,N,ORIGINAL_FRAGMENT_ATOM,HCAP:LOWER:03,H,ARTIFICIAL_BOUNDARY_CAP,1.6485479110,2.7500000000,0.5994719676,SEVERE_CLASH,True,False,True
QM_F06_LOWER_CAPPED,BR4:LOWER:00:2,N,ORIGINAL_FRAGMENT_ATOM,P:48,B,ORIGINAL_FRAGMENT_ATOM,2.1370081289,3.4700000000,0.6158524867,SEVERE_CLASH,False,False,True
QM_F06_LOWER_CAPPED,BR4:LOWER:00:2,N,ORIGINAL_FRAGMENT_ATOM,S:1680,N,ORIGINAL_FRAGMENT_ATOM,2.6045351111,3.1000000000,0.8401726165,CLOSE_CONTACT,False,False,False
QM_F06_LOWER_CAPPED,BR4:LOWER:00:3,B,ORIGINAL_FRAGMENT_ATOM,H4:LOWER:0017:0,H,EXISTING_R2_HYDROGEN_ADDED,2.2301202638,3.1200000000,0.7147821358,STRONG_COMPRESSION,False,True,True
QM_F06_LOWER_CAPPED,BR4:LOWER:00:3,B,ORIGINAL_FRAGMENT_ATOM,H4:LOWER:0055:0,H,ORIGINAL_FRAGMENT_ATOM,2.0738093204,3.1200000000,0.6646824745,SEVERE_CLASH,False,False,True
QM_F06_LOWER_CAPPED,BR4:LOWER:00:3,B,ORIGINAL_FRAGMENT_ATOM,H4:LOWER:0057:0,H,ORIGINAL_FRAGMENT_ATOM,2.1878076662,3.1200000000,0.7012204058,STRONG_COMPRESSION,False,False,True
QM_F06_LOWER_CAPPED,BR4:LOWER:00:3,B,ORIGINAL_FRAGMENT_ATOM,HCAP:LOWER:03,H,ARTIFICIAL_BOUNDARY_CAP,2.5377489213,3.1200000000,0.8133810645,CLOSE_CONTACT,True,False,False
QM_F06_LOWER_CAPPED,BR4:LOWER:00:3,B,ORIGINAL_FRAGMENT_ATOM,HCAP:LOWER:07,H,ARTIFICIAL_BOUNDARY_CAP,2.8671187259,3.1200000000,0.9189483096,ACCEPTABLE,True,False,False
QM_F06_LOWER_CAPPED,BR4:LOWER:00:3,B,ORIGINAL_FRAGMENT_ATOM,P:48,B,ORIGINAL_FRAGMENT_ATOM,3.3991909773,3.8400000000,0.8852059837,CLOSE_CONTACT,False,False,False
QM_F06_LOWER_CAPPED,BR4:LOWER:00:4,N,ORIGINAL_FRAGMENT_ATOM,H4:LOWER:0017:0,H,EXISTING_R2_HYDROGEN_ADDED,2.1053855348,2.7500000000,0.7655947399,STRONG_COMPRESSION,False,True,True
QM_F06_LOWER_CAPPED,BR4:LOWER:00:4,N,ORIGINAL_FRAGMENT_ATOM,H4:LOWER:0056:0,H,ORIGINAL_FRAGMENT_ATOM,2.3190791770,2.7500000000,0.8433015189,CLOSE_CONTACT,False,False,False
QM_F06_LOWER_CAPPED,BR4:LOWER:00:4,N,ORIGINAL_FRAGMENT_ATOM,HCAP:LOWER:07,H,ARTIFICIAL_BOUNDARY_CAP,2.7121116611,2.7500000000,0.9862224222,ACCEPTABLE,True,False,False
QM_F06_LOWER_CAPPED,H4:LOWER:0017:0,H,EXISTING_R2_HYDROGEN_ADDED,HCAP:LOWER:07,H,ARTIFICIAL_BOUNDARY_CAP,1.2186135727,2.4000000000,0.5077556553,SEVERE_CLASH,True,True,True
QM_F06_LOWER_CAPPED,H4:LOWER:0054:0,H,ORIGINAL_FRAGMENT_ATOM,P:46,B,ORIGINAL_FRAGMENT_ATOM,2.6305199728,3.1200000000,0.8431153759,CLOSE_CONTACT,False,False,False
QM_F06_LOWER_CAPPED,H4:LOWER:0054:0,H,ORIGINAL_FRAGMENT_ATOM,P:48,B,ORIGINAL_FRAGMENT_ATOM,2.8093187843,3.1200000000,0.9004226873,ACCEPTABLE,False,False,False
QM_F06_LOWER_CAPPED,H4:LOWER:0054:0,H,ORIGINAL_FRAGMENT_ATOM,S:1680,N,ORIGINAL_FRAGMENT_ATOM,1.8607779447,2.7500000000,0.6766465253,SEVERE_CLASH,False,False,True
QM_F06_LOWER_CAPPED,H4:LOWER:0055:0,H,ORIGINAL_FRAGMENT_ATOM,HCAP:LOWER:03,H,ARTIFICIAL_BOUNDARY_CAP,2.1216533775,2.4000000000,0.8840222406,CLOSE_CONTACT,True,False,False
QM_F06_LOWER_CAPPED,H4:LOWER:0055:0,H,ORIGINAL_FRAGMENT_ATOM,P:48,B,ORIGINAL_FRAGMENT_ATOM,2.3851514141,3.1200000000,0.7644716071,STRONG_COMPRESSION,False,False,True
QM_F06_LOWER_CAPPED,HCAP:LOWER:01,H,ARTIFICIAL_BOUNDARY_CAP,HCAP:LOWER:04,H,ARTIFICIAL_BOUNDARY_CAP,2.0615529801,2.4000000000,0.8589804084,CLOSE_CONTACT,True,False,False
QM_F06_LOWER_CAPPED,HCAP:LOWER:01,H,ARTIFICIAL_BOUNDARY_CAP,P:48,B,ORIGINAL_FRAGMENT_ATOM,2.7729046143,3.1200000000,0.8887514789,CLOSE_CONTACT,True,False,False
QM_F06_LOWER_CAPPED,HCAP:LOWER:01,H,ARTIFICIAL_BOUNDARY_CAP,S:1680,N,ORIGINAL_FRAGMENT_ATOM,2.2926364659,2.7500000000,0.8336859876,CLOSE_CONTACT,True,False,False
QM_F06_LOWER_CAPPED,HCAP:LOWER:02,H,ARTIFICIAL_BOUNDARY_CAP,HCAP:LOWER:03,H,ARTIFICIAL_BOUNDARY_CAP,2.0628233583,2.4000000000,0.8595097326,CLOSE_CONTACT,True,False,False
QM_F06_LOWER_CAPPED,HCAP:LOWER:02,H,ARTIFICIAL_BOUNDARY_CAP,P:46,B,ORIGINAL_FRAGMENT_ATOM,2.7729046143,3.1200000000,0.8887514789,CLOSE_CONTACT,True,False,False
QM_F06_LOWER_CAPPED,HCAP:LOWER:02,H,ARTIFICIAL_BOUNDARY_CAP,S:1680,N,ORIGINAL_FRAGMENT_ATOM,2.2926364659,2.7500000000,0.8336859876,CLOSE_CONTACT,True,False,False
QM_F06_LOWER_CAPPED,HCAP:LOWER:03,H,ARTIFICIAL_BOUNDARY_CAP,HCAP:LOWER:07,H,ARTIFICIAL_BOUNDARY_CAP,2.3797673613,2.4000000000,0.9915697339,ACCEPTABLE,True,False,False
QM_F06_LOWER_CAPPED,HCAP:LOWER:03,H,ARTIFICIAL_BOUNDARY_CAP,S:1680,N,ORIGINAL_FRAGMENT_ATOM,2.2726043835,2.7500000000,0.8264015940,CLOSE_CONTACT,True,False,False
QM_F06_LOWER_CAPPED,HCAP:LOWER:04,H,ARTIFICIAL_BOUNDARY_CAP,S:1680,N,ORIGINAL_FRAGMENT_ATOM,2.2740880038,2.7500000000,0.8269410923,CLOSE_CONTACT,True,False,False
QM_F06_LOWER_CAPPED,HCAP:LOWER:05,H,ARTIFICIAL_BOUNDARY_CAP,HCAP:LOWER:06,H,ARTIFICIAL_BOUNDARY_CAP,1.7493713156,2.4000000000,0.7289047148,STRONG_COMPRESSION,True,False,True
QM_F06_LOWER_CAPPED,HCAP:LOWER:07,H,ARTIFICIAL_BOUNDARY_CAP,P:48,B,ORIGINAL_FRAGMENT_ATOM,3.0883286094,3.1200000000,0.9898489133,ACCEPTABLE,True,False,False
QM_F06_LOWER_CAPPED,P:46,B,ORIGINAL_FRAGMENT_ATOM,P:48,B,ORIGINAL_FRAGMENT_ATOM,2.5045758124,3.8400000000,0.6522332845,SEVERE_CLASH,False,False,True
QM_F06_UPPER_CAPPED,A:UPPER:11:5,B,ORIGINAL_FRAGMENT_ATOM,A:UPPER:14:4,B,ORIGINAL_FRAGMENT_ATOM,2.5110060173,3.8400000000,0.6539078170,SEVERE_CLASH,False,False,True
QM_F06_UPPER_CAPPED,A:UPPER:11:5,B,ORIGINAL_FRAGMENT_ATOM,BR4:UPPER:00:4,B,ORIGINAL_FRAGMENT_ATOM,2.8831191325,3.8400000000,0.7508122741,STRONG_COMPRESSION,False,False,True
QM_F06_UPPER_CAPPED,A:UPPER:11:5,B,ORIGINAL_FRAGMENT_ATOM,H4:UPPER:0047:0,H,EXISTING_R2_HYDROGEN_ADDED,2.2846967656,3.1200000000,0.7322746044,STRONG_COMPRESSION,False,True,True
QM_F06_UPPER_CAPPED,A:UPPER:11:5,B,ORIGINAL_FRAGMENT_ATOM,HCAP:UPPER:07,H,ARTIFICIAL_BOUNDARY_CAP,2.7787139505,3.1200000000,0.8906134457,CLOSE_CONTACT,True,False,False
QM_F06_UPPER_CAPPED,A:UPPER:13:5,N,ORIGINAL_FRAGMENT_ATOM,BR4:UPPER:00:2,B,ORIGINAL_FRAGMENT_ATOM,3.1939418135,3.4700000000,0.9204443267,ACCEPTABLE,False,False,False
