node_id,element,node_type,end,source_index_0based,coordinates_assigned,formal_charge_assigned,force_field_type_assigned,circumferential_index,lattice_x,lattice_y,radius_proxy_nm,angle_turns,attached_to
P:191,N,PARENT_HBN,PARENT,191,False,False,False,,,,,,
P:192,B,PARENT_HBN,PARENT,192,False,False,False,,,,,,
P:193,N,PARENT_HBN,PARENT,193,False,False,False,,,,,,
P:194,B,PARENT_HBN,PARENT,194,False,False,False,,,,,,
P:195,N,PARENT_HBN,PARENT,195,False,False,False,,,,,,
P:196,B,PARENT_HBN,PARENT,196,False,False,False,,,,,,
P:197,N,PARENT_HBN,PARENT,197,False,False,False,,,,,,
P:198,B,PARENT_HBN,PARENT,198,False,False,False,,,,,,
P:199,N,PARENT_HBN,PARENT,199,False,False,False,,,,,,
P:200,B,PARENT_HBN,PARENT,200,False,False,False,,,,,,
P:201,N,PARENT_HBN,PARENT,201,False,False,False,,,,,,
P:202,B,PARENT_HBN,PARENT,202,False,False,False,,,,,,
P:203,N,PARENT_HBN,PARENT,203,False,False,False,,,,,,
P:204,B,PARENT_HBN,PARENT,204,False,False,False,,,,,,
P:205,N,PARENT_HBN,PARENT,205,False,False,False,,,,,,
P:206,B,PARENT_HBN,PARENT,206,False,False,False,,,,,,
P:207,N,PARENT_HBN,PARENT,207,False,False,False,,,,,,
P:208,B,PARENT_HBN,PARENT,208,False,False,False,,,,,,
P:209,N,PARENT_HBN,PARENT,209,False,False,False,,,,,,
P:210,B,PARENT_HBN,PARENT,210,False,False,False,,,,,,
P:211,N,PARENT_HBN,PARENT,211,False,False,False,,,,,,
P:212,B,PARENT_HBN,PARENT,212,False,False,False,,,,,,
P:213,N,PARENT_HBN,PARENT,213,False,False,False,,,,,,
P:214,B,PARENT_HBN,PARENT,214,False,False,False,,,,,,
P:215,N,PARENT_HBN,PARENT,215,False,False,False,,,,,,
P:216,B,PARENT_HBN,PARENT,216,False,False,False,,,,,,
P:217,N,PARENT_HBN,PARENT,217,False,False,False,,,,,,
P:218,B,PARENT_HBN,PARENT,218,False,False,False,,,,,,
P:219,N,PARENT_HBN,PARENT,219,False,False,False,,,,,,
P:220,B,PARENT_HBN,PARENT,220,False,False,False,,,,,,
P:221,N,PARENT_HBN,PARENT,221,False,False,False,,,,,,
P:222,B,PARENT_HBN,PARENT,222,False,False,False,,,,,,
P:223,N,PARENT_HBN,PARENT,223,False,False,False,,,,,,
P:224,B,PARENT_HBN,PARENT,224,False,False,False,,,,,,
P:225,N,PARENT_HBN,PARENT,225,False,False,False,,,,,,
P:226,B,PARENT_HBN,PARENT,226,False,False,False,,,,,,
P:227,N,PARENT_HBN,PARENT,227,False,False,False,,,,,,
P:228,B,PARENT_HBN,PARENT,228,False,False,False,,,,,,
P:229,N,PARENT_HBN,PARENT,229,False,False,False,,,,,,
P:230,B,PARENT_HBN,PARENT,230,False,False,False,,,,,,
P:231,N,PARENT_HBN,PARENT,231,False,False,False,,,,,,
P:232,B,PARENT_HBN,PARENT,232,False,False,False,,,,,,
P:233,N,PARENT_HBN,PARENT,233,False,False,False,,,,,,
P:234,B,PARENT_HBN,PARENT,234,False,False,False,,,,,,
P:235,N,PARENT_HBN,PARENT,235,False,False,False,,,,,,
P:236,B,PARENT_HBN,PARENT,236,False,False,False,,,,,,
P:237,N,PARENT_HBN,PARENT,237,False,False,False,,,,,,
P:238,B,PARENT_HBN,PARENT,238,False,False,False,,,,,,
P:239,N,PARENT_HBN,PARENT,239,False,False,False,,,,,,
P:240,B,PARENT_HBN,PARENT,240,False,False,False,,,,,,
P:241,N,PARENT_HBN,PARENT,241,False,False,False,,,,,,
P:242,B,PARENT_HBN,PARENT,242,False,False,False,,,,,,
P:243,N,PARENT_HBN,PARENT,243,False,False,False,,,,,,
P:244,B,PARENT_HBN,PARENT,244,False,False,False,,,,,,
P:245,N,PARENT_HBN,PARENT,245,False,False,False,,,,,,
P:246,B,PARENT_HBN,PARENT,246,False,False,False,,,,,,
P:247,N,PARENT_HBN,PARENT,247,False,False,False,,,,,,
P:248,B,PARENT_HBN,PARENT,248,False,False,False,,,,,,
P:249,N,PARENT_HBN,PARENT,249,False,False,False,,,,,,
P:250,B,PARENT_HBN,PARENT,250,False,False,False,,,,,,
P:251,N,PARENT_HBN,PARENT,251,False,False,False,,,,,,
P:252,B,PARENT_HBN,PARENT,252,False,False,False,,,,,,
P:253,N,PARENT_HBN,PARENT,253,False,False,False,,,,,,
P:254,B,PARENT_HBN,PARENT,254,False,False,False,,,,,,
P:255,N,PARENT_HBN,PARENT,255,False,False,False,,,,,,
P:256,B,PARENT_HBN,PARENT,256,False,False,False,,,,,,
P:257,N,PARENT_HBN,PARENT,257,False,False,False,,,,,,
P:258,B,PARENT_HBN,PARENT,258,False,False,False,,,,,,
P:259,N,PARENT_HBN,PARENT,259,False,False,False,,,,,,
P:260,B,PARENT_HBN,PARENT,260,False,False,False,,,,,,
P:261,N,PARENT_HBN,PARENT,261,False,False,False,,,,,,
P:262,B,PARENT_HBN,PARENT,262,False,False,False,,,,,,
P:263,N,PARENT_HBN,PARENT,263,False,False,False,,,,,,
P:264,B,PARENT_HBN,PARENT,264,False,False,False,,,,,,
P:265,N,PARENT_HBN,PARENT,265,False,False,False,,,,,,
P:266,B,PARENT_HBN,PARENT,266,False,False,False,,,,,,
P:267,N,PARENT_HBN,PARENT,267,False,False,False,,,,,,
P:268,B,PARENT_HBN,PARENT,268,False,False,False,,,,,,
P:269,N,PARENT_HBN,PARENT,269,False,False,False,,,,,,
P:270,B,PARENT_HBN,PARENT,270,False,False,False,,,,,,
P:271,N,PARENT_HBN,PARENT,271,False,False,False,,,,,,
P:272,B,PARENT_HBN,PARENT,272,False,False,False,,,,,,
P:273,N,PARENT_HBN,PARENT,273,False,False,False,,,,,,
P:274,B,PARENT_HBN,PARENT,274,False,False,False,,,,,,
P:275,N,PARENT_HBN,PARENT,275,False,False,False,,,,,,
P:276,B,PARENT_HBN,PARENT,276,False,False,False,,,,,,
P:277,N,PARENT_HBN,PARENT,277,False,False,False,,,,,,
P:278,B,PARENT_HBN,PARENT,278,False,False,False,,,,,,
P:279,N,PARENT_HBN,PARENT,279,False,False,False,,,,,,
P:280,B,PARENT_HBN,PARENT,280,False,False,False,,,,,,
P:281,N,PARENT_HBN,PARENT,281,False,False,False,,,,,,
P:282,B,PARENT_HBN,PARENT,282,False,False,False,,,,,,
P:283,N,PARENT_HBN,PARENT,283,False,False,False,,,,,,
P:284,B,PARENT_HBN,PARENT,284,False,False,False,,,,,,
P:285,N,PARENT_HBN,PARENT,285,False,False,False,,,,,,
P:286,B,PARENT_HBN,PARENT,286,False,False,False,,,,,,
P:287,N,PARENT_HBN,PARENT,287,False,False,False,,,,,,
P:288,B,PARENT_HBN,PARENT,288,False,False,False,,,,,,
P:289,N,PARENT_HBN,PARENT,289,False,False,False,,,,,,
P:290,B,PARENT_HBN,PARENT,290,False,False,False,,,,,,
P:291,N,PARENT_HBN,PARENT,291,False,False,False,,,,,,
P:292,B,PARENT_HBN,PARENT,292,False,False,False,,,,,,
P:293,N,PARENT_HBN,PARENT,293,False,False,False,,,,,,
P:294,B,PARENT_HBN,PARENT,294,False,False,False,,,,,,
P:295,N,PARENT_HBN,PARENT,295,False,False,False,,,,,,
P:296,B,PARENT_HBN,PARENT,296,False,False,False,,,,,,
P:297,N,PARENT_HBN,PARENT,297,False,False,False,,,,,,
P:298,B,PARENT_HBN,PARENT,298,False,False,False,,,,,,
P:299,N,PARENT_HBN,PARENT,299,False,False,False,,,,,,
P:300,B,PARENT_HBN,PARENT,300,False,False,False,,,,,,
