atom,name,r_ref_nm,r_cur_nm,delta_r_nm
1512,N1512,1.20239,1.14102,-0.06138
1513,B1513,1.20481,1.10402,-0.10079
1514,N1514,1.20198,1.10886,-0.09312
1515,B1515,1.20450,1.07088,-0.13362
1516,N1516,1.20171,1.07664,-0.12507
1517,B1517,1.20506,1.05042,-0.15464
1518,N1518,1.20191,1.04847,-0.15344
1519,B1519,1.20455,1.03585,-0.16870
1520,N1520,1.20141,1.03430,-0.16710
1521,B1521,1.20527,1.03045,-0.17481
1522,N1522,1.20227,1.02618,-0.17609
1523,B1523,1.20465,1.04365,-0.16100
1524,N1524,1.20171,1.02699,-0.17472
1525,B1525,1.20566,1.03753,-0.16813
1526,N1526,1.20210,1.03145,-0.17065
1527,B1527,1.20559,1.07392,-0.13167
1528,N1528,1.20280,1.07227,-0.13053
1529,B1529,1.20516,1.12736,-0.07779
1530,N1530,1.20300,1.12574,-0.07727
1531,B1531,1.20503,1.19559,-0.00945
1532,N1532,1.20230,1.19090,-0.01140
1533,B1533,1.20565,1.25440,0.04875
1534,N1534,1.20153,1.24548,0.04395
1535,B1535,1.20526,1.30127,0.09601
1536,N1536,1.20228,1.30059,0.09831
1537,B1537,1.20542,1.34607,0.14066
1538,N1538,1.20233,1.35440,0.15207
1539,B1539,1.20484,1.34883,0.14399
1540,N1540,1.20168,1.35817,0.15649
1541,B1541,1.20527,1.33324,0.12797
1542,N1542,1.20217,1.34531,0.14314
1543,B1543,1.20473,1.32326,0.11854
1544,N1544,1.20190,1.33346,0.13155
1545,B1545,1.20516,1.31466,0.10950
1546,N1546,1.20237,1.32031,0.11794
1547,B1547,1.20476,1.29531,0.09055
1548,N1548,1.20162,1.30526,0.10364
1549,B1549,1.20609,1.26489,0.05881
1550,N1550,1.20197,1.27411,0.07215
1551,B1551,1.20574,1.21522,0.00948
1552,N1552,1.20274,1.22441,0.02168
1553,B1553,1.20501,1.19224,-0.01277
1554,N1554,1.20208,1.19810,-0.00397
1555,B1555,1.20498,1.20406,-0.00092
