fragment,orca_atom_index_0based,orca_atom_index_1based,atom_id,element,atom_role,is_bridge_atom,is_attachment_center,stage1_fixed,stage2_fixed
QM_F06_LOWER_CAPPED_REPAIRED,21,22,H4:LOWER:0017:0,H,EXISTING_R2_HYDROGEN_ADDED,False,False,False,False
QM_F06_UPPER_CAPPED_REPAIRED,0,1,A:UPPER:11:5,B,ORIGINAL_FRAGMENT_ATOM,False,False,True,True
QM_F06_UPPER_CAPPED_REPAIRED,1,2,A:UPPER:13:5,N,ORIGINAL_FRAGMENT_ATOM,False,True,False,False
QM_F06_UPPER_CAPPED_REPAIRED,2,3,A:UPPER:14:4,B,ORIGINAL_FRAGMENT_ATOM,False,False,True,True
QM_F06_UPPER_CAPPED_REPAIRED,3,4,BR4:UPPER:00:1,N,ORIGINAL_FRAGMENT_ATOM,True,False,False,False
QM_F06_UPPER_CAPPED_REPAIRED,4,5,BR4:UPPER:00:2,B,ORIGINAL_FRAGMENT_ATOM,True,False,False,False
QM_F06_UPPER_CAPPED_REPAIRED,5,6,BR4:UPPER:00:3,N,ORIGINAL_FRAGMENT_ATOM,True,False,False,False
QM_F06_UPPER_CAPPED_REPAIRED,6,7,BR4:UPPER:00:4,B,ORIGINAL_FRAGMENT_ATOM,True,False,False,False
QM_F06_UPPER_CAPPED_REPAIRED,7,8,H4:UPPER:0114:0,H,ORIGINAL_FRAGMENT_ATOM,False,False,False,False
QM_F06_UPPER_CAPPED_REPAIRED,8,9,H4:UPPER:0115:0,H,ORIGINAL_FRAGMENT_ATOM,False,False,False,False
QM_F06_UPPER_CAPPED_REPAIRED,9,10,H4:UPPER:0116:0,H,ORIGINAL_FRAGMENT_ATOM,False,False,False,False
QM_F06_UPPER_CAPPED_REPAIRED,10,11,H4:UPPER:0117:0,H,ORIGINAL_FRAGMENT_ATOM,False,False,False,False
QM_F06_UPPER_CAPPED_REPAIRED,11,12,P:1641,N,ORIGINAL_FRAGMENT_ATOM,False,False,True,True
QM_F06_UPPER_CAPPED_REPAIRED,12,13,P:1643,N,ORIGINAL_FRAGMENT_ATOM,False,False,True,True
QM_F06_UPPER_CAPPED_REPAIRED,13,14,S:1710,B,ORIGINAL_FRAGMENT_ATOM,False,True,False,False
QM_F06_UPPER_CAPPED_REPAIRED,14,15,HCAP:UPPER:01,H,ARTIFICIAL_BOUNDARY_CAP,False,False,True,False
QM_F06_UPPER_CAPPED_REPAIRED,15,16,HCAP:UPPER:02,H,ARTIFICIAL_BOUNDARY_CAP,False,False,True,False
QM_F06_UPPER_CAPPED_REPAIRED,16,17,HCAP:UPPER:03,H,ARTIFICIAL_BOUNDARY_CAP,False,False,True,False
QM_F06_UPPER_CAPPED_REPAIRED,17,18,HCAP:UPPER:04,H,ARTIFICIAL_BOUNDARY_CAP,False,False,True,False
QM_F06_UPPER_CAPPED_REPAIRED,18,19,HCAP:UPPER:05,H,ARTIFICIAL_BOUNDARY_CAP,False,False,True,False
QM_F06_UPPER_CAPPED_REPAIRED,19,20,HCAP:UPPER:06,H,ARTIFICIAL_BOUNDARY_CAP,False,False,True,False
QM_F06_UPPER_CAPPED_REPAIRED,20,21,HCAP:UPPER:07,H,ARTIFICIAL_BOUNDARY_CAP,False,False,True,False
QM_F06_UPPER_CAPPED_REPAIRED,21,22,H4:UPPER:0047:0,H,EXISTING_R2_HYDROGEN_ADDED,False,False,False,False
