label,frame,timestep,time_from_first_frame_fs,pair_index,positive_atom_id,negative_atom_id,cutoff_A,contact_count,contact_fraction,minimum_distance_A
day008_fieldfree_replica01,4,3000,150.0,2,107281,107282,6.0,1,3.334778403975056e-05,5.850650146616187
day008_fieldfree_replica01,4,3000,150.0,3,107283,107284,6.0,2,6.669556807950112e-05,5.215641509919941
day008_fieldfree_replica01,4,3000,150.0,4,107291,107292,6.0,2,6.669556807950112e-05,4.52624342473977
day008_fieldfree_replica01,4,3000,150.0,5,107287,107288,6.0,4,0.00013339113615900224,5.3863079609320526
day008_fieldfree_replica01,4,3000,150.0,6,107289,107290,6.0,0,0.0,6.864491036639206
day008_fieldfree_replica01,4,3000,150.0,7,107295,107296,6.0,0,0.0,9.019620667744288
day008_fieldfree_replica01,4,3000,150.0,8,107297,107298,6.0,1,3.334778403975056e-05,5.268425121884148
day008_fieldfree_replica01,4,3000,150.0,9,107293,107294,6.0,1,3.334778403975056e-05,5.469453212159325
day008_fieldfree_replica01,4,3000,150.0,10,107301,107302,6.0,0,0.0,7.707605590583888
day008_fieldfree_replica01,4,3000,150.0,11,107303,107304,6.0,0,0.0,6.047038020386506
day008_fieldfree_replica01,4,3000,150.0,12,107299,107300,6.0,0,0.0,6.854010140239071
day008_fieldfree_replica01,5,4000,200.0,1,107285,107286,6.0,1,3.334778403975056e-05,4.781685967313198
day008_fieldfree_replica01,5,4000,200.0,2,107281,107282,6.0,1,3.334778403975056e-05,5.673753847577457
day008_fieldfree_replica01,5,4000,200.0,3,107283,107284,6.0,2,6.669556807950112e-05,5.224876892329618
day008_fieldfree_replica01,5,4000,200.0,4,107291,107292,6.0,2,6.669556807950112e-05,4.603611027226345
day008_fieldfree_replica01,5,4000,200.0,5,107287,107288,6.0,4,0.00013339113615900224,5.214625453472187
day008_fieldfree_replica01,5,4000,200.0,6,107289,107290,6.0,0,0.0,7.2727823824517115
day008_fieldfree_replica01,5,4000,200.0,7,107295,107296,6.0,0,0.0,8.880551016125075
day008_fieldfree_replica01,5,4000,200.0,8,107297,107298,6.0,2,6.669556807950112e-05,5.338767541530534
day008_fieldfree_replica01,5,4000,200.0,9,107293,107294,6.0,1,3.334778403975056e-05,5.356231679081853
day008_fieldfree_replica01,5,4000,200.0,10,107301,107302,6.0,0,0.0,7.567853915741239
day008_fieldfree_replica01,5,4000,200.0,11,107303,107304,6.0,1,3.334778403975056e-05,5.9007246368560535
day008_fieldfree_replica01,5,4000,200.0,12,107299,107300,6.0,0,0.0,7.058336880774396
