label,frame,timestep,time_from_first_frame_fs,pair_index,positive_atom_id,negative_atom_id,cutoff_A,contact_count,contact_fraction,minimum_distance_A
day007_fieldZ_0_to_20k,3,2000,100.0,3,107283,107284,6.0,4,0.00013339113615900224,4.722989861306079
day007_fieldZ_0_to_20k,3,2000,100.0,4,107291,107292,6.0,2,6.669556807950112e-05,4.707385739452418
day007_fieldZ_0_to_20k,3,2000,100.0,5,107287,107288,6.0,1,3.334778403975056e-05,5.722427608978558
day007_fieldZ_0_to_20k,3,2000,100.0,6,107289,107290,6.0,1,3.334778403975056e-05,4.914778240124371
day007_fieldZ_0_to_20k,3,2000,100.0,7,107295,107296,6.0,0,0.0,8.036231287114624
day007_fieldZ_0_to_20k,3,2000,100.0,8,107297,107298,6.0,3,0.00010004335211925168,4.320299952595883
day007_fieldZ_0_to_20k,3,2000,100.0,9,107293,107294,6.0,2,6.669556807950112e-05,5.415125691985366
day007_fieldZ_0_to_20k,3,2000,100.0,10,107301,107302,6.0,1,3.334778403975056e-05,5.089582860117321
day007_fieldZ_0_to_20k,3,2000,100.0,11,107303,107304,6.0,2,6.669556807950112e-05,4.184322941647785
day007_fieldZ_0_to_20k,3,2000,100.0,12,107299,107300,6.0,0,0.0,8.623869935388633
day007_fieldZ_0_to_20k,4,3000,150.0,1,107285,107286,6.0,0,0.0,7.852864726964295
day007_fieldZ_0_to_20k,4,3000,150.0,2,107281,107282,6.0,0,0.0,6.472877372459639
day007_fieldZ_0_to_20k,4,3000,150.0,3,107283,107284,6.0,4,0.00013339113615900224,4.83525831988323
day007_fieldZ_0_to_20k,4,3000,150.0,4,107291,107292,6.0,2,6.669556807950112e-05,4.984833737448021
day007_fieldZ_0_to_20k,4,3000,150.0,5,107287,107288,6.0,1,3.334778403975056e-05,5.535181652845733
day007_fieldZ_0_to_20k,4,3000,150.0,6,107289,107290,6.0,1,3.334778403975056e-05,5.143105441549879
day007_fieldZ_0_to_20k,4,3000,150.0,7,107295,107296,6.0,0,0.0,8.206839969805673
day007_fieldZ_0_to_20k,4,3000,150.0,8,107297,107298,6.0,2,6.669556807950112e-05,4.2318727649706105
day007_fieldZ_0_to_20k,4,3000,150.0,9,107293,107294,6.0,2,6.669556807950112e-05,4.844794231956603
day007_fieldZ_0_to_20k,4,3000,150.0,10,107301,107302,6.0,1,3.334778403975056e-05,4.999470493962335
day007_fieldZ_0_to_20k,4,3000,150.0,11,107303,107304,6.0,2,6.669556807950112e-05,4.287942036688462
day007_fieldZ_0_to_20k,4,3000,150.0,12,107299,107300,6.0,0,0.0,8.633066688431173
day007_fieldZ_0_to_20k,5,4000,200.0,1,107285,107286,6.0,0,0.0,8.018760376766474
day007_fieldZ_0_to_20k,5,4000,200.0,2,107281,107282,6.0,0,0.0,6.634192828377844
day007_fieldZ_0_to_20k,5,4000,200.0,3,107283,107284,6.0,3,0.00010004335211925168,5.118375223642756
day007_fieldZ_0_to_20k,5,4000,200.0,4,107291,107292,6.0,2,6.669556807950112e-05,5.09194768433455
day007_fieldZ_0_to_20k,5,4000,200.0,5,107287,107288,6.0,1,3.334778403975056e-05,5.520736055092657
day007_fieldZ_0_to_20k,5,4000,200.0,6,107289,107290,6.0,1,3.334778403975056e-05,5.310361275431267
day007_fieldZ_0_to_20k,5,4000,200.0,7,107295,107296,6.0,0,0.0,8.303268408283568
day007_fieldZ_0_to_20k,5,4000,200.0,8,107297,107298,6.0,2,6.669556807950112e-05,4.217328483341081
