label,frame,timestep,time_from_first_frame_fs,pair_index,positive_atom_id,negative_atom_id,cutoff_A,contact_count,contact_fraction,minimum_distance_A
day007_fieldfree,4,12000,300.0,5,107287,107288,6.0,1,3.334778403975056e-05,5.7583202316300515
day007_fieldfree,4,12000,300.0,6,107289,107290,6.0,1,3.334778403975056e-05,5.019657833199389
day007_fieldfree,4,12000,300.0,7,107295,107296,6.0,0,0.0,8.848408867700451
day007_fieldfree,4,12000,300.0,8,107297,107298,6.0,2,6.669556807950112e-05,4.185453640419399
day007_fieldfree,4,12000,300.0,9,107293,107294,6.0,0,0.0,6.357354124162033
day007_fieldfree,4,12000,300.0,10,107301,107302,6.0,1,3.334778403975056e-05,5.2683245258810745
day007_fieldfree,4,12000,300.0,11,107303,107304,6.0,1,3.334778403975056e-05,5.98456168904624
day007_fieldfree,4,12000,300.0,12,107299,107300,6.0,0,0.0,7.317335609359458
day007_fieldfree,5,14000,400.0,1,107285,107286,6.0,0,0.0,6.632202965832697
day007_fieldfree,5,14000,400.0,2,107281,107282,6.0,1,3.334778403975056e-05,5.564396361053013
day007_fieldfree,5,14000,400.0,3,107283,107284,6.0,4,0.00013339113615900224,4.545115916013586
day007_fieldfree,5,14000,400.0,4,107291,107292,6.0,1,3.334778403975056e-05,5.075819842153583
day007_fieldfree,5,14000,400.0,5,107287,107288,6.0,1,3.334778403975056e-05,5.865286542019917
day007_fieldfree,5,14000,400.0,6,107289,107290,6.0,1,3.334778403975056e-05,5.225949576526738
day007_fieldfree,5,14000,400.0,7,107295,107296,6.0,0,0.0,8.86497906878522
day007_fieldfree,5,14000,400.0,8,107297,107298,6.0,2,6.669556807950112e-05,3.5100292042802166
day007_fieldfree,5,14000,400.0,9,107293,107294,6.0,0,0.0,6.275162985134327
day007_fieldfree,5,14000,400.0,10,107301,107302,6.0,1,3.334778403975056e-05,4.943922779534489
day007_fieldfree,5,14000,400.0,11,107303,107304,6.0,1,3.334778403975056e-05,5.628289307596043
day007_fieldfree,5,14000,400.0,12,107299,107300,6.0,0,0.0,7.924207541805047
day007_fieldfree,6,16000,500.0,1,107285,107286,6.0,0,0.0,7.051978874755649
day007_fieldfree,6,16000,500.0,2,107281,107282,6.0,1,3.334778403975056e-05,5.331429751098668
day007_fieldfree,6,16000,500.0,3,107283,107284,6.0,3,0.00010004335211925168,5.014978478518129
day007_fieldfree,6,16000,500.0,4,107291,107292,6.0,1,3.334778403975056e-05,4.680576367286405
