temperature_K,frame,snapshot_time_ps,PYR2_equilibrium_population,PYR3_equilibrium_population,PYR4_equilibrium_population,PYR5_equilibrium_population
200.0,16,80.0,8.410802763155798e-08,1.0533097800213012e-06,2.392007637661504e-05,0.9999749425058154
200.0,17,85.0,7.326040339446045e-08,7.500081456967735e-07,1.9004627177813346e-05,0.9999801721042726
200.0,18,90.0,7.041963185179812e-08,7.56009533239525e-07,1.9076835617999395e-05,0.9999800967352169
200.0,19,95.0,8.97173850694191e-08,9.627453569770645e-07,2.2884140033264196e-05,0.9999760633972249
200.0,20,100.0,8.750975337201351e-08,9.936289154598746e-07,2.2463164261924034e-05,0.9999764556970689
250.0,0,0.0,1.5729025969165622e-06,1.82131291230778e-06,2.255441134568354e-05,0.9999740513731439
250.0,1,5.0,3.137619274051738e-07,1.4211444212155626e-06,2.0286372575764977e-05,0.9999779787210756
250.0,2,10.0,5.254052564513558e-07,1.5031452543009352e-06,2.080418533124639e-05,0.9999771672641581
250.0,3,15.0,1.3677251078982334e-07,1.112811463917861e-06,1.6037187285408894e-05,0.999982713228741
250.0,4,20.0,2.0169923867792552e-07,9.546086373723743e-07,2.0572197925285525e-05,0.9999782714941979
250.0,5,25.0,3.5353126904815335e-06,8.524376288468328e-06,2.4785328447499552e-05,0.9999631549825738
250.0,6,30.0,7.857688704873741e-07,1.16135358308576e-06,2.1244220597991122e-05,0.9999768086569497
250.0,7,35.0,5.648371713809204e-07,3.3171200560756937e-06,2.4053811843113624e-05,0.9999720642309293
250.0,8,40.0,1.803735615517114e-06,3.3171289484987664e-06,2.4196700249002592e-05,0.9999706824351866
250.0,9,45.0,1.8271522006088138e-07,1.060815149323917e-06,1.869828303076486e-05,0.9999800581865997
250.0,10,50.0,1.6508881432860145e-06,4.13889239168471e-06,2.338809519152544e-05,0.9999708221242747
250.0,11,55.0,6.075852118994483e-07,2.9364729079976196e-06,2.5075466156553858e-05,0.9999713804757229
250.0,12,60.0,2.15229009093278e-06,2.489919289415114e-06,2.290508783154156e-05,0.9999724527027878
250.0,13,65.0,4.282765772473816e-07,2.359536822880195e-06,2.1504574288568407e-05,0.9999757076123111
250.0,14,70.0,7.110799011126293e-07,1.364251549759292e-06,2.8645535148320237e-05,0.9999692791334006
250.0,15,75.0,8.736171284628575e-07,2.3562932020324607e-06,2.456928105141194e-05,0.9999722008086178
250.0,16,80.0,6.859247573285285e-07,2.710408759514304e-06,2.4750403770322053e-05,0.9999718532627129
