edge_id,end,edge_type,source_node,target_node,source_element,target_element,length_nm,target_length_nm,deviation_nm,absolute_deviation_nm
E:72,PARENT,PARENT_BN,P:47,P:106,N,B,0.1446409347314931,0.144973,-0.00033206526850690365,0.00033206526850690365
E:73,PARENT,PARENT_BN,P:48,P:49,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:74,PARENT,PARENT_BN,P:49,P:106,N,B,0.14461673485458001,0.144973,-0.0003562651454199761,0.0003562651454199761
E:75,PARENT,PARENT_BN,P:49,P:108,N,B,0.14456140563788109,0.144973,-0.00041159436211890554,0.00041159436211890554
E:76,PARENT,PARENT_BN,P:50,P:51,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:77,PARENT,PARENT_BN,P:51,P:108,N,B,0.14483438818181277,0.144973,-0.00013861181818722312,0.00013861181818722312
E:78,PARENT,PARENT_BN,P:51,P:110,N,B,0.1443364125922496,0.144973,-0.000636587407750383,0.000636587407750383
E:79,PARENT,PARENT_BN,P:52,P:53,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:80,PARENT,PARENT_BN,P:53,P:110,N,B,0.14501379244747725,0.144973,4.0792447477261407e-05,4.0792447477261407e-05
E:81,PARENT,PARENT_BN,P:53,P:112,N,B,0.14439182802361086,0.144973,-0.0005811719763891277,0.0005811719763891277
E:82,PARENT,PARENT_BN,P:54,P:55,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:83,PARENT,PARENT_BN,P:55,P:112,N,B,0.14433987668000817,0.144973,-0.000633123319991824,0.000633123319991824
E:84,PARENT,PARENT_BN,P:55,P:114,N,B,0.1455369368923229,0.144973,0.0005639368923228971,0.0005639368923228971
E:85,PARENT,PARENT_BN,P:56,P:57,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:86,PARENT,PARENT_BN,P:57,P:114,N,B,0.14483438818181293,0.144973,-0.0001386118181870566,0.0001386118181870566
E:87,PARENT,PARENT_BN,P:57,P:116,N,B,0.14456140563788109,0.144973,-0.00041159436211890554,0.00041159436211890554
E:88,PARENT,PARENT_BN,P:58,P:59,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:89,PARENT,PARENT_BN,P:59,P:116,N,B,0.14439182802361084,0.144973,-0.0005811719763891554,0.0005811719763891554
E:90,PARENT,PARENT_BN,P:59,P:118,N,B,0.14477568856683093,0.144973,-0.00019731143316906175,0.00019731143316906175
E:91,PARENT,PARENT_BN,P:60,P:61,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:92,PARENT,PARENT_BN,P:61,P:120,N,B,0.14527560015363902,0.144973,0.00030260015363903214,0.00030260015363903214
E:93,PARENT,PARENT_BN,P:61,P:178,N,B,0.14574292435655314,0.144973,0.0007699243565531533,0.0007699243565531533
E:94,PARENT,PARENT_BN,P:62,P:63,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:95,PARENT,PARENT_BN,P:63,P:120,N,B,0.14489306401619054,0.144973,-7.993598380945377e-05,7.993598380945377e-05
E:96,PARENT,PARENT_BN,P:63,P:122,N,B,0.1450620556865233,0.144973,8.905568652331497e-05,8.905568652331497e-05
E:97,PARENT,PARENT_BN,P:64,P:65,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:98,PARENT,PARENT_BN,P:65,P:122,N,B,0.14533409785731655,0.144973,0.00036109785731655575,0.00036109785731655575
E:99,PARENT,PARENT_BN,P:65,P:124,N,B,0.14531001341958535,0.144973,0.00033701341958536357,0.00033701341958536357
E:100,PARENT,PARENT_BN,P:66,P:67,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:101,PARENT,PARENT_BN,P:67,P:124,N,B,0.14551288602732038,0.144973,0.0005398860273203854,0.0005398860273203854
E:102,PARENT,PARENT_BN,P:67,P:126,N,B,0.14428097587693264,0.144973,-0.0006920241230673474,0.0006920241230673474
