selection_rank,frame,time_ps,mobile_frame,matched_frozen_frame,mobile_lumen_water_count,mobile_lumen_number_density_nm-3,mobile_mean_normalized_radial_position,selection_status
11,111,55.5,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame111.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/mobile_vs_frozen_water/frozen_solute_waterO_frames/frozen_frame111.gro,5,0.17968526512329708,0.32012587705151396,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
12,115,57.5,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame115.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/mobile_vs_frozen_water/frozen_solute_waterO_frames/frozen_frame115.gro,4,0.14366215953911382,0.3163241677481946,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
13,117,58.5,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame117.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/mobile_vs_frozen_water/frozen_solute_waterO_frames/frozen_frame117.gro,3,0.10735204609240427,0.42522482855315175,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
14,131,65.5,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame131.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/mobile_vs_frozen_water/frozen_solute_waterO_frames/frozen_frame131.gro,4,0.14357370270601313,0.503027543347401,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
15,158,79.0,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame158.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/mobile_vs_frozen_water/frozen_solute_waterO_frames/frozen_frame158.gro,6,0.21645414259530923,0.37859673313850983,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
16,159,79.5,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame159.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/mobile_vs_frozen_water/frozen_solute_waterO_frames/frozen_frame159.gro,3,0.10718559970571954,0.6953020477052573,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
17,163,81.5,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame163.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/mobile_vs_frozen_water/frozen_solute_waterO_frames/frozen_frame163.gro,3,0.10722158333411626,0.5328865759576021,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
18,178,89.0,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame178.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/mobile_vs_frozen_water/frozen_solute_waterO_frames/frozen_frame178.gro,0,0.0,nan,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
19,184,92.0,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame184.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/mobile_vs_frozen_water/frozen_solute_waterO_frames/frozen_frame184.gro,0,0.0,nan,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
20,190,95.0,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame190.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/mobile_vs_frozen_water/frozen_solute_waterO_frames/frozen_frame190.gro,0,0.0,nan,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
21,200,100.0,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/time_resolved_stability/solute_waterO_frames/stage08_frame200.gro,runs/phase1A/day021_mobile_restraint_protocol/execution/08_nvt_mobile_100ps/mobile_vs_frozen_water/frozen_solute_waterO_frames/frozen_frame200.gro,0,0.0,nan,CANDIDATE_NOT_YET_AUTHORIZED_FOR_QM
