time_fs,trace_real,trace_imag,min_density_eigenvalue,hermiticity_error,population_sum,population_error,coherence_l1,purity,PYR2,PYR3,PYR4,PYR5
7570.0,1.0000000000000016,0.0,-1.9614058887669086e-08,0.0,1.0000000000000016,1.5543122344752192e-15,1.283873590861593,0.9999998420875322,0.005530260451005373,0.5836563107844069,0.001076063614940197,0.4097373651496491
7580.0,1.0000000000000018,0.0,-1.9629530933727944e-08,0.0,1.0000000000000018,1.7763568394002505e-15,2.0737709340089294,0.9999998419971743,0.003200319950561598,0.5098093584527369,0.19844952372481914,0.288540797871884
7590.0,1.0000000000000018,0.0,-1.9656974479244886e-08,0.0,1.0000000000000018,1.7763568394002505e-15,1.7265129475382608,0.9999998417393035,0.003003664523754338,0.31967504435037786,0.6170610953504612,0.06026019577540832
7600.0,1.0000000000000016,0.0,-1.9673976598054554e-08,0.0,1.0000000000000018,1.7763568394002505e-15,1.5419315875604283,0.9999998416376046,0.0038400534609643717,0.14697594394189595,0.7778815022164891,0.07130250038065222
7610.0,1.0000000000000018,0.0,-1.970942246298938e-08,0.0,1.0000000000000018,1.7763568394002505e-15,1.8805439232601788,0.9999998413659601,0.0046374736079976475,0.07461247413895737,0.4966310314475186,0.42411902080552827
7620.0,1.000000000000002,0.0,-1.9741150026600556e-08,0.0,1.000000000000002,1.9984014443252818e-15,1.4443637386752128,0.9999998410864802,0.005222205782598624,0.07552014500628834,0.09524760672054733,0.8240100424905676
7630.0,1.0000000000000018,0.0,-1.9750545641651588e-08,0.0,1.0000000000000018,1.7763568394002505e-15,1.1901096240345712,0.9999998409883668,0.006096594217924937,0.0777539787658362,0.03370640030558551,0.8824430267106552
7640.0,1.0000000000000018,0.0,-1.977642111417409e-08,0.0,1.0000000000000018,1.7763568394002505e-15,1.9008451580025287,0.9999998407774301,0.007544288517323724,0.06865578486045955,0.3833564515721142,0.5404434750501043
7650.0,1.0000000000000018,0.0,-1.981517264780946e-08,0.0,1.0000000000000018,1.7763568394002505e-15,1.753411138228575,0.99999984051693,0.00909875753221612,0.11219786189070736,0.7447393659183136,0.1339640146587647
7660.0,1.000000000000002,0.0,-1.983751670930512e-08,0.0,1.000000000000002,1.9984014443252818e-15,1.5960956327451565,0.9999998402947088,0.009898514724580636,0.25891647969373904,0.7044145134938875,0.02677049208779483
