run,log_file,Step,Atoms,Temp,c_twater,PotEng,KinEng,TotEng,Press,c_msdwater[4]
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,4200.0,107280.0,42.107014,50.19165,-259675.06,13464.91,-246210.15,-235.51623,0.41773363
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,4300.0,107280.0,42.063354,50.139608,-260578.57,13450.949,-247127.62,-236.55444,0.42705322
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,4400.0,107280.0,42.113704,50.199625,-261802.64,13467.05,-248335.59,-234.97141,0.43617044
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,4500.0,107280.0,41.954324,50.009644,-263833.18,13416.083,-250417.1,-240.25037,0.44541902
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,4600.0,107280.0,42.098013,50.180921,-262739.53,13462.032,-249277.5,-236.93729,0.45422059
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,4700.0,107280.0,42.065995,50.142755,-263233.48,13451.793,-249781.69,-239.64419,0.46387926
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,4800.0,107280.0,42.123938,50.211824,-258290.4,13470.322,-244820.07,-231.53392,0.47285337
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,4900.0,107280.0,41.946858,50.000745,-258126.3,13413.696,-244712.6,-233.14849,0.48206715
nvt50_corrected,simulations/inorganic/bn_like_scaffold_water/nvt50_corrected_bn_like_scaffold_water_30000w.log,5000.0,107280.0,42.03424,50.104904,-263715.83,13441.639,-250274.2,-239.7017,0.49076204
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,0.0,107280.0,42.03424,50.104904,-263715.83,13441.639,-250274.2,-239.7017,0.0
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,100.0,107280.0,42.290781,50.410702,-259234.34,13523.675,-245710.67,-231.45358,0.022364864
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,200.0,107280.0,42.788401,51.003865,-268348.67,13682.803,-254665.86,-244.21432,0.040315272
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,300.0,107280.0,43.338442,51.659515,-261758.52,13858.694,-247899.83,-234.70274,0.052935889
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,400.0,107280.0,43.946112,52.383859,-266248.46,14053.014,-252195.44,-239.48543,0.064210133
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,500.0,107280.0,44.484885,53.026078,-256796.78,14225.302,-242571.48,-226.42027,0.074544455
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,600.0,107280.0,45.044332,53.69294,-253546.14,14404.201,-239141.93,-223.71879,0.085249623
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,700.0,107280.0,45.963363,54.788427,-263651.73,14698.087,-248953.64,-238.49849,0.09496509
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,800.0,107280.0,46.782621,55.764984,-262453.67,14960.068,-247493.6,-232.8757,0.10260796
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,900.0,107280.0,47.691516,56.848389,-257427.58,15250.713,-242176.86,-231.59881,0.1098607
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,1000.0,107280.0,48.556608,57.879581,-260116.53,15527.351,-244589.18,-226.57121,0.11766417
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,1100.0,107280.0,49.512271,59.018733,-264471.95,15832.951,-248639.0,-240.37973,0.12473848
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,1200.0,107280.0,50.36645,60.036916,-259093.63,16106.099,-242987.53,-223.81548,0.13188076
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,1300.0,107280.0,51.591536,61.497221,-264008.42,16497.855,-247510.57,-238.08541,0.1395731
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,1400.0,107280.0,52.272579,62.309025,-263534.82,16715.638,-246819.18,-228.00294,0.14751656
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,1500.0,107280.0,53.251268,63.475625,-261555.57,17028.601,-244526.97,-231.71601,0.15552595
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,1600.0,107280.0,54.051239,64.429192,-258704.94,17284.414,-241420.52,-224.5111,0.16402917
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,1700.0,107280.0,55.081929,65.657777,-263622.7,17614.007,-246008.7,-232.06808,0.17245529
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,1800.0,107280.0,56.220562,67.015029,-259348.81,17978.117,-241370.7,-228.90095,0.18073654
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,1900.0,107280.0,56.944384,67.877827,-259737.86,18209.579,-241528.28,-221.63965,0.19009744
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,2000.0,107280.0,57.495857,68.535184,-263780.0,18385.929,-245394.07,-232.20189,0.19939306
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,2100.0,107280.0,58.479687,69.707912,-257676.82,18700.536,-238976.28,-217.32135,0.20807396
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,2200.0,107280.0,59.804468,71.287054,-266060.82,19124.173,-246936.65,-233.98697,0.21700365
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,2300.0,107280.0,60.552508,72.178719,-262359.8,19363.379,-242996.42,-223.50553,0.22572537
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,2400.0,107280.0,61.295466,73.064326,-262430.28,19600.961,-242829.32,-231.2383,0.23522453
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,2500.0,107280.0,62.221175,74.167773,-268846.27,19896.983,-248949.29,-235.84079,0.24504681
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,2600.0,107280.0,63.007372,75.104922,-263294.35,20148.392,-243145.96,-226.18688,0.25557178
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,2700.0,107280.0,63.998695,76.286581,-264963.74,20465.395,-244498.35,-230.20694,0.26581744
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,2800.0,107280.0,65.09039,77.587884,-265401.42,20814.496,-244586.93,-224.65547,0.27660755
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,2900.0,107280.0,65.848671,78.491757,-272508.68,21056.978,-251451.71,-241.10307,0.28831425
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,3000.0,107280.0,66.305792,79.036646,-274588.79,21203.155,-253385.63,-232.69195,0.30095987
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,3100.0,107280.0,67.364218,80.298291,-271978.47,21541.616,-250436.85,-239.30173,0.31414849
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,3200.0,107280.0,68.432887,81.572147,-270127.93,21883.354,-248244.57,-228.60459,0.32755248
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,3300.0,107280.0,68.91435,82.146052,-268240.9,22037.315,-246203.59,-237.4524,0.34027551
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,3400.0,107280.0,70.215751,83.697325,-267102.52,22453.475,-244649.04,-223.4533,0.35293009
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,3500.0,107280.0,70.904341,84.518126,-267591.48,22673.671,-244917.81,-230.96618,0.36566582
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,3600.0,107280.0,71.242414,84.92111,-272454.81,22781.78,-249673.03,-230.56366,0.38064326
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,3700.0,107280.0,72.656014,86.606123,-268446.24,23233.818,-245212.42,-228.00672,0.39495413
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,3800.0,107280.0,73.412889,87.50832,-262406.51,23475.85,-238930.66,-225.01149,0.40828812
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,3900.0,107280.0,74.178418,88.420833,-264494.88,23720.65,-240774.23,-221.03223,0.42136052
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,4000.0,107280.0,74.961115,89.353809,-262031.47,23970.94,-238060.53,-225.1904,0.43579439
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,4100.0,107280.0,76.065586,90.670341,-265734.84,24324.125,-241410.71,-217.35883,0.45109881
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,4200.0,107280.0,76.443029,91.120253,-265389.04,24444.823,-240944.22,-226.7427,0.46704623
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,4300.0,107280.0,77.464617,92.337989,-270820.72,24771.505,-246049.22,-223.1218,0.48287972
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,4400.0,107280.0,78.267536,93.29507,-277533.25,25028.261,-252504.98,-242.34361,0.49798921
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,4500.0,107280.0,79.244349,94.459433,-279777.29,25340.625,-254436.66,-236.12355,0.51316189
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,4600.0,107280.0,80.109079,95.490193,-263611.07,25617.147,-237993.92,-220.56767,0.5291944
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,4700.0,107280.0,81.326232,96.941042,-270610.45,26006.366,-244604.08,-229.85296,0.5445306
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,4800.0,107280.0,81.586339,97.25109,-263721.61,26089.542,-237632.07,-216.74433,0.56235989
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,4900.0,107280.0,82.426203,98.25221,-266412.43,26358.113,-240054.32,-224.88395,0.57975419
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,5000.0,107280.0,83.675963,99.741926,-267532.22,26757.759,-240774.46,-215.10919,0.5979195
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,5100.0,107280.0,84.448749,100.66309,-267370.83,27004.879,-240365.95,-225.21382,0.61457527
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,5200.0,107280.0,84.874741,101.17087,-270591.14,27141.102,-243450.04,-218.00263,0.63280325
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,5300.0,107280.0,85.847776,102.33073,-274642.31,27452.258,-247190.05,-235.13951,0.6510077
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,5400.0,107280.0,86.917117,103.60539,-269348.36,27794.21,-241554.15,-216.53225,0.66974787
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,5500.0,107280.0,87.642767,104.47037,-263413.21,28026.257,-235386.95,-219.52002,0.68883744
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,5600.0,107280.0,88.245303,105.18859,-260707.33,28218.935,-232488.39,-206.95792,0.70969871
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,5700.0,107280.0,89.725124,106.95254,-259278.09,28692.149,-230585.94,-211.15676,0.72915871
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,5800.0,107280.0,90.189355,107.5059,-262828.2,28840.601,-233987.6,-212.21816,0.74883481
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,5900.0,107280.0,91.044549,108.5253,-268359.7,29114.073,-239245.63,-219.88176,0.76878952
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,6000.0,107280.0,92.168534,109.86509,-269971.49,29473.499,-240497.99,-222.26034,0.78916117
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,6100.0,107280.0,92.63834,110.4251,-272005.76,29623.733,-242382.03,-222.25657,0.80881749
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,6200.0,107280.0,93.42346,111.36096,-265490.65,29874.797,-235615.86,-221.068,0.82924579
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,6300.0,107280.0,94.211161,112.2999,-262647.95,30126.687,-232521.26,-206.8589,0.85171714
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,6400.0,107280.0,94.968682,113.20287,-264694.92,30368.926,-234326.0,-216.00274,0.87376874
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,6500.0,107280.0,95.768181,114.15588,-267549.26,30624.588,-236924.67,-211.19563,0.89571567
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,6600.0,107280.0,96.954901,115.57045,-270669.69,31004.076,-239665.61,-221.06549,0.91737279
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,6700.0,107280.0,97.785984,116.5611,-268586.81,31269.838,-237316.97,-215.56389,0.93998118
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,6800.0,107280.0,98.477114,117.38493,-269144.29,31490.846,-237653.44,-216.84272,0.96343261
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,6900.0,107280.0,99.224091,118.27533,-264273.98,31729.713,-232544.26,-210.09719,0.98612314
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,7000.0,107280.0,100.25024,119.4985,-272506.7,32057.854,-240448.85,-219.01759,1.0098428
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,7100.0,107280.0,101.16469,120.58853,-263212.2,32350.275,-230861.93,-208.16726,1.0337161
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,7200.0,107280.0,101.78626,121.32944,-265971.41,32549.04,-233422.37,-206.31943,1.055781
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,7300.0,107280.0,103.16774,122.97617,-271887.11,32990.807,-238896.31,-217.01368,1.0807898
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,7400.0,107280.0,103.74178,123.66043,-276839.21,33174.373,-243664.84,-221.6105,1.1060571
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,7500.0,107280.0,104.23934,124.25352,-267231.45,33333.482,-233897.97,-211.13846,1.1309244
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,7600.0,107280.0,105.28585,125.50096,-261225.31,33668.132,-227557.18,-202.83399,1.1567241
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,7700.0,107280.0,105.93959,126.28022,-264245.45,33877.185,-230368.26,-203.29801,1.1818623
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,7800.0,107280.0,106.7771,127.27853,-272074.12,34145.002,-237929.11,-217.11086,1.2064301
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,7900.0,107280.0,107.66617,128.33831,-267144.71,34429.308,-232715.4,-210.25112,1.2318738
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,8000.0,107280.0,108.63028,129.48752,-270057.13,34737.607,-235319.52,-217.00866,1.2598507
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,8100.0,107280.0,109.45807,130.47425,-260532.96,35002.317,-225530.65,-198.52481,1.2852404
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,8200.0,107280.0,110.60061,131.83616,-273731.76,35367.676,-238364.08,-215.48511,1.3103409
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,8300.0,107280.0,111.28475,132.65166,-271025.56,35586.451,-235439.11,-213.94026,1.3378023
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,8400.0,107280.0,111.75963,133.21772,-270556.21,35738.307,-234817.91,-215.55881,1.3665166
nvt150,simulations/inorganic/bn_like_scaffold_water/nvt150_bn_like_scaffold_water_30000w.log,8500.0,107280.0,112.43224,134.01947,-269412.76,35953.392,-233459.37,-212.30194,1.3951044
