model,frame,snapshot_time_ps,initial_state,target_state,population
point_dipole,7,35.0,PYR3_bright,PYR2_bright,0.0023441895606886253
point_dipole,7,35.0,PYR3_bright,PYR3_bright,0.9920612527179221
point_dipole,7,35.0,PYR3_bright,PYR4_bright,0.00559178001551716
point_dipole,7,35.0,PYR3_bright,PYR5_bright,2.777705872676004e-06
point_dipole,8,40.0,PYR3_bright,PYR2_bright,0.06724008488257675
point_dipole,8,40.0,PYR3_bright,PYR3_bright,0.9248427033570371
point_dipole,8,40.0,PYR3_bright,PYR4_bright,0.00791427503267917
point_dipole,8,40.0,PYR3_bright,PYR5_bright,2.9367277082951994e-06
point_dipole,9,45.0,PYR3_bright,PYR2_bright,0.007360384732656447
point_dipole,9,45.0,PYR3_bright,PYR3_bright,0.8945137003614839
point_dipole,9,45.0,PYR3_bright,PYR4_bright,0.09812124883087768
point_dipole,9,45.0,PYR3_bright,PYR5_bright,4.666074981717408e-06
point_dipole,10,50.0,PYR3_bright,PYR2_bright,0.014072999798147093
point_dipole,10,50.0,PYR3_bright,PYR3_bright,0.9833435897965186
point_dipole,10,50.0,PYR3_bright,PYR4_bright,0.002580630507091366
point_dipole,10,50.0,PYR3_bright,PYR5_bright,2.7798982449667194e-06
point_dipole,11,55.0,PYR3_bright,PYR2_bright,0.003762157878146215
point_dipole,11,55.0,PYR3_bright,PYR3_bright,0.987399592416264
point_dipole,11,55.0,PYR3_bright,PYR4_bright,0.008835247113243351
point_dipole,11,55.0,PYR3_bright,PYR5_bright,3.002592347597041e-06
point_dipole,12,60.0,PYR3_bright,PYR2_bright,0.05446655813944551
point_dipole,12,60.0,PYR3_bright,PYR3_bright,0.9368688561619752
point_dipole,12,60.0,PYR3_bright,PYR4_bright,0.008661978980465768
point_dipole,12,60.0,PYR3_bright,PYR5_bright,2.606718111925612e-06
point_dipole,13,65.0,PYR3_bright,PYR2_bright,0.002747006844547273
point_dipole,13,65.0,PYR3_bright,PYR3_bright,0.9927041432142611
point_dipole,13,65.0,PYR3_bright,PYR4_bright,0.004546308497885371
point_dipole,13,65.0,PYR3_bright,PYR5_bright,2.5414433052699018e-06
point_dipole,14,70.0,PYR3_bright,PYR2_bright,0.12253974290095604
point_dipole,14,70.0,PYR3_bright,PYR3_bright,0.8737567309413431
point_dipole,14,70.0,PYR3_bright,PYR4_bright,0.0037022549982660543
point_dipole,14,70.0,PYR3_bright,PYR5_bright,1.2711594341487979e-06
point_dipole,15,75.0,PYR3_bright,PYR2_bright,0.0172112700818315
point_dipole,15,75.0,PYR3_bright,PYR3_bright,0.9398320002889272
point_dipole,15,75.0,PYR3_bright,PYR4_bright,0.042952650267157604
point_dipole,15,75.0,PYR3_bright,PYR5_bright,4.079362083072011e-06
point_dipole,16,80.0,PYR3_bright,PYR2_bright,0.005279315512213849
point_dipole,16,80.0,PYR3_bright,PYR3_bright,0.9811410474330924
point_dipole,16,80.0,PYR3_bright,PYR4_bright,0.013576535526894588
point_dipole,16,80.0,PYR3_bright,PYR5_bright,3.1015277997301657e-06
point_dipole,17,85.0,PYR3_bright,PYR2_bright,0.4309873323667323
point_dipole,17,85.0,PYR3_bright,PYR3_bright,0.4606329381736701
point_dipole,17,85.0,PYR3_bright,PYR4_bright,0.10837601438008344
point_dipole,17,85.0,PYR3_bright,PYR5_bright,3.7150795143055877e-06
point_dipole,18,90.0,PYR3_bright,PYR2_bright,0.21480897492583867
point_dipole,18,90.0,PYR3_bright,PYR3_bright,0.5554899421858756
point_dipole,18,90.0,PYR3_bright,PYR4_bright,0.22969719246237957
point_dipole,18,90.0,PYR3_bright,PYR5_bright,3.890425906210825e-06
point_dipole,19,95.0,PYR3_bright,PYR2_bright,0.06774514745336423
point_dipole,19,95.0,PYR3_bright,PYR3_bright,0.8994563717756069
point_dipole,19,95.0,PYR3_bright,PYR4_bright,0.032794777200175304
point_dipole,19,95.0,PYR3_bright,PYR5_bright,3.703570852530057e-06
point_dipole,20,100.0,PYR3_bright,PYR2_bright,0.01807638287163
point_dipole,20,100.0,PYR3_bright,PYR3_bright,0.9719885776925484
point_dipole,20,100.0,PYR3_bright,PYR4_bright,0.00993219319443845
point_dipole,20,100.0,PYR3_bright,PYR5_bright,2.846241381297949e-06
point_dipole,0,0.0,PYR4_bright,PYR2_bright,0.0004609964742193654
point_dipole,0,0.0,PYR4_bright,PYR3_bright,0.022784371353208585
point_dipole,0,0.0,PYR4_bright,PYR4_bright,0.9767158901823251
point_dipole,0,0.0,PYR4_bright,PYR5_bright,3.8741990248613943e-05
point_dipole,1,5.0,PYR4_bright,PYR2_bright,0.001989747815491871
point_dipole,1,5.0,PYR4_bright,PYR3_bright,0.004739207992216065
point_dipole,1,5.0,PYR4_bright,PYR4_bright,0.9932349884788807
point_dipole,1,5.0,PYR4_bright,PYR5_bright,3.6055713411625124e-05
point_dipole,2,10.0,PYR4_bright,PYR2_bright,0.010748956796201862
point_dipole,2,10.0,PYR4_bright,PYR3_bright,0.056202982615776456
point_dipole,2,10.0,PYR4_bright,PYR4_bright,0.9330133804185492
point_dipole,2,10.0,PYR4_bright,PYR5_bright,3.4680169471700325e-05
point_dipole,3,15.0,PYR4_bright,PYR2_bright,0.0017369609829227472
point_dipole,3,15.0,PYR4_bright,PYR3_bright,0.004571223758646432
point_dipole,3,15.0,PYR4_bright,PYR4_bright,0.9936631412445118
point_dipole,3,15.0,PYR4_bright,PYR5_bright,2.8674013919247255e-05
point_dipole,4,20.0,PYR4_bright,PYR2_bright,0.0018470767885206383
point_dipole,4,20.0,PYR4_bright,PYR3_bright,0.04799380858399535
point_dipole,4,20.0,PYR4_bright,PYR4_bright,0.9501218166539391
point_dipole,4,20.0,PYR4_bright,PYR5_bright,3.729797354421997e-05
point_dipole,5,25.0,PYR4_bright,PYR2_bright,0.00014911000273062813
point_dipole,5,25.0,PYR4_bright,PYR3_bright,0.002128295070071964
point_dipole,5,25.0,PYR4_bright,PYR4_bright,0.9976802146528956
point_dipole,5,25.0,PYR4_bright,PYR5_bright,4.238027430189508e-05
point_dipole,6,30.0,PYR4_bright,PYR2_bright,0.003718304374068936
point_dipole,6,30.0,PYR4_bright,PYR3_bright,0.12366806359419462
point_dipole,6,30.0,PYR4_bright,PYR4_bright,0.8725764265458054
point_dipole,6,30.0,PYR4_bright,PYR5_bright,3.720548592999486e-05
point_dipole,7,35.0,PYR4_bright,PYR2_bright,0.000836660279020065
point_dipole,7,35.0,PYR4_bright,PYR3_bright,0.00559178001551716
point_dipole,7,35.0,PYR4_bright,PYR4_bright,0.9935297421874141
point_dipole,7,35.0,PYR4_bright,PYR5_bright,4.181751804822721e-05
point_dipole,8,40.0,PYR4_bright,PYR2_bright,0.000340413431781071
point_dipole,8,40.0,PYR4_bright,PYR3_bright,0.00791427503267917
point_dipole,8,40.0,PYR4_bright,PYR4_bright,0.9917037262483697
point_dipole,8,40.0,PYR4_bright,PYR5_bright,4.15852871700672e-05
point_dipole,9,45.0,PYR4_bright,PYR2_bright,0.00037018392797261233
point_dipole,9,45.0,PYR4_bright,PYR3_bright,0.09812124883087768
point_dipole,9,45.0,PYR4_bright,PYR4_bright,0.9014779405480227
point_dipole,9,45.0,PYR4_bright,PYR5_bright,3.0626693127251545e-05
point_dipole,10,50.0,PYR4_bright,PYR2_bright,0.00017925674067091515
point_dipole,10,50.0,PYR4_bright,PYR3_bright,0.002580630507091366
point_dipole,10,50.0,PYR4_bright,PYR4_bright,0.9971990531926874
point_dipole,10,50.0,PYR4_bright,PYR5_bright,4.1059559551203015e-05
point_dipole,11,55.0,PYR4_bright,PYR2_bright,0.0011503312563076252
point_dipole,11,55.0,PYR4_bright,PYR3_bright,0.008835247113243351
point_dipole,11,55.0,PYR4_bright,PYR4_bright,0.9899709610375474
point_dipole,11,55.0,PYR4_bright,PYR5_bright,4.34605929001939e-05
point_dipole,12,60.0,PYR4_bright,PYR2_bright,0.0004975589759693083
point_dipole,12,60.0,PYR4_bright,PYR3_bright,0.008661978980465768
point_dipole,12,60.0,PYR4_bright,PYR4_bright,0.9908007068587135
point_dipole,12,60.0,PYR4_bright,PYR5_bright,3.9755184853436514e-05
point_dipole,13,65.0,PYR4_bright,PYR2_bright,0.07391948785410468
point_dipole,13,65.0,PYR4_bright,PYR3_bright,0.004546308497885371
point_dipole,13,65.0,PYR4_bright,PYR4_bright,0.921497238641835
point_dipole,13,65.0,PYR4_bright,PYR5_bright,3.696500617581377e-05
point_dipole,14,70.0,PYR4_bright,PYR2_bright,0.0008678299300409251
point_dipole,14,70.0,PYR4_bright,PYR3_bright,0.0037022549982660543
point_dipole,14,70.0,PYR4_bright,PYR4_bright,0.9953808126555769
point_dipole,14,70.0,PYR4_bright,PYR5_bright,4.910241611565011e-05
point_dipole,15,75.0,PYR4_bright,PYR2_bright,0.0016722165692423696
point_dipole,15,75.0,PYR4_bright,PYR3_bright,0.042952650267157604
point_dipole,15,75.0,PYR4_bright,PYR4_bright,0.9553343167590643
point_dipole,15,75.0,PYR4_bright,PYR5_bright,4.081640453576488e-05
point_dipole,16,80.0,PYR4_bright,PYR2_bright,0.0012595403660516224
point_dipole,16,80.0,PYR4_bright,PYR3_bright,0.013576535526894588
point_dipole,16,80.0,PYR4_bright,PYR4_bright,0.9851214148288384
point_dipole,16,80.0,PYR4_bright,PYR5_bright,4.250927821576889e-05
point_dipole,17,85.0,PYR4_bright,PYR2_bright,0.03463853085742017
point_dipole,17,85.0,PYR4_bright,PYR3_bright,0.10837601438008344
point_dipole,17,85.0,PYR4_bright,PYR4_bright,0.8569549116925251
