time_ps,temperature_K,potential_kJ_mol,total_energy_kJ_mol,CAP_SOL_LJ_kJ_mol
5.9,300.372802734375,-761486.0625,-637484.5,18.428810119629
5.95,300.518798828125,-761281.25,-637219.4375,15.949569702148
6.0,301.803344726562,-761833.5,-637241.375,14.769871711731
6.05,300.985076904297,-761998.75,-637744.4375,18.55006980896
6.1,299.708740234375,-761629.625,-637902.1875,14.267604827881
6.15,300.897857666016,-761331.9375,-637113.625,17.77449798584
6.2,300.821105957031,-761329.25,-637142.625,16.220836639404
6.25,300.818603515625,-761778.0,-637592.375,16.321901321411
6.3,301.688232421875,-761844.8125,-637300.1875,17.927219390869
6.35,301.306182861328,-762525.375,-638138.5,30.654083251953
6.4,301.802642822266,-762952.6875,-638360.875,25.240577697754
6.45,300.078521728516,-763351.4375,-639471.375,18.898597717285
6.5,299.738800048828,-763253.75,-639513.9375,17.804302215576
6.55,301.637939453125,-763453.1875,-638929.375,11.546921730042
6.6,300.341369628906,-762489.875,-638501.25,13.114206314087
6.65,299.557098388672,-762161.375,-638496.5625,16.849195480347
6.7,302.998504638672,-762827.875,-637742.375,14.986939430237
6.75,301.387237548828,-762568.8125,-638148.5,28.114553451538
6.8,301.119659423828,-762258.9375,-637949.0625,19.358371734619
6.85,301.809387207031,-763417.875,-638823.25,36.577102661133
6.9,300.970550537109,-763313.875,-639065.5625,21.714344024658
6.95,298.5849609375,-762584.875,-639321.375,24.846771240234
7.0,300.908172607422,-763156.0625,-638933.5,19.044666290283
7.05,299.341644287109,-762460.0,-638884.125,17.802953720093
7.1,298.701934814453,-762844.8125,-639533.0,17.571432113647
7.15,297.643768310547,-763571.0,-640696.0625,15.06289100647
7.2,298.753265380859,-763639.3125,-640306.3125,13.831497192383
7.25,297.563568115234,-763467.125,-640625.25,15.512207984924
7.3,296.695251464844,-762813.6875,-640330.3125,14.223516464233
7.35,298.971374511719,-763963.4375,-640540.4375,13.971559524536
7.4,298.313598632812,-763440.375,-640288.875,17.240539550781
7.45,300.889404296875,-764496.25,-640281.4375,12.881567001343
7.5,298.651641845703,-763395.125,-640104.125,13.562678337097
7.55,300.446044921875,-764507.75,-640475.9375,15.735914230347
7.6,299.205657958984,-764337.5625,-640817.8125,21.289924621582
7.65,297.240203857422,-764011.1875,-641302.875,13.791561126709
7.7,298.248809814453,-765042.8125,-641918.0625,14.333480834961
7.75,301.532684326172,-765496.125,-641015.75,10.973987579346
7.8,300.493255615234,-764644.4375,-640593.125,16.234325408936
7.85,298.33251953125,-763198.1875,-640038.875,14.650233268738
7.9,299.326965332031,-763845.3125,-640275.5,15.441656112671
7.95,299.254150390625,-764222.8125,-640683.0625,15.036734580994
8.0,300.626373291016,-764497.5625,-640391.3125,24.647581100464
8.05,299.299957275391,-764637.3125,-641078.625,22.56489944458
8.1,298.389709472656,-763963.875,-640781.0,17.590410232544
8.15,299.991882324219,-763599.625,-639755.3125,19.694164276123
8.2,300.887420654297,-763058.8125,-638844.8125,45.47034072876
8.25,301.311859130859,-763317.1875,-638927.9375,21.512105941772
8.3,300.646575927734,-764317.875,-640203.3125,16.431903839111
8.35,299.621185302734,-763189.75,-639498.5,15.570629119873
8.4,300.014343261719,-763483.625,-639630.0625,14.639017105103
8.45,301.103240966797,-763612.5,-639309.375,13.504055023193
8.5,297.945434570312,-762577.375,-639577.875,14.988389968872
8.55,300.896697998047,-763904.0625,-639686.25,14.791276931763
8.6,300.567657470703,-763751.1875,-639669.1875,16.582944869995
8.65,299.468902587891,-763042.25,-639413.875,22.004674911499
8.7,300.293548583984,-763259.0625,-639290.1875,26.174285888672
8.75,300.927673339844,-763059.1875,-638828.5625,13.662739753723
8.8,301.8037109375,-762758.5625,-638166.25,9.931018829346
8.85,303.452056884766,-763431.875,-638159.125,11.233745574951
8.9,303.258728027344,-763241.0625,-638048.125,17.964008331299
8.95,300.841735839844,-762178.5625,-637983.375,33.679733276367
9.0,302.542724609375,-762657.3125,-637759.9375,28.88480758667
9.05,299.044067382812,-761810.1875,-638357.1875,40.010894775391
9.1,300.297943115234,-762742.875,-638772.25,26.889862060547
9.15,300.941040039062,-762902.625,-638666.5,26.915374755859
9.2,300.66455078125,-762297.9375,-638175.9375,37.706203460693
9.25,300.558074951172,-761914.5625,-637836.5,23.858764648438
9.3,299.886352539062,-761583.9375,-637783.1875,20.238880157471
9.35,301.654235839844,-761996.1875,-637465.625,20.451602935791
9.4,301.821807861328,-762284.0,-637684.25,22.479808807373
9.45,300.066040039062,-762507.4375,-638632.5,24.509254455566
9.5,300.218383789062,-763353.5625,-639415.75,19.709278106689
9.55,297.414276123047,-763251.4375,-640471.25,23.283428192139
9.6,297.388763427734,-763488.875,-640719.1875,31.368927001953
9.65,299.068878173828,-763641.9375,-640178.6875,29.13219833374
9.7,300.204895019531,-763509.3125,-639577.0625,33.472797393799
9.75,302.092895507812,-763795.9375,-639084.25,27.404987335205
9.8,300.523468017578,-763300.9375,-639237.1875,25.866027832031
9.85,301.203735351562,-763190.8125,-638846.25,18.494560241699
9.9,300.570709228516,-763563.875,-639480.625,21.628963470459
9.95,300.880554199219,-763552.25,-639341.0625,27.740447998047
10.0,301.415679931641,-762826.8125,-638394.75,24.55110168457
10.05,300.688446044922,-762866.75,-638734.875,21.590301513672
10.1,301.551788330078,-763154.125,-638665.875,24.479995727539
10.15,301.721862792969,-762861.125,-638302.625,35.97119140625
10.2,301.143859863281,-764094.9375,-639775.0625,26.543174743652
10.25,298.6650390625,-763676.625,-640380.0625,31.466348648071
10.3,300.559661865234,-763437.125,-639358.4375,25.995223999023
10.35,299.924133300781,-764165.0,-640348.625,24.993637084961
10.4,299.211303710938,-764198.125,-640676.0625,21.676448822021
10.45,300.703948974609,-764936.3125,-640798.0625,23.432207107544
10.5,300.272583007812,-764210.1875,-640250.0,30.46492767334
10.55,300.747589111328,-764120.9375,-639964.625,25.099132537842
10.6,301.948791503906,-764599.25,-639947.0625,33.289642333984
10.65,297.650695800781,-764542.6875,-641664.875,28.855716705322
10.7,299.024841308594,-765009.8125,-641564.75,30.045892715454
10.75,301.050262451172,-764804.9375,-640523.6875,21.89168548584
