side,local_atom_index,atomname,x_nm,y_nm,z_nm
LOWER,84,C0084,3.0045238887510743,4.297344211779074,1.7999999999999998
LOWER,85,C0085,3.0045238887510743,3.0973442117790744,1.7999999999999998
LOWER,86,C0086,4.563369615563074,3.1973442117790745,1.7999999999999998
LOWER,87,C0087,4.563369615563074,4.1973442117790745,1.7999999999999998
LOWER,88,C0088,3.6973442117790745,4.6973442117790745,1.7999999999999998
LOWER,89,C0089,2.8313188079950744,4.1973442117790745,1.7999999999999998
LOWER,90,C0090,2.8313188079950744,3.1973442117790745,1.7999999999999998
LOWER,91,C0091,3.6973442117790745,2.6973442117790745,1.7999999999999998
LOWER,92,C0092,4.216959454050074,2.7973442117790746,1.7999999999999998
LOWER,93,C0093,4.7365746963200746,3.6973442117790745,1.7999999999999998
LOWER,94,C0094,4.216959454050074,4.597344211779075,1.7999999999999998
LOWER,95,C0095,3.1777289695080744,4.597344211779075,1.7999999999999998
LOWER,96,C0096,2.6581137272380744,3.6973442117790745,1.7999999999999998
LOWER,97,C0097,3.1777289695080744,2.7973442117790746,1.7999999999999998
LOWER,98,C0098,4.0437543732930745,2.6973442117790745,1.7999999999999998
LOWER,99,C0099,4.390164534807075,2.8973442117790746,1.7999999999999998
LOWER,100,C0100,4.7365746963200746,3.4973442117790743,1.7999999999999998
LOWER,101,C0101,4.7365746963200746,3.8973442117790746,1.7999999999999998
LOWER,102,C0102,4.390164534807075,4.497344211779074,1.7999999999999998
LOWER,103,C0103,4.0437543732930745,4.6973442117790745,1.7999999999999998
LOWER,104,C0104,3.3509340502650744,4.6973442117790745,1.7999999999999998
LOWER,105,C0105,3.0045238887510743,4.497344211779074,1.7999999999999998
LOWER,106,C0106,2.6581137272380744,3.8973442117790746,1.7999999999999998
LOWER,107,C0107,2.6581137272380744,3.4973442117790743,1.7999999999999998
LOWER,108,C0108,3.0045238887510743,2.8973442117790746,1.7999999999999998
LOWER,109,C0109,3.3509340502650744,2.6973442117790745,1.7999999999999998
LOWER,110,C0110,3.8705492925360745,2.5973442117790744,1.7999999999999998
LOWER,111,C0111,4.563369615563074,2.9973442117790743,1.7999999999999998
LOWER,112,C0112,4.7365746963200746,3.2973442117790746,1.7999999999999998
LOWER,113,C0113,4.7365746963200746,4.097344211779075,1.7999999999999998
LOWER,114,C0114,4.563369615563074,4.397344211779075,1.7999999999999998
LOWER,115,C0115,3.8705492925360745,4.797344211779075,1.7999999999999998
LOWER,116,C0116,3.5241391310220744,4.797344211779075,1.7999999999999998
LOWER,117,C0117,2.8313188079950744,4.397344211779075,1.7999999999999998
LOWER,118,C0118,2.6581137272380744,4.097344211779075,1.7999999999999998
LOWER,119,C0119,2.6581137272380744,3.2973442117790746,1.7999999999999998
LOWER,120,C0120,2.8313188079950744,2.9973442117790743,1.7999999999999998
LOWER,121,C0121,3.5241391310220744,2.5973442117790744,1.7999999999999998
LOWER,122,C0122,4.7365746963200746,3.0973442117790744,1.7999999999999998
LOWER,123,C0123,4.7365746963200746,4.297344211779074,1.7999999999999998
LOWER,124,C0124,3.6973442117790745,4.897344211779075,1.7999999999999998
LOWER,125,C0125,2.6581137272380744,4.297344211779074,1.7999999999999998
LOWER,126,C0126,2.6581137272380744,3.0973442117790744,1.7999999999999998
LOWER,127,C0127,3.6973442117790745,2.4973442117790743,1.7999999999999998
LOWER,128,C0128,4.909779777077074,3.5973442117790744,1.7999999999999998
LOWER,129,C0129,4.909779777077074,3.7973442117790746,1.7999999999999998
LOWER,130,C0130,2.484908646481075,3.7973442117790746,1.7999999999999998
LOWER,131,C0131,2.484908646481075,3.5973442117790744,1.7999999999999998
LOWER,132,C0132,4.216959454050074,2.5973442117790744,1.7999999999999998
LOWER,133,C0133,4.390164534807075,2.6973442117790745,1.7999999999999998
LOWER,134,C0134,4.390164534807075,4.6973442117790745,1.7999999999999998
LOWER,135,C0135,4.216959454050074,4.797344211779075,1.7999999999999998
LOWER,136,C0136,3.1777289695080744,4.797344211779075,1.7999999999999998
LOWER,137,C0137,3.0045238887510743,4.6973442117790745,1.7999999999999998
LOWER,138,C0138,3.0045238887510743,2.6973442117790745,1.7999999999999998
LOWER,139,C0139,3.1777289695080744,2.5973442117790744,1.7999999999999998
LOWER,140,C0140,4.563369615563074,2.7973442117790746,1.7999999999999998
LOWER,141,C0141,4.909779777077074,3.3973442117790746,1.7999999999999998
LOWER,142,C0142,4.909779777077074,3.9973442117790743,1.7999999999999998
LOWER,143,C0143,4.563369615563074,4.597344211779075,1.7999999999999998
LOWER,144,C0144,2.8313188079950744,4.597344211779075,1.7999999999999998
LOWER,145,C0145,2.484908646481075,3.9973442117790743,1.7999999999999998
LOWER,146,C0146,2.484908646481075,3.3973442117790746,1.7999999999999998
LOWER,147,C0147,2.8313188079950744,2.7973442117790746,1.7999999999999998
LOWER,148,C0148,4.0437543732930745,2.4973442117790743,1.7999999999999998
LOWER,149,C0149,4.0437543732930745,4.897344211779075,1.7999999999999998
LOWER,150,C0150,3.3509340502650744,4.897344211779075,1.7999999999999998
LOWER,151,C0151,3.3509340502650744,2.4973442117790743,1.7999999999999998
LOWER,152,C0152,3.8705492925360745,2.3973442117790746,1.7999999999999998
LOWER,153,C0153,4.7365746963200746,2.8973442117790746,1.7999999999999998
LOWER,154,C0154,4.909779777077074,3.1973442117790745,1.7999999999999998
LOWER,155,C0155,4.909779777077074,4.1973442117790745,1.7999999999999998
LOWER,156,C0156,4.7365746963200746,4.497344211779074,1.7999999999999998
LOWER,157,C0157,3.8705492925360745,4.997344211779074,1.7999999999999998
LOWER,158,C0158,3.5241391310220744,4.997344211779074,1.7999999999999998
LOWER,159,C0159,2.6581137272380744,4.497344211779074,1.7999999999999998
LOWER,160,C0160,2.484908646481075,4.1973442117790745,1.7999999999999998
LOWER,161,C0161,2.484908646481075,3.1973442117790745,1.7999999999999998
LOWER,162,C0162,2.6581137272380744,2.8973442117790746,1.7999999999999998
LOWER,163,C0163,3.5241391310220744,2.3973442117790746,1.7999999999999998
UPPER,1,C0001,3.6973442117790745,3.6973442117790745,8.218
UPPER,2,C0002,3.8705492925360745,3.5973442117790744,8.218
UPPER,3,C0003,3.8705492925360745,3.7973442117790746,8.218
UPPER,4,C0004,3.6973442117790745,3.8973442117790746,8.218
UPPER,5,C0005,3.5241391310220744,3.7973442117790746,8.218
UPPER,6,C0006,3.5241391310220744,3.5973442117790744,8.218
UPPER,7,C0007,3.6973442117790745,3.4973442117790743,8.218
UPPER,8,C0008,3.8705492925360745,3.3973442117790746,8.218
UPPER,9,C0009,4.0437543732930745,3.6973442117790745,8.218
UPPER,10,C0010,3.8705492925360745,3.9973442117790743,8.218
UPPER,11,C0011,3.5241391310220744,3.9973442117790743,8.218
UPPER,12,C0012,3.3509340502650744,3.6973442117790745,8.218
UPPER,13,C0013,3.5241391310220744,3.3973442117790746,8.218
UPPER,14,C0014,4.0437543732930745,3.4973442117790743,8.218
UPPER,15,C0015,4.0437543732930745,3.8973442117790746,8.218
UPPER,16,C0016,3.6973442117790745,4.097344211779075,8.218
UPPER,17,C0017,3.3509340502650744,3.8973442117790746,8.218
UPPER,18,C0018,3.3509340502650744,3.4973442117790743,8.218
UPPER,19,C0019,3.6973442117790745,3.2973442117790746,8.218
UPPER,20,C0020,3.8705492925360745,3.1973442117790745,8.218
UPPER,21,C0021,4.0437543732930745,3.2973442117790746,8.218
UPPER,22,C0022,4.216959454050074,3.5973442117790744,8.218
UPPER,23,C0023,4.216959454050074,3.7973442117790746,8.218
UPPER,24,C0024,4.0437543732930745,4.097344211779075,8.218
UPPER,25,C0025,3.8705492925360745,4.1973442117790745,8.218
UPPER,26,C0026,3.5241391310220744,4.1973442117790745,8.218
UPPER,27,C0027,3.3509340502650744,4.097344211779075,8.218
UPPER,28,C0028,3.1777289695080744,3.7973442117790746,8.218
UPPER,29,C0029,3.1777289695080744,3.5973442117790744,8.218
UPPER,30,C0030,3.3509340502650744,3.2973442117790746,8.218
UPPER,31,C0031,3.5241391310220744,3.1973442117790745,8.218
UPPER,32,C0032,4.216959454050074,3.3973442117790746,8.218
UPPER,33,C0033,4.216959454050074,3.9973442117790743,8.218
UPPER,34,C0034,3.6973442117790745,4.297344211779074,8.218
UPPER,35,C0035,3.1777289695080744,3.9973442117790743,8.218
UPPER,36,C0036,3.1777289695080744,3.3973442117790746,8.218
UPPER,37,C0037,3.6973442117790745,3.0973442117790744,8.218
UPPER,38,C0038,4.0437543732930745,3.0973442117790744,8.218
UPPER,39,C0039,4.390164534807075,3.6973442117790745,8.218
UPPER,40,C0040,4.0437543732930745,4.297344211779074,8.218
UPPER,41,C0041,3.3509340502650744,4.297344211779074,8.218
UPPER,42,C0042,3.0045238887510743,3.6973442117790745,8.218
UPPER,43,C0043,3.3509340502650744,3.0973442117790744,8.218
UPPER,44,C0044,3.8705492925360745,2.9973442117790743,8.218
UPPER,45,C0045,4.216959454050074,3.1973442117790745,8.218
UPPER,46,C0046,4.390164534807075,3.4973442117790743,8.218
UPPER,47,C0047,4.390164534807075,3.8973442117790746,8.218
UPPER,48,C0048,4.216959454050074,4.1973442117790745,8.218
UPPER,49,C0049,3.8705492925360745,4.397344211779075,8.218
UPPER,50,C0050,3.5241391310220744,4.397344211779075,8.218
UPPER,51,C0051,3.1777289695080744,4.1973442117790745,8.218
UPPER,52,C0052,3.0045238887510743,3.8973442117790746,8.218
UPPER,53,C0053,3.0045238887510743,3.4973442117790743,8.218
UPPER,54,C0054,3.1777289695080744,3.1973442117790745,8.218
UPPER,55,C0055,3.5241391310220744,2.9973442117790743,8.218
UPPER,56,C0056,4.390164534807075,3.2973442117790746,8.218
UPPER,57,C0057,4.390164534807075,4.097344211779075,8.218
UPPER,58,C0058,3.6973442117790745,4.497344211779074,8.218
UPPER,59,C0059,3.0045238887510743,4.097344211779075,8.218
UPPER,60,C0060,3.0045238887510743,3.2973442117790746,8.218
UPPER,61,C0061,3.6973442117790745,2.8973442117790746,8.218
UPPER,62,C0062,4.0437543732930745,2.8973442117790746,8.218
UPPER,63,C0063,4.216959454050074,2.9973442117790743,8.218
UPPER,64,C0064,4.563369615563074,3.5973442117790744,8.218
UPPER,65,C0065,4.563369615563074,3.7973442117790746,8.218
UPPER,66,C0066,4.216959454050074,4.397344211779075,8.218
UPPER,67,C0067,4.0437543732930745,4.497344211779074,8.218
UPPER,68,C0068,3.3509340502650744,4.497344211779074,8.218
UPPER,69,C0069,3.1777289695080744,4.397344211779075,8.218
UPPER,70,C0070,2.8313188079950744,3.7973442117790746,8.218
UPPER,71,C0071,2.8313188079950744,3.5973442117790744,8.218
UPPER,72,C0072,3.1777289695080744,2.9973442117790743,8.218
UPPER,73,C0073,3.3509340502650744,2.8973442117790746,8.218
UPPER,74,C0074,3.8705492925360745,2.7973442117790746,8.218
UPPER,75,C0075,4.563369615563074,3.3973442117790746,8.218
UPPER,76,C0076,4.563369615563074,3.9973442117790743,8.218
UPPER,77,C0077,3.8705492925360745,4.597344211779075,8.218
UPPER,78,C0078,3.5241391310220744,4.597344211779075,8.218
UPPER,79,C0079,2.8313188079950744,3.9973442117790743,8.218
UPPER,80,C0080,2.8313188079950744,3.3973442117790746,8.218
UPPER,81,C0081,3.5241391310220744,2.7973442117790746,8.218
UPPER,82,C0082,4.390164534807075,3.0973442117790744,8.218
UPPER,83,C0083,4.390164534807075,4.297344211779074,8.218
UPPER,84,C0084,3.0045238887510743,4.297344211779074,8.218
UPPER,85,C0085,3.0045238887510743,3.0973442117790744,8.218
UPPER,86,C0086,4.563369615563074,3.1973442117790745,8.218
UPPER,87,C0087,4.563369615563074,4.1973442117790745,8.218
UPPER,88,C0088,3.6973442117790745,4.6973442117790745,8.218
UPPER,89,C0089,2.8313188079950744,4.1973442117790745,8.218
UPPER,90,C0090,2.8313188079950744,3.1973442117790745,8.218
UPPER,91,C0091,3.6973442117790745,2.6973442117790745,8.218
UPPER,92,C0092,4.216959454050074,2.7973442117790746,8.218
UPPER,93,C0093,4.7365746963200746,3.6973442117790745,8.218
UPPER,94,C0094,4.216959454050074,4.597344211779075,8.218
UPPER,95,C0095,3.1777289695080744,4.597344211779075,8.218
UPPER,96,C0096,2.6581137272380744,3.6973442117790745,8.218
UPPER,97,C0097,3.1777289695080744,2.7973442117790746,8.218
UPPER,98,C0098,4.0437543732930745,2.6973442117790745,8.218
UPPER,99,C0099,4.390164534807075,2.8973442117790746,8.218
UPPER,100,C0100,4.7365746963200746,3.4973442117790743,8.218
UPPER,101,C0101,4.7365746963200746,3.8973442117790746,8.218
UPPER,102,C0102,4.390164534807075,4.497344211779074,8.218
UPPER,103,C0103,4.0437543732930745,4.6973442117790745,8.218
UPPER,104,C0104,3.3509340502650744,4.6973442117790745,8.218
UPPER,105,C0105,3.0045238887510743,4.497344211779074,8.218
UPPER,106,C0106,2.6581137272380744,3.8973442117790746,8.218
UPPER,107,C0107,2.6581137272380744,3.4973442117790743,8.218
UPPER,108,C0108,3.0045238887510743,2.8973442117790746,8.218
UPPER,109,C0109,3.3509340502650744,2.6973442117790745,8.218
UPPER,110,C0110,3.8705492925360745,2.5973442117790744,8.218
UPPER,111,C0111,4.563369615563074,2.9973442117790743,8.218
UPPER,112,C0112,4.7365746963200746,3.2973442117790746,8.218
UPPER,113,C0113,4.7365746963200746,4.097344211779075,8.218
UPPER,114,C0114,4.563369615563074,4.397344211779075,8.218
UPPER,115,C0115,3.8705492925360745,4.797344211779075,8.218
UPPER,116,C0116,3.5241391310220744,4.797344211779075,8.218
UPPER,117,C0117,2.8313188079950744,4.397344211779075,8.218
UPPER,118,C0118,2.6581137272380744,4.097344211779075,8.218
UPPER,119,C0119,2.6581137272380744,3.2973442117790746,8.218
UPPER,120,C0120,2.8313188079950744,2.9973442117790743,8.218
UPPER,121,C0121,3.5241391310220744,2.5973442117790744,8.218
UPPER,122,C0122,4.7365746963200746,3.0973442117790744,8.218
UPPER,123,C0123,4.7365746963200746,4.297344211779074,8.218
UPPER,124,C0124,3.6973442117790745,4.897344211779075,8.218
UPPER,125,C0125,2.6581137272380744,4.297344211779074,8.218
UPPER,126,C0126,2.6581137272380744,3.0973442117790744,8.218
UPPER,127,C0127,3.6973442117790745,2.4973442117790743,8.218
UPPER,128,C0128,4.909779777077074,3.5973442117790744,8.218
UPPER,129,C0129,4.909779777077074,3.7973442117790746,8.218
UPPER,130,C0130,2.484908646481075,3.7973442117790746,8.218
UPPER,131,C0131,2.484908646481075,3.5973442117790744,8.218
UPPER,132,C0132,4.216959454050074,2.5973442117790744,8.218
UPPER,133,C0133,4.390164534807075,2.6973442117790745,8.218
UPPER,134,C0134,4.390164534807075,4.6973442117790745,8.218
UPPER,135,C0135,4.216959454050074,4.797344211779075,8.218
UPPER,136,C0136,3.1777289695080744,4.797344211779075,8.218
UPPER,137,C0137,3.0045238887510743,4.6973442117790745,8.218
UPPER,138,C0138,3.0045238887510743,2.6973442117790745,8.218
UPPER,139,C0139,3.1777289695080744,2.5973442117790744,8.218
UPPER,140,C0140,4.563369615563074,2.7973442117790746,8.218
UPPER,141,C0141,4.909779777077074,3.3973442117790746,8.218
UPPER,142,C0142,4.909779777077074,3.9973442117790743,8.218
UPPER,143,C0143,4.563369615563074,4.597344211779075,8.218
UPPER,144,C0144,2.8313188079950744,4.597344211779075,8.218
UPPER,145,C0145,2.484908646481075,3.9973442117790743,8.218
UPPER,146,C0146,2.484908646481075,3.3973442117790746,8.218
UPPER,147,C0147,2.8313188079950744,2.7973442117790746,8.218
UPPER,148,C0148,4.0437543732930745,2.4973442117790743,8.218
UPPER,149,C0149,4.0437543732930745,4.897344211779075,8.218
UPPER,150,C0150,3.3509340502650744,4.897344211779075,8.218
UPPER,151,C0151,3.3509340502650744,2.4973442117790743,8.218
UPPER,152,C0152,3.8705492925360745,2.3973442117790746,8.218
UPPER,153,C0153,4.7365746963200746,2.8973442117790746,8.218
UPPER,154,C0154,4.909779777077074,3.1973442117790745,8.218
UPPER,155,C0155,4.909779777077074,4.1973442117790745,8.218
UPPER,156,C0156,4.7365746963200746,4.497344211779074,8.218
UPPER,157,C0157,3.8705492925360745,4.997344211779074,8.218
UPPER,158,C0158,3.5241391310220744,4.997344211779074,8.218
UPPER,159,C0159,2.6581137272380744,4.497344211779074,8.218
UPPER,160,C0160,2.484908646481075,4.1973442117790745,8.218
UPPER,161,C0161,2.484908646481075,3.1973442117790745,8.218
UPPER,162,C0162,2.6581137272380744,2.8973442117790746,8.218
UPPER,163,C0163,3.5241391310220744,2.3973442117790746,8.218
