end,end_local_index,source_R1_cap_index_zero_based,source_R1_cap_index_one_based,x_nm,y_nm,z_nm,radial_distance_from_axis_nm,axial_coordinate_nm
lower,72,90,91,3.697,2.697,1.8,1.0003442709995627,-3.2087252746914947
lower,73,91,92,4.217,2.797,1.8,1.0395488626878457,-3.2087252746914947
lower,74,92,93,4.737,3.697,1.8,1.0396558452021627,-3.2087252746914947
lower,75,93,94,4.217,4.597,1.8,1.0389526820365433,-3.2087252746914947
lower,76,94,95,3.178,4.597,1.8,1.0387968750375811,-3.2087252746914947
lower,77,95,96,2.658,3.697,1.8,1.0393442687773935,-3.2087252746914947
lower,78,96,97,3.178,2.797,1.8,1.039393145057495,-3.2087252746914947
lower,79,97,98,4.044,2.697,1.8,1.0587061809335812,-3.2087252746914947
lower,80,98,99,4.39,2.897,1.8,1.0584530685317226,-3.2087252746914947
lower,81,99,100,4.737,3.497,1.8,1.0587832456053756,-3.2087252746914947
lower,82,100,101,4.737,3.897,1.8,1.0586531971100797,-3.2087252746914947
lower,83,101,102,4.39,4.497,1.8,1.057932616281009,-3.2087252746914947
lower,84,102,103,4.044,4.697,1.8,1.0580557312498575,-3.2087252746914947
lower,85,103,104,3.351,4.697,1.8,1.057953688946954,-3.2087252746914947
lower,86,104,105,3.005,4.497,1.8,1.057728645361946,-3.2087252746914947
lower,87,105,106,2.658,3.897,1.8,1.0583472135026315,-3.2087252746914947
lower,88,106,107,2.658,3.497,1.8,1.058477299592223,-3.2087252746914947
lower,89,107,108,3.005,2.897,1.8,1.0582491979265831,-3.2087252746914947
lower,90,108,109,3.351,2.697,1.8,1.0586042013296406,-3.2087252746914947
lower,91,109,110,3.871,2.597,1.8,1.1139630681393093,-3.2087252746914947
lower,92,110,111,4.563,2.997,1.8,1.1134819076450433,-3.2087252746914947
lower,93,111,112,4.737,3.297,1.8,1.1140734472584304,-3.2087252746914947
lower,94,112,113,4.737,4.097,1.8,1.113826246341755,-3.2087252746914947
lower,95,113,114,4.563,4.397,1.8,1.113049040101754,-3.2087252746914947
lower,96,114,115,3.871,4.797,1.8,1.1132830661383541,-3.2087252746914947
lower,97,115,116,3.524,4.797,1.8,1.1132345073366585,-3.2087252746914947
lower,98,116,117,2.831,4.397,1.8,1.1135845344086595,-3.2087252746914947
lower,99,117,118,2.658,4.097,1.8,1.1135354236023007,-3.2087252746914947
lower,100,118,119,2.658,3.297,1.8,1.1137826890662623,-3.2087252746914947
lower,101,119,120,2.831,2.997,1.8,1.114017193877886,-3.2087252746914947
lower,102,120,121,3.524,2.597,1.8,1.1139145389808955,-3.2087252746914947
lower,103,121,122,4.737,3.097,1.8,1.2005404327209943,-3.2087252746914947
lower,104,122,123,4.737,4.297,1.8,1.2001963265766702,-3.2087252746914947
lower,105,123,124,3.697,4.897,1.8,1.1996558376024848,-3.2087252746914947
