atom,name,r_ref_nm,r_cur_nm,delta_r_nm
1355,B1355,1.20457,1.27518,0.07061
1356,N1356,1.20589,1.28024,0.07435
1357,B1357,1.20501,1.30611,0.10110
1358,N1358,1.20501,1.30697,0.10196
1359,B1359,1.20574,1.33250,0.12676
1360,N1360,1.20574,1.33875,0.13301
1361,B1361,1.20511,1.35771,0.15260
1362,N1362,1.20511,1.35771,0.15260
1363,B1363,1.20476,1.34836,0.14359
1364,N1364,1.20608,1.34698,0.14089
1365,B1365,1.20516,1.34676,0.14160
1366,N1366,1.20597,1.33853,0.13256
1367,B1367,1.20473,1.33619,0.13146
1368,N1368,1.20547,1.33478,0.12930
1369,B1369,1.20527,1.32368,0.11841
1370,N1370,1.20527,1.32484,0.11958
1371,B1371,1.20579,1.31043,0.10464
1372,N1372,1.20579,1.30412,0.09833
1373,B1373,1.20542,1.27760,0.07218
1374,N1374,1.20542,1.28664,0.08122
1375,B1375,1.20537,1.27617,0.07080
1376,N1376,1.20537,1.27425,0.06888
1377,B1377,1.20469,1.27483,0.07014
1378,N1378,1.20565,1.28135,0.07570
1379,B1379,1.20503,1.26653,0.06149
1380,N1380,1.20590,1.27191,0.06601
1381,B1381,1.20445,1.22764,0.02319
1382,N1382,1.20587,1.22764,0.02177
1383,B1383,1.20486,1.21587,0.01101
1384,N1384,1.20573,1.20906,0.00333
1385,B1385,1.20534,1.19934,-0.00601
1386,N1386,1.20630,1.19794,-0.00836
1387,B1387,1.20594,1.17575,-0.03019
1388,N1388,1.20694,1.18009,-0.02685
1389,B1389,1.20589,1.15427,-0.05163
1390,N1390,1.20689,1.15727,-0.04962
1391,B1391,1.20520,1.10949,-0.09571
1392,N1392,1.20615,1.09907,-0.10708
1393,B1393,1.20549,1.10010,-0.10540
1394,N1394,1.20599,1.10056,-0.10544
1395,B1395,1.20481,1.09271,-0.11210
1396,N1396,1.20622,1.09616,-0.11006
1397,B1397,1.20450,1.07000,-0.13450
1398,N1398,1.20590,1.07599,-0.12991
1399,B1399,1.20546,1.06172,-0.14375
1400,N1400,1.20638,1.06658,-0.13979
1401,B1401,1.20455,1.05692,-0.14763
1402,N1402,1.20553,1.06219,-0.14333
1403,B1403,1.20527,1.07473,-0.13054
1404,N1404,1.20527,1.06761,-0.13765
1405,B1405,1.20465,1.07772,-0.12692
1406,N1406,1.20465,1.06884,-0.13581
1407,B1407,1.20566,1.12020,-0.08545
1408,N1408,1.20566,1.12056,-0.08509
1409,B1409,1.20559,1.18972,-0.01587
1410,N1410,1.20559,1.18339,-0.02220
1411,B1411,1.20516,1.24240,0.03724
1412,N1412,1.20657,1.22728,0.02071
1413,B1413,1.20503,1.26641,0.06138
1414,N1414,1.20590,1.25301,0.04711
1415,B1415,1.20565,1.28848,0.08284
1416,N1416,1.20660,1.29097,0.08437
1417,B1417,1.20537,1.33020,0.12484
1418,N1418,1.20537,1.33415,0.12878
1419,B1419,1.20542,1.35238,0.14696
1420,N1420,1.20542,1.35945,0.15403
1421,B1421,1.20484,1.35330,0.14846
1422,N1422,1.20674,1.34707,0.14033
1423,B1423,1.20527,1.33870,0.13343
1424,N1424,1.20613,1.34282,0.13668
1425,B1425,1.20473,1.34048,0.13575
1426,N1426,1.20614,1.34330,0.13716
1427,B1427,1.20516,1.33910,0.13394
1428,N1428,1.20597,1.33130,0.12533
1429,B1429,1.20476,1.31311,0.10835
1430,N1430,1.20608,1.30953,0.10345
1431,B1431,1.20609,1.29106,0.08497
1432,N1432,1.20609,1.28431,0.07823
1433,B1433,1.20574,1.28188,0.07614
1434,N1434,1.20574,1.26864,0.06290
1435,B1435,1.20599,1.28316,0.07718
1436,N1436,1.20599,1.28045,0.07446
1437,B1437,1.20457,1.28120,0.07662
1438,N1438,1.20589,1.28752,0.08163
1439,B1439,1.20547,1.26184,0.05636
1440,N1440,1.20628,1.27500,0.06871
1441,B1441,1.20559,1.21233,0.00674
1442,N1442,1.20640,1.21651,0.01011
1443,B1443,1.20566,1.20316,-0.00249
1444,N1444,1.20657,1.20042,-0.00615
1445,B1445,1.20563,1.18097,-0.02466
1446,N1446,1.20563,1.18254,-0.02308
1447,B1447,1.20527,1.17569,-0.02958
1448,N1448,1.20627,1.17579,-0.03047
1449,B1449,1.20455,1.12703,-0.07752
1450,N1450,1.20553,1.14039,-0.06514
1451,B1451,1.20546,1.10154,-0.10393
1452,N1452,1.20638,1.11735,-0.08903
1453,B1453,1.20531,1.09889,-0.10642
1454,N1454,1.20590,1.08923,-0.11668
1455,B1455,1.20555,1.08030,-0.12526
1456,N1456,1.20696,1.06544,-0.14153
1457,B1457,1.20549,1.06901,-0.13648
1458,N1458,1.20599,1.06369,-0.14231
1459,B1459,1.20520,1.06486,-0.14034
1460,N1460,1.20615,1.06074,-0.14541
1461,B1461,1.20589,1.06686,-0.13904
1462,N1462,1.20589,1.06996,-0.13593
1463,B1463,1.20594,1.06128,-0.14466
1464,N1464,1.20594,1.05502,-0.15092
1465,B1465,1.20534,1.08696,-0.11838
1466,N1466,1.20630,1.08351,-0.12279
1467,B1467,1.20573,1.14828,-0.05745
1468,N1468,1.20623,1.14667,-0.05956
1469,B1469,1.20445,1.20307,-0.00138
1470,N1470,1.20587,1.19676,-0.00910
1471,B1471,1.20547,1.24137,0.03589
1472,N1472,1.20628,1.23095,0.02467
1473,B1473,1.20589,1.26065,0.05475
1474,N1474,1.20681,1.26035,0.05355
1475,B1475,1.20599,1.31529,0.10930
1476,N1476,1.20599,1.30687,0.10088
1477,B1477,1.20574,1.34494,0.13920
1478,N1478,1.20574,1.34508,0.13934
1479,B1479,1.20609,1.35384,0.14775
1480,N1480,1.20609,1.35170,0.14561
1481,B1481,1.20608,1.34242,0.13633
1482,N1482,1.20608,1.35402,0.14794
1483,B1483,1.20597,1.34971,0.14374
1484,N1484,1.20597,1.34412,0.13815
1485,B1485,1.20473,1.33341,0.12869
1486,N1486,1.20614,1.34545,0.13931
1487,B1487,1.20527,1.32506,0.11979
1488,N1488,1.20613,1.32262,0.11648
1489,B1489,1.20579,1.29019,0.08440
1490,N1490,1.20674,1.28445,0.07770
1491,B1491,1.20542,1.26771,0.06230
1492,N1492,1.20542,1.25637,0.05095
1493,B1493,1.20537,1.27331,0.06794
1494,N1494,1.20537,1.26138,0.05601
1495,B1495,1.20565,1.28712,0.08148
1496,N1496,1.20660,1.28345,0.07686
1497,B1497,1.20503,1.28969,0.08466
1498,N1498,1.20640,1.29184,0.08544
1499,B1499,1.20516,1.25938,0.05422
1500,N1500,1.20657,1.26555,0.05898
1501,B1501,1.20486,1.20525,0.00039
1502,N1502,1.20350,1.20945,0.00596
1503,B1503,1.20534,1.18949,-0.01585
1504,N1504,1.20408,1.18419,-0.01990
1505,B1505,1.20495,1.18475,-0.02019
1506,N1506,1.20385,1.18552,-0.01833
1507,B1507,1.20589,1.15828,-0.04762
1508,N1508,1.20390,1.17027,-0.03364
1509,B1509,1.20520,1.13444,-0.07076
1510,N1510,1.20299,1.14051,-0.06247
1511,B1511,1.20549,1.10955,-0.09594
1512,N1512,1.20463,1.10959,-0.09504
1513,B1513,1.20481,1.07330,-0.13150
1514,N1514,1.20414,1.07642,-0.12772
1515,B1515,1.20450,1.05883,-0.14567
1516,N1516,1.20311,1.05566,-0.14745
1517,B1517,1.20546,1.05531,-0.15016
1518,N1518,1.20414,1.05347,-0.15067
1519,B1519,1.20455,1.06469,-0.13987
1520,N1520,1.20357,1.06943,-0.13414
1521,B1521,1.20527,1.06330,-0.14197
1522,N1522,1.20327,1.07328,-0.12999
1523,B1523,1.20465,1.07307,-0.13157
1524,N1524,1.20367,1.07249,-0.13118
1525,B1525,1.20566,1.11027,-0.09539
1526,N1526,1.20342,1.10890,-0.09452
1527,B1527,1.20559,1.16620,-0.03938
1528,N1528,1.20419,1.15976,-0.04443
1529,B1529,1.20516,1.21381,0.00865
1530,N1530,1.20441,1.21683,0.01242
1531,B1531,1.20503,1.24481,0.03977
1532,N1532,1.20367,1.24847,0.04481
1533,B1533,1.20565,1.28296,0.07731
1534,N1534,1.20344,1.28296,0.07952
1535,B1535,1.20537,1.32808,0.12271
1536,N1536,1.20327,1.31902,0.11574
1537,B1537,1.20542,1.34514,0.13972
1538,N1538,1.20332,1.34284,0.13952
1539,B1539,1.20579,1.35596,0.15017
1540,N1540,1.20358,1.36510,0.16152
1541,B1541,1.20527,1.34590,0.14064
1542,N1542,1.20390,1.35757,0.15366
1543,B1543,1.20473,1.34538,0.14065
1544,N1544,1.20406,1.35676,0.15270
1545,B1545,1.20516,1.33593,0.13077
1546,N1546,1.20376,1.33014,0.12638
1547,B1547,1.20476,1.29970,0.09493
1548,N1548,1.20385,1.29075,0.08690
1549,B1549,1.20609,1.26650,0.06041
1550,N1550,1.20413,1.26623,0.06210
1551,B1551,1.20574,1.25660,0.05086
1552,N1552,1.20374,1.25873,0.05499
1553,B1553,1.20599,1.26458,0.05859
1554,N1554,1.20403,1.26088,0.05685
