LAMMPS (10 Dec 2025)
Reading data file ...
  orthogonal box = (-140 -140 -120) to (140 140 120)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  107280 atoms
  reading velocities ...
  107280 velocities
  scanning bonds ...
  2 = max bonds/atom
  scanning angles ...
  1 = max angles/atom
  orthogonal box = (-140 -140 -120) to (140 140 120)
  1 by 1 by 1 MPI processor grid
  reading bonds ...
  60000 bonds
  reading angles ...
  30000 angles
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        0       
  special bond factors coul:  0        0        0       
     2 = max # of 1-2 neighbors
     1 = max # of 1-3 neighbors
     1 = max # of 1-4 neighbors
     2 = max # of special neighbors
  special bonds CPU = 0.039 seconds
  read_data CPU = 1.461 seconds
17280 atoms in group scaffold
90000 atoms in group water
WARNING: Temperature for fix modify is not for group all (../fix_nh.cpp:1403)
Generated 0 of 6 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12
  ghost atom cutoff = 12
  binsize = 6, bins = 47 47 40
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut/coul/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 0.25
Per MPI rank memory allocation (min/avg/max) = 96.87 | 96.87 | 96.87 Mbytes
   Step        Atoms         Temp         c_twater        PotEng         KinEng         TotEng         Press      c_msdwater[4] 
      2400      107280   252.24847      300.68071     -252138.31      80663.592     -171474.72     -150.65308      2.309484     
      2500      107280   251.0371       299.23676     -260573.74      80276.223     -180297.52     -169.85681      2.4035141    
      2600      107280   251.699        300.02575     -258321.48      80487.885     -177833.6      -163.37155      2.4997722    
      2700      107280   251.1136       299.32795     -259958.21      80300.687     -179657.52     -172.86624      2.5944334    
      2800      107280   250.78611      298.93758     -267688.51      80195.961     -187492.55     -172.46425      2.6917937    
      2900      107280   252.69693      301.21528     -263200         80807         -182393        -167.97953      2.7863846    
      3000      107280   252.45807      300.93056     -261984.69      80730.618     -181254.07     -158.80908      2.8840166    
      3100      107280   251.20482      299.43669     -252297         80329.857     -171967.14     -157.09819      2.980831     
      3200      107280   250.25944      298.30979     -253302.19      80027.544     -173274.64     -163.42297      3.0810583    
      3300      107280   251.44718      299.72558     -267610.52      80407.358     -187203.16     -167.38057      3.1813115    
      3400      107280   251.99022      300.37288     -254041.28      80581.011     -173460.26     -166.52278      3.2807932    
      3500      107280   252.03177      300.42241     -245524.11      80594.298     -164929.82     -134.15965      3.3867516    
      3600      107280   251.4128       299.6846      -248968.09      80396.364     -168571.73     -156.34535      3.4948804    
      3700      107280   251.62111      299.9329      -256006.4       80462.975     -175543.42     -156.53386      3.5960603    
      3800      107280   251.09563      299.30653     -260667.44      80294.94      -180372.5      -176.35898      3.7034094    
      3900      107280   252.31626      300.76151     -248616.63      80685.269     -167931.36     -145.43267      3.8141961    
      4000      107280   251.81938      300.16924     -263674.85      80526.38      -183148.47     -176.14533      3.9196891    
      4100      107280   253.32394      301.96268     -263386.55      81007.505     -182379.05     -158.20445      4.0261391    
      4200      107280   251.9952       300.37881     -261320.29      80582.601     -180737.69     -172.3075       4.1305839    
      4300      107280   251.44046      299.71756     -255974.19      80405.208     -175568.98     -150.59805      4.2367287    
      4400      107280   252.04523      300.43845     -252574.93      80598.601     -171976.32     -163.40645      4.348115     
      4500      107280   252.36098      300.81483     -266609.7       80699.571     -185910.13     -170.96046      4.4571041    
      4600      107280   251.64884      299.96595     -259624.37      80471.843     -179152.53     -164.2661       4.5708205    
      4700      107280   251.2076       299.44        -255079.6       80330.745     -174748.85     -154.75896      4.6827155    
      4800      107280   251.57678      299.88006     -248573         80448.801     -168124.2      -148.37416      4.7962651    
      4900      107280   252.0371       300.42877     -249989.39      80596.002     -169393.39     -150.97836      4.9096869    
      5000      107280   252.84086      301.38684     -261143.46      80853.024     -180290.44     -164.01514      5.0305168    
      5100      107280   253.45389      302.11758     -257422.7       81049.059     -176373.64     -165.61329      5.1477185    
      5200      107280   252.6589       301.16995     -249241.08      80794.84      -168446.24     -154.26199      5.271409     
      5300      107280   251.18558      299.41375     -260453.53      80323.704     -180129.83     -170.25723      5.3931256    
      5400      107280   251.13413      299.35241     -266992.53      80307.249     -186685.28     -178.01289      5.5145535    
      5500      107280   251.76104      300.0997      -253545.04      80507.723     -173037.32     -161.18701      5.6405389    
      5600      107280   251.22553      299.46137     -253398.79      80336.478     -173062.31     -157.71834      5.7614389    
      5700      107280   251.44926      299.72805     -251041.16      80408.022     -170633.14     -164.12639      5.886148     
      5800      107280   251.89137      300.25505     -246782.34      80549.4       -166232.94     -148.89863      6.0130911    
      5900      107280   250.6339       298.75614     -242789.54      80147.288     -162642.26     -149.35346      6.1437941    
      6000      107280   250.83558      298.99655     -245860.73      80211.781     -165648.95     -148.9992       6.2709409    
      6100      107280   250.95754      299.14193     -253810.29      80250.781     -173559.51     -157.16197      6.4052002    
      6200      107280   252.08958      300.49131     -248217.02      80612.782     -167604.24     -150.62642      6.5369957    
      6300      107280   251.66025      299.97956     -243513.22      80475.493     -163037.72     -144.42823      6.6738178    
      6400      107280   251.54182      299.83839     -252045.8       80437.622     -171608.18     -158.88038      6.8112765    
      6500      107280   251.7633       300.10239     -266691.26      80508.444     -186182.81     -166.75572      6.9410229    
      6600      107280   251.78374      300.12676     -254365.3       80514.983     -173850.32     -159.48334      7.076763     
      6700      107280   251.15768      299.38049     -254905.74      80314.781     -174590.96     -149.14298      7.2086866    
      6800      107280   251.4289       299.70379     -249727.25      80401.513     -169325.74     -150.56262      7.3438675    
      6900      107280   250.0461       298.05549     -246675.04      79959.322     -166715.72     -146.53706      7.4761297    
      7000      107280   252.75107      301.27981     -255479.42      80824.312     -174655.1      -164.05674      7.6128564    
      7100      107280   252.50767      300.98968     -253020.9       80746.479     -172274.42     -140.49751      7.7542719    
      7200      107280   251.68268      300.00629     -258468.5       80482.664     -177985.83     -164.62177      7.8937997    
      7300      107280   251.67705      299.99958     -255343.35      80480.863     -174862.48     -150.99837      8.031163     
      7400      107280   251.29942      299.54944     -255862.76      80360.106     -175502.66     -162.84419      8.1707446    
      7500      107280   251.23817      299.47644     -257540.38      80340.521     -177199.86     -155.66198      8.3182283    
      7600      107280   252.72704      301.25117     -253918.3       80816.627     -173101.68     -163.99856      8.4605762    
      7700      107280   252.1159       300.5227      -261591.9       80621.201     -180970.7      -159.02314      8.6109678    
      7800      107280   252.11096      300.5168      -259326.99      80619.619     -178707.37     -169.47659      8.7610477    
      7900      107280   251.22278      299.45809     -251720.91      80335.598     -171385.31     -151.55903      8.9083888    
      8000      107280   251.57824      299.8818      -254068.86      80449.268     -173619.59     -161.01282      9.0584306    
      8100      107280   252.17683      300.59532     -253621.33      80640.684     -172980.65     -159.37825      9.2116241    
      8200      107280   251.32568      299.58074     -254728.18      80368.503     -174359.68     -156.06548      9.367509     
      8300      107280   251.34388      299.60244     -258815.86      80374.325     -178441.54     -165.88339      9.5284453    
      8400      107280   250.9885       299.17883     -257160.38      80260.681     -176899.7      -152.52422      9.6918733    
      8500      107280   251.65836      299.9773      -241009.2       80474.887     -160534.32     -145.57211      9.8454741    
      8600      107280   252.76534      301.29682     -244320.5       80828.875     -163491.62     -139.86917      10.00695     
      8700      107280   252.23424      300.66375     -251100.95      80659.041     -170441.91     -155.4267       10.162968    
      8800      107280   252.85546      301.40425     -251618.62      80857.696     -170760.92     -154.73074      10.328015    
      8900      107280   251.77417      300.11535     -242007.24      80511.922     -161495.32     -145.74126      10.496479    
      9000      107280   251.50965      299.80004     -235147.12      80427.335     -154719.79     -132.7917       10.652743    
      9100      107280   252.04887      300.44279     -247775.06      80599.765     -167175.3      -147.52851      10.815326    
      9200      107280   251.08486      299.29369     -250673.03      80291.494     -170381.54     -158.21145      10.978726    
      9300      107280   251.96686      300.34504     -258357.48      80573.54      -177783.94     -166.78443      11.147399    
      9400      107280   251.30412      299.55505     -263191.09      80361.611     -182829.48     -179.91422      11.312492    
      9500      107280   252.24356      300.67486     -243539.45      80662.022     -162877.43     -143.91398      11.476714    
      9600      107280   252.0221       300.41088     -250475.17      80591.205     -169883.96     -161.79025      11.653269    
      9700      107280   251.51233      299.80323     -258666.6       80428.19      -178238.41     -154.66322      11.816582    
      9800      107280   251.62223      299.93424     -264401.31      80463.336     -183937.97     -176.21856      11.995215    
      9900      107280   251.84712      300.2023      -252750.17      80535.249     -172214.92     -145.2976       12.168825    
     10000      107280   251.45684      299.73709     -261395.27      80410.446     -180984.82     -173.81103      12.349135    
Loop time of 2228.22 on 1 procs for 10000 steps with 107280 atoms

Performance: 0.097 ns/day, 247.580 hours/ns, 4.488 timesteps/s, 481.460 katom-step/s
99.5% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2086.8     | 2086.8     | 2086.8     |   0.0 | 93.65
Bond    | 36.033     | 36.033     | 36.033     |   0.0 |  1.62
Neigh   | 74.063     | 74.063     | 74.063     |   0.0 |  3.32
Comm    | 0.54045    | 0.54045    | 0.54045    |   0.0 |  0.02
Output  | 1.7687     | 1.7687     | 1.7687     |   0.0 |  0.08
Modify  | 23.574     | 23.574     | 23.574     |   0.0 |  1.06
Other   |            | 5.459      |            |       |  0.24

Nlocal:         107280 ave      107280 max      107280 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:              0 ave           0 max           0 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    1.33978e+07 ave 1.33978e+07 max 1.33978e+07 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 13397801
Ave neighs/atom = 124.88629
Ave special neighs/atom = 1.6778523
Neighbor list builds = 163
Dangerous builds = 0
System init for write_data ...
Generated 0 of 6 mixed pair_coeff terms from geometric mixing rule
WARNING: Not all mixed pair coeffs generated from mixing. Use write_data with 'pair ij' option to store all pair coeffs. (../write_data.cpp:364)
Total wall time: 0:37:11
