atom_id_i,atom_id_j,type_i,type_j,distance_A
13292,13580,2,1,3.389800000000001
8077,8365,1,2,3.3898399999999995
6095,6383,2,1,3.389900000000001
2528,2816,1,2,3.3898999999999972
9983,10271,1,2,3.389900000000001
6416,6704,1,2,3.389800000000001
546,834,2,1,3.3899000000000115
14155,14443,2,1,3.389800000000008
8606,8894,2,1,3.38982
5297,5585,2,1,3.3898999999999972
16666,16954,2,1,3.3899000000000115
9185,9473,1,2,3.38983
1730,2018,2,1,3.389800000000008
11117,11405,1,2,3.389800000000001
13357,13645,2,1,3.389800000000001
3920,4208,1,2,3.389800000000001
15289,15577,2,1,3.389799999999994
7808,8096,1,2,3.38983
11980,12268,1,2,3.389800000000001
2259,2547,1,2,3.389799999999994
15868,16156,1,2,3.389799999999994
13628,13916,2,1,3.3898999999999972
6431,6719,2,1,3.389800000000001
10319,10607,1,2,3.3897999999999975
3122,3410,1,2,3.389799999999994
4770,5058,2,1,3.389800000000001
7010,7298,1,2,3.389900000000001
14491,14779,2,1,3.3898999999999972
8942,9230,1,2,3.38983
16397,16685,2,1,3.389799999999994
1461,1749,2,1,3.389799999999994
11182,11470,1,2,3.389800000000001
12830,13118,2,1,3.3898999999999972
5633,5921,2,1,3.389800000000001
9521,9809,2,1,3.389800000000001
84,372,1,2,3.389799999999994
2324,2612,2,1,3.3898999999999972
13693,13981,2,1,3.3898999999999972
8144,8432,1,2,3.3898399999999995
663,951,2,1,3.389799999999994
12032,12320,2,1,3.389800000000001
4835,5123,2,1,3.389800000000001
16204,16492,1,2,3.389799999999994
14222,14510,2,1,3.389800000000008
3458,3746,2,1,3.389800000000001
7346,7634,1,2,3.389800000000001
5364,5652,2,1,3.3898999999999972
16733,17021,1,2,3.389799999999994
1797,2085,1,2,3.389800000000008
15406,15694,2,1,3.389799999999994
9536,9824,1,2,3.389800000000001
5969,6257,1,2,3.389800000000001
13424,13712,2,1,3.389800000000001
9857,10145,1,2,3.389900000000001
7875,8163,1,2,3.38983
2660,2948,1,2,3.389800000000008
12047,12335,1,2,3.389800000000001
15935,16223,1,2,3.389799999999994
999,1287,1,2,3.389799999999994
8738,9026,1,2,3.3898399999999995
5171,5459,1,2,3.389800000000001
