component_index,n_atoms,n_edges,is_tree,n_B,n_N,n_degree_1,n_degree_2,n_degree_other,minimum_atom_id,maximum_atom_id,center_x_A,center_y_A,center_z_A,center_r_A,center_phi_rad,minimum_z_A,maximum_z_A,z_span_A
47,60,59,True,30,30,2,58,0,47,17039,-44.99510000000005,-53.62309999999994,5.447494307494102e-15,69.99997055442236,-2.2689277711582427,-100.0,100.0,200.0
48,60,59,True,30,30,2,58,0,48,17040,-40.1504,-57.3406,5.447494307494102e-15,69.9999930608568,-2.1816624968900036,-100.0,100.0,200.0
49,60,59,True,30,30,2,58,0,49,17041,-35.0,-60.62179999999992,5.447494307494102e-15,70.00001882314027,-2.0943949471425998,-100.0,100.0,200.0
50,60,59,True,30,30,2,58,0,50,17042,-29.583300000000005,-63.441499999999934,5.447494307494102e-15,69.9999682938499,-2.0071291927082835,-100.0,100.0,200.0
51,60,59,True,30,30,2,58,0,51,17043,-23.94139999999999,-65.77849999999992,5.447494307494102e-15,70.0000121157846,-1.9198619616728894,-100.0,100.0,200.0
52,60,59,True,30,30,2,58,0,52,17044,-18.117299999999993,-67.61479999999993,5.447494307494102e-15,69.99998384521236,-1.8325952860486476,-100.0,100.0,200.0
53,60,59,True,30,30,2,58,0,53,17045,-12.15539999999999,-68.9364999999999,5.447494307494102e-15,69.99996272434711,-1.7453297457264247,-100.0,100.0,200.0
54,60,59,True,30,30,2,58,0,54,17046,-6.1009000000000055,-69.73360000000001,5.447494307494102e-15,69.99997106977975,-1.6580627969820425,-100.0,100.0,200.0
55,60,59,True,30,30,2,58,0,55,17047,0.0,-70.0,5.447494307494102e-15,70.0,-1.5707963267948966,-100.0,100.0,200.0
56,60,59,True,30,30,2,58,0,56,17048,6.1009000000000055,-69.73360000000001,5.447494307494102e-15,69.99997106977975,-1.4835298566077508,-100.0,100.0,200.0
57,60,59,True,30,30,2,58,0,57,17049,12.15539999999999,-68.9364999999999,5.447494307494102e-15,69.99996272434711,-1.3962629078633686,-100.0,100.0,200.0
58,60,59,True,30,30,2,58,0,58,17050,18.117299999999993,-67.61479999999993,5.447494307494102e-15,69.99998384521236,-1.3089973675411457,-100.0,100.0,200.0
59,60,59,True,30,30,2,58,0,59,17051,23.94139999999999,-65.77849999999992,5.447494307494102e-15,70.0000121157846,-1.221730691916904,-100.0,100.0,200.0
60,60,59,True,30,30,2,58,0,60,17052,29.583300000000005,-63.441499999999934,5.447494307494102e-15,69.9999682938499,-1.1344634608815098,-100.0,100.0,200.0
61,60,59,True,30,30,2,58,0,61,17053,35.0,-60.62179999999992,5.447494307494102e-15,70.00001882314027,-1.0471977064471933,-100.0,100.0,200.0
62,60,59,True,30,30,2,58,0,62,17054,40.1504,-57.3406,5.447494307494102e-15,69.9999930608568,-0.9599301566997898,-100.0,100.0,200.0
63,60,59,True,30,30,2,58,0,63,17055,44.99510000000005,-53.62309999999994,5.447494307494102e-15,69.99997055442236,-0.8726648824315506,-100.0,100.0,200.0
64,60,59,True,30,30,2,58,0,64,17056,49.49749999999996,-49.49749999999996,5.447494307494102e-15,70.00003580356221,-0.7853981633974483,-100.0,100.0,200.0
65,60,59,True,30,30,2,58,0,65,17057,53.62309999999994,-44.99510000000005,5.447494307494102e-15,69.99997055442236,-0.698131444363346,-100.0,100.0,200.0
66,60,59,True,30,30,2,58,0,66,17058,57.3406,-40.1504,5.447494307494102e-15,69.9999930608568,-0.6108661700951069,-100.0,100.0,200.0
67,60,59,True,30,30,2,58,0,67,17059,60.62179999999992,-35.0,5.447494307494102e-15,70.00001882314027,-0.5235986203477033,-100.0,100.0,200.0
68,60,59,True,30,30,2,58,0,68,17060,63.441499999999934,-29.583300000000005,5.447494307494102e-15,69.9999682938499,-0.43633286591338677,-100.0,100.0,200.0
69,60,59,True,30,30,2,58,0,69,17061,65.77849999999992,-23.94139999999999,5.447494307494102e-15,70.0000121157846,-0.3490656348779927,-100.0,100.0,200.0
70,60,59,True,30,30,2,58,0,70,17062,67.61479999999993,-18.117299999999993,5.447494307494102e-15,69.99998384521236,-0.2617989592537509,-100.0,100.0,200.0
71,60,59,True,30,30,2,58,0,71,17063,68.9364999999999,-12.15539999999999,5.447494307494102e-15,69.99996272434711,-0.17453341893152813,-100.0,100.0,200.0
72,60,59,True,30,30,2,58,0,72,17064,69.73360000000001,-6.1009000000000055,5.447494307494102e-15,69.99997106977975,-0.08726647018714588,-100.0,100.0,200.0
73,60,59,True,30,30,2,58,0,73,17065,86.66670000000003,0.0,5.447494307494102e-15,86.66670000000003,0.0,-100.0,100.0,200.0
