component_index,atom_id,atom_type,element,degree,x_A,y_A,z_A
3,13539,2,N,2,68.9365,12.1554,59.322
3,13827,1,B,2,68.9365,12.1554,62.7119
3,14115,2,N,2,68.9365,12.1554,66.1017
3,14403,1,B,2,68.9365,12.1554,69.4915
3,14691,2,N,2,68.9365,12.1554,72.8814
3,14979,1,B,2,68.9365,12.1554,76.2712
3,15267,2,N,2,68.9365,12.1554,79.661
3,15555,1,B,2,68.9365,12.1554,83.0508
3,15843,2,N,2,68.9365,12.1554,86.4407
3,16131,1,B,2,68.9365,12.1554,89.8305
3,16419,2,N,2,68.9365,12.1554,93.2203
3,16707,1,B,2,68.9365,12.1554,96.6102
3,16995,2,N,1,68.9365,12.1554,100.0
4,4,2,N,1,67.6148,18.1173,-100.0
4,292,1,B,2,67.6148,18.1173,-96.6102
4,580,2,N,2,67.6148,18.1173,-93.2203
4,868,1,B,2,67.6148,18.1173,-89.8305
4,1156,2,N,2,67.6148,18.1173,-86.4407
4,1444,1,B,2,67.6148,18.1173,-83.0508
4,1732,2,N,2,67.6148,18.1173,-79.661
4,2020,1,B,2,67.6148,18.1173,-76.2712
4,2308,2,N,2,67.6148,18.1173,-72.8814
4,2596,1,B,2,67.6148,18.1173,-69.4915
4,2884,2,N,2,67.6148,18.1173,-66.1017
4,3172,1,B,2,67.6148,18.1173,-62.7119
4,3460,2,N,2,67.6148,18.1173,-59.322
4,3748,1,B,2,67.6148,18.1173,-55.9322
4,4036,2,N,2,67.6148,18.1173,-52.5424
4,4324,1,B,2,67.6148,18.1173,-49.1525
4,4612,2,N,2,67.6148,18.1173,-45.7627
4,4900,1,B,2,67.6148,18.1173,-42.3729
4,5188,2,N,2,67.6148,18.1173,-38.9831
4,5476,1,B,2,67.6148,18.1173,-35.5932
4,5764,2,N,2,67.6148,18.1173,-32.2034
4,6052,1,B,2,67.6148,18.1173,-28.8136
4,6340,2,N,2,67.6148,18.1173,-25.4237
4,6628,1,B,2,67.6148,18.1173,-22.0339
4,6916,2,N,2,67.6148,18.1173,-18.6441
4,7204,1,B,2,67.6148,18.1173,-15.2542
4,7492,2,N,2,67.6148,18.1173,-11.8644
4,7780,1,B,2,67.6148,18.1173,-8.47458
4,8068,2,N,2,67.6148,18.1173,-5.08475
4,8356,1,B,2,67.6148,18.1173,-1.69491
4,8644,2,N,2,67.6148,18.1173,1.69491
4,8932,1,B,2,67.6148,18.1173,5.08475
4,9220,2,N,2,67.6148,18.1173,8.47458
4,9508,1,B,2,67.6148,18.1173,11.8644
4,9796,2,N,2,67.6148,18.1173,15.2542
4,10084,1,B,2,67.6148,18.1173,18.6441
4,10372,2,N,2,67.6148,18.1173,22.0339
4,10660,1,B,2,67.6148,18.1173,25.4237
4,10948,2,N,2,67.6148,18.1173,28.8136
4,11236,1,B,2,67.6148,18.1173,32.2034
4,11524,2,N,2,67.6148,18.1173,35.5932
4,11812,1,B,2,67.6148,18.1173,38.9831
4,12100,2,N,2,67.6148,18.1173,42.3729
4,12388,1,B,2,67.6148,18.1173,45.7627
4,12676,2,N,2,67.6148,18.1173,49.1525
4,12964,1,B,2,67.6148,18.1173,52.5424
4,13252,2,N,2,67.6148,18.1173,55.9322
4,13540,1,B,2,67.6148,18.1173,59.322
4,13828,2,N,2,67.6148,18.1173,62.7119
4,14116,1,B,2,67.6148,18.1173,66.1017
4,14404,2,N,2,67.6148,18.1173,69.4915
4,14692,1,B,2,67.6148,18.1173,72.8814
4,14980,2,N,2,67.6148,18.1173,76.2712
4,15268,1,B,2,67.6148,18.1173,79.661
4,15556,2,N,2,67.6148,18.1173,83.0508
4,15844,1,B,2,67.6148,18.1173,86.4407
4,16132,2,N,2,67.6148,18.1173,89.8305
4,16420,1,B,2,67.6148,18.1173,93.2203
4,16708,2,N,2,67.6148,18.1173,96.6102
4,16996,1,B,1,67.6148,18.1173,100.0
5,5,1,B,1,65.7785,23.9414,-100.0
5,293,2,N,2,65.7785,23.9414,-96.6102
5,581,1,B,2,65.7785,23.9414,-93.2203
5,869,2,N,2,65.7785,23.9414,-89.8305
5,1157,1,B,2,65.7785,23.9414,-86.4407
5,1445,2,N,2,65.7785,23.9414,-83.0508
5,1733,1,B,2,65.7785,23.9414,-79.661
5,2021,2,N,2,65.7785,23.9414,-76.2712
5,2309,1,B,2,65.7785,23.9414,-72.8814
5,2597,2,N,2,65.7785,23.9414,-69.4915
5,2885,1,B,2,65.7785,23.9414,-66.1017
5,3173,2,N,2,65.7785,23.9414,-62.7119
5,3461,1,B,2,65.7785,23.9414,-59.322
5,3749,2,N,2,65.7785,23.9414,-55.9322
5,4037,1,B,2,65.7785,23.9414,-52.5424
5,4325,2,N,2,65.7785,23.9414,-49.1525
5,4613,1,B,2,65.7785,23.9414,-45.7627
